ko:K02058	mhae:F382_00370
ko:K08723	mhae:F382_05275
ko:K21105	mhae:F382_10155
ko:K20074	mhae:F382_11740
ko:K07488	mhae:F382_00215
ko:K01161	mhae:F382_11570
ko:K21394	mhae:F382_07960
ko:K21303	mhae:F382_10030
ko:K02438	mhae:F382_13165
ko:K21029	mhae:F382_03220
ko:K02495	mhae:F382_03150
ko:K00821	mhae:F382_03990
ko:K00525	mhae:F382_01530
ko:K00526	mhae:F382_10460
ko:K06905	mhae:F382_02085
ko:K06906	mhae:F382_02090
ko:K06908	mhae:F382_02110
ko:K06907	mhae:F382_02115
ko:K06903	mhae:F382_02150
ko:K06907	mhae:F382_10960
ko:K06908	mhae:F382_10965
ko:K06905	mhae:F382_10995
ko:K06903	mhae:F382_11005
ko:K03791	mhae:F382_02945
ko:K01160	mhae:F382_02965
ko:K06217	mhae:F382_12090
ko:K00558	mhae:F382_03585
ko:K06866	mhae:F382_12190
ko:K00287	mhae:F382_12910
ko:K06223	mhae:F382_04310
ko:K06919	mhae:F382_13220
ko:K02314	mhae:F382_13440
ko:K02314	mhae:F382_00295
ko:K06919	mhae:F382_00525
ko:K03553	mhae:F382_05000
ko:K01520	mhae:F382_09500
ko:K02314	mhae:F382_00820
ko:K07474	mhae:F382_00905
ko:K06909	mhae:F382_00910
ko:K09961	mhae:F382_00915
ko:K00857	mhae:F382_01235
ko:K00560	mhae:F382_05630
ko:K02316	mhae:F382_10060
ko:K04068	mhae:F382_10660
ko:K02335	mhae:F382_02415
ko:K07339	mhae:F382_02465
ko:K21395	mhae:F382_08315
ko:K21394	mhae:F382_08310
ko:K21393	mhae:F382_07965
ko:K21393	mhae:F382_08305
ko:K21395	mhae:F382_07970
ko:K21449	mhae:F382_09740
ko:K21449	mhae:F382_06325
ko:K21470	mhae:F382_05315
ko:K21395	mhae:F382_07975
ko:K13818	mhae:F382_09875
ko:K07334	mhae:F382_00770
ko:K13818	mhae:F382_12475
ko:K21602	mhae:F382_05410
ko:K10026	mhae:F382_04140
ko:K00983	mhae:F382_04085
ko:K21936	mhae:F382_07265
ko:K21948	mhae:F382_07295
ko:K19591	mhae:F382_03765
ko:K22024	mhae:F382_09555
ko:K22132	mhae:F382_11585
ko:K08319	mhae:F382_07300
ko:K22131	mhae:F382_07285
ko:K22105	mhae:F382_09750
ko:K22129	mhae:F382_09545
ko:K22130	mhae:F382_07290
ko:K21029	mhae:F382_12795
ko:K03079	mhae:F382_08685
ko:K07488	mhae:F382_07610
ko:K07488	mhae:F382_08255
ko:K07488	mhae:F382_09390
ko:K07488	mhae:F382_09410
ko:K03077	mhae:F382_08690
ko:K18446	mhae:F382_13010
ko:K22302	mhae:F382_03550
