ko:K01978	mhaq:WC39_13745
ko:K10009	mhaq:WC39_02005
ko:K02424	mhaq:WC39_02010
ko:K02919	mhaq:WC39_02015
ko:K02909	mhaq:WC39_02020
ko:K01783	mhaq:WC39_02025
ko:K02078	mhaq:WC39_02030
ko:K01246	mhaq:WC39_02035
ko:K03111	mhaq:WC39_06395
ko:K01525	mhaq:WC39_06430
ko:K01147	mhaq:WC39_06435
ko:K00208	mhaq:WC39_06450
ko:K06149	mhaq:WC39_06460
ko:K01872	mhaq:WC39_06465
ko:K03563	mhaq:WC39_06470
ko:K03633	mhaq:WC39_06480
ko:K03804	mhaq:WC39_06485
ko:K03632	mhaq:WC39_06490
ko:K08159	mhaq:WC39_06495
ko:K08159	mhaq:WC39_06500
ko:K07014	mhaq:WC39_06505
ko:K09904	mhaq:WC39_06510
ko:K18136	mhaq:WC39_06515
ko:K03585	mhaq:WC39_06520
ko:K18138	mhaq:WC39_06525
ko:K00088	mhaq:WC39_06530
ko:K01951	mhaq:WC39_06545
ko:K09908	mhaq:WC39_06550
ko:K02871	mhaq:WC39_06555
ko:K02996	mhaq:WC39_06560
ko:K09861	mhaq:WC39_06570
ko:K13283	mhaq:WC39_06580
ko:K06956	mhaq:WC39_06590
ko:K01889	mhaq:WC39_06600
ko:K01890	mhaq:WC39_06605
ko:K04764	mhaq:WC39_06610
ko:K04691	mhaq:WC39_06620
ko:K00945	mhaq:WC39_06625
ko:K02945	mhaq:WC39_06630
ko:K05788	mhaq:WC39_06635
ko:K08992	mhaq:WC39_06640
ko:K01591	mhaq:WC39_06650
ko:K03113	mhaq:WC39_06655
ko:K08309	mhaq:WC39_06660
ko:K09748	mhaq:WC39_06675
ko:K03773	mhaq:WC39_09140
ko:K01613	mhaq:WC39_09145
ko:K00652	mhaq:WC39_09155
ko:K09789	mhaq:WC39_09160
ko:K02169	mhaq:WC39_09165
ko:K01935	mhaq:WC39_09170
ko:K10823	mhaq:WC39_09180
ko:K15583	mhaq:WC39_09185
ko:K03673	mhaq:WC39_09265
ko:K09896	mhaq:WC39_09270
ko:K01258	mhaq:WC39_11205
ko:K18828	mhaq:WC39_11210
ko:K18829	mhaq:WC39_11215
ko:K09803	mhaq:WC39_11225
ko:K03723	mhaq:WC39_11230
ko:K03834	mhaq:WC39_11235
ko:K07227	mhaq:WC39_11240
ko:K16087	mhaq:WC39_11245
ko:K07226	mhaq:WC39_11255
ko:K01256	mhaq:WC39_11260
ko:K01512	mhaq:WC39_11265
ko:K15580	mhaq:WC39_11270
ko:K01703	mhaq:WC39_11275
ko:K01704	mhaq:WC39_11280
ko:K05539	mhaq:WC39_11295
ko:K03426	mhaq:WC39_11315
ko:K02072	mhaq:WC39_10145
ko:K02071	mhaq:WC39_10150
ko:K07459	mhaq:WC39_10155
ko:K06966	mhaq:WC39_10160
ko:K03533	mhaq:WC39_12125
ko:K07811	mhaq:WC39_12130
ko:K03532	mhaq:WC39_12135
ko:K02571	mhaq:WC39_12140
ko:K03651	mhaq:WC39_12145
ko:K02569	mhaq:WC39_12150
ko:K02568	mhaq:WC39_12155
ko:K02574	mhaq:WC39_12160
ko:K02573	mhaq:WC39_12165
ko:K02567	mhaq:WC39_12170
ko:K02570	mhaq:WC39_12175
ko:K02572	mhaq:WC39_12180
ko:K13745	mhaq:WC39_12195
ko:K00836	mhaq:WC39_12200
ko:K02526	mhaq:WC39_12210
ko:K02913	mhaq:WC39_12225
ko:K21498	mhaq:WC39_05470
ko:K07268	mhaq:WC39_02145
ko:K00839	mhaq:WC39_05015
ko:K00020	mhaq:WC39_00435
ko:K07497	mhaq:WC39_12435
ko:K07497	mhaq:WC39_12455
ko:K07497	mhaq:WC39_00055
ko:K07497	mhaq:WC39_13465
ko:K07496	mhaq:WC39_05195
ko:K03722	mhaq:WC39_07885
ko:K19416	mhaq:WC39_09885
ko:K01096	mhaq:WC39_08395
ko:K01654	mhaq:WC39_04015
ko:K14227	mhaq:WC39_00450
ko:K14227	mhaq:WC39_01315
ko:K14227	mhaq:WC39_03915
ko:K00525	mhaq:WC39_06870
ko:K00525	mhaq:WC39_11305
ko:K02796	mhaq:WC39_02085
ko:K02796	mhaq:WC39_04135
ko:K19092	mhaq:WC39_01520
ko:K14229	mhaq:WC39_01545
ko:K14229	mhaq:WC39_01550
ko:K14229	mhaq:WC39_01555
ko:K14218	mhaq:WC39_00455
ko:K14218	mhaq:WC39_01320
ko:K14218	mhaq:WC39_03920
ko:K14237	mhaq:WC39_02475
ko:K14237	mhaq:WC39_02490
ko:K14237	mhaq:WC39_02485
ko:K14237	mhaq:WC39_02480
ko:K14237	mhaq:WC39_06425
ko:K14219	mhaq:WC39_04410
ko:K14232	mhaq:WC39_01305
ko:K14232	mhaq:WC39_04580
ko:K01985	mhaq:WC39_00470
ko:K01985	mhaq:WC39_00775
ko:K14221	mhaq:WC39_00475
ko:K14221	mhaq:WC39_10480
ko:K14221	mhaq:WC39_00780
ko:K14224	mhaq:WC39_00760
ko:K14224	mhaq:WC39_11375
ko:K14224	mhaq:WC39_01485
ko:K14223	mhaq:WC39_03035
ko:K14223	mhaq:WC39_03040
ko:K14228	mhaq:WC39_03045
ko:K14228	mhaq:WC39_08335
ko:K14225	mhaq:WC39_13090
ko:K14228	mhaq:WC39_08535
ko:K14234	mhaq:WC39_13085
ko:K14230	mhaq:WC39_03050
ko:K01985	mhaq:WC39_00465
ko:K01985	mhaq:WC39_03930
ko:K01985	mhaq:WC39_01495
ko:K01985	mhaq:WC39_11365
ko:K01985	mhaq:WC39_01330
ko:K01985	mhaq:WC39_00770
ko:K14238	mhaq:WC39_00015
ko:K01980	mhaq:WC39_03925
ko:K01980	mhaq:WC39_01490
ko:K01980	mhaq:WC39_00765
ko:K01980	mhaq:WC39_01325
ko:K01980	mhaq:WC39_11370
ko:K01980	mhaq:WC39_00460
ko:K14235	mhaq:WC39_00785
ko:K14231	mhaq:WC39_13300
ko:K14231	mhaq:WC39_13310
ko:K14228	mhaq:WC39_11175
ko:K14228	mhaq:WC39_11185
ko:K14228	mhaq:WC39_11195
ko:K14230	mhaq:WC39_06665
ko:K14230	mhaq:WC39_08345
ko:K14225	mhaq:WC39_07830
ko:K14225	mhaq:WC39_11170
ko:K14225	mhaq:WC39_11200
ko:K14225	mhaq:WC39_11180
ko:K14225	mhaq:WC39_11190
ko:K14219	mhaq:WC39_01295
ko:K14219	mhaq:WC39_02460
ko:K14219	mhaq:WC39_02465
ko:K14219	mhaq:WC39_04575
ko:K14219	mhaq:WC39_05490
ko:K14220	mhaq:WC39_04890
ko:K14220	mhaq:WC39_13295
ko:K14220	mhaq:WC39_13305
ko:K14235	mhaq:WC39_05395
ko:K14222	mhaq:WC39_07825
ko:K14236	mhaq:WC39_13095
ko:K19784	mhaq:WC39_01680
ko:K07147	mhaq:WC39_13590
ko:K19804	mhaq:WC39_06645
ko:K07662	mhaq:WC39_06900
ko:K19810	mhaq:WC39_07385
ko:K21636	mhaq:WC39_11080
ko:K21105	mhaq:WC39_11600
ko:K20074	mhaq:WC39_10015
ko:K01139	mhaq:WC39_11780
ko:K01161	mhaq:WC39_10180
ko:K21394	mhaq:WC39_00190
ko:K21303	mhaq:WC39_11720
ko:K02438	mhaq:WC39_08605
ko:K14230	mhaq:WC39_07450
ko:K14234	mhaq:WC39_00985
ko:K14234	mhaq:WC39_13100
ko:K14226	mhaq:WC39_01300
ko:K02487	mhaq:WC39_08140
ko:K21029	mhaq:WC39_04885
ko:K02495	mhaq:WC39_04955
ko:K00821	mhaq:WC39_04115
ko:K00526	mhaq:WC39_11300
ko:K00558	mhaq:WC39_04505
ko:K01520	mhaq:WC39_12260
ko:K02314	mhaq:WC39_08325
ko:K06919	mhaq:WC39_08545
ko:K06909	mhaq:WC39_05365
ko:K07474	mhaq:WC39_05370
ko:K01185	mhaq:WC39_05380
ko:K02314	mhaq:WC39_05430
ko:K06903	mhaq:WC39_10745
ko:K06905	mhaq:WC39_10755
ko:K06908	mhaq:WC39_10785
ko:K06907	mhaq:WC39_10790
ko:K00287	mhaq:WC39_08845
ko:K01160	mhaq:WC39_05885
ko:K03791	mhaq:WC39_05905
ko:K01185	mhaq:WC39_06215
ko:K06903	mhaq:WC39_06260
ko:K06907	mhaq:WC39_06290
ko:K06908	mhaq:WC39_06295
ko:K06906	mhaq:WC39_06315
ko:K06905	mhaq:WC39_06320
ko:K04068	mhaq:WC39_11075
ko:K10747	mhaq:WC39_11390
ko:K00560	mhaq:WC39_02445
ko:K10954	mhaq:WC39_07075
ko:K10954	mhaq:WC39_07080
ko:K03462	mhaq:WC39_07120
ko:K00857	mhaq:WC39_07195
ko:K06919	mhaq:WC39_07515
ko:K06866	mhaq:WC39_09570
ko:K02316	mhaq:WC39_11690
ko:K03553	mhaq:WC39_03080
ko:K06217	mhaq:WC39_09665
ko:K02314	mhaq:WC39_07725
ko:K06223	mhaq:WC39_03790
ko:K02335	mhaq:WC39_05620
ko:K04753	mhaq:WC39_08205
ko:K07339	mhaq:WC39_05665
ko:K00526	mhaq:WC39_06875
ko:K21395	mhaq:WC39_00565
ko:K21394	mhaq:WC39_00560
ko:K21393	mhaq:WC39_00195
ko:K21393	mhaq:WC39_00555
ko:K13695	mhaq:WC39_06615
ko:K01271	mhaq:WC39_11335
ko:K21395	mhaq:WC39_00200
ko:K21449	mhaq:WC39_12025
ko:K21449	mhaq:WC39_01770
ko:K21470	mhaq:WC39_02760
ko:K21395	mhaq:WC39_00205
ko:K13818	mhaq:WC39_11880
ko:K01420	mhaq:WC39_06455
ko:K07334	mhaq:WC39_05475
ko:K13818	mhaq:WC39_09275
ko:K21602	mhaq:WC39_02665
ko:K10026	mhaq:WC39_03955
ko:K00983	mhaq:WC39_04020
ko:K21936	mhaq:WC39_13245
ko:K21948	mhaq:WC39_13275
ko:K19591	mhaq:WC39_08255
ko:K22024	mhaq:WC39_12205
ko:K22132	mhaq:WC39_10165
ko:K08319	mhaq:WC39_13280
ko:K22131	mhaq:WC39_13265
ko:K22105	mhaq:WC39_12015
ko:K22129	mhaq:WC39_12215
ko:K22130	mhaq:WC39_13270
ko:K03595	mhaq:WC39_05035
ko:K21029	mhaq:WC39_08970
ko:K03079	mhaq:WC39_00960
ko:K07488	mhaq:WC39_12350
ko:K07488	mhaq:WC39_12370
ko:K07488	mhaq:WC39_04635
ko:K07488	mhaq:WC39_04640
ko:K07488	mhaq:WC39_00495
ko:K07488	mhaq:WC39_13600
ko:K07488	mhaq:WC39_07805
ko:K07488	mhaq:WC39_03970
ko:K07488	mhaq:WC39_03975
ko:K03077	mhaq:WC39_00965
ko:K03646	mhaq:WC39_10265
ko:K18446	mhaq:WC39_08750
ko:K22302	mhaq:WC39_04535
