ko:K18893	babt:DK49_1275
ko:K07110	babt:DK49_1337
ko:K01637	babt:DK49_1339
ko:K00076	babt:DK49_1343
ko:K16079	babt:DK49_1348
ko:K05879	babt:DK49_1351
ko:K05878	babt:DK49_1352
ko:K05878	babt:DK49_1353
ko:K05879	babt:DK49_1354
ko:K05878	babt:DK49_1355
ko:K17205	babt:DK49_1357
ko:K17206	babt:DK49_1358
ko:K17207	babt:DK49_1359
ko:K00135	babt:DK49_1369
ko:K01247	babt:DK49_1373
ko:K01894	babt:DK49_1374
ko:K01638	babt:DK49_1375
ko:K03823	babt:DK49_1376
ko:K03089	babt:DK49_1377
ko:K06180	babt:DK49_1378
ko:K03711	babt:DK49_1381
ko:K08305	babt:DK49_2178
ko:K00963	babt:DK49_2179
ko:K07340	babt:DK49_2182
ko:K01772	babt:DK49_2184
ko:K00808	babt:DK49_2186
ko:K02619	babt:DK49_2187
ko:K01665	babt:DK49_2188
ko:K08602	babt:DK49_2189
ko:K01625	babt:DK49_2192
ko:K07146	babt:DK49_2194
ko:K02020	babt:DK49_2195
ko:K02018	babt:DK49_2196
ko:K02017	babt:DK49_2197
ko:K01426	babt:DK49_2205
ko:K01581	babt:DK49_2206
ko:K00033	babt:DK49_2216
ko:K02052	babt:DK49_2217
ko:K00799	babt:DK49_3003
ko:K15736	babt:DK49_3007
ko:K02342	babt:DK49_3008
ko:K02433	babt:DK49_3009
ko:K02433	babt:DK49_3010
ko:K02034	babt:DK49_3013
ko:K02033	babt:DK49_3014
ko:K02035	babt:DK49_3015
ko:K00059	babt:DK49_3016
ko:K00128	babt:DK49_3017
ko:K08169	babt:DK49_3019
ko:K03536	babt:DK49_3024
ko:K03217	babt:DK49_3025
ko:K03978	babt:DK49_3026
ko:K00930	babt:DK49_3027
ko:K07025	babt:DK49_3028
ko:K06966	babt:DK49_3029
ko:K00674	babt:DK49_3030
ko:K01439	babt:DK49_3032
ko:K06173	babt:DK49_3034
ko:K00604	babt:DK49_3035
ko:K01462	babt:DK49_3036
ko:K09760	babt:DK49_3037
ko:K07401	babt:DK49_3038
ko:K07461	babt:DK49_3039
ko:K03596	babt:DK49_3040
ko:K00329	babt:DK49_3041
ko:K00356	babt:DK49_3041
ko:K06153	babt:DK49_3042
ko:K00799	babt:DK49_3043
ko:K07261	babt:DK49_3047
ko:K01734	babt:DK49_3048
ko:K00845	babt:DK49_3049
ko:K06147	babt:DK49_3050
ko:K00215	babt:DK49_3051
ko:K01834	babt:DK49_3052
ko:K04719	babt:DK49_3055
ko:K18954	babt:DK49_2666
ko:K18893	babt:DK49_1276
ko:K07498	babt:DK49_1558
ko:K16898	babt:DK49_1792
ko:K03497	babt:DK49_2113
ko:K03496	babt:DK49_2112
ko:K00335	babt:DK49_582
ko:K19055	babt:DK49_2899
ko:K14224	babt:DK49_1380
ko:K09472	babt:DK49_3174
ko:K00020	babt:DK49_1065
ko:K14224	babt:DK49_1030
ko:K14224	babt:DK49_1031
ko:K01980	babt:DK49_1364
ko:K03526	babt:DK49_1488
ko:K03196	babt:DK49_2167
ko:K03204	babt:DK49_2169
ko:K03203	babt:DK49_2170
ko:K03202	babt:DK49_2171
ko:K03201	babt:DK49_2172
ko:K03194	babt:DK49_2177
ko:K07483	babt:DK49_2586
ko:K07483	babt:DK49_325
ko:K02483	babt:DK49_2325
ko:K03761	babt:DK49_1193
ko:K16899	babt:DK49_1791
ko:K00336	babt:DK49_583
ko:K00446	babt:DK49_3162
ko:K03111	babt:DK49_867
ko:K03497	babt:DK49_1747
ko:K03496	babt:DK49_1748
ko:K04565	babt:DK49_2724
ko:K07484	babt:DK49_2585
ko:K14218	babt:DK49_1684
ko:K02483	babt:DK49_400
ko:K00611	babt:DK49_114
ko:K18996	babt:DK49_2114
ko:K02032	babt:DK49_3011
ko:K13581	babt:DK49_285
ko:K13642	babt:DK49_2390
ko:K00875	babt:DK49_2360
ko:K07497	babt:DK49_3072
ko:K07492	babt:DK49_742
ko:K02032	babt:DK49_2466
ko:K02032	babt:DK49_3076
ko:K12448	babt:DK49_2574
ko:K04747	babt:DK49_2340
ko:K00529	babt:DK49_2748
ko:K00798	babt:DK49_1668
ko:K19181	babt:DK49_1739
ko:K01621	babt:DK49_2447
ko:K01239	babt:DK49_2118
ko:K00102	babt:DK49_1152
ko:K22468	babt:DK49_109
ko:K02032	babt:DK49_2797
ko:K01985	babt:DK49_1363
ko:K01985	babt:DK49_1562
ko:K01985	babt:DK49_3115
ko:K00344	babt:DK49_2453
ko:K08678	babt:DK49_2573
ko:K19221	babt:DK49_1057
ko:K00020	babt:DK49_712
ko:K00020	babt:DK49_713
ko:K00001	babt:DK49_622
ko:K01992	babt:DK49_1097
ko:K01992	babt:DK49_2506
ko:K19342	babt:DK49_2369
ko:K07497	babt:DK49_3113
ko:K07497	babt:DK49_309
ko:K07497	babt:DK49_310
ko:K07497	babt:DK49_2246
ko:K06041	babt:DK49_2181
ko:K02032	babt:DK49_3093
ko:K11080	babt:DK49_3105
ko:K09691	babt:DK49_313
ko:K04771	babt:DK49_1137
ko:K07492	babt:DK49_321
ko:K00001	babt:DK49_2463
ko:K00035	babt:DK49_2946
ko:K07498	babt:DK49_1555
ko:K11080	babt:DK49_3106
ko:K00525	babt:DK49_2402
ko:K19339	babt:DK49_2364
ko:K19340	babt:DK49_2367
ko:K19341	babt:DK49_2368
ko:K02032	babt:DK49_3099
ko:K02031	babt:DK49_3092
ko:K02031	babt:DK49_3077
ko:K02031	babt:DK49_3012
ko:K02031	babt:DK49_2467
ko:K09690	babt:DK49_314
ko:K03446	babt:DK49_2221
ko:K09386	babt:DK49_98
ko:K17686	babt:DK49_2081
ko:K19713	babt:DK49_2434
ko:K07102	babt:DK49_1789
ko:K19689	babt:DK49_1834
ko:K00992	babt:DK49_1790
ko:K01977	babt:DK49_1367
ko:K01977	babt:DK49_3119
ko:K01977	babt:DK49_1566
ko:K17722	babt:DK49_97
ko:K19777	babt:DK49_2425
ko:K00799	babt:DK49_714
ko:K08744	babt:DK49_477
ko:K07147	babt:DK49_2991
ko:K19802	babt:DK49_780
ko:K00632	babt:DK49_2662
ko:K09796	babt:DK49_1923
ko:K20265	babt:DK49_2423
ko:K02483	babt:DK49_2515
ko:K00525	babt:DK49_804
ko:K00526	babt:DK49_2403
ko:K14230	babt:DK49_1362
ko:K14230	babt:DK49_1561
ko:K14230	babt:DK49_3114
ko:K14237	babt:DK49_2154
ko:K14221	babt:DK49_2408
ko:K14221	babt:DK49_575
ko:K14232	babt:DK49_497
ko:K14231	babt:DK49_62
ko:K14234	babt:DK49_72
ko:K14234	babt:DK49_700
ko:K14234	babt:DK49_2845
ko:K14219	babt:DK49_87
ko:K14219	babt:DK49_725
ko:K14219	babt:DK49_1728
ko:K14223	babt:DK49_306
ko:K14223	babt:DK49_1342
ko:K14233	babt:DK49_424
ko:K14233	babt:DK49_1554
ko:K14233	babt:DK49_2588
ko:K14233	babt:DK49_3071
ko:K14228	babt:DK49_666
ko:K14228	babt:DK49_810
ko:K14228	babt:DK49_1646
ko:K14228	babt:DK49_3053
ko:K14225	babt:DK49_727
ko:K14225	babt:DK49_2900
ko:K14225	babt:DK49_3020
ko:K14228	babt:DK49_846
ko:K14228	babt:DK49_840
ko:K14232	babt:DK49_555
ko:K14232	babt:DK49_2058
ko:K14237	babt:DK49_574
ko:K14237	babt:DK49_724
ko:K14235	babt:DK49_1004
ko:K14236	babt:DK49_1007
ko:K14229	babt:DK49_2616
ko:K20539	babt:DK49_1368
ko:K03200	babt:DK49_2173
ko:K03198	babt:DK49_2175
ko:K03197	babt:DK49_2176
ko:K03296	babt:DK49_91
ko:K00304	babt:DK49_8
ko:K03199	babt:DK49_2174
ko:K03195	babt:DK49_2168
ko:K11529	babt:DK49_164
ko:K16011	babt:DK49_2429
ko:K21054	babt:DK49_2871
ko:K21062	babt:DK49_2334
ko:K21137	babt:DK49_2920
ko:K22025	babt:DK49_2249
ko:K00821	babt:DK49_113
ko:K21136	babt:DK49_2921
ko:K13609	babt:DK49_2335
ko:K21134	babt:DK49_2919
ko:K03676	babt:DK49_1579
ko:K06191	babt:DK49_2400
ko:K01286	babt:DK49_834
ko:K09882	babt:DK49_1713
ko:K01286	babt:DK49_1725
ko:K01286	babt:DK49_931
ko:K03553	babt:DK49_959
ko:K06217	babt:DK49_1840
ko:K02314	babt:DK49_247
ko:K00287	babt:DK49_1141
ko:K00560	babt:DK49_1142
ko:K06904	babt:DK49_377
ko:K02316	babt:DK49_1219
ko:K06952	babt:DK49_447
ko:K01520	babt:DK49_1400
ko:K02004	babt:DK49_1397
ko:K02483	babt:DK49_392
ko:K01740	babt:DK49_567
ko:K01738	babt:DK49_567
ko:K00108	babt:DK49_1361
ko:K01802	babt:DK49_858
ko:K09017	babt:DK49_94
ko:K09806	babt:DK49_1257
ko:K01139	babt:DK49_434
ko:K02335	babt:DK49_1989
ko:K00015	babt:DK49_1864
ko:K07497	babt:DK49_506
ko:K01649	babt:DK49_458
ko:K21420	babt:DK49_533
ko:K21470	babt:DK49_539
ko:K01420	babt:DK49_436
ko:K21603	babt:DK49_3143
ko:K21564	babt:DK49_2371
ko:K21697	babt:DK49_2226
ko:K21564	babt:DK49_2354
ko:K00344	babt:DK49_2599
ko:K21832	babt:DK49_1201
ko:K19591	babt:DK49_2080
ko:K21910	babt:DK49_2875
ko:K21948	babt:DK49_2252
ko:K21929	babt:DK49_431
ko:K21929	babt:DK49_408
ko:K05802	babt:DK49_1072
ko:K22131	babt:DK49_2251
ko:K22130	babt:DK49_2248
ko:K03595	babt:DK49_444
ko:K00302	babt:DK49_9
ko:K00302	babt:DK49_10
ko:K00302	babt:DK49_11
ko:K22187	babt:DK49_2070
ko:K22310	babt:DK49_2014
ko:K11991	babt:DK49_2300
ko:K02257	babt:DK49_264
ko:K11206	babt:DK49_1578
ko:K00424	babt:DK49_2547
ko:K22548	babt:DK49_145
