ko:K08744	mtx:M943_09475
ko:K00798	mtx:M943_06880
ko:K19158	mtx:M943_17335
ko:K07064	mtx:M943_01460
ko:K19140	mtx:M943_14555
ko:K01865	mtx:M943_15890
ko:K07016	mtx:M943_14575
ko:K01710	mtx:M943_19445
ko:K01710	mtx:M943_17840
ko:K09951	mtx:M943_14540
ko:K00135	mtx:M943_09030
ko:K07064	mtx:M943_03910
ko:K07064	mtx:M943_09550
ko:K07493	mtx:M943_04825
ko:K19094	mtx:M943_11090
ko:K00020	mtx:M943_03890
ko:K03722	mtx:M943_06970
ko:K12952	mtx:M943_04745
ko:K01992	mtx:M943_08780
ko:K07496	mtx:M943_04330
ko:K00091	mtx:M943_00765
ko:K07485	mtx:M943_06875
ko:K17840	mtx:M943_01385
ko:K07064	mtx:M943_10890
ko:K07486	mtx:M943_04165
ko:K07068	mtx:M943_18210
ko:K07496	mtx:M943_03145
ko:K07065	mtx:M943_03025
ko:K07486	mtx:M943_17190
ko:K07486	mtx:M943_12530
ko:K07098	mtx:M943_18915
ko:K15856	mtx:M943_00620
ko:K08884	mtx:M943_09110
ko:K19686	mtx:M943_03240
ko:K19686	mtx:M943_03160
ko:K19687	mtx:M943_03235
ko:K19687	mtx:M943_09075
ko:K19710	mtx:M943_13505
ko:K19687	mtx:M943_03155
ko:K19686	mtx:M943_10275
ko:K19687	mtx:M943_10280
ko:K19686	mtx:M943_14255
ko:K19686	mtx:M943_09080
ko:K15510	mtx:M943_02110
ko:K07682	mtx:M943_16165
ko:K12132	mtx:M943_00100
ko:K12132	mtx:M943_00105
ko:K20074	mtx:M943_00120
ko:K20467	mtx:M943_01090
ko:K22552	mtx:M943_04435
ko:K03636	mtx:M943_07000
ko:K20469	mtx:M943_01100
ko:K20497	mtx:M943_11730
ko:K00525	mtx:M943_15745
ko:K20470	mtx:M943_01105
ko:K07695	mtx:M943_16170
ko:K20466	mtx:M943_01085
ko:K20468	mtx:M943_01095
ko:K01179	mtx:M943_05745
ko:K01179	mtx:M943_00340
ko:K01214	mtx:M943_08165
ko:K07100	mtx:M943_11095
ko:K20814	mtx:M943_10930
ko:K21059	mtx:M943_15195
ko:K21071	mtx:M943_15525
ko:K21140	mtx:M943_06995
ko:K21014	mtx:M943_01550
ko:K00821	mtx:M943_08635
ko:K21119	mtx:M943_06565
ko:K21147	mtx:M943_16555
ko:K21142	mtx:M943_16100
ko:K21199	mtx:M943_11740
ko:K00526	mtx:M943_15730
ko:K00526	mtx:M943_01240
ko:K00526	mtx:M943_10270
ko:K02335	mtx:M943_08495
ko:K01520	mtx:M943_13945
ko:K06904	mtx:M943_08235
ko:K06919	mtx:M943_08260
ko:K02316	mtx:M943_12110
ko:K03553	mtx:M943_14130
ko:K03465	mtx:M943_14230
ko:K00287	mtx:M943_14275
ko:K00560	mtx:M943_14280
ko:K06217	mtx:M943_12230
ko:K07465	mtx:M943_10960
ko:K06904	mtx:M943_13730
ko:K06191	mtx:M943_15755
ko:K02314	mtx:M943_00320
ko:K08884	mtx:M943_11255
ko:K21302	mtx:M943_17100
ko:K05364	mtx:M943_00110
ko:K21142	mtx:M943_17180
ko:K22468	mtx:M943_16705
ko:K08884	mtx:M943_04880
ko:K06954	mtx:M943_02330
ko:K07027	mtx:M943_03040
ko:K00257	mtx:M943_07055
ko:K08884	mtx:M943_09090
ko:K00632	mtx:M943_14410
ko:K21148	mtx:M943_07005
ko:K03636	mtx:M943_04545
ko:K05375	mtx:M943_12275
ko:K07133	mtx:M943_17020
ko:K00525	mtx:M943_02955
ko:K21200	mtx:M943_09255
ko:K21310	mtx:M943_16730
ko:K07054	mtx:M943_02175
ko:K21397	mtx:M943_09115
ko:K02483	mtx:M943_03125
ko:K21473	mtx:M943_07745
ko:K03651	mtx:M943_04205
ko:K21474	mtx:M943_07750
ko:K21401	mtx:M943_02905
ko:K21481	mtx:M943_18470
ko:K21495	mtx:M943_10130
ko:K21687	mtx:M943_04540
ko:K21600	mtx:M943_05075
ko:K21600	mtx:M943_01030
ko:K10914	mtx:M943_18875
ko:K21608	mtx:M943_04440
ko:K21691	mtx:M943_12665
ko:K21672	mtx:M943_05585
ko:K21686	mtx:M943_05920
ko:K21689	mtx:M943_09785
ko:K21690	mtx:M943_12340
ko:K21884	mtx:M943_08725
ko:K21885	mtx:M943_10360
ko:K21886	mtx:M943_19230
ko:K21929	mtx:M943_06580
ko:K21887	mtx:M943_19225
ko:K21961	mtx:M943_19805
ko:K21992	mtx:M943_07060
ko:K21962	mtx:M943_07730
ko:K22027	mtx:M943_15970
ko:K00936	mtx:M943_16635
ko:K22010	mtx:M943_08480
ko:K22044	mtx:M943_16025
ko:K22107	mtx:M943_18380
ko:K03595	mtx:M943_12210
ko:K22108	mtx:M943_18285
ko:K17758	mtx:M943_17690
ko:K17759	mtx:M943_17690
ko:K22297	mtx:M943_09925
ko:K22306	mtx:M943_12500
ko:K02257	mtx:M943_07610
ko:K22336	mtx:M943_19720
ko:K01563	mtx:M943_13330
ko:K01563	mtx:M943_11855
ko:K05606	mtx:M943_06935
ko:K19302	mtx:M943_01625
ko:K01934	mtx:M943_05205
ko:K01563	mtx:M943_09525
ko:K22295	mtx:M943_17555
ko:K22298	mtx:M943_12180
ko:K01551	mtx:M943_11295
ko:K22303	mtx:M943_17560
ko:K03181	mtx:M943_15190
ko:K11206	mtx:M943_02490
ko:K07141	mtx:M943_01800
ko:K00728	mtx:M943_05270
ko:K08300	mtx:M943_12635
ko:K08301	mtx:M943_12635
ko:K07566	mtx:M943_06810
