ko:K00054	saj:SaurJH9_2568
ko:K14218	saj:SaurJH9_R0065
ko:K14227	saj:SaurJH9_R0066
ko:K14652	saj:SaurJH9_1821
ko:K15035	saj:SaurJH9_R0024
ko:K05567	saj:SaurJH9_0950
ko:K07145	saj:SaurJH9_0151
ko:K14233	saj:SaurJH9_R0029
ko:K14235	saj:SaurJH9_R0043
ko:K14226	saj:SaurJH9_R0033
ko:K14226	saj:SaurJH9_R0042
ko:K01977	saj:SaurJH9_R0070
ko:K01977	saj:SaurJH9_R0081
ko:K01977	saj:SaurJH9_R0067
ko:K01977	saj:SaurJH9_R0017
ko:K01977	saj:SaurJH9_R0005
ko:K01977	saj:SaurJH9_R0020
ko:K11737	saj:SaurJH9_1753
ko:K06909	saj:SaurJH9_0887
ko:K14540	saj:SaurJH9_1302
ko:K11749	saj:SaurJH9_1322
ko:K11936	saj:SaurJH9_2690
ko:K16012	saj:SaurJH9_0709
ko:K16013	saj:SaurJH9_0708
ko:K01239	saj:SaurJH9_2308
ko:K01442	saj:SaurJH9_0259
ko:K00031	saj:SaurJH9_1751
ko:K15586	saj:SaurJH9_2492
ko:K15585	saj:SaurJH9_2493
ko:K03215	saj:SaurJH9_1951
ko:K15581	saj:SaurJH9_0985
ko:K15772	saj:SaurJH9_0201
ko:K15770	saj:SaurJH9_0199
ko:K15584	saj:SaurJH9_2494
ko:K15583	saj:SaurJH9_0987
ko:K15519	saj:SaurJH9_0579
ko:K16301	saj:SaurJH9_0392
ko:K15633	saj:SaurJH9_0800
ko:K15771	saj:SaurJH9_0200
ko:K03929	saj:SaurJH9_2478
ko:K10824	saj:SaurJH9_2490
ko:K15738	saj:SaurJH9_0743
ko:K05352	saj:SaurJH9_0237
ko:K15582	saj:SaurJH9_0986
ko:K15518	saj:SaurJH9_0580
ko:K00122	saj:SaurJH9_0162
ko:K10823	saj:SaurJH9_0988
ko:K15580	saj:SaurJH9_0989
ko:K03817	saj:SaurJH9_0390
ko:K15587	saj:SaurJH9_2491
ko:K02033	saj:SaurJH9_0993
ko:K01835	saj:SaurJH9_2517
ko:K15986	saj:SaurJH9_1975
ko:K18934	saj:SaurJH9_2198
ko:K15973	saj:SaurJH9_2543
ko:K15977	saj:SaurJH9_1096
ko:K15975	saj:SaurJH9_2542
ko:K18936	saj:SaurJH9_2440
ko:K18935	saj:SaurJH9_2200
ko:K04763	saj:SaurJH9_1717
ko:K02424	saj:SaurJH9_2439
ko:K10009	saj:SaurJH9_2438
ko:K01262	saj:SaurJH9_1588
ko:K18940	saj:SaurJH9_1475
ko:K21454	saj:SaurJH9_2381
ko:K07038	saj:SaurJH9_1923
ko:K16509	saj:SaurJH9_0996
ko:K16511	saj:SaurJH9_0997
ko:K11733	saj:SaurJH9_1739
ko:K16264	saj:SaurJH9_0154
ko:K06198	saj:SaurJH9_0998
ko:K16329	saj:SaurJH9_0295
ko:K16323	saj:SaurJH9_0667
ko:K16169	saj:SaurJH9_0436
ko:K11737	saj:SaurJH9_2464
ko:K16264	saj:SaurJH9_2182
ko:K02851	saj:SaurJH9_0771
ko:K10010	saj:SaurJH9_2437
ko:K16786	saj:SaurJH9_2249
ko:K16787	saj:SaurJH9_2248
ko:K04564	saj:SaurJH9_0119
ko:K16785	saj:SaurJH9_2247
ko:K02032	saj:SaurJH9_0992
ko:K02755	saj:SaurJH9_0250
ko:K11631	saj:SaurJH9_2724
ko:K16785	saj:SaurJH9_1135
ko:K16786	saj:SaurJH9_1136
ko:K16787	saj:SaurJH9_1136
ko:K16785	saj:SaurJH9_2707
ko:K16786	saj:SaurJH9_2708
ko:K16787	saj:SaurJH9_2708
ko:K02768	saj:SaurJH9_2665
ko:K02769	saj:SaurJH9_2665
ko:K02770	saj:SaurJH9_2665
ko:K11632	saj:SaurJH9_2725
ko:K16937	saj:SaurJH9_0731
ko:K16869	saj:SaurJH9_0612
ko:K11991	saj:SaurJH9_0581
ko:K17716	saj:SaurJH9_0139
ko:K16916	saj:SaurJH9_2550
ko:K16917	saj:SaurJH9_2549
ko:K16925	saj:SaurJH9_1137
ko:K16924	saj:SaurJH9_2709
ko:K16898	saj:SaurJH9_0967
ko:K16899	saj:SaurJH9_0966
ko:K02029	saj:SaurJH9_1912
ko:K02030	saj:SaurJH9_1912
ko:K02028	saj:SaurJH9_1911
ko:K17217	saj:SaurJH9_0482
ko:K17216	saj:SaurJH9_0481
ko:K17218	saj:SaurJH9_0075
ko:K01978	saj:SaurJH9_R0028
ko:K01992	saj:SaurJH9_1381
ko:K01990	saj:SaurJH9_1380
ko:K01990	saj:SaurJH9_1988
ko:K17472	saj:SaurJH9_1684
ko:K17686	saj:SaurJH9_2579
ko:K02171	saj:SaurJH9_2747
ko:K19080	saj:SaurJH9_0685
ko:K18104	saj:SaurJH9_0666
ko:K05822	saj:SaurJH9_1458
ko:K02479	saj:SaurJH9_1902
ko:K08168	saj:SaurJH9_0123
ko:K02483	saj:SaurJH9_2385
ko:K09815	saj:SaurJH9_2430
ko:K02828	saj:SaurJH9_1118
ko:K03366	saj:SaurJH9_0113
ko:K07145	saj:SaurJH9_1195
ko:K22580	saj:SaurJH9_1116
ko:K02172	saj:SaurJH9_2748
ko:K21462	saj:SaurJH9_2693
ko:K21461	saj:SaurJH9_2691
ko:K21463	saj:SaurJH9_2380
ko:K18707	saj:SaurJH9_1634
ko:K18766	saj:SaurJH9_2749
ko:K18672	saj:SaurJH9_2195
ko:K18704	saj:SaurJH9_0238
ko:K18682	saj:SaurJH9_1346
ko:K18692	saj:SaurJH9_1616
ko:K18906	saj:SaurJH9_0710
ko:K07723	saj:SaurJH9_2106
ko:K18909	saj:SaurJH9_0382
ko:K18908	saj:SaurJH9_0383
ko:K18941	saj:SaurJH9_1476
ko:K07171	saj:SaurJH9_2105
ko:K04940	saj:SaurJH9_2325
ko:K18907	saj:SaurJH9_0095
ko:K07029	saj:SaurJH9_1952
ko:K07498	saj:SaurJH9_0026
ko:K07498	saj:SaurJH9_2740
ko:K07498	saj:SaurJH9_2758
ko:K07498	saj:SaurJH9_2763
ko:K02315	saj:SaurJH9_0868
ko:K03498	saj:SaurJH9_2065
ko:K18979	saj:SaurJH9_1910
ko:K00949	saj:SaurJH9_1282
ko:K01318	saj:SaurJH9_1861
ko:K07498	saj:SaurJH9_2739
ko:K05352	saj:SaurJH9_0241
ko:K07816	saj:SaurJH9_2532
ko:K19077	saj:SaurJH9_0683
ko:K19078	saj:SaurJH9_0682
ko:K19225	saj:SaurJH9_1607
ko:K19068	saj:SaurJH9_0140
ko:K19081	saj:SaurJH9_2647
ko:K19082	saj:SaurJH9_2648
ko:K19083	saj:SaurJH9_2646
ko:K19084	saj:SaurJH9_2645
ko:K19159	saj:SaurJH9_2433
ko:K07485	saj:SaurJH9_0653
ko:K01992	saj:SaurJH9_2538
ko:K19411	saj:SaurJH9_0545
ko:K19302	saj:SaurJH9_1477
ko:K19405	saj:SaurJH9_0546
ko:K07485	saj:SaurJH9_0686
ko:K07485	saj:SaurJH9_0925
ko:K07485	saj:SaurJH9_1221
ko:K07485	saj:SaurJH9_1900
ko:K07485	saj:SaurJH9_1914
ko:K07485	saj:SaurJH9_2117
ko:K07485	saj:SaurJH9_2348
ko:K03574	saj:SaurJH9_1844
ko:K19279	saj:SaurJH9_0040
ko:K19576	saj:SaurJH9_0719
ko:K06881	saj:SaurJH9_1760
ko:K21721	saj:SaurJH9_0104
ko:K07487	saj:SaurJH9_1451
ko:K19689	saj:SaurJH9_1933
ko:K01258	saj:SaurJH9_1570
ko:K00547	saj:SaurJH9_0405
ko:K00297	saj:SaurJH9_0405
ko:K21636	saj:SaurJH9_2640
ko:K19883	saj:SaurJH9_2761
ko:K19975	saj:SaurJH9_0654
ko:K19976	saj:SaurJH9_0655
ko:K19973	saj:SaurJH9_0656
ko:K20074	saj:SaurJH9_1278
ko:K12132	saj:SaurJH9_1279
ko:K20116	saj:SaurJH9_0174
ko:K20117	saj:SaurJH9_0174
ko:K20118	saj:SaurJH9_0174
ko:K20116	saj:SaurJH9_2561
ko:K20117	saj:SaurJH9_2561
ko:K20118	saj:SaurJH9_2561
ko:K20338	saj:SaurJH9_1817
ko:K20494	saj:SaurJH9_1867
ko:K21949	saj:SaurJH9_0103
ko:K20337	saj:SaurJH9_1232
ko:K20337	saj:SaurJH9_1233
ko:K20534	saj:SaurJH9_0728
ko:K21029	saj:SaurJH9_2301
ko:K21030	saj:SaurJH9_0236
ko:K21030	saj:SaurJH9_0240
ko:K21064	saj:SaurJH9_0971
ko:K08968	saj:SaurJH9_1774
ko:K00435	saj:SaurJH9_0610
ko:K06958	saj:SaurJH9_0790
ko:K21285	saj:SaurJH9_0662
ko:K07497	saj:SaurJH9_0053
ko:K07497	saj:SaurJH9_0054
ko:K22044	saj:SaurJH9_0409
ko:K21478	saj:SaurJH9_2692
ko:K21453	saj:SaurJH9_2689
ko:K21567	saj:SaurJH9_2396
ko:K21591	saj:SaurJH9_0239
ko:K21600	saj:SaurJH9_2124
ko:K18704	saj:SaurJH9_0242
ko:K21828	saj:SaurJH9_2655
ko:K22043	saj:SaurJH9_2181
ko:K22136	saj:SaurJH9_1236
ko:K00754	saj:SaurJH9_1517
ko:K22135	saj:SaurJH9_0590
ko:K22132	saj:SaurJH9_1686
ko:K22109	saj:SaurJH9_2636
ko:K03547	saj:SaurJH9_1897
ko:K17758	saj:SaurJH9_0007
ko:K02257	saj:SaurJH9_1176
ko:K22409	saj:SaurJH9_0486
ko:K13566	saj:SaurJH9_2071
ko:K22441	saj:SaurJH9_2393
