ko:K19744	prp:M062_20420
ko:K09947	prp:M062_23045
ko:K00763	prp:M062_23060
ko:K06199	prp:M062_23100
ko:K04077	prp:M062_23110
ko:K04078	prp:M062_23115
ko:K07113	prp:M062_23120
ko:K07226	prp:M062_23125
ko:K07443	prp:M062_23145
ko:K08218	prp:M062_23150
ko:K09767	prp:M062_23160
ko:K00077	prp:M062_23170
ko:K00798	prp:M062_23180
ko:K00620	prp:M062_23195
ko:K03070	prp:M062_23200
ko:K02535	prp:M062_23215
ko:K03531	prp:M062_23220
ko:K03590	prp:M062_23225
ko:K03589	prp:M062_23230
ko:K01921	prp:M062_23235
ko:K01924	prp:M062_23240
ko:K02563	prp:M062_23245
ko:K03588	prp:M062_23250
ko:K01925	prp:M062_23255
ko:K01000	prp:M062_23260
ko:K01929	prp:M062_23265
ko:K03185	prp:M062_27535
ko:K09895	prp:M062_27545
ko:K09888	prp:M062_27555
ko:K13926	prp:M062_27580
ko:K01993	prp:M062_27585
ko:K02415	prp:M062_27590
ko:K03182	prp:M062_27605
ko:K03628	prp:M062_27615
ko:K03671	prp:M062_27620
ko:K01524	prp:M062_27625
ko:K00937	prp:M062_27630
ko:K01698	prp:M062_27635
ko:K09768	prp:M062_27655
ko:K07243	prp:M062_27660
ko:K05834	prp:M062_27665
ko:K06158	prp:M062_27680
ko:K03773	prp:M062_27695
ko:K07740	prp:M062_27700
ko:K03611	prp:M062_27705
ko:K02498	prp:M062_27710
ko:K02496	prp:M062_27715
ko:K01749	prp:M062_27725
ko:K08083	prp:M062_27730
ko:K08082	prp:M062_27735
ko:K01755	prp:M062_27740
ko:K11903	prp:M062_27760
ko:K03284	prp:M062_27765
ko:K09125	prp:M062_00060
ko:K03500	prp:M062_00080
ko:K00604	prp:M062_00085
ko:K01462	prp:M062_00090
ko:K04096	prp:M062_00100
ko:K07566	prp:M062_00105
ko:K00228	prp:M062_00115
ko:K00014	prp:M062_00120
ko:K03321	prp:M062_00140
ko:K02002	prp:M062_00145
ko:K10253	prp:M062_00160
ko:K07690	prp:M062_00170
ko:K01695	prp:M062_00175
ko:K01696	prp:M062_00180
ko:K09165	prp:M062_00190
ko:K15125	prp:M062_00205
ko:K01953	prp:M062_00275
ko:K07559	prp:M062_00285
ko:K07396	prp:M062_00305
ko:K01091	prp:M062_00340
ko:K01414	prp:M062_00350
ko:K07070	prp:M062_00355
ko:K03550	prp:M062_04750
ko:K03551	prp:M062_04755
ko:K01075	prp:M062_04760
ko:K03562	prp:M062_04765
ko:K03641	prp:M062_04780
ko:K03640	prp:M062_04785
ko:K06920	prp:M062_04795
ko:K13688	prp:M062_04855
ko:K17218	prp:M062_04910
ko:K03545	prp:M062_09415
ko:K01358	prp:M062_09420
ko:K03544	prp:M062_09425
ko:K01338	prp:M062_09430
ko:K03530	prp:M062_09435
ko:K03770	prp:M062_09445
ko:K00208	prp:M062_09450
ko:K13896	prp:M062_09455
ko:K13895	prp:M062_09460
ko:K13894	prp:M062_09465
ko:K13893	prp:M062_09470
ko:K13893	prp:M062_09475
ko:K08307	prp:M062_09480
ko:K01584	prp:M062_09510
ko:K03314	prp:M062_09520
ko:K03426	prp:M062_09535
ko:K07090	prp:M062_09540
ko:K00381	prp:M062_09605
ko:K06941	prp:M062_09620
ko:K07093	prp:M062_13995
ko:K00330	prp:M062_14005
ko:K00331	prp:M062_14010
ko:K13378	prp:M062_14015
ko:K00334	prp:M062_14020
ko:K00337	prp:M062_14035
ko:K00338	prp:M062_14040
ko:K00339	prp:M062_14045
ko:K00340	prp:M062_14050
ko:K00341	prp:M062_14055
ko:K00342	prp:M062_14060
ko:K00343	prp:M062_14065
ko:K07084	prp:M062_14085
ko:K07234	prp:M062_14135
ko:K05916	prp:M062_14145
ko:K12266	prp:M062_14150
ko:K01737	prp:M062_14155
ko:K02459	prp:M062_14185
ko:K02458	prp:M062_14190
ko:K02456	prp:M062_14195
ko:K02456	prp:M062_14200
ko:K02455	prp:M062_14205
ko:K01061	prp:M062_14235
ko:K14414	prp:M062_24115
ko:K14415	prp:M062_24130
ko:K07074	prp:M062_24135
ko:K00428	prp:M062_24150
ko:K00262	prp:M062_24155
ko:K06076	prp:M062_24160
ko:K02003	prp:M062_24185
ko:K00600	prp:M062_24230
ko:K06200	prp:M062_24250
ko:K04485	prp:M062_24265
ko:K09794	prp:M062_24275
ko:K03781	prp:M062_24285
ko:K03282	prp:M062_24295
ko:K00528	prp:M062_24300
ko:K07141	prp:M062_24315
ko:K07402	prp:M062_24320
ko:K11733	prp:M062_24370
ko:K00036	prp:M062_28655
ko:K08303	prp:M062_28660
ko:K03657	prp:M062_28680
ko:K01711	prp:M062_28730
ko:K07088	prp:M062_28795
ko:K03300	prp:M062_28805
ko:K02839	prp:M062_28815
ko:K03324	prp:M062_28830
ko:K11102	prp:M062_28865
ko:K11384	prp:M062_28880
ko:K11066	prp:M062_28890
ko:K03673	prp:M062_28910
ko:K03978	prp:M062_28925
ko:K11735	prp:M062_00660
ko:K00140	prp:M062_00665
ko:K00822	prp:M062_00675
ko:K02057	prp:M062_00695
ko:K02057	prp:M062_00700
ko:K03387	prp:M062_00710
ko:K03088	prp:M062_00755
ko:K02623	prp:M062_00770
ko:K00449	prp:M062_00775
ko:K00448	prp:M062_00780
ko:K02624	prp:M062_00785
ko:K16345	prp:M062_00835
ko:K03412	prp:M062_00870
ko:K03411	prp:M062_00875
ko:K03408	prp:M062_00890
ko:K03407	prp:M062_00895
ko:K03413	prp:M062_00900
ko:K15554	prp:M062_00930
ko:K15553	prp:M062_00935
ko:K07088	prp:M062_00945
ko:K12055	prp:M062_05380
ko:K07347	prp:M062_05420
ko:K01657	prp:M062_05455
ko:K03517	prp:M062_05470
ko:K03564	prp:M062_05490
ko:K03567	prp:M062_05495
ko:K01714	prp:M062_05500
ko:K07287	prp:M062_05505
ko:K01923	prp:M062_05515
ko:K08196	prp:M062_05555
ko:K00459	prp:M062_05585
ko:K03088	prp:M062_09985
ko:K06995	prp:M062_10010
ko:K02230	prp:M062_10040
ko:K09136	prp:M062_10055
ko:K00549	prp:M062_10060
ko:K03790	prp:M062_10065
ko:K13483	prp:M062_10080
ko:K11178	prp:M062_10085
ko:K11177	prp:M062_10090
ko:K10441	prp:M062_10145
ko:K02529	prp:M062_10155
ko:K03811	prp:M062_10200
ko:K06153	prp:M062_10205
ko:K01118	prp:M062_10220
ko:K14161	prp:M062_03290
ko:K03088	prp:M062_03315
ko:K02459	prp:M062_03325
ko:K02457	prp:M062_03330
ko:K02452	prp:M062_03335
ko:K02458	prp:M062_03340
ko:K02456	prp:M062_03345
ko:K02460	prp:M062_03350
ko:K02461	prp:M062_03355
ko:K02462	prp:M062_03360
ko:K02453	prp:M062_03365
ko:K02455	prp:M062_03375
ko:K03561	prp:M062_03410
ko:K03824	prp:M062_03505
ko:K09982	prp:M062_03510
ko:K02199	prp:M062_07925
ko:K01266	prp:M062_07955
ko:K00864	prp:M062_07960
ko:K00111	prp:M062_07970
ko:K02444	prp:M062_07975
ko:K04023	prp:M062_07980
ko:K02048	prp:M062_07990
ko:K10716	prp:M062_08005
ko:K08717	prp:M062_08010
ko:K00873	prp:M062_08015
ko:K01608	prp:M062_08035
ko:K03639	prp:M062_08050
ko:K11903	prp:M062_08085
ko:K01483	prp:M062_08095
ko:K01477	prp:M062_08100
ko:K07127	prp:M062_08115
ko:K06901	prp:M062_08120
ko:K07402	prp:M062_08135
ko:K13482	prp:M062_08140
ko:K13481	prp:M062_08145
ko:K00496	prp:M062_08150
ko:K03529	prp:M062_08160
ko:K03528	prp:M062_08165
ko:K01972	prp:M062_08170
ko:K02343	prp:M062_08185
ko:K09747	prp:M062_08190
ko:K06187	prp:M062_08195
ko:K09925	prp:M062_08205
ko:K09817	prp:M062_12565
ko:K09816	prp:M062_12570
ko:K00836	prp:M062_12590
ko:K01194	prp:M062_12605
ko:K06911	prp:M062_12615
ko:K03088	prp:M062_12660
ko:K04087	prp:M062_12725
ko:K00605	prp:M062_12745
ko:K01752	prp:M062_12750
ko:K00600	prp:M062_12755
ko:K00281	prp:M062_12760
ko:K02437	prp:M062_12765
ko:K03088	prp:M062_12840
ko:K14227	prp:M062_03265
ko:K14227	prp:M062_24725
ko:K14227	prp:M062_22570
ko:K14227	prp:M062_28290
ko:K14224	prp:M062_15120
ko:K14224	prp:M062_16755
ko:K14224	prp:M062_16745
ko:K14223	prp:M062_24590
ko:K00324	prp:M062_00980
ko:K00324	prp:M062_00985
ko:K00325	prp:M062_00990
ko:K03832	prp:M062_00995
ko:K03561	prp:M062_01000
ko:K07002	prp:M062_01015
ko:K13929	prp:M062_01020
ko:K13930	prp:M062_01025
ko:K13931	prp:M062_01030
ko:K13932	prp:M062_01035
ko:K13933	prp:M062_01040
ko:K13934	prp:M062_01045
ko:K13935	prp:M062_01050
ko:K13928	prp:M062_01065
ko:K01714	prp:M062_01095
ko:K01628	prp:M062_01100
ko:K01040	prp:M062_01115
ko:K07823	prp:M062_01120
ko:K01857	prp:M062_01130
ko:K01055	prp:M062_01135
ko:K08195	prp:M062_01155
ko:K08191	prp:M062_01185
ko:K00457	prp:M062_01190
ko:K00014	prp:M062_01200
ko:K03786	prp:M062_01205
ko:K00481	prp:M062_01215
ko:K03827	prp:M062_01225
ko:K09760	prp:M062_05625
ko:K09858	prp:M062_05665
ko:K08993	prp:M062_05680
ko:K00275	prp:M062_05715
ko:K02647	prp:M062_05720
ko:K00865	prp:M062_05730
ko:K06077	prp:M062_05740
ko:K05559	prp:M062_05745
ko:K05560	prp:M062_05750
ko:K05561	prp:M062_05755
ko:K05562	prp:M062_05760
ko:K05563	prp:M062_05765
ko:K05564	prp:M062_05770
ko:K01738	prp:M062_05780
ko:K08985	prp:M062_05795
ko:K01996	prp:M062_05820
ko:K01995	prp:M062_05825
ko:K01998	prp:M062_05830
ko:K01997	prp:M062_05835
ko:K01999	prp:M062_05840
ko:K02387	prp:M062_05855
ko:K02388	prp:M062_05860
ko:K02389	prp:M062_05865
ko:K02390	prp:M062_05870
ko:K02391	prp:M062_05875
ko:K02392	prp:M062_05880
ko:K02393	prp:M062_05885
ko:K02394	prp:M062_05890
ko:K02395	prp:M062_05895
ko:K02396	prp:M062_05900
ko:K03311	prp:M062_10275
ko:K03760	prp:M062_10280
ko:K06135	prp:M062_10350
ko:K06136	prp:M062_10355
ko:K06137	prp:M062_10360
ko:K06138	prp:M062_10365
ko:K06139	prp:M062_10370
ko:K09957	prp:M062_10395
ko:K01028	prp:M062_10420
ko:K01029	prp:M062_10425
ko:K02106	prp:M062_10435
ko:K00019	prp:M062_10440
ko:K08195	prp:M062_10455
ko:K01555	prp:M062_10465
ko:K00451	prp:M062_10470
ko:K01640	prp:M062_10480
ko:K01968	prp:M062_10485
ko:K13766	prp:M062_10490
ko:K01969	prp:M062_10495
ko:K00253	prp:M062_10500
ko:K14232	prp:M062_14505
ko:K14234	prp:M062_23810
ko:K07118	prp:M062_03595
ko:K00140	prp:M062_03625
ko:K03648	prp:M062_03640
ko:K07795	prp:M062_03655
ko:K07774	prp:M062_03665
ko:K07649	prp:M062_03670
ko:K06980	prp:M062_03680
ko:K09159	prp:M062_03685
ko:K00278	prp:M062_03695
ko:K03088	prp:M062_03700
ko:K03597	prp:M062_03705
ko:K03598	prp:M062_03710
ko:K03596	prp:M062_03725
ko:K03100	prp:M062_03730
ko:K03685	prp:M062_03740
ko:K03584	prp:M062_03750
ko:K03474	prp:M062_03755
ko:K15257	prp:M062_03760
ko:K15256	prp:M062_03765
ko:K01338	prp:M062_03785
ko:K13821	prp:M062_03800
ko:K01118	prp:M062_03815
ko:K07090	prp:M062_03850
ko:K01720	prp:M062_03860
ko:K11743	prp:M062_08230
ko:K07044	prp:M062_08235
ko:K00759	prp:M062_08240
ko:K09792	prp:M062_08260
ko:K09926	prp:M062_08275
ko:K00406	prp:M062_08285
ko:K00407	prp:M062_08290
ko:K00405	prp:M062_08295
ko:K00404	prp:M062_08300
ko:K00406	prp:M062_08305
ko:K00407	prp:M062_08310
ko:K00405	prp:M062_08315
ko:K00404	prp:M062_08320
ko:K07020	prp:M062_08325
ko:K01681	prp:M062_08340
ko:K06968	prp:M062_08345
ko:K01915	prp:M062_08360
ko:K09974	prp:M062_08395
ko:K09913	prp:M062_08400
ko:K09922	prp:M062_08415
ko:K06940	prp:M062_08425
ko:K01647	prp:M062_08435
ko:K00242	prp:M062_08445
ko:K00239	prp:M062_08450
ko:K00240	prp:M062_08455
ko:K00164	prp:M062_08460
ko:K00658	prp:M062_08465
ko:K00382	prp:M062_08470
ko:K01903	prp:M062_08475
ko:K01902	prp:M062_08480
ko:K03311	prp:M062_08485
ko:K00450	prp:M062_12850
ko:K16165	prp:M062_12855
ko:K08195	prp:M062_12860
ko:K03805	prp:M062_12880
ko:K04084	prp:M062_12890
ko:K03449	prp:M062_13005
ko:K03381	prp:M062_13035
ko:K03464	prp:M062_13040
ko:K05783	prp:M062_13075
ko:K05784	prp:M062_13080
ko:K05550	prp:M062_13085
ko:K05549	prp:M062_13090
ko:K15726	prp:M062_13100
ko:K07644	prp:M062_13120
ko:K14231	prp:M062_27110
ko:K01928	prp:M062_23270
ko:K03587	prp:M062_23275
ko:K03586	prp:M062_23280
ko:K03438	prp:M062_23285
ko:K03925	prp:M062_23290
ko:K07056	prp:M062_23295
ko:K07121	prp:M062_23300
ko:K07460	prp:M062_23305
ko:K03271	prp:M062_23310
ko:K03600	prp:M062_23320
ko:K03599	prp:M062_23325
ko:K00413	prp:M062_23330
ko:K00412	prp:M062_23335
ko:K00411	prp:M062_23340
ko:K02996	prp:M062_23345
ko:K02871	prp:M062_23350
ko:K06916	prp:M062_23375
ko:K01867	prp:M062_23380
ko:K07018	prp:M062_23385
ko:K09908	prp:M062_23390
ko:K00955	prp:M062_23395
ko:K00957	prp:M062_23400
ko:K04691	prp:M062_23415
ko:K00817	prp:M062_23420
ko:K00013	prp:M062_23425
ko:K00765	prp:M062_23430
ko:K00790	prp:M062_23435
ko:K07122	prp:M062_23445
ko:K07323	prp:M062_23450
ko:K02066	prp:M062_23460
ko:K02065	prp:M062_23465
ko:K06041	prp:M062_23470
ko:K03270	prp:M062_23475
ko:K11719	prp:M062_23480
ko:K09774	prp:M062_23485
ko:K06861	prp:M062_23490
ko:K03092	prp:M062_23495
ko:K05808	prp:M062_23500
ko:K06958	prp:M062_23510
ko:K07238	prp:M062_23520
ko:K04564	prp:M062_23525
ko:K05851	prp:M062_27785
ko:K06140	prp:M062_27795
ko:K06202	prp:M062_27800
ko:K01586	prp:M062_27810
ko:K01778	prp:M062_27815
ko:K09921	prp:M062_27820
ko:K03733	prp:M062_27825
ko:K03320	prp:M062_27860
ko:K04752	prp:M062_27865
ko:K07391	prp:M062_27875
ko:K02168	prp:M062_27880
ko:K03327	prp:M062_27895
ko:K03656	prp:M062_27905
ko:K00156	prp:M062_27910
ko:K03816	prp:M062_27915
ko:K01775	prp:M062_27935
ko:K00285	prp:M062_27945
ko:K09978	prp:M062_27950
ko:K12254	prp:M062_27985
ko:K00822	prp:M062_27990
ko:K06995	prp:M062_27995
ko:K02913	prp:M062_28000
ko:K02902	prp:M062_28005
ko:K03630	prp:M062_28020
ko:K13038	prp:M062_28025
ko:K15778	prp:M062_28035
ko:K00930	prp:M062_28040
ko:K03182	prp:M062_01250
ko:K11903	prp:M062_01295
ko:K14268	prp:M062_01310
ko:K00375	prp:M062_01320
ko:K03449	prp:M062_01345
ko:K07387	prp:M062_01365
ko:K07090	prp:M062_01370
ko:K02045	prp:M062_01380
ko:K02047	prp:M062_01385
ko:K02046	prp:M062_01390
ko:K02048	prp:M062_01395
ko:K10536	prp:M062_01440
ko:K12251	prp:M062_01445
ko:K01915	prp:M062_01460
ko:K07010	prp:M062_01465
ko:K01915	prp:M062_01470
ko:K12256	prp:M062_01475
ko:K11073	prp:M062_01480
ko:K11073	prp:M062_01485
ko:K11076	prp:M062_01490
ko:K11075	prp:M062_01495
ko:K11074	prp:M062_01500
ko:K01434	prp:M062_01505
ko:K02397	prp:M062_05905
ko:K00648	prp:M062_05920
ko:K02406	prp:M062_05955
ko:K02407	prp:M062_05965
ko:K02422	prp:M062_05970
ko:K02422	prp:M062_05975
ko:K10941	prp:M062_05985
ko:K02408	prp:M062_06000
ko:K02409	prp:M062_06005
ko:K02410	prp:M062_06010
ko:K02411	prp:M062_06015
ko:K02412	prp:M062_06020
ko:K02413	prp:M062_06025
ko:K06182	prp:M062_06050
ko:K00243	prp:M062_06090
ko:K01462	prp:M062_06120
ko:K01129	prp:M062_06130
ko:K12410	prp:M062_06135
ko:K12990	prp:M062_06160
ko:K05523	prp:M062_06185
ko:K00012	prp:M062_10535
ko:K00963	prp:M062_10540
ko:K14347	prp:M062_10555
ko:K05800	prp:M062_10565
ko:K15256	prp:M062_10595
ko:K01652	prp:M062_10600
ko:K01915	prp:M062_10615
ko:K14052	prp:M062_10620
ko:K07862	prp:M062_10625
ko:K08998	prp:M062_10645
ko:K03088	prp:M062_10670
ko:K01725	prp:M062_10680
ko:K01673	prp:M062_10685
ko:K11921	prp:M062_10690
ko:K13893	prp:M062_10710
ko:K13894	prp:M062_10715
ko:K13895	prp:M062_10720
ko:K13896	prp:M062_10725
ko:K04487	prp:M062_10730
ko:K07233	prp:M062_10740
ko:K05820	prp:M062_10760
ko:K00612	prp:M062_10765
ko:K02355	prp:M062_10775
ko:K03322	prp:M062_03945
ko:K06991	prp:M062_03985
ko:K07044	prp:M062_04035
ko:K13788	prp:M062_04060
ko:K00925	prp:M062_04065
ko:K03775	prp:M062_04070
ko:K00432	prp:M062_04075
ko:K16137	prp:M062_04080
ko:K01114	prp:M062_04105
ko:K06203	prp:M062_04115
ko:K01754	prp:M062_04140
ko:K04079	prp:M062_08510
ko:K00606	prp:M062_08520
ko:K01716	prp:M062_08580
ko:K00057	prp:M062_08600
ko:K08296	prp:M062_08610
ko:K03449	prp:M062_08660
ko:K00074	prp:M062_08670
ko:K06446	prp:M062_08685
ko:K01546	prp:M062_08695
ko:K01547	prp:M062_08700
ko:K01548	prp:M062_08705
ko:K07646	prp:M062_08710
ko:K07667	prp:M062_08715
ko:K01425	prp:M062_08720
ko:K07001	prp:M062_08730
ko:K01008	prp:M062_08740
ko:K06917	prp:M062_08745
ko:K07789	prp:M062_13135
ko:K07788	prp:M062_13140
ko:K07799	prp:M062_13145
ko:K00817	prp:M062_13160
ko:K11065	prp:M062_13165
ko:K03310	prp:M062_13170
ko:K00981	prp:M062_13185
ko:K00995	prp:M062_13210
ko:K09800	prp:M062_13215
ko:K07278	prp:M062_13220
ko:K01142	prp:M062_13230
ko:K02040	prp:M062_13245
ko:K01895	prp:M062_13285
ko:K07507	prp:M062_13295
ko:K03321	prp:M062_13330
ko:K17218	prp:M062_13345
ko:K07507	prp:M062_24405
ko:K07286	prp:M062_24435
ko:K00116	prp:M062_24440
ko:K00760	prp:M062_24465
ko:K00761	prp:M062_24470
ko:K07347	prp:M062_24500
ko:K01772	prp:M062_24515
ko:K07071	prp:M062_24520
ko:K06955	prp:M062_24525
ko:K01669	prp:M062_24540
ko:K01776	prp:M062_24550
ko:K02493	prp:M062_24560
ko:K02835	prp:M062_24565
ko:K02492	prp:M062_24570
ko:K02494	prp:M062_24580
ko:K00919	prp:M062_24585
ko:K00948	prp:M062_24595
ko:K02897	prp:M062_24600
ko:K01056	prp:M062_24605
ko:K06942	prp:M062_24610
ko:K01673	prp:M062_24630
ko:K03789	prp:M062_24640
ko:K02204	prp:M062_28940
ko:K09823	prp:M062_28960
ko:K09817	prp:M062_28965
ko:K09816	prp:M062_28970
ko:K02071	prp:M062_28980
ko:K02072	prp:M062_28985
ko:K02073	prp:M062_28990
ko:K01915	prp:M062_29005
ko:K10126	prp:M062_29020
ko:K10125	prp:M062_29025
ko:K00868	prp:M062_29045
ko:K01915	prp:M062_29075
ko:K01845	prp:M062_29080
ko:K03832	prp:M062_29120
ko:K06204	prp:M062_29145
ko:K01448	prp:M062_29155
ko:K09007	prp:M062_29160
ko:K01465	prp:M062_29170
ko:K07080	prp:M062_29190
ko:K00574	prp:M062_29195
ko:K00820	prp:M062_29210
ko:K07394	prp:M062_01535
ko:K10009	prp:M062_01555
ko:K02424	prp:M062_01560
ko:K09946	prp:M062_01640
ko:K01807	prp:M062_01645
ko:K01754	prp:M062_01650
ko:K08311	prp:M062_01680
ko:K08484	prp:M062_01685
ko:K07090	prp:M062_01700
ko:K13292	prp:M062_01705
ko:K01126	prp:M062_01735
ko:K07095	prp:M062_01755
ko:K16345	prp:M062_01760
ko:K01687	prp:M062_01765
ko:K06969	prp:M062_01770
ko:K05520	prp:M062_01775
ko:K14977	prp:M062_06210
ko:K07661	prp:M062_06300
ko:K07639	prp:M062_06305
ko:K03704	prp:M062_06310
ko:K00563	prp:M062_06320
ko:K02362	prp:M062_06340
ko:K02568	prp:M062_06380
ko:K02567	prp:M062_06385
ko:K02570	prp:M062_06390
ko:K02572	prp:M062_06395
ko:K07637	prp:M062_06415
ko:K11103	prp:M062_06430
ko:K02742	prp:M062_06460
ko:K14058	prp:M062_06475
ko:K01556	prp:M062_10815
ko:K07130	prp:M062_10820
ko:K01953	prp:M062_10835
ko:K03088	prp:M062_10880
ko:K00156	prp:M062_10920
ko:K07160	prp:M062_10940
ko:K10778	prp:M062_10970
ko:K07345	prp:M062_11030
ko:K07347	prp:M062_11040
ko:K08995	prp:M062_11060
ko:K09924	prp:M062_04165
ko:K05527	prp:M062_04170
ko:K07146	prp:M062_04175
ko:K07396	prp:M062_04180
ko:K00457	prp:M062_04215
ko:K11734	prp:M062_04220
ko:K15034	prp:M062_04230
ko:K07262	prp:M062_04235
ko:K00832	prp:M062_04240
ko:K00500	prp:M062_04250
ko:K03721	prp:M062_04255
ko:K01895	prp:M062_04325
ko:K10022	prp:M062_04330
ko:K10023	prp:M062_04340
ko:K06987	prp:M062_04345
ko:K10025	prp:M062_04350
ko:K00673	prp:M062_04370
ko:K00673	prp:M062_04375
ko:K06447	prp:M062_04380
ko:K01484	prp:M062_04385
ko:K05526	prp:M062_04395
ko:K01620	prp:M062_04400
ko:K01872	prp:M062_04405
ko:K00928	prp:M062_04410
ko:K03563	prp:M062_04415
ko:K03453	prp:M062_08785
ko:K05782	prp:M062_08790
ko:K11910	prp:M062_08815
ko:K11901	prp:M062_08820
ko:K01990	prp:M062_15030
ko:K01399	prp:M062_19690
ko:K14219	prp:M062_04425
ko:K14219	prp:M062_04430
ko:K14230	prp:M062_02885
ko:K14233	prp:M062_15290
ko:K14232	prp:M062_23905
ko:K14219	prp:M062_17980
ko:K14238	prp:M062_25315
ko:K10111	prp:M062_12210
ko:K01992	prp:M062_15025
ko:K01992	prp:M062_18150
ko:K14220	prp:M062_16795
ko:K14220	prp:M062_23910
ko:K07215	prp:M062_03300
ko:K14230	prp:M062_04520
ko:K14230	prp:M062_25020
ko:K17686	prp:M062_20735
ko:K07019	prp:M062_01845
ko:K02428	prp:M062_01940
ko:K02657	prp:M062_02050
ko:K02658	prp:M062_02055
ko:K02659	prp:M062_02060
ko:K02660	prp:M062_02065
ko:K02487	prp:M062_02075
ko:K06596	prp:M062_02075
ko:K01482	prp:M062_06490
ko:K00700	prp:M062_11165
ko:K07027	prp:M062_11170
ko:K06889	prp:M062_11240
ko:K00274	prp:M062_02115
ko:K02014	prp:M062_02180
ko:K02030	prp:M062_02265
ko:K02014	prp:M062_02355
ko:K03406	prp:M062_06810
ko:K02028	prp:M062_06835
ko:K02030	prp:M062_06855
ko:K08167	prp:M062_06975
ko:K01011	prp:M062_07030
ko:K02030	prp:M062_11430
ko:K00666	prp:M062_11540
ko:K12992	prp:M062_11685
ko:K00652	prp:M062_02505
ko:K02303	prp:M062_02550
ko:K08738	prp:M062_02590
ko:K04748	prp:M062_02600
ko:K04750	prp:M062_07335
ko:K01424	prp:M062_11785
ko:K02014	prp:M062_11960
ko:K02049	prp:M062_11985
ko:K03932	prp:M062_02725
ko:K01409	prp:M062_02915
ko:K00974	prp:M062_02935
ko:K01525	prp:M062_02965
ko:K02014	prp:M062_07395
ko:K03825	prp:M062_07465
ko:K03307	prp:M062_07615
ko:K02050	prp:M062_11990
ko:K02051	prp:M062_11995
ko:K02050	prp:M062_12040
ko:K02049	prp:M062_12045
ko:K02051	prp:M062_12050
ko:K09471	prp:M062_12090
ko:K00851	prp:M062_12105
ko:K03299	prp:M062_12110
ko:K02050	prp:M062_12140
ko:K02051	prp:M062_12145
ko:K02049	prp:M062_12150
ko:K02014	prp:M062_12180
ko:K00045	prp:M062_12215
ko:K00854	prp:M062_12220
ko:K00130	prp:M062_28315
ko:K02055	prp:M062_03025
ko:K02052	prp:M062_03030
ko:K02055	prp:M062_03035
ko:K10914	prp:M062_03175
ko:K03406	prp:M062_07640
ko:K07665	prp:M062_07705
ko:K02414	prp:M062_07725
ko:K00799	prp:M062_07850
ko:K00059	prp:M062_07870
ko:K02193	prp:M062_07895
ko:K04091	prp:M062_12285
ko:K00101	prp:M062_12425
ko:K07116	prp:M062_12440
ko:K10531	prp:M062_12445
ko:K14162	prp:M062_03285
ko:K02454	prp:M062_03370
ko:K01426	prp:M062_03465
ko:K11530	prp:M062_03495
ko:K01759	prp:M062_03500
ko:K06183	prp:M062_03545
ko:K02200	prp:M062_07930
ko:K02200	prp:M062_07935
ko:K09815	prp:M062_12560
ko:K07214	prp:M062_12790
ko:K02014	prp:M062_12830
ko:K07120	prp:M062_03645
ko:K07793	prp:M062_03650
ko:K03803	prp:M062_03715
ko:K02030	prp:M062_03775
ko:K02014	prp:M062_03795
ko:K03776	prp:M062_08335
ko:K04085	prp:M062_08350
ko:K00241	prp:M062_08440
ko:K15727	prp:M062_13105
ko:K15725	prp:M062_13110
ko:K07665	prp:M062_13115
ko:K01990	prp:M062_19420
ko:K01990	prp:M062_21305
ko:K01560	prp:M062_03950
ko:K01679	prp:M062_04155
ko:K03406	prp:M062_08570
ko:K00647	prp:M062_08575
ko:K02014	prp:M062_08595
ko:K01545	prp:M062_08690
ko:K03406	prp:M062_08765
ko:K05794	prp:M062_13250
ko:K00626	prp:M062_13275
ko:K03406	prp:M062_13320
ko:K00598	prp:M062_13335
ko:K14219	prp:M062_01300
ko:K01724	prp:M062_04245
ko:K11688	prp:M062_04310
ko:K11689	prp:M062_04315
ko:K00799	prp:M062_08810
ko:K06889	prp:M062_08935
ko:K08964	prp:M062_08950
ko:K03227	prp:M062_09000
ko:K00626	prp:M062_09060
ko:K01782	prp:M062_09065
ko:K03406	prp:M062_13670
ko:K04765	prp:M062_04585
ko:K01692	prp:M062_09120
ko:K03286	prp:M062_09265
ko:K02303	prp:M062_09270
ko:K03768	prp:M062_09350
ko:K02014	prp:M062_13765
ko:K04091	prp:M062_13805
ko:K02051	prp:M062_13810
ko:K04091	prp:M062_13815
ko:K11179	prp:M062_13860
ko:K07393	prp:M062_13870
ko:K02653	prp:M062_23825
ko:K03153	prp:M062_23950
ko:K02674	prp:M062_23980
ko:K13953	prp:M062_28590
ko:K03499	prp:M062_00075
ko:K07491	prp:M062_00215
ko:K09983	prp:M062_00290
ko:K04063	prp:M062_00310
ko:K03560	prp:M062_04770
ko:K00598	prp:M062_04900
ko:K03469	prp:M062_09495
ko:K02342	prp:M062_09500
ko:K03294	prp:M062_09515
ko:K01692	prp:M062_09525
ko:K00059	prp:M062_09550
ko:K04774	prp:M062_09575
ko:K00548	prp:M062_09640
ko:K03406	prp:M062_14080
ko:K03406	prp:M062_14090
ko:K02454	prp:M062_14210
ko:K01974	prp:M062_24140
ko:K02004	prp:M062_24180
ko:K00564	prp:M062_24365
ko:K03406	prp:M062_24395
ko:K01959	prp:M062_28635
ko:K08978	prp:M062_28685
ko:K13590	prp:M062_28900
ko:K04750	prp:M062_24445
