ko:K07729	cby:CLM_0846
ko:K02004	cby:CLM_0334
ko:K18345	cby:CLM_2185
ko:K11991	cby:CLM_0034
ko:K16963	cby:CLM_1579
ko:K16961	cby:CLM_1577
ko:K16925	cby:CLM_2190
ko:K16962	cby:CLM_1578
ko:K17828	cby:CLM_3648
ko:K16899	cby:CLM_0506
ko:K00196	cby:CLM_1507
ko:K02749	cby:CLM_0335
ko:K02750	cby:CLM_0335
ko:K02054	cby:CLM_1266
ko:K14080	cby:CLM_1733
ko:K07260	cby:CLM_0717
ko:K01760	cby:CLM_0868
ko:K17103	cby:CLM_0247
ko:K01990	cby:CLM_0735
ko:K01990	cby:CLM_0835
ko:K01990	cby:CLM_0915
ko:K01990	cby:CLM_0927
ko:K01990	cby:CLM_0984
ko:K01990	cby:CLM_1400
ko:K01990	cby:CLM_3155
ko:K01990	cby:CLM_3773
ko:K19309	cby:CLM_2591
ko:K05601	cby:CLM_3158
ko:K01992	cby:CLM_0580
ko:K01992	cby:CLM_0586
ko:K01992	cby:CLM_0587
ko:K01992	cby:CLM_0836
ko:K01992	cby:CLM_0928
ko:K01992	cby:CLM_1342
ko:K01992	cby:CLM_1555
ko:K01992	cby:CLM_1556
ko:K01992	cby:CLM_2004
ko:K01992	cby:CLM_3798
ko:K10112	cby:CLM_1750
ko:K17686	cby:CLM_1463
ko:K17675	cby:CLM_1540
ko:K17836	cby:CLM_0798
ko:K17758	cby:CLM_3862
ko:K17759	cby:CLM_3862
ko:K17722	cby:CLM_3183
ko:K17723	cby:CLM_3182
ko:K02171	cby:CLM_0799
ko:K02107	cby:CLM_2995
ko:K00004	cby:CLM_2420
ko:K02172	cby:CLM_0800
ko:K02116	cby:CLM_0193
ko:K07076	cby:CLM_3482
ko:K18231	cby:CLM_0655
ko:K00335	cby:CLM_2008
ko:K00336	cby:CLM_2007
ko:K03742	cby:CLM_0261
ko:K06213	cby:CLM_1281
ko:K18672	cby:CLM_3897
ko:K06896	cby:CLM_1848
ko:K18707	cby:CLM_3350
ko:K18682	cby:CLM_2696
ko:K03790	cby:CLM_1074
ko:K20025	cby:CLM_2399
ko:K06147	cby:CLM_2148
ko:K07171	cby:CLM_3858
ko:K06147	cby:CLM_2149
ko:K18888	cby:CLM_2170
ko:K18887	cby:CLM_2171
ko:K19055	cby:CLM_1745
ko:K02315	cby:CLM_2562
ko:K03526	cby:CLM_2717
ko:K19221	cby:CLM_1105
ko:K14761	cby:CLM_0003
ko:K07317	cby:CLM_3496
ko:K01990	cby:CLM_0296
ko:K01990	cby:CLM_0578
ko:K01990	cby:CLM_0585
ko:K01990	cby:CLM_1341
ko:K01990	cby:CLM_1554
ko:K01990	cby:CLM_3799
ko:K01066	cby:CLM_2386
ko:K19271	cby:CLM_2238
ko:K19302	cby:CLM_0418
ko:K01567	cby:CLM_3497
ko:K01992	cby:CLM_0581
ko:K12952	cby:CLM_1465
ko:K19310	cby:CLM_2590
ko:K00638	cby:CLM_1026
ko:K19271	cby:CLM_0727
ko:K04771	cby:CLM_4033
ko:K19405	cby:CLM_3981
ko:K19411	cby:CLM_3982
ko:K19350	cby:CLM_3237
ko:K02031	cby:CLM_1915
ko:K02032	cby:CLM_1915
ko:K19689	cby:CLM_3160
ko:K10670	cby:CLM_1421
ko:K10670	cby:CLM_1420
ko:K03616	cby:CLM_0441
ko:K21636	cby:CLM_0137
ko:K00100	cby:CLM_1584
ko:K01560	cby:CLM_1123
ko:K01560	cby:CLM_1179
ko:K20074	cby:CLM_2805
ko:K20037	cby:CLM_2325
ko:K12132	cby:CLM_2804
ko:K20107	cby:CLM_1847
ko:K20108	cby:CLM_1847
ko:K20116	cby:CLM_3120
ko:K20117	cby:CLM_3120
ko:K20118	cby:CLM_3120
ko:K07800	cby:CLM_0400
ko:K20265	cby:CLM_2768
ko:K20265	cby:CLM_0411
ko:K20116	cby:CLM_1502
ko:K20117	cby:CLM_1502
ko:K20118	cby:CLM_1502
ko:K01400	cby:CLM_1609
ko:K20491	cby:CLM_1824
ko:K20492	cby:CLM_1825
ko:K20487	cby:CLM_2142
ko:K20486	cby:CLM_3771
ko:K20487	cby:CLM_1827
ko:K20488	cby:CLM_1826
ko:K20490	cby:CLM_1823
ko:K07800	cby:CLM_0407
ko:K20534	cby:CLM_0355
ko:K20488	cby:CLM_2143
ko:K21405	cby:CLM_1869
ko:K22103	cby:CLM_1858
ko:K20882	cby:CLM_2400
ko:K20026	cby:CLM_2398
ko:K20904	cby:CLM_3722
ko:K20903	cby:CLM_3723
ko:K21028	cby:CLM_1297
ko:K08968	cby:CLM_3304
ko:K07258	cby:CLM_2013
ko:K07258	cby:CLM_3374
ko:K02077	cby:CLM_3754
ko:K21417	cby:CLM_1872
ko:K21405	cby:CLM_1887
ko:K21405	cby:CLM_2154
ko:K21416	cby:CLM_1871
ko:K22044	cby:CLM_4136
ko:K21405	cby:CLM_1883
ko:K05364	cby:CLM_3845
ko:K21471	cby:CLM_0105
ko:K21576	cby:CLM_1423
ko:K21577	cby:CLM_1422
ko:K21562	cby:CLM_0771
ko:K21600	cby:CLM_2313
ko:K21600	cby:CLM_1462
ko:K21600	cby:CLM_2905
ko:K10672	cby:CLM_1416
ko:K10671	cby:CLM_1415
ko:K21929	cby:CLM_0056
ko:K21929	cby:CLM_0117
ko:K21898	cby:CLM_2191
ko:K21903	cby:CLM_0560
ko:K22129	cby:CLM_2410
ko:K22024	cby:CLM_2409
ko:K22132	cby:CLM_0047
ko:K07456	cby:CLM_0739
ko:K01046	cby:CLM_2277
ko:K01585	cby:CLM_3523
ko:K22405	cby:CLM_2982
ko:K22430	cby:CLM_2397
ko:K22431	cby:CLM_3720
ko:K22432	cby:CLM_2395
ko:K05592	cby:CLM_1938
ko:K22373	cby:CLM_1161
ko:K22431	cby:CLM_2396
ko:K22432	cby:CLM_3719
ko:K22430	cby:CLM_3721
ko:K22579	cby:CLM_2889
