ko:K09796	nmz:NMBNZ0533_1530
ko:K08068	nmz:NMBNZ0533_0076
ko:K07645	nmz:NMBNZ0533_0533
ko:K00681	nmz:NMBNZ0533_1081
ko:K02650	nmz:NMBNZ0533_0019
ko:K02650	nmz:NMBNZ0533_0022
ko:K18841	nmz:NMBNZ0533_0965
ko:K19339	nmz:NMBNZ0533_0616
ko:K07171	nmz:NMBNZ0533_1970
ko:K22132	nmz:NMBNZ0533_1479
ko:K19239	nmz:NMBNZ0533_0344
ko:K00526	nmz:NMBNZ0533_1278
ko:K10747	nmz:NMBNZ0533_1980
ko:K18893	nmz:NMBNZ0533_0265
ko:K07467	nmz:NMBNZ0533_1602
ko:K07389	nmz:NMBNZ0533_1737
ko:K03496	nmz:NMBNZ0533_0196
ko:K03497	nmz:NMBNZ0533_0382
ko:K04565	nmz:NMBNZ0533_1384
ko:K03111	nmz:NMBNZ0533_1440
ko:K07467	nmz:NMBNZ0533_1517
ko:K07481	nmz:NMBNZ0533_0339
ko:K03526	nmz:NMBNZ0533_1299
ko:K07481	nmz:NMBNZ0533_0072
ko:K07481	nmz:NMBNZ0533_1051
ko:K07481	nmz:NMBNZ0533_0310
ko:K07481	nmz:NMBNZ0533_0352
ko:K07481	nmz:NMBNZ0533_1988
ko:K07481	nmz:NMBNZ0533_0404
ko:K07481	nmz:NMBNZ0533_2075
ko:K07481	nmz:NMBNZ0533_0486
ko:K07481	nmz:NMBNZ0533_1429
ko:K07481	nmz:NMBNZ0533_1041
ko:K00336	nmz:NMBNZ0533_0251
ko:K12690	nmz:NMBNZ0533_1042
ko:K02663	nmz:NMBNZ0533_0518
ko:K02664	nmz:NMBNZ0533_0517
ko:K07486	nmz:NMBNZ0533_0591
ko:K07481	nmz:NMBNZ0533_1079
ko:K07481	nmz:NMBNZ0533_0592
ko:K07481	nmz:NMBNZ0533_1385
ko:K18991	nmz:NMBNZ0533_1570
ko:K10954	nmz:NMBNZ0533_1469
ko:K00335	nmz:NMBNZ0533_0250
ko:K06992	nmz:NMBNZ0533_0897
ko:K06992	nmz:NMBNZ0533_0621
ko:K07172	nmz:NMBNZ0533_1969
ko:K00983	nmz:NMBNZ0533_0075
ko:K00571	nmz:NMBNZ0533_0776
ko:K01710	nmz:NMBNZ0533_0069
ko:K01710	nmz:NMBNZ0533_0084
ko:K19168	nmz:NMBNZ0533_0741
ko:K07488	nmz:NMBNZ0533_1941
ko:K07488	nmz:NMBNZ0533_0558
ko:K00525	nmz:NMBNZ0533_1281
ko:K01654	nmz:NMBNZ0533_0074
ko:K00020	nmz:NMBNZ0533_1558
ko:K07488	nmz:NMBNZ0533_1391
ko:K07288	nmz:NMBNZ0533_1904
ko:K01802	nmz:NMBNZ0533_0032
ko:K07280	nmz:NMBNZ0533_0138
ko:K19342	nmz:NMBNZ0533_0619
ko:K03722	nmz:NMBNZ0533_0289
ko:K07497	nmz:NMBNZ0533_1103
ko:K19337	nmz:NMBNZ0533_1376
ko:K19416	nmz:NMBNZ0533_1952
ko:K07486	nmz:NMBNZ0533_1723
ko:K07280	nmz:NMBNZ0533_1931
ko:K00992	nmz:NMBNZ0533_0481
ko:K19784	nmz:NMBNZ0533_0530
ko:K06132	nmz:NMBNZ0533_1412
ko:K19804	nmz:NMBNZ0533_1906
ko:K08992	nmz:NMBNZ0533_1907
ko:K16066	nmz:NMBNZ0533_0975
ko:K07488	nmz:NMBNZ0533_1677
ko:K07488	nmz:NMBNZ0533_0623
ko:K07488	nmz:NMBNZ0533_0627
ko:K02650	nmz:NMBNZ0533_0026
ko:K09788	nmz:NMBNZ0533_1815
ko:K20455	nmz:NMBNZ0533_1816
ko:K02650	nmz:NMBNZ0533_0023
ko:K08968	nmz:NMBNZ0533_0442
ko:K00821	nmz:NMBNZ0533_1358
ko:K21029	nmz:NMBNZ0533_1995
ko:K00558	nmz:NMBNZ0533_0774
ko:K00558	nmz:NMBNZ0533_1576
ko:K10954	nmz:NMBNZ0533_1608
ko:K00558	nmz:NMBNZ0533_0873
ko:K00560	nmz:NMBNZ0533_1684
ko:K06217	nmz:NMBNZ0533_0888
ko:K02314	nmz:NMBNZ0533_0935
ko:K01520	nmz:NMBNZ0533_0941
ko:K00287	nmz:NMBNZ0533_1936
ko:K00558	nmz:NMBNZ0533_1242
ko:K00558	nmz:NMBNZ0533_1280
ko:K03676	nmz:NMBNZ0533_0535
ko:K03553	nmz:NMBNZ0533_1424
ko:K02316	nmz:NMBNZ0533_1514
ko:K10954	nmz:NMBNZ0533_1523
ko:K06020	nmz:NMBNZ0533_1861
ko:K02335	nmz:NMBNZ0533_0341
ko:K10026	nmz:NMBNZ0533_0566
ko:K21929	nmz:NMBNZ0533_0454
ko:K03595	nmz:NMBNZ0533_0734
ko:K22292	nmz:NMBNZ0533_0663
ko:K01947	nmz:NMBNZ0533_2006
ko:K17758	nmz:NMBNZ0533_1169
ko:K11206	nmz:NMBNZ0533_1808
ko:K01007	nmz:NMBNZ0533_0661
