ko:K01978	mhay:VK67_13750
ko:K01892	mhay:VK67_02920
ko:K02338	mhay:VK67_02930
ko:K02313	mhay:VK67_02935
ko:K18893	mhay:VK67_02940
ko:K07173	mhay:VK67_02945
ko:K03711	mhay:VK67_02955
ko:K03839	mhay:VK67_02960
ko:K06901	mhay:VK67_02975
ko:K06039	mhay:VK67_02980
ko:K07007	mhay:VK67_02985
ko:K02518	mhay:VK67_02990
ko:K21498	mhay:VK67_05805
ko:K07268	mhay:VK67_02150
ko:K00839	mhay:VK67_05015
ko:K00020	mhay:VK67_00440
ko:K07497	mhay:VK67_00055
ko:K07497	mhay:VK67_12440
ko:K07497	mhay:VK67_12460
ko:K07497	mhay:VK67_13470
ko:K07496	mhay:VK67_05200
ko:K03722	mhay:VK67_07885
ko:K19416	mhay:VK67_09885
ko:K01096	mhay:VK67_08395
ko:K01654	mhay:VK67_04015
ko:K14227	mhay:VK67_00455
ko:K14227	mhay:VK67_03915
ko:K14227	mhay:VK67_01320
ko:K00525	mhay:VK67_06875
ko:K00525	mhay:VK67_11310
ko:K02796	mhay:VK67_02090
ko:K02796	mhay:VK67_04135
ko:K19092	mhay:VK67_01525
ko:K14229	mhay:VK67_01550
ko:K14229	mhay:VK67_01555
ko:K14229	mhay:VK67_01560
ko:K14237	mhay:VK67_06430
ko:K14219	mhay:VK67_04410
ko:K14232	mhay:VK67_01310
ko:K14232	mhay:VK67_04580
ko:K01985	mhay:VK67_00475
ko:K01985	mhay:VK67_00780
ko:K14221	mhay:VK67_00480
ko:K14221	mhay:VK67_00785
ko:K14221	mhay:VK67_10480
ko:K14224	mhay:VK67_00765
ko:K14224	mhay:VK67_01490
ko:K14224	mhay:VK67_11380
ko:K14223	mhay:VK67_03035
ko:K14223	mhay:VK67_03040
ko:K14228	mhay:VK67_03045
ko:K14228	mhay:VK67_08335
ko:K14225	mhay:VK67_13095
ko:K14228	mhay:VK67_08535
ko:K14234	mhay:VK67_13090
ko:K14230	mhay:VK67_03050
ko:K01985	mhay:VK67_11370
ko:K01985	mhay:VK67_01335
ko:K01985	mhay:VK67_00470
ko:K01985	mhay:VK67_01500
ko:K01985	mhay:VK67_00775
ko:K01985	mhay:VK67_03930
ko:K14238	mhay:VK67_00015
ko:K14218	mhay:VK67_00460
ko:K14218	mhay:VK67_01325
ko:K14218	mhay:VK67_03920
ko:K01980	mhay:VK67_00465
ko:K01980	mhay:VK67_03925
ko:K01980	mhay:VK67_01495
ko:K01980	mhay:VK67_00770
ko:K01980	mhay:VK67_11375
ko:K01980	mhay:VK67_01330
ko:K14235	mhay:VK67_00790
ko:K14234	mhay:VK67_00990
ko:K14234	mhay:VK67_13105
ko:K14231	mhay:VK67_13305
ko:K14231	mhay:VK67_13315
ko:K14228	mhay:VK67_11180
ko:K14228	mhay:VK67_11200
ko:K14228	mhay:VK67_11190
ko:K14230	mhay:VK67_06670
ko:K14230	mhay:VK67_08345
ko:K14230	mhay:VK67_07450
ko:K14225	mhay:VK67_07830
ko:K14225	mhay:VK67_11195
ko:K14225	mhay:VK67_11175
ko:K14225	mhay:VK67_11185
ko:K14225	mhay:VK67_11205
ko:K14219	mhay:VK67_01300
ko:K14219	mhay:VK67_02465
ko:K14219	mhay:VK67_02470
ko:K14219	mhay:VK67_04575
ko:K14219	mhay:VK67_05785
ko:K14226	mhay:VK67_01305
ko:K14220	mhay:VK67_04890
ko:K14220	mhay:VK67_13310
ko:K14220	mhay:VK67_13300
ko:K14235	mhay:VK67_05880
ko:K14222	mhay:VK67_07825
ko:K14236	mhay:VK67_13100
ko:K19784	mhay:VK67_01685
ko:K07147	mhay:VK67_13595
ko:K19804	mhay:VK67_06650
ko:K07662	mhay:VK67_06905
ko:K19810	mhay:VK67_07385
ko:K21636	mhay:VK67_11085
ko:K21105	mhay:VK67_11605
ko:K20074	mhay:VK67_10015
ko:K01139	mhay:VK67_11785
ko:K01161	mhay:VK67_10180
ko:K21394	mhay:VK67_00195
ko:K21303	mhay:VK67_11725
ko:K02438	mhay:VK67_08605
ko:K02487	mhay:VK67_08140
ko:K21029	mhay:VK67_04885
ko:K02495	mhay:VK67_04955
ko:K00821	mhay:VK67_04115
ko:K00526	mhay:VK67_11305
ko:K06866	mhay:VK67_09570
ko:K06217	mhay:VK67_09665
ko:K03791	mhay:VK67_05370
ko:K01160	mhay:VK67_05390
ko:K02314	mhay:VK67_05845
ko:K01185	mhay:VK67_05895
ko:K07474	mhay:VK67_05905
ko:K06909	mhay:VK67_05910
ko:K01185	mhay:VK67_06220
ko:K06903	mhay:VK67_06265
ko:K06907	mhay:VK67_06295
ko:K06908	mhay:VK67_06300
ko:K06906	mhay:VK67_06320
ko:K06905	mhay:VK67_06325
ko:K06903	mhay:VK67_10750
ko:K06905	mhay:VK67_10760
ko:K06908	mhay:VK67_10790
ko:K06907	mhay:VK67_10795
ko:K04068	mhay:VK67_11080
ko:K10747	mhay:VK67_11395
ko:K00560	mhay:VK67_02450
ko:K10954	mhay:VK67_07075
ko:K10954	mhay:VK67_07080
ko:K03462	mhay:VK67_07120
ko:K00857	mhay:VK67_07195
ko:K02316	mhay:VK67_11695
ko:K03553	mhay:VK67_03080
ko:K06919	mhay:VK67_07515
ko:K02314	mhay:VK67_07725
ko:K01520	mhay:VK67_12265
ko:K02314	mhay:VK67_08325
ko:K06223	mhay:VK67_03790
ko:K06919	mhay:VK67_08545
ko:K00287	mhay:VK67_08845
ko:K00558	mhay:VK67_04505
ko:K02335	mhay:VK67_05655
ko:K04753	mhay:VK67_08205
ko:K07339	mhay:VK67_05610
ko:K00526	mhay:VK67_06880
ko:K21395	mhay:VK67_00570
ko:K21394	mhay:VK67_00565
ko:K21393	mhay:VK67_00200
ko:K21393	mhay:VK67_00560
ko:K13695	mhay:VK67_06620
ko:K01271	mhay:VK67_11340
ko:K21395	mhay:VK67_00205
ko:K21449	mhay:VK67_12030
ko:K21449	mhay:VK67_01775
ko:K21470	mhay:VK67_02760
ko:K21395	mhay:VK67_00210
ko:K13818	mhay:VK67_11885
ko:K01420	mhay:VK67_06460
ko:K07334	mhay:VK67_05800
ko:K13818	mhay:VK67_09275
ko:K21602	mhay:VK67_02670
ko:K10026	mhay:VK67_03955
ko:K00983	mhay:VK67_04020
ko:K21936	mhay:VK67_13250
ko:K21948	mhay:VK67_13280
ko:K19591	mhay:VK67_08255
ko:K22024	mhay:VK67_12210
ko:K22132	mhay:VK67_10165
ko:K08319	mhay:VK67_13285
ko:K22131	mhay:VK67_13270
ko:K22105	mhay:VK67_12020
ko:K22129	mhay:VK67_12220
ko:K22130	mhay:VK67_13275
ko:K03595	mhay:VK67_05035
ko:K21029	mhay:VK67_08970
ko:K03079	mhay:VK67_00965
ko:K07488	mhay:VK67_04635
ko:K07488	mhay:VK67_04640
ko:K07488	mhay:VK67_00500
ko:K07488	mhay:VK67_07805
ko:K07488	mhay:VK67_12355
ko:K07488	mhay:VK67_12375
ko:K07488	mhay:VK67_03970
ko:K07488	mhay:VK67_03975
ko:K07488	mhay:VK67_13605
ko:K03077	mhay:VK67_00970
ko:K18446	mhay:VK67_08750
ko:K22302	mhay:VK67_04535
