ko:K11741	lcs:LCBD_3001
ko:K03761	lcs:LCBD_0462
ko:K19002	lcs:LCBD_0913
ko:K19005	lcs:LCBD_0920
ko:K13052	lcs:LCBD_2719
ko:K07483	lcs:LCBD_2109
ko:K07483	lcs:LCBD_p33
ko:K07483	lcs:LCBD_p53
ko:K07483	lcs:LCBD_0647
ko:K07483	lcs:LCBD_0651
ko:K18979	lcs:LCBD_2391
ko:K19005	lcs:LCBD_1264
ko:K07498	lcs:LCBD_2120
ko:K06609	lcs:LCBD_1955
ko:K07498	lcs:LCBD_3015
ko:K07498	lcs:LCBD_p39
ko:K07498	lcs:LCBD_p22
ko:K07498	lcs:LCBD_p38
ko:K07498	lcs:LCBD_0630
ko:K02777	lcs:LCBD_2916
ko:K19159	lcs:LCBD_0327
ko:K02476	lcs:LCBD_3090
ko:K02475	lcs:LCBD_3091
ko:K07448	lcs:LCBD_1986
ko:K19157	lcs:LCBD_1431
ko:K02808	lcs:LCBD_2262
ko:K05881	lcs:LCBD_0489
ko:K03339	lcs:LCBD_0224
ko:K01710	lcs:LCBD_2153
ko:K01710	lcs:LCBD_2198
ko:K00571	lcs:LCBD_1177
ko:K19168	lcs:LCBD_1939
ko:K01215	lcs:LCBD_1127
ko:K12952	lcs:LCBD_0826
ko:K19265	lcs:LCBD_2823
ko:K00020	lcs:LCBD_0243
ko:K03722	lcs:LCBD_1693
ko:K01992	lcs:LCBD_1160
ko:K01992	lcs:LCBD_2506
ko:K04771	lcs:LCBD_3027
ko:K08217	lcs:LCBD_1114
ko:K19302	lcs:LCBD_0929
ko:K19350	lcs:LCBD_0701
ko:K02031	lcs:LCBD_1812
ko:K06881	lcs:LCBD_0856
ko:K06881	lcs:LCBD_2998
ko:K03483	lcs:LCBD_3123
ko:K19505	lcs:LCBD_0392
ko:K02796	lcs:LCBD_0473
ko:K02796	lcs:LCBD_0374
ko:K02796	lcs:LCBD_2852
ko:K02796	lcs:LCBD_3053
ko:K02796	lcs:LCBD_2962
ko:K02796	lcs:LCBD_2949
ko:K02796	lcs:LCBD_0292
ko:K19689	lcs:LCBD_1222
ko:K02538	lcs:LCBD_0394
ko:K19802	lcs:LCBD_2988
ko:K21636	lcs:LCBD_0123
ko:K00527	lcs:LCBD_2467
ko:K19956	lcs:LCBD_0425
ko:K05770	lcs:LCBD_1337
ko:K19975	lcs:LCBD_2605
ko:K19976	lcs:LCBD_2606
ko:K19973	lcs:LCBD_2607
ko:K20074	lcs:LCBD_1824
ko:K12132	lcs:LCBD_1823
ko:K07484	lcs:LCBD_1446
ko:K20112	lcs:LCBD_0742
ko:K20114	lcs:LCBD_0744
ko:K20113	lcs:LCBD_0743
ko:K00525	lcs:LCBD_1673
ko:K20345	lcs:LCBD_2564
ko:K20344	lcs:LCBD_2565
ko:K20534	lcs:LCBD_0783
ko:K20488	lcs:LCBD_0524
ko:K18889	lcs:LCBD_1793
ko:K18890	lcs:LCBD_1792
ko:K02793	lcs:LCBD_0475
ko:K22103	lcs:LCBD_0248
ko:K02003	lcs:LCBD_2010
ko:K02004	lcs:LCBD_2010
ko:K02790	lcs:LCBD_2901
ko:K02791	lcs:LCBD_2901
ko:K01208	lcs:LCBD_1123
ko:K08968	lcs:LCBD_1452
ko:K03553	lcs:LCBD_1018
ko:K07455	lcs:LCBD_1287
ko:K07474	lcs:LCBD_1301
ko:K01493	lcs:LCBD_1686
ko:K02316	lcs:LCBD_1708
ko:K06217	lcs:LCBD_1718
ko:K04068	lcs:LCBD_1940
ko:K01520	lcs:LCBD_2511
ko:K00857	lcs:LCBD_1353
ko:K00560	lcs:LCBD_1586
ko:K00287	lcs:LCBD_1587
ko:K06191	lcs:LCBD_1672
ko:K02315	lcs:LCBD_0569
ko:K03546	lcs:LCBD_0754
ko:K07455	lcs:LCBD_0951
ko:K02315	lcs:LCBD_0954
ko:K06919	lcs:LCBD_3107
ko:K06904	lcs:LCBD_3114
ko:K03553	lcs:LCBD_2838
ko:K02314	lcs:LCBD_0111
ko:K07313	lcs:LCBD_0161
ko:K09017	lcs:LCBD_2068
ko:K00526	lcs:LCBD_1674
ko:K02335	lcs:LCBD_1905
ko:K03293	lcs:LCBD_1179
ko:K21471	lcs:LCBD_0023
ko:K21467	lcs:LCBD_0328
ko:K22043	lcs:LCBD_2604
ko:K21471	lcs:LCBD_2169
ko:K21471	lcs:LCBD_0273
ko:K21567	lcs:LCBD_0904
ko:K21562	lcs:LCBD_0074
ko:K22044	lcs:LCBD_0879
ko:K03595	lcs:LCBD_1714
ko:K22212	lcs:LCBD_0816
ko:K03078	lcs:LCBD_2940
ko:K03077	lcs:LCBD_2936
ko:K03079	lcs:LCBD_2938
ko:K17758	lcs:LCBD_0935
ko:K09121	lcs:LCBD_p42
