ko:K01006	pcn:TIB1ST10_10410
ko:K00336	pcn:TIB1ST10_09840
ko:K02483	pcn:TIB1ST10_10390
ko:K05991	pcn:TIB1ST10_03325
ko:K03526	pcn:TIB1ST10_07745
ko:K02777	pcn:TIB1ST10_01515
ko:K19221	pcn:TIB1ST10_02225
ko:K07451	pcn:TIB1ST10_08165
ko:K01167	pcn:TIB1ST10_03770
ko:K00798	pcn:TIB1ST10_06345
ko:K09951	pcn:TIB1ST10_11045
ko:K01239	pcn:TIB1ST10_10540
ko:K02802	pcn:TIB1ST10_03495
ko:K19265	pcn:TIB1ST10_05110
ko:K03657	pcn:TIB1ST10_04410
ko:K03722	pcn:TIB1ST10_05245
ko:K02804	pcn:TIB1ST10_03475
ko:K01785	pcn:TIB1ST10_05210
ko:K01990	pcn:TIB1ST10_10610
ko:K21400	pcn:TIB1ST10_11610
ko:K11045	pcn:TIB1ST10_06150
ko:K11045	pcn:TIB1ST10_06315
ko:K11045	pcn:TIB1ST10_06890
ko:K08744	pcn:TIB1ST10_05540
ko:K11045	pcn:TIB1ST10_03540
ko:K09819	pcn:TIB1ST10_07735
ko:K19710	pcn:TIB1ST10_05530
ko:K07119	pcn:TIB1ST10_02100
ko:K05346	pcn:TIB1ST10_06235
ko:K12132	pcn:TIB1ST10_00930
ko:K20074	pcn:TIB1ST10_00945
ko:K20265	pcn:TIB1ST10_00890
ko:K12132	pcn:TIB1ST10_03765
ko:K02803	pcn:TIB1ST10_03485
ko:K02803	pcn:TIB1ST10_03490
ko:K00525	pcn:TIB1ST10_05265
ko:K00526	pcn:TIB1ST10_10775
ko:K20370	pcn:TIB1ST10_11885
ko:K02081	pcn:TIB1ST10_05185
ko:K02438	pcn:TIB1ST10_05725
ko:K21029	pcn:TIB1ST10_02665
ko:K21071	pcn:TIB1ST10_00465
ko:K21636	pcn:TIB1ST10_10870
ko:K06217	pcn:TIB1ST10_04820
ko:K02316	pcn:TIB1ST10_04930
ko:K03553	pcn:TIB1ST10_05195
ko:K00857	pcn:TIB1ST10_05385
ko:K01520	pcn:TIB1ST10_05410
ko:K01493	pcn:TIB1ST10_09935
ko:K04068	pcn:TIB1ST10_10865
ko:K02314	pcn:TIB1ST10_11440
ko:K00287	pcn:TIB1ST10_08585
ko:K00560	pcn:TIB1ST10_08590
ko:K00525	pcn:TIB1ST10_10770
ko:K02335	pcn:TIB1ST10_04000
ko:K02032	pcn:TIB1ST10_06525
ko:K05710	pcn:TIB1ST10_07950
ko:K01802	pcn:TIB1ST10_10995
ko:K05364	pcn:TIB1ST10_00935
ko:K03293	pcn:TIB1ST10_05485
ko:K07005	pcn:TIB1ST10_07535
ko:K03293	pcn:TIB1ST10_10335
ko:K03293	pcn:TIB1ST10_11485
ko:K03636	pcn:TIB1ST10_02575
ko:K21399	pcn:TIB1ST10_11605
ko:K21401	pcn:TIB1ST10_09875
ko:K21471	pcn:TIB1ST10_03725
ko:K21600	pcn:TIB1ST10_11435
ko:K21672	pcn:TIB1ST10_11600
ko:K21739	pcn:TIB1ST10_10085
ko:K10914	pcn:TIB1ST10_01170
ko:K21929	pcn:TIB1ST10_06340
ko:K21949	pcn:TIB1ST10_06640
ko:K00936	pcn:TIB1ST10_06480
ko:K22010	pcn:TIB1ST10_03990
ko:K22044	pcn:TIB1ST10_11705
ko:K00015	pcn:TIB1ST10_11475
ko:K22129	pcn:TIB1ST10_01540
ko:K03595	pcn:TIB1ST10_04835
ko:K22024	pcn:TIB1ST10_01535
ko:K03077	pcn:TIB1ST10_04560
ko:K03077	pcn:TIB1ST10_11840
ko:K01046	pcn:TIB1ST10_10690
ko:K14441	pcn:TIB1ST10_05165
ko:K17758	pcn:TIB1ST10_09200
ko:K17759	pcn:TIB1ST10_09200
ko:K02257	pcn:TIB1ST10_08015
ko:K22306	pcn:TIB1ST10_04325
ko:K00728	pcn:TIB1ST10_02695
ko:K22468	pcn:TIB1ST10_06090
ko:K07566	pcn:TIB1ST10_06410
