ko:K19744	paer:PA1R_gp1756
ko:K02355	paer:PA1R_gp2154
ko:K02992	paer:PA1R_gp2155
ko:K02950	paer:PA1R_gp2156
ko:K03046	paer:PA1R_gp2157
ko:K03043	paer:PA1R_gp2158
ko:K02935	paer:PA1R_gp2159
ko:K02864	paer:PA1R_gp2160
ko:K02863	paer:PA1R_gp2161
ko:K02867	paer:PA1R_gp2162
ko:K02601	paer:PA1R_gp2163
ko:K03073	paer:PA1R_gp2164
ko:K03525	paer:PA1R_gp2171
ko:K03524	paer:PA1R_gp2172
ko:K03547	paer:PA1R_gp2178
ko:K03581	paer:PA1R_gp2180
ko:K03322	paer:PA1R_gp2233
ko:K05520	paer:PA1R_gp2235
ko:K01426	paer:PA1R_gp2241
ko:K07490	paer:PA1R_gp2256
ko:K04759	paer:PA1R_gp2257
ko:K04758	paer:PA1R_gp2258
ko:K05596	paer:PA1R_gp2263
ko:K09964	paer:PA1R_gp2264
ko:K06895	paer:PA1R_gp2265
ko:K04564	paer:PA1R_gp2266
ko:K03744	paer:PA1R_gp2269
ko:K07231	paer:PA1R_gp2270
ko:K07338	paer:PA1R_gp2272
ko:K09947	paer:PA1R_gp2273
ko:K00763	paer:PA1R_gp2276
ko:K06199	paer:PA1R_gp2283
ko:K03569	paer:PA1R_gp2381
ko:K02435	paer:PA1R_gp2382
ko:K02433	paer:PA1R_gp2383
ko:K02434	paer:PA1R_gp2384
ko:K03642	paer:PA1R_gp2385
ko:K01607	paer:PA1R_gp2386
ko:K06894	paer:PA1R_gp2389
ko:K09934	paer:PA1R_gp2390
ko:K15012	paer:PA1R_gp2393
ko:K15011	paer:PA1R_gp2394
ko:K12368	paer:PA1R_gp2396
ko:K12368	paer:PA1R_gp2400
ko:K12368	paer:PA1R_gp2403
ko:K12369	paer:PA1R_gp2404
ko:K12370	paer:PA1R_gp2405
ko:K12371	paer:PA1R_gp2406
ko:K12372	paer:PA1R_gp2407
ko:K07160	paer:PA1R_gp2412
ko:K00380	paer:PA1R_gp2414
ko:K16090	paer:PA1R_gp2415
ko:K07126	paer:PA1R_gp2417
ko:K07032	paer:PA1R_gp2419
ko:K01581	paer:PA1R_gp2420
ko:K03406	paer:PA1R_gp2421
ko:K03807	paer:PA1R_gp2422
ko:K03806	paer:PA1R_gp2423
ko:K00767	paer:PA1R_gp2425
ko:K02652	paer:PA1R_gp2428
ko:K02653	paer:PA1R_gp2429
ko:K00564	paer:PA1R_gp2534
ko:K11733	paer:PA1R_gp2535
ko:K03406	paer:PA1R_gp2540
ko:K07507	paer:PA1R_gp2542
ko:K07286	paer:PA1R_gp2547
ko:K00116	paer:PA1R_gp2548
ko:K04750	paer:PA1R_gp2549
ko:K00760	paer:PA1R_gp2553
ko:K00761	paer:PA1R_gp2554
ko:K02824	paer:PA1R_gp2555
ko:K07346	paer:PA1R_gp2559
ko:K07347	paer:PA1R_gp2560
ko:K01772	paer:PA1R_gp2563
ko:K07071	paer:PA1R_gp2564
ko:K06955	paer:PA1R_gp2565
ko:K01669	paer:PA1R_gp2568
ko:K01776	paer:PA1R_gp2570
ko:K02493	paer:PA1R_gp2572
ko:K02835	paer:PA1R_gp2573
ko:K02492	paer:PA1R_gp2574
ko:K02494	paer:PA1R_gp2576
ko:K00919	paer:PA1R_gp2577
ko:K00948	paer:PA1R_gp2579
ko:K02897	paer:PA1R_gp2580
ko:K01056	paer:PA1R_gp2581
ko:K06942	paer:PA1R_gp2582
ko:K13643	paer:PA1R_gp1679
ko:K00640	paer:PA1R_gp1680
ko:K15396	paer:PA1R_gp1681
ko:K01092	paer:PA1R_gp1682
ko:K03074	paer:PA1R_gp1684
ko:K03072	paer:PA1R_gp1685
ko:K03210	paer:PA1R_gp1686
ko:K00773	paer:PA1R_gp1687
ko:K07568	paer:PA1R_gp1688
ko:K11720	paer:PA1R_gp1721
ko:K07091	paer:PA1R_gp1722
ko:K06889	paer:PA1R_gp1723
ko:K01255	paer:PA1R_gp1725
ko:K02339	paer:PA1R_gp1726
ko:K01873	paer:PA1R_gp1728
ko:K01989	paer:PA1R_gp1731
ko:K05832	paer:PA1R_gp1732
ko:K10805	paer:PA1R_gp1832
ko:K07679	paer:PA1R_gp1836
ko:K07690	paer:PA1R_gp1838
ko:K07007	paer:PA1R_gp1839
ko:K09945	paer:PA1R_gp1842
ko:K17228	paer:PA1R_gp1844
ko:K03579	paer:PA1R_gp1851
ko:K06181	paer:PA1R_gp1858
ko:K01241	paer:PA1R_gp1861
ko:K09456	paer:PA1R_gp1863
ko:K00941	paer:PA1R_gp1866
ko:K00788	paer:PA1R_gp1867
ko:K01845	paer:PA1R_gp1868
ko:K07126	paer:PA1R_gp1869
ko:K06168	paer:PA1R_gp1871
ko:K07042	paer:PA1R_gp1873
ko:K06189	paer:PA1R_gp1874
ko:K03820	paer:PA1R_gp1875
ko:K01869	paer:PA1R_gp1878
ko:K03643	paer:PA1R_gp1879
ko:K02340	paer:PA1R_gp1880
ko:K07267	paer:PA1R_gp1988
ko:K15977	paer:PA1R_gp1995
ko:K09929	paer:PA1R_gp1996
ko:K09930	paer:PA1R_gp1997
ko:K08159	paer:PA1R_gp2004
ko:K00657	paer:PA1R_gp2005
ko:K06966	paer:PA1R_gp2006
ko:K02508	paer:PA1R_gp2011
ko:K05921	paer:PA1R_gp2012
ko:K05921	paer:PA1R_gp2013
ko:K00151	paer:PA1R_gp2014
ko:K00455	paer:PA1R_gp2015
ko:K01826	paer:PA1R_gp2016
ko:K02509	paer:PA1R_gp2018
ko:K02510	paer:PA1R_gp2019
ko:K00381	paer:PA1R_gp2021
ko:K00404	paer:PA1R_gp2024
ko:K07552	paer:PA1R_gp2027
ko:K01866	paer:PA1R_gp2029
ko:K13408	paer:PA1R_gp2033
ko:K13409	paer:PA1R_gp2034
ko:K02028	paer:PA1R_gp2083
ko:K02029	paer:PA1R_gp2084
ko:K02029	paer:PA1R_gp2085
ko:K02030	paer:PA1R_gp2086
ko:K00666	paer:PA1R_gp2089
ko:K01921	paer:PA1R_gp2092
ko:K00459	paer:PA1R_gp2093
ko:K01626	paer:PA1R_gp2103
ko:K13063	paer:PA1R_gp2105
ko:K16088	paer:PA1R_gp2112
ko:K06147	paer:PA1R_gp2113
ko:K12243	paer:PA1R_gp2118
ko:K04782	paer:PA1R_gp2121
ko:K03701	paer:PA1R_gp2125
ko:K03594	paer:PA1R_gp2126
ko:K03781	paer:PA1R_gp2127
ko:K02879	paer:PA1R_gp2128
ko:K03040	paer:PA1R_gp2129
ko:K03582	paer:PA1R_gp2181
ko:K03583	paer:PA1R_gp2182
ko:K07240	paer:PA1R_gp2186
ko:K03406	paer:PA1R_gp2187
ko:K16322	paer:PA1R_gp2189
ko:K02278	paer:PA1R_gp2192
ko:K12511	paer:PA1R_gp2197
ko:K12510	paer:PA1R_gp2198
ko:K02283	paer:PA1R_gp2199
ko:K02282	paer:PA1R_gp2200
ko:K02280	paer:PA1R_gp2201
ko:K02279	paer:PA1R_gp2202
ko:K02651	paer:PA1R_gp2203
ko:K03406	paer:PA1R_gp2204
ko:K06915	paer:PA1R_gp2205
ko:K03406	paer:PA1R_gp2206
ko:K03406	paer:PA1R_gp2207
ko:K14335	paer:PA1R_gp2209
ko:K06986	paer:PA1R_gp2210
ko:K01433	paer:PA1R_gp2213
ko:K01141	paer:PA1R_gp2215
ko:K03924	paer:PA1R_gp2221
ko:K14055	paer:PA1R_gp2227
ko:K00873	paer:PA1R_gp2228
ko:K01676	paer:PA1R_gp2232
ko:K04077	paer:PA1R_gp2285
ko:K04078	paer:PA1R_gp2286
ko:K07113	paer:PA1R_gp2287
ko:K07226	paer:PA1R_gp2288
ko:K00059	paer:PA1R_gp2289
ko:K07443	paer:PA1R_gp2292
ko:K08218	paer:PA1R_gp2293
ko:K03442	paer:PA1R_gp2294
ko:K09767	paer:PA1R_gp2295
ko:K00077	paer:PA1R_gp2297
ko:K00798	paer:PA1R_gp2299
ko:K03574	paer:PA1R_gp2300
ko:K00620	paer:PA1R_gp2302
ko:K03070	paer:PA1R_gp2303
ko:K02535	paer:PA1R_gp2306
ko:K03531	paer:PA1R_gp2307
ko:K03590	paer:PA1R_gp2308
ko:K03589	paer:PA1R_gp2309
ko:K01921	paer:PA1R_gp2310
ko:K01924	paer:PA1R_gp2311
ko:K02563	paer:PA1R_gp2312
ko:K03588	paer:PA1R_gp2313
ko:K01925	paer:PA1R_gp2314
ko:K01000	paer:PA1R_gp2315
ko:K01929	paer:PA1R_gp2316
ko:K01928	paer:PA1R_gp2317
ko:K03587	paer:PA1R_gp2318
ko:K03586	paer:PA1R_gp2319
ko:K03438	paer:PA1R_gp2320
ko:K03925	paer:PA1R_gp2321
ko:K07056	paer:PA1R_gp2322
ko:K07121	paer:PA1R_gp2323
ko:K07460	paer:PA1R_gp2324
ko:K03271	paer:PA1R_gp2325
ko:K03600	paer:PA1R_gp2327
ko:K03599	paer:PA1R_gp2328
ko:K00413	paer:PA1R_gp2329
ko:K00412	paer:PA1R_gp2330
ko:K00411	paer:PA1R_gp2331
ko:K02654	paer:PA1R_gp2430
ko:K00859	paer:PA1R_gp2431
ko:K03885	paer:PA1R_gp2438
ko:K06916	paer:PA1R_gp2439
ko:K03695	paer:PA1R_gp2445
ko:K05810	paer:PA1R_gp2446
ko:K06180	paer:PA1R_gp2447
ko:K05807	paer:PA1R_gp2448
ko:K06950	paer:PA1R_gp2449
ko:K02668	paer:PA1R_gp2450
ko:K02667	paer:PA1R_gp2451
ko:K03153	paer:PA1R_gp2452
ko:K08084	paer:PA1R_gp2453
ko:K02671	paer:PA1R_gp2455
ko:K02672	paer:PA1R_gp2456
ko:K02673	paer:PA1R_gp2457
ko:K02674	paer:PA1R_gp2458
ko:K02655	paer:PA1R_gp2460
ko:K03527	paer:PA1R_gp2461
ko:K03774	paer:PA1R_gp2462
ko:K03101	paer:PA1R_gp2463
ko:K01870	paer:PA1R_gp2464
ko:K11753	paer:PA1R_gp2465
ko:K03980	paer:PA1R_gp2466
ko:K02968	paer:PA1R_gp2467
ko:K05805	paer:PA1R_gp2468
ko:K00931	paer:PA1R_gp2469
ko:K03979	paer:PA1R_gp2470
ko:K02899	paer:PA1R_gp2471
ko:K02888	paer:PA1R_gp2472
ko:K02523	paer:PA1R_gp2473
ko:K03773	paer:PA1R_gp2476
ko:K02014	paer:PA1R_gp2585
ko:K01673	paer:PA1R_gp2586
ko:K03789	paer:PA1R_gp2588
ko:K02012	paer:PA1R_gp2597
ko:K02011	paer:PA1R_gp2598
ko:K03808	paer:PA1R_gp2600
ko:K03808	paer:PA1R_gp2601
ko:K17247	paer:PA1R_gp2607
ko:K17103	paer:PA1R_gp2609
ko:K00053	paer:PA1R_gp2610
ko:K01653	paer:PA1R_gp2611
ko:K01652	paer:PA1R_gp2612
ko:K05365	paer:PA1R_gp2616
ko:K07028	paer:PA1R_gp2617
ko:K02013	paer:PA1R_gp2622
ko:K02015	paer:PA1R_gp2623
ko:K02016	paer:PA1R_gp2624
ko:K07225	paer:PA1R_gp2625
ko:K16087	paer:PA1R_gp2626
ko:K14261	paer:PA1R_gp2631
ko:K07054	paer:PA1R_gp2633
ko:K03303	paer:PA1R_gp2686
ko:K00101	paer:PA1R_gp2687
ko:K01611	paer:PA1R_gp2689
ko:K00797	paer:PA1R_gp2690
ko:K09962	paer:PA1R_gp2695
ko:K15268	paer:PA1R_gp2696
ko:K07178	paer:PA1R_gp2697
ko:K00626	paer:PA1R_gp2702
ko:K00059	paer:PA1R_gp2703
ko:K06219	paer:PA1R_gp2707
ko:K01126	paer:PA1R_gp2709
ko:K03833	paer:PA1R_gp2727
ko:K01042	paer:PA1R_gp2728
ko:K02380	paer:PA1R_gp2729
ko:K00127	paer:PA1R_gp2730
ko:K00124	paer:PA1R_gp2731
ko:K00123	paer:PA1R_gp2732
ko:K00219	paer:PA1R_gp2734
ko:K09936	paer:PA1R_gp2735
ko:K01430	paer:PA1R_gp2787
ko:K03823	paer:PA1R_gp2788
ko:K01429	paer:PA1R_gp2789
ko:K01428	paer:PA1R_gp2790
ko:K04046	paer:PA1R_gp2795
ko:K04064	paer:PA1R_gp2798
ko:K07290	paer:PA1R_gp2801
ko:K03594	paer:PA1R_gp2802
ko:K07665	paer:PA1R_gp2807
ko:K07644	paer:PA1R_gp2808
ko:K00508	paer:PA1R_gp2810
ko:K03187	paer:PA1R_gp2813
ko:K03188	paer:PA1R_gp2814
ko:K03189	paer:PA1R_gp2815
ko:K03192	paer:PA1R_gp2816
ko:K03088	paer:PA1R_gp2818
ko:K16087	paer:PA1R_gp2819
ko:K05548	paer:PA1R_gp2822
ko:K01576	paer:PA1R_gp2823
ko:K11475	paer:PA1R_gp2828
ko:K01996	paer:PA1R_gp2831
ko:K01995	paer:PA1R_gp2832
ko:K01998	paer:PA1R_gp2833
ko:K01997	paer:PA1R_gp2834
ko:K01999	paer:PA1R_gp2835
ko:K02621	paer:PA1R_gp2887
ko:K06985	paer:PA1R_gp2888
ko:K02622	paer:PA1R_gp2890
ko:K07000	paer:PA1R_gp2891
ko:K03651	paer:PA1R_gp2892
ko:K09920	paer:PA1R_gp2893
ko:K01515	paer:PA1R_gp2894
ko:K03147	paer:PA1R_gp2896
ko:K12340	paer:PA1R_gp2897
ko:K00355	paer:PA1R_gp2898
ko:K12252	paer:PA1R_gp2899
ko:K15866	paer:PA1R_gp2903
ko:K02205	paer:PA1R_gp2904
ko:K02030	paer:PA1R_gp2906
ko:K02055	paer:PA1R_gp2909
ko:K02527	paer:PA1R_gp2912
ko:K01953	paer:PA1R_gp2920
ko:K03272	paer:PA1R_gp2921
ko:K11085	paer:PA1R_gp2922
ko:K00612	paer:PA1R_gp2930
ko:K02848	paer:PA1R_gp2934
ko:K05603	paer:PA1R_gp3033
ko:K03098	paer:PA1R_gp3034
ko:K03841	paer:PA1R_gp3037
ko:K01759	paer:PA1R_gp3038
ko:K12686	paer:PA1R_gp3039
ko:K06207	paer:PA1R_gp3044
ko:K03151	paer:PA1R_gp3045
ko:K01915	paer:PA1R_gp3046
ko:K07708	paer:PA1R_gp3051
ko:K07712	paer:PA1R_gp3052
ko:K03216	paer:PA1R_gp3054
ko:K03071	paer:PA1R_gp3055
ko:K15633	paer:PA1R_gp3058
ko:K07052	paer:PA1R_gp3059
ko:K03797	paer:PA1R_gp3061
ko:K09798	paer:PA1R_gp3062
ko:K02030	paer:PA1R_gp3066
ko:K02500	paer:PA1R_gp3067
ko:K01814	paer:PA1R_gp3068
ko:K02501	paer:PA1R_gp3070
ko:K01693	paer:PA1R_gp3071
ko:K07289	paer:PA1R_gp3075
ko:K03575	paer:PA1R_gp3076
ko:K09768	paer:PA1R_gp3180
ko:K07243	paer:PA1R_gp3181
ko:K05834	paer:PA1R_gp3182
ko:K06158	paer:PA1R_gp3185
ko:K03773	paer:PA1R_gp3188
ko:K07740	paer:PA1R_gp3189
ko:K03611	paer:PA1R_gp3190
ko:K02498	paer:PA1R_gp3191
ko:K02496	paer:PA1R_gp3192
ko:K01719	paer:PA1R_gp3193
ko:K01749	paer:PA1R_gp3194
ko:K08083	paer:PA1R_gp3195
ko:K08082	paer:PA1R_gp3196
ko:K01755	paer:PA1R_gp3197
ko:K03284	paer:PA1R_gp3203
ko:K02030	paer:PA1R_gp3205
ko:K05851	paer:PA1R_gp3207
ko:K06140	paer:PA1R_gp3209
ko:K06202	paer:PA1R_gp3210
ko:K01586	paer:PA1R_gp3211
ko:K01778	paer:PA1R_gp3212
ko:K09921	paer:PA1R_gp3213
ko:K03733	paer:PA1R_gp3214
ko:K03320	paer:PA1R_gp3221
ko:K04752	paer:PA1R_gp3222
ko:K09806	paer:PA1R_gp3223
ko:K07391	paer:PA1R_gp3224
ko:K02168	paer:PA1R_gp3225
ko:K03327	paer:PA1R_gp3228
ko:K02996	paer:PA1R_gp2332
ko:K02871	paer:PA1R_gp2333
ko:K06916	paer:PA1R_gp2338
ko:K01867	paer:PA1R_gp2339
ko:K07018	paer:PA1R_gp2340
ko:K09908	paer:PA1R_gp2341
ko:K00955	paer:PA1R_gp2342
ko:K00957	paer:PA1R_gp2343
ko:K08305	paer:PA1R_gp2344
ko:K04691	paer:PA1R_gp2346
ko:K00817	paer:PA1R_gp2347
ko:K00013	paer:PA1R_gp2348
ko:K00765	paer:PA1R_gp2349
ko:K00790	paer:PA1R_gp2350
ko:K07122	paer:PA1R_gp2352
ko:K07323	paer:PA1R_gp2353
ko:K02067	paer:PA1R_gp2354
ko:K02066	paer:PA1R_gp2355
ko:K02065	paer:PA1R_gp2356
ko:K06041	paer:PA1R_gp2357
ko:K03270	paer:PA1R_gp2358
ko:K11719	paer:PA1R_gp2359
ko:K09774	paer:PA1R_gp2360
ko:K06861	paer:PA1R_gp2361
ko:K03092	paer:PA1R_gp2362
ko:K05808	paer:PA1R_gp2363
ko:K02806	paer:PA1R_gp2364
ko:K06958	paer:PA1R_gp2365
ko:K11189	paer:PA1R_gp2366
ko:K07238	paer:PA1R_gp2367
ko:K04564	paer:PA1R_gp2368
ko:K01679	paer:PA1R_gp2370
ko:K03592	paer:PA1R_gp2372
ko:K09889	paer:PA1R_gp2373
ko:K03568	paer:PA1R_gp2374
ko:K08301	paer:PA1R_gp2377
ko:K06287	paer:PA1R_gp2378
ko:K03571	paer:PA1R_gp2379
ko:K03570	paer:PA1R_gp2380
ko:K14414	paer:PA1R_gp2485
ko:K14415	paer:PA1R_gp2488
ko:K07074	paer:PA1R_gp2489
ko:K01974	paer:PA1R_gp2490
ko:K00428	paer:PA1R_gp2492
ko:K00262	paer:PA1R_gp2493
ko:K06076	paer:PA1R_gp2494
ko:K02004	paer:PA1R_gp2498
ko:K02003	paer:PA1R_gp2499
ko:K00600	paer:PA1R_gp2508
ko:K06200	paer:PA1R_gp2512
ko:K04485	paer:PA1R_gp2515
ko:K09794	paer:PA1R_gp2517
ko:K03781	paer:PA1R_gp2519
ko:K03282	paer:PA1R_gp2520
ko:K00528	paer:PA1R_gp2521
ko:K07141	paer:PA1R_gp2524
ko:K07402	paer:PA1R_gp2525
ko:K06901	paer:PA1R_gp2635
ko:K06206	paer:PA1R_gp2637
ko:K06204	paer:PA1R_gp2639
ko:K01894	paer:PA1R_gp2640
ko:K00970	paer:PA1R_gp2643
ko:K00950	paer:PA1R_gp2644
ko:K00606	paer:PA1R_gp2645
ko:K01918	paer:PA1R_gp2646
ko:K01579	paer:PA1R_gp2647
ko:K01810	paer:PA1R_gp2648
ko:K01895	paer:PA1R_gp2649
ko:K00962	paer:PA1R_gp2655
ko:K02956	paer:PA1R_gp2656
ko:K03177	paer:PA1R_gp2657
ko:K02834	paer:PA1R_gp2658
ko:K02519	paer:PA1R_gp2659
ko:K02600	paer:PA1R_gp2660
ko:K09748	paer:PA1R_gp2661
ko:K01803	paer:PA1R_gp2664
ko:K03431	paer:PA1R_gp2665
ko:K00796	paer:PA1R_gp2666
ko:K03798	paer:PA1R_gp2667
ko:K02427	paer:PA1R_gp2668
ko:K07574	paer:PA1R_gp2669
ko:K03624	paer:PA1R_gp2671
ko:K01955	paer:PA1R_gp2672
ko:K11250	paer:PA1R_gp2673
ko:K01956	paer:PA1R_gp2674
ko:K00215	paer:PA1R_gp2675
ko:K03686	paer:PA1R_gp2676
ko:K04043	paer:PA1R_gp2677
ko:K03687	paer:PA1R_gp2678
ko:K03631	paer:PA1R_gp2679
ko:K03711	paer:PA1R_gp2680
ko:K06186	paer:PA1R_gp2681
ko:K09801	paer:PA1R_gp2682
ko:K03664	paer:PA1R_gp2684
ko:K06940	paer:PA1R_gp2737
ko:K03327	paer:PA1R_gp2741
ko:K03324	paer:PA1R_gp2743
ko:K01531	paer:PA1R_gp2746
ko:K00675	paer:PA1R_gp2748
ko:K08983	paer:PA1R_gp2749
ko:K00382	paer:PA1R_gp2750
ko:K07124	paer:PA1R_gp2753
ko:K11068	paer:PA1R_gp2754
ko:K02014	paer:PA1R_gp2758
ko:K01585	paer:PA1R_gp2760
ko:K03113	paer:PA1R_gp2761
ko:K04084	paer:PA1R_gp2767
ko:K03786	paer:PA1R_gp2768
ko:K02160	paer:PA1R_gp2769
ko:K01961	paer:PA1R_gp2770
ko:K02687	paer:PA1R_gp2771
ko:K05540	paer:PA1R_gp2773
ko:K03557	paer:PA1R_gp2774
ko:K00602	paer:PA1R_gp2775
ko:K01945	paer:PA1R_gp2776
ko:K05595	paer:PA1R_gp2778
ko:K11959	paer:PA1R_gp2780
ko:K11960	paer:PA1R_gp2781
ko:K11961	paer:PA1R_gp2782
ko:K11962	paer:PA1R_gp2783
ko:K11963	paer:PA1R_gp2784
ko:K03190	paer:PA1R_gp2786
ko:K03406	paer:PA1R_gp2837
ko:K08281	paer:PA1R_gp2840
ko:K00763	paer:PA1R_gp2841
ko:K01916	paer:PA1R_gp2842
ko:K06966	paer:PA1R_gp2845
ko:K03442	paer:PA1R_gp2847
ko:K01775	paer:PA1R_gp2852
ko:K02939	paer:PA1R_gp2854
ko:K02963	paer:PA1R_gp2856
ko:K02990	paer:PA1R_gp2857
ko:K03218	paer:PA1R_gp2858
ko:K12573	paer:PA1R_gp2859
ko:K01939	paer:PA1R_gp2862
ko:K02502	paer:PA1R_gp2863
ko:K04087	paer:PA1R_gp2864
ko:K04088	paer:PA1R_gp2865
ko:K03665	paer:PA1R_gp2866
ko:K03666	paer:PA1R_gp2867
ko:K00791	paer:PA1R_gp2868
ko:K03572	paer:PA1R_gp2869
ko:K01448	paer:PA1R_gp2870
ko:K06925	paer:PA1R_gp2871
ko:K17758	paer:PA1R_gp2872
ko:K17759	paer:PA1R_gp2872
ko:K13288	paer:PA1R_gp2874
ko:K06949	paer:PA1R_gp2875
ko:K02557	paer:PA1R_gp2876
ko:K02556	paer:PA1R_gp2877
ko:K01011	paer:PA1R_gp2879
ko:K01613	paer:PA1R_gp2880
ko:K01079	paer:PA1R_gp2883
ko:K07038	paer:PA1R_gp2885
ko:K09857	paer:PA1R_gp2886
ko:K02844	paer:PA1R_gp2935
ko:K02841	paer:PA1R_gp2936
ko:K02843	paer:PA1R_gp2937
ko:K00826	paer:PA1R_gp2938
ko:K00982	paer:PA1R_gp2939
ko:K00163	paer:PA1R_gp2940
ko:K00627	paer:PA1R_gp2941
ko:K07304	paer:PA1R_gp2944
ko:K07115	paer:PA1R_gp2945
ko:K11105	paer:PA1R_gp2947
ko:K05802	paer:PA1R_gp2948
ko:K07090	paer:PA1R_gp2950
ko:K01740	paer:PA1R_gp2951
ko:K08224	paer:PA1R_gp2956
ko:K01599	paer:PA1R_gp2960
ko:K00266	paer:PA1R_gp2961
ko:K00265	paer:PA1R_gp2962
ko:K03112	paer:PA1R_gp2963
ko:K01735	paer:PA1R_gp2964
ko:K00891	paer:PA1R_gp2965
ko:K02666	paer:PA1R_gp2966
ko:K02665	paer:PA1R_gp2967
ko:K02662	paer:PA1R_gp2970
ko:K05366	paer:PA1R_gp2971
ko:K00029	paer:PA1R_gp2972
ko:K02909	paer:PA1R_gp2975
ko:K04066	paer:PA1R_gp2976
ko:K01887	paer:PA1R_gp2977
ko:K01419	paer:PA1R_gp2979
ko:K03667	paer:PA1R_gp2980
ko:K03821	paer:PA1R_gp2982
ko:K02028	paer:PA1R_gp3082
ko:K02030	paer:PA1R_gp3083
ko:K02029	paer:PA1R_gp3084
ko:K02029	paer:PA1R_gp3085
ko:K03543	paer:PA1R_gp3089
ko:K03446	paer:PA1R_gp3090
ko:K00067	paer:PA1R_gp3093
ko:K00973	paer:PA1R_gp3094
ko:K01790	paer:PA1R_gp3095
ko:K10125	paer:PA1R_gp3096
ko:K10126	paer:PA1R_gp3097
ko:K11688	paer:PA1R_gp3098
ko:K11689	paer:PA1R_gp3099
ko:K03758	paer:PA1R_gp3101
ko:K01478	paer:PA1R_gp3102
ko:K00611	paer:PA1R_gp3103
ko:K00926	paer:PA1R_gp3104
ko:K01082	paer:PA1R_gp3106
ko:K08312	paer:PA1R_gp3107
ko:K02379	paer:PA1R_gp3111
ko:K04093	paer:PA1R_gp3116
ko:K07107	paer:PA1R_gp3117
ko:K01610	paer:PA1R_gp3125
ko:K04083	paer:PA1R_gp3126
ko:K04762	paer:PA1R_gp3128
ko:K05844	paer:PA1R_gp3130
ko:K03656	paer:PA1R_gp3229
ko:K00156	paer:PA1R_gp3230
ko:K03816	paer:PA1R_gp3231
ko:K01775	paer:PA1R_gp3235
ko:K00285	paer:PA1R_gp3237
ko:K09978	paer:PA1R_gp3238
ko:K12254	paer:PA1R_gp3244
ko:K00822	paer:PA1R_gp3245
ko:K06995	paer:PA1R_gp3246
ko:K02902	paer:PA1R_gp3247
ko:K02035	paer:PA1R_gp3248
ko:K03630	paer:PA1R_gp3250
ko:K13038	paer:PA1R_gp3251
ko:K15778	paer:PA1R_gp3253
ko:K00930	paer:PA1R_gp3254
ko:K07107	paer:PA1R_gp3260
ko:K00762	paer:PA1R_gp3262
ko:K01142	paer:PA1R_gp3263
ko:K09940	paer:PA1R_gp3264
ko:K00989	paer:PA1R_gp3265
ko:K00942	paer:PA1R_gp3267
ko:K03060	paer:PA1R_gp3268
ko:K04761	paer:PA1R_gp3275
ko:K03655	paer:PA1R_gp3276
ko:K05787	paer:PA1R_gp3279
ko:K01273	paer:PA1R_gp3329
ko:K03522	paer:PA1R_gp3333
ko:K03521	paer:PA1R_gp3334
ko:K07727	paer:PA1R_gp3336
ko:K00479	paer:PA1R_gp3342
ko:K01620	paer:PA1R_gp3345
ko:K00303	paer:PA1R_gp3349
ko:K00305	paer:PA1R_gp3352
ko:K01433	paer:PA1R_gp3353
ko:K01792	paer:PA1R_gp3355
ko:K09950	paer:PA1R_gp3356
ko:K01589	paer:PA1R_gp3358
ko:K01588	paer:PA1R_gp3359
ko:K13953	paer:PA1R_gp3361
ko:K01744	paer:PA1R_gp3363
ko:K07112	paer:PA1R_gp3364
ko:K00375	paer:PA1R_gp3365
ko:K03835	paer:PA1R_gp3368
ko:K01960	paer:PA1R_gp3369
ko:K01959	paer:PA1R_gp3370
ko:K00036	paer:PA1R_gp3373
ko:K08303	paer:PA1R_gp3374
ko:K03657	paer:PA1R_gp3378
ko:K08978	paer:PA1R_gp3379
ko:K09817	paer:PA1R_gp3434
ko:K09816	paer:PA1R_gp3435
ko:K02071	paer:PA1R_gp3437
ko:K02072	paer:PA1R_gp3438
ko:K02073	paer:PA1R_gp3439
ko:K01915	paer:PA1R_gp3442
ko:K10126	paer:PA1R_gp3445
ko:K10125	paer:PA1R_gp3446
ko:K00868	paer:PA1R_gp3450
ko:K03455	paer:PA1R_gp3452
ko:K01915	paer:PA1R_gp3456
ko:K01845	paer:PA1R_gp3457
ko:K00059	paer:PA1R_gp3458
ko:K03455	paer:PA1R_gp3463
ko:K03832	paer:PA1R_gp3465
ko:K06204	paer:PA1R_gp3471
ko:K01448	paer:PA1R_gp3473
ko:K09007	paer:PA1R_gp3474
ko:K01465	paer:PA1R_gp3476
ko:K07080	paer:PA1R_gp3480
ko:K00574	paer:PA1R_gp3481
ko:K02004	paer:PA1R_gp3586
ko:K02003	paer:PA1R_gp3587
ko:K11890	paer:PA1R_gp3590
ko:K11891	paer:PA1R_gp3591
ko:K11892	paer:PA1R_gp3592
ko:K11893	paer:PA1R_gp3593
ko:K11906	paer:PA1R_gp3594
ko:K11902	paer:PA1R_gp3596
ko:K11901	paer:PA1R_gp3597
ko:K11900	paer:PA1R_gp3598
ko:K11903	paer:PA1R_gp3599
ko:K11898	paer:PA1R_gp3600
ko:K11897	paer:PA1R_gp3601
ko:K11896	paer:PA1R_gp3602
ko:K11895	paer:PA1R_gp3603
ko:K11907	paer:PA1R_gp3604
ko:K00647	paer:PA1R_gp3612
ko:K01673	paer:PA1R_gp3616
ko:K02275	paer:PA1R_gp3619
ko:K02274	paer:PA1R_gp3620
