ko:K05576	syz:MYO_129470
ko:K00821	syz:MYO_15900
ko:K21231	syz:MYO_120210
ko:K02703	syz:MYO_180
ko:K02316	syz:MYO_116690
ko:K02703	syz:MYO_116700
ko:K07313	syz:MYO_116780
ko:K02314	syz:MYO_125790
ko:K05371	syz:MYO_127170
ko:K13522	syz:MYO_127560
ko:K03676	syz:MYO_19650
ko:K02715	syz:MYO_110650
ko:K02706	syz:MYO_129160
ko:K06223	syz:MYO_111620
ko:K03676	syz:MYO_130320
ko:K02706	syz:MYO_112350
ko:K06223	syz:MYO_130830
ko:K02703	syz:MYO_131590
ko:K00558	syz:MYO_122720
ko:K02638	syz:MYO_122880
ko:K03553	syz:MYO_131870
ko:K03546	syz:MYO_14620
ko:K03465	syz:MYO_15040
ko:K06217	syz:MYO_15450
ko:K02335	syz:MYO_128110
ko:K21147	syz:MYO_118810
ko:K02022	syz:MYO_117070
ko:K14333	syz:MYO_126810
ko:K03636	syz:MYO_115750
ko:K01090	syz:MYO_11950
ko:K11527	syz:MYO_114350
ko:K11527	syz:MYO_113210
ko:K11527	syz:MYO_114290
ko:K11527	syz:MYO_114300
ko:K11527	syz:MYO_115240
ko:K00526	syz:MYO_131820
ko:K22044	syz:MYO_16060
ko:K21480	syz:MYO_12900
ko:K21480	syz:MYO_116590
ko:K21430	syz:MYO_14510
ko:K21563	syz:MYO_131260
ko:K21495	syz:MYO_450
ko:K10026	syz:MYO_111460
ko:K07334	syz:MYO_2210
ko:K10914	syz:MYO_117030
ko:K21703	syz:MYO_113600
ko:K21600	syz:MYO_121090
ko:K21561	syz:MYO_114480
ko:K10914	syz:MYO_16920
ko:K21703	syz:MYO_128650
ko:K13638	syz:MYO_127960
ko:K03741	syz:MYO_118500
ko:K22044	syz:MYO_128320
ko:K21903	syz:MYO_127690
ko:K22044	syz:MYO_11730
ko:K03595	syz:MYO_120780
ko:K08994	syz:MYO_13710
ko:K02257	syz:MYO_116210
ko:K03181	syz:MYO_17820
ko:K22305	syz:MYO_1730
ko:K02226	syz:MYO_19270
ko:K01551	syz:MYO_126090
ko:K11206	syz:MYO_124320
ko:K00728	syz:MYO_14650
ko:K01007	syz:MYO_127310
