ko:K06896	efl:EF62_1332
ko:K03547	efl:EF62_1054
ko:K03595	efl:EF62_2629
ko:K07456	efl:EF62_0060
ko:K03078	efl:EF62_1580
ko:K03079	efl:EF62_1581
ko:K22278	efl:EF62_0980
ko:K17758	efl:EF62_2163
ko:K03077	efl:EF62_1582
ko:K22330	efl:EF62_1003
ko:K22441	efl:EF62_0085
ko:K22441	efl:EF62_1968
