ko:K16697	bsl:A7A1_1167
ko:K01652	bsl:A7A1_1590
ko:K01653	bsl:A7A1_1591
ko:K00053	bsl:A7A1_1592
ko:K01649	bsl:A7A1_1593
ko:K00052	bsl:A7A1_1594
ko:K01703	bsl:A7A1_0468
ko:K01704	bsl:A7A1_0467
ko:K03545	bsl:A7A1_0465
ko:K03544	bsl:A7A1_0464
ko:K01338	bsl:A7A1_0462
ko:K03978	bsl:A7A1_0461
ko:K02492	bsl:A7A1_0459
ko:K02497	bsl:A7A1_0458
ko:K01749	bsl:A7A1_0457
ko:K01698	bsl:A7A1_0455
ko:K01845	bsl:A7A1_0454
ko:K06417	bsl:A7A1_0453
ko:K01873	bsl:A7A1_0450
ko:K11754	bsl:A7A1_0449
ko:K06287	bsl:A7A1_0446
ko:K03630	bsl:A7A1_0445
ko:K03569	bsl:A7A1_0444
ko:K03570	bsl:A7A1_0443
ko:K03571	bsl:A7A1_0442
ko:K03610	bsl:A7A1_0441
ko:K03609	bsl:A7A1_0440
ko:K06401	bsl:A7A1_0439
ko:K02888	bsl:A7A1_0437
ko:K02899	bsl:A7A1_0435
ko:K06439	bsl:A7A1_0340
ko:K03483	bsl:A7A1_1639
ko:K00034	bsl:A7A1_3085
ko:K05519	bsl:A7A1_0947
ko:K06424	bsl:A7A1_2480
ko:K06365	bsl:A7A1_2380
ko:K06368	bsl:A7A1_1916
ko:K06364	bsl:A7A1_0165
ko:K06362	bsl:A7A1_1077
ko:K06359	bsl:A7A1_0252
ko:K06361	bsl:A7A1_3101
ko:K06389	bsl:A7A1_1425
ko:K16199	bsl:A7A1_1440
ko:K06326	bsl:A7A1_0658
ko:K06419	bsl:A7A1_3753
ko:K06418	bsl:A7A1_0723
ko:K13277	bsl:A7A1_2091
ko:K13276	bsl:A7A1_0495
ko:K15772	bsl:A7A1_2679
ko:K15771	bsl:A7A1_2680
ko:K16786	bsl:A7A1_0061
ko:K17234	bsl:A7A1_3172
ko:K16787	bsl:A7A1_0060
ko:K16785	bsl:A7A1_0059
ko:K16699	bsl:A7A1_1172
ko:K15328	bsl:A7A1_3375
ko:K03339	bsl:A7A1_1975
ko:K07257	bsl:A7A1_0205
ko:K11637	bsl:A7A1_0655
ko:K15337	bsl:A7A1_3373
ko:K10119	bsl:A7A1_2474
ko:K06421	bsl:A7A1_1491
ko:K06320	bsl:A7A1_2851
ko:K06297	bsl:A7A1_2123
ko:K10810	bsl:A7A1_0983
ko:K09681	bsl:A7A1_2428
ko:K01906	bsl:A7A1_1652
ko:K02031	bsl:A7A1_0953
ko:K16789	bsl:A7A1_2209
ko:K01838	bsl:A7A1_2675
ko:K00130	bsl:A7A1_2216
ko:K02525	bsl:A7A1_2898
ko:K04757	bsl:A7A1_1405
ko:K15555	bsl:A7A1_3843
ko:K16694	bsl:A7A1_1166
ko:K16705	bsl:A7A1_1169
ko:K16706	bsl:A7A1_1170
ko:K06324	bsl:A7A1_0020
ko:K08168	bsl:A7A1_1263
ko:K07250	bsl:A7A1_3088
ko:K01233	bsl:A7A1_0329
ko:K16202	bsl:A7A1_1439
ko:K08777	bsl:A7A1_0926
ko:K15312	bsl:A7A1_3370
ko:K06336	bsl:A7A1_3579
ko:K06351	bsl:A7A1_3070
ko:K06595	bsl:A7A1_3696
ko:K01342	bsl:A7A1_3704
ko:K06113	bsl:A7A1_3166
ko:K02277	bsl:A7A1_0534
ko:K07705	bsl:A7A1_3155
ko:K02939	bsl:A7A1_1247
ko:K03449	bsl:A7A1_1245
ko:K01939	bsl:A7A1_1239
ko:K07668	bsl:A7A1_0124
ko:K07652	bsl:A7A1_0125
ko:K02484	bsl:A7A1_0134
ko:K13052	bsl:A7A1_1835
ko:K00819	bsl:A7A1_0135
ko:K02205	bsl:A7A1_0136
ko:K01476	bsl:A7A1_0137
ko:K06329	bsl:A7A1_1250
ko:K00783	bsl:A7A1_2388
ko:K08369	bsl:A7A1_1270
ko:K07052	bsl:A7A1_1269
ko:K06888	bsl:A7A1_1268
ko:K08224	bsl:A7A1_1260
ko:K15986	bsl:A7A1_1252
ko:K02914	bsl:A7A1_1289
ko:K03536	bsl:A7A1_1288
ko:K03217	bsl:A7A1_1287
ko:K06346	bsl:A7A1_1286
ko:K03495	bsl:A7A1_1284
ko:K03501	bsl:A7A1_1283
ko:K06942	bsl:A7A1_1278
ko:K02990	bsl:A7A1_1277
ko:K02963	bsl:A7A1_1275
ko:K01142	bsl:A7A1_1274
ko:K03650	bsl:A7A1_1285
ko:K01759	bsl:A7A1_1272
ko:K00661	bsl:A7A1_1271
ko:K06315	bsl:A7A1_1538
ko:K11641	bsl:A7A1_1924
ko:K13037	bsl:A7A1_0190
ko:K06296	bsl:A7A1_2122
ko:K13281	bsl:A7A1_0139
ko:K06378	bsl:A7A1_3041
ko:K06415	bsl:A7A1_3787
ko:K00634	bsl:A7A1_3634
ko:K03429	bsl:A7A1_2878
ko:K11640	bsl:A7A1_1925
ko:K06339	bsl:A7A1_0040
ko:K02303	bsl:A7A1_3524
ko:K01480	bsl:A7A1_0168
ko:K00483	bsl:A7A1_2448
ko:K06889	bsl:A7A1_0931
ko:K08097	bsl:A7A1_0911
ko:K02032	bsl:A7A1_1444
ko:K03406	bsl:A7A1_2237
ko:K03406	bsl:A7A1_2236
ko:K03406	bsl:A7A1_2235
ko:K03406	bsl:A7A1_2234
ko:K01813	bsl:A7A1_2229
ko:K03498	bsl:A7A1_2220
ko:K03499	bsl:A7A1_2219
ko:K07192	bsl:A7A1_2211
ko:K00700	bsl:A7A1_2136
ko:K02552	bsl:A7A1_2151
ko:K08680	bsl:A7A1_2153
ko:K02549	bsl:A7A1_2156
ko:K11707	bsl:A7A1_2157
ko:K11710	bsl:A7A1_2158
ko:K11708	bsl:A7A1_2159
ko:K11709	bsl:A7A1_2160
ko:K02050	bsl:A7A1_2172
ko:K02049	bsl:A7A1_2173
ko:K02051	bsl:A7A1_2175
ko:K01048	bsl:A7A1_2183
ko:K00652	bsl:A7A1_1654
ko:K05020	bsl:A7A1_1668
ko:K06183	bsl:A7A1_1672
ko:K01439	bsl:A7A1_1677
ko:K00027	bsl:A7A1_1687
ko:K08724	bsl:A7A1_0510
ko:K07177	bsl:A7A1_0521
ko:K02862	bsl:A7A1_0533
ko:K02274	bsl:A7A1_0536
ko:K01958	bsl:A7A1_0540
ko:K01092	bsl:A7A1_0560
ko:K03499	bsl:A7A1_0577
ko:K00882	bsl:A7A1_2373
ko:K03436	bsl:A7A1_2372
ko:K02004	bsl:A7A1_2371
ko:K02005	bsl:A7A1_2369
ko:K06147	bsl:A7A1_2367
ko:K06147	bsl:A7A1_2366
ko:K03635	bsl:A7A1_2364
ko:K05822	bsl:A7A1_2352
ko:K07098	bsl:A7A1_1551
ko:K00841	bsl:A7A1_1546
ko:K03406	bsl:A7A1_1541
ko:K08483	bsl:A7A1_1536
ko:K15329	bsl:A7A1_3374
ko:K00639	bsl:A7A1_3387
ko:K00059	bsl:A7A1_3399
ko:K03177	bsl:A7A1_3418
ko:K09764	bsl:A7A1_3420
ko:K02414	bsl:A7A1_3458
ko:K09787	bsl:A7A1_3488
ko:K00059	bsl:A7A1_3494
ko:K07030	bsl:A7A1_3501
ko:K06286	bsl:A7A1_0719
ko:K00059	bsl:A7A1_0738
ko:K07658	bsl:A7A1_0770
ko:K10563	bsl:A7A1_0773
ko:K03346	bsl:A7A1_3148
ko:K11144	bsl:A7A1_3149
ko:K07025	bsl:A7A1_3153
ko:K00853	bsl:A7A1_3168
ko:K01209	bsl:A7A1_3175
ko:K01759	bsl:A7A1_3177
ko:K03471	bsl:A7A1_3185
ko:K01209	bsl:A7A1_3196
ko:K00241	bsl:A7A1_1576
ko:K02428	bsl:A7A1_1585
ko:K04076	bsl:A7A1_0463
ko:K01719	bsl:A7A1_0456
ko:K02236	bsl:A7A1_0448
ko:K06402	bsl:A7A1_0438
ko:K07584	bsl:A7A1_0436
ko:K06414	bsl:A7A1_3504
ko:K00949	bsl:A7A1_3505
ko:K02823	bsl:A7A1_0472
ko:K02824	bsl:A7A1_0477
ko:K00374	bsl:A7A1_0144
ko:K06147	bsl:A7A1_0142
ko:K03048	bsl:A7A1_2726
ko:K00616	bsl:A7A1_2731
ko:K02446	bsl:A7A1_2733
ko:K00027	bsl:A7A1_2737
ko:K08234	bsl:A7A1_1009
ko:K02116	bsl:A7A1_1023
ko:K07114	bsl:A7A1_1037
ko:K07114	bsl:A7A1_1039
ko:K04518	bsl:A7A1_0431
ko:K07105	bsl:A7A1_0430
ko:K00010	bsl:A7A1_0419
ko:K10041	bsl:A7A1_0385
ko:K01243	bsl:A7A1_0369
ko:K14338	bsl:A7A1_0357
ko:K00121	bsl:A7A1_0338
ko:K09815	bsl:A7A1_0783
ko:K00657	bsl:A7A1_0807
ko:K03307	bsl:A7A1_3689
ko:K00626	bsl:A7A1_3699
ko:K07533	bsl:A7A1_3733
ko:K03698	bsl:A7A1_3735
ko:K03455	bsl:A7A1_3743
ko:K03294	bsl:A7A1_3781
ko:K01077	bsl:A7A1_3786
ko:K02480	bsl:A7A1_3795
ko:K01835	bsl:A7A1_3796
ko:K02443	bsl:A7A1_3800
ko:K01104	bsl:A7A1_1094
ko:K06325	bsl:A7A1_1112
ko:K10439	bsl:A7A1_1121
ko:K10440	bsl:A7A1_1122
ko:K00852	bsl:A7A1_1125
ko:K09693	bsl:A7A1_1153
ko:K02851	bsl:A7A1_1173
ko:K07692	bsl:A7A1_1177
ko:K02240	bsl:A7A1_1179
ko:K02241	bsl:A7A1_1180
ko:K02242	bsl:A7A1_1181
ko:K06603	bsl:A7A1_1191
ko:K02564	bsl:A7A1_2723
ko:K06023	bsl:A7A1_2721
ko:K00033	bsl:A7A1_0856
ko:K06948	bsl:A7A1_0862
ko:K02238	bsl:A7A1_0872
ko:K01489	bsl:A7A1_3220
ko:K13300	bsl:A7A1_3230
ko:K02076	bsl:A7A1_3531
ko:K01934	bsl:A7A1_3552
ko:K00845	bsl:A7A1_3556
ko:K16509	bsl:A7A1_3564
ko:K02243	bsl:A7A1_3568
ko:K02244	bsl:A7A1_3569
ko:K02245	bsl:A7A1_3570
ko:K02246	bsl:A7A1_3571
ko:K02248	bsl:A7A1_3573
ko:K02249	bsl:A7A1_3574
ko:K13280	bsl:A7A1_3578
ko:K01262	bsl:A7A1_3596
ko:K00626	bsl:A7A1_3625
ko:K03697	bsl:A7A1_1514
ko:K08964	bsl:A7A1_1505
ko:K08969	bsl:A7A1_1502
ko:K00567	bsl:A7A1_1498
ko:K07098	bsl:A7A1_1481
ko:K07404	bsl:A7A1_1445
ko:K01297	bsl:A7A1_1441
ko:K03294	bsl:A7A1_1429
ko:K00073	bsl:A7A1_0241
ko:K01719	bsl:A7A1_0232
ko:K09762	bsl:A7A1_2695
ko:K02004	bsl:A7A1_2689
ko:K00090	bsl:A7A1_2688
ko:K00691	bsl:A7A1_2677
ko:K01182	bsl:A7A1_2676
ko:K03929	bsl:A7A1_2658
ko:K15770	bsl:A7A1_2635
ko:K05595	bsl:A7A1_2604
ko:K03406	bsl:A7A1_2588
ko:K00059	bsl:A7A1_2577
ko:K07213	bsl:A7A1_2569
ko:K00380	bsl:A7A1_2561
ko:K03316	bsl:A7A1_2559
ko:K02005	bsl:A7A1_2545
ko:K02004	bsl:A7A1_2543
ko:K01569	bsl:A7A1_2541
ko:K00974	bsl:A7A1_2934
ko:K02086	bsl:A7A1_2924
ko:K03700	bsl:A7A1_2920
ko:K06877	bsl:A7A1_2911
ko:K00065	bsl:A7A1_2900
ko:K16167	bsl:A7A1_2891
ko:K16168	bsl:A7A1_2890
ko:K03469	bsl:A7A1_2885
ko:K03469	bsl:A7A1_2883
ko:K07304	bsl:A7A1_2855
ko:K07305	bsl:A7A1_2854
ko:K03784	bsl:A7A1_2834
ko:K03307	bsl:A7A1_2829
ko:K03299	bsl:A7A1_2823
ko:K00274	bsl:A7A1_2773
ko:K00929	bsl:A7A1_3636
ko:K01966	bsl:A7A1_3651
ko:K00033	bsl:A7A1_3657
ko:K00784	bsl:A7A1_3659
ko:K00867	bsl:A7A1_3668
ko:K06889	bsl:A7A1_3058
ko:K01515	bsl:A7A1_3055
ko:K01424	bsl:A7A1_3052
ko:K00027	bsl:A7A1_3049
ko:K03711	bsl:A7A1_3046
ko:K04763	bsl:A7A1_3045
ko:K03783	bsl:A7A1_3043
ko:K07258	bsl:A7A1_3042
ko:K03768	bsl:A7A1_3029
ko:K07069	bsl:A7A1_3025
ko:K09763	bsl:A7A1_3012
ko:K00058	bsl:A7A1_2996
ko:K05337	bsl:A7A1_2993
ko:K07052	bsl:A7A1_2990
ko:K06313	bsl:A7A1_2981
ko:K01823	bsl:A7A1_2976
ko:K00805	bsl:A7A1_2965
ko:K00575	bsl:A7A1_2961
ko:K04517	bsl:A7A1_2950
ko:K03886	bsl:A7A1_2945
ko:K00805	bsl:A7A1_2963
ko:K11617	bsl:A7A1_2526
ko:K11618	bsl:A7A1_2525
ko:K01679	bsl:A7A1_2521
ko:K07770	bsl:A7A1_2518
ko:K00059	bsl:A7A1_2509
ko:K04488	bsl:A7A1_2485
ko:K09684	bsl:A7A1_2456
ko:K01466	bsl:A7A1_2455
ko:K07017	bsl:A7A1_2313
ko:K05570	bsl:A7A1_2277
ko:K05568	bsl:A7A1_2275
ko:K05565	bsl:A7A1_2272
ko:K02056	bsl:A7A1_2267
ko:K07570	bsl:A7A1_2251
ko:K03976	bsl:A7A1_0037
ko:K00059	bsl:A7A1_0030
ko:K01760	bsl:A7A1_3139
ko:K03153	bsl:A7A1_0984
ko:K03455	bsl:A7A1_0981
ko:K07816	bsl:A7A1_0977
ko:K16509	bsl:A7A1_0967
ko:K15583	bsl:A7A1_0963
ko:K15582	bsl:A7A1_0962
ko:K02033	bsl:A7A1_0956
ko:K02035	bsl:A7A1_0955
ko:K02025	bsl:A7A1_2767
ko:K01181	bsl:A7A1_2756
ko:K03406	bsl:A7A1_2447
ko:K00058	bsl:A7A1_2442
ko:K00059	bsl:A7A1_2432
ko:K00666	bsl:A7A1_0713
ko:K06196	bsl:A7A1_0681
ko:K09976	bsl:A7A1_0679
ko:K00854	bsl:A7A1_3319
ko:K03713	bsl:A7A1_3336
ko:K03647	bsl:A7A1_3342
ko:K07029	bsl:A7A1_3137
ko:K10118	bsl:A7A1_2475
ko:K10118	bsl:A7A1_1648
ko:K10119	bsl:A7A1_1647
ko:K06377	bsl:A7A1_3142
ko:K09825	bsl:A7A1_0308
ko:K11085	bsl:A7A1_0304
ko:K07586	bsl:A7A1_0303
ko:K10117	bsl:A7A1_2476
ko:K13611	bsl:A7A1_3368
ko:K00128	bsl:A7A1_0215
ko:K11620	bsl:A7A1_2529
ko:K13274	bsl:A7A1_0326
ko:K06337	bsl:A7A1_2144
ko:K08166	bsl:A7A1_0176
ko:K06344	bsl:A7A1_0991
ko:K16962	bsl:A7A1_1993
ko:K06343	bsl:A7A1_0992
ko:K07315	bsl:A7A1_2630
ko:K16043	bsl:A7A1_0901
ko:K16593	bsl:A7A1_1657
ko:K00128	bsl:A7A1_1956
ko:K11440	bsl:A7A1_2215
ko:K11195	bsl:A7A1_0347
ko:K13615	bsl:A7A1_3358
ko:K06331	bsl:A7A1_2142
ko:K02253	bsl:A7A1_2282
ko:K06321	bsl:A7A1_2849
ko:K06319	bsl:A7A1_2850
ko:K06322	bsl:A7A1_2848
ko:K16044	bsl:A7A1_2571
ko:K06338	bsl:A7A1_2143
ko:K06376	bsl:A7A1_1508
ko:K06400	bsl:A7A1_0850
ko:K06340	bsl:A7A1_0995
ko:K07698	bsl:A7A1_0579
ko:K11814	bsl:A7A1_3349
ko:K11815	bsl:A7A1_3350
ko:K06323	bsl:A7A1_2847
ko:K06372	bsl:A7A1_3581
ko:K00903	bsl:A7A1_2655
ko:K10009	bsl:A7A1_1861
ko:K02424	bsl:A7A1_1860
ko:K06388	bsl:A7A1_1426
ko:K12263	bsl:A7A1_1200
ko:K11635	bsl:A7A1_1978
ko:K16786	bsl:A7A1_1466
ko:K16787	bsl:A7A1_1466
ko:K16785	bsl:A7A1_1465
ko:K11639	bsl:A7A1_0652
ko:K15657	bsl:A7A1_2206
ko:K15656	bsl:A7A1_2207
ko:K11636	bsl:A7A1_1979
ko:K11991	bsl:A7A1_1233
ko:K07979	bsl:A7A1_2188
ko:K02809	bsl:A7A1_0224
ko:K02810	bsl:A7A1_0224
ko:K01218	bsl:A7A1_2761
ko:K16918	bsl:A7A1_2193
ko:K16920	bsl:A7A1_2192
ko:K16919	bsl:A7A1_2190
ko:K16919	bsl:A7A1_2191
ko:K16921	bsl:A7A1_2189
ko:K03417	bsl:A7A1_3630
ko:K00265	bsl:A7A1_2427
ko:K00951	bsl:A7A1_0402
ko:K06292	bsl:A7A1_1136
ko:K06290	bsl:A7A1_2524
ko:K16248	bsl:A7A1_0006
ko:K16898	bsl:A7A1_0312
ko:K16899	bsl:A7A1_0311
ko:K16869	bsl:A7A1_0183
ko:K16925	bsl:A7A1_1467
ko:K11621	bsl:A7A1_2528
ko:K02538	bsl:A7A1_0032
ko:K15924	bsl:A7A1_0703
ko:K16960	bsl:A7A1_0746
ko:K16959	bsl:A7A1_0745
ko:K16958	bsl:A7A1_0744
ko:K16838	bsl:A7A1_2459
ko:K16957	bsl:A7A1_0743
ko:K16956	bsl:A7A1_0742
ko:K16963	bsl:A7A1_1994
ko:K02101	bsl:A7A1_3170
ko:K16170	bsl:A7A1_2457
ko:K15327	bsl:A7A1_3376
ko:K03794	bsl:A7A1_3523
ko:K15468	bsl:A7A1_3357
ko:K06293	bsl:A7A1_1135
ko:K06289	bsl:A7A1_2523
ko:K16247	bsl:A7A1_0004
ko:K21064	bsl:A7A1_0930
ko:K01980	bsl:A7A1_3870
ko:K01897	bsl:A7A1_3707
ko:K17217	bsl:A7A1_0367
ko:K01992	bsl:A7A1_2062
ko:K01992	bsl:A7A1_3738
ko:K17103	bsl:A7A1_3254
ko:K01980	bsl:A7A1_3864
ko:K01990	bsl:A7A1_1942
ko:K01992	bsl:A7A1_1675
ko:K17319	bsl:A7A1_1662
ko:K17319	bsl:A7A1_1755
ko:K17318	bsl:A7A1_1660
ko:K17318	bsl:A7A1_1754
ko:K01990	bsl:A7A1_3820
ko:K01990	bsl:A7A1_0158
ko:K01990	bsl:A7A1_1674
ko:K01990	bsl:A7A1_2061
ko:K01990	bsl:A7A1_3286
ko:K01990	bsl:A7A1_3724
ko:K01990	bsl:A7A1_3739
ko:K11633	bsl:A7A1_1977
ko:K11623	bsl:A7A1_1343
ko:K01664	bsl:A7A1_0887
ko:K11638	bsl:A7A1_0654
ko:K03457	bsl:A7A1_1068
ko:K00096	bsl:A7A1_3171
ko:K06430	bsl:A7A1_2918
ko:K17216	bsl:A7A1_0368
ko:K00034	bsl:A7A1_1915
ko:K01897	bsl:A7A1_3191
ko:K03457	bsl:A7A1_2056
ko:K17320	bsl:A7A1_1659
ko:K17320	bsl:A7A1_1756
ko:K06298	bsl:A7A1_1583
ko:K16235	bsl:A7A1_3242
ko:K08986	bsl:A7A1_1874
ko:K06427	bsl:A7A1_2551
ko:K11634	bsl:A7A1_1976
ko:K04091	bsl:A7A1_3840
ko:K01537	bsl:A7A1_3520
ko:K17462	bsl:A7A1_0370
ko:K02029	bsl:A7A1_3646
ko:K19575	bsl:A7A1_3641
ko:K02028	bsl:A7A1_3647
ko:K01992	bsl:A7A1_3723
ko:K17235	bsl:A7A1_3173
ko:K17236	bsl:A7A1_3174
ko:K03574	bsl:A7A1_2698
ko:K01990	bsl:A7A1_1606
ko:K01990	bsl:A7A1_2438
ko:K01990	bsl:A7A1_2628
ko:K01990	bsl:A7A1_0591
ko:K01990	bsl:A7A1_3819
ko:K10112	bsl:A7A1_2471
ko:K10112	bsl:A7A1_2046
ko:K01992	bsl:A7A1_0589
ko:K01992	bsl:A7A1_0590
ko:K01992	bsl:A7A1_1605
ko:K01992	bsl:A7A1_2436
ko:K01992	bsl:A7A1_2437
ko:K01992	bsl:A7A1_2627
ko:K01992	bsl:A7A1_3818
ko:K17485	bsl:A7A1_1219
ko:K17472	bsl:A7A1_0394
ko:K17686	bsl:A7A1_2568
ko:K13614	bsl:A7A1_3359
ko:K13614	bsl:A7A1_3360
ko:K13614	bsl:A7A1_3361
ko:K13614	bsl:A7A1_3362
ko:K01212	bsl:A7A1_2665
ko:K01739	bsl:A7A1_3138
ko:K01227	bsl:A7A1_1139
ko:K01791	bsl:A7A1_1159
ko:K03292	bsl:A7A1_0240
ko:K03292	bsl:A7A1_3323
ko:K17836	bsl:A7A1_2750
ko:K01843	bsl:A7A1_2840
ko:K15668	bsl:A7A1_0718
ko:K06518	bsl:A7A1_2098
ko:K00537	bsl:A7A1_2499
ko:K17752	bsl:A7A1_1402
ko:K02027	bsl:A7A1_1741
ko:K02027	bsl:A7A1_2765
ko:K02026	bsl:A7A1_2766
ko:K17828	bsl:A7A1_0471
ko:K07284	bsl:A7A1_3807
ko:K17838	bsl:A7A1_3273
ko:K12574	bsl:A7A1_0575
ko:K12574	bsl:A7A1_3406
ko:K01190	bsl:A7A1_1752
ko:K17763	bsl:A7A1_1464
ko:K17763	bsl:A7A1_1762
ko:K17763	bsl:A7A1_2816
ko:K17763	bsl:A7A1_3565
ko:K17763	bsl:A7A1_1400
ko:K07284	bsl:A7A1_1084
ko:K17733	bsl:A7A1_1917
ko:K00128	bsl:A7A1_2044
ko:K00128	bsl:A7A1_2801
ko:K17758	bsl:A7A1_2055
ko:K17762	bsl:A7A1_1401
ko:K17734	bsl:A7A1_3354
ko:K01187	bsl:A7A1_2241
ko:K08221	bsl:A7A1_1783
ko:K00104	bsl:A7A1_3179
ko:K01977	bsl:A7A1_3851
ko:K18104	bsl:A7A1_2702
ko:K01977	bsl:A7A1_3863
ko:K01046	bsl:A7A1_0587
ko:K01985	bsl:A7A1_3853
ko:K01985	bsl:A7A1_3859
ko:K00008	bsl:A7A1_0005
ko:K07222	bsl:A7A1_0803
ko:K00004	bsl:A7A1_0014
ko:K01101	bsl:A7A1_2335
ko:K01980	bsl:A7A1_3873
ko:K01980	bsl:A7A1_3849
ko:K01980	bsl:A7A1_3861
ko:K01985	bsl:A7A1_3850
ko:K18115	bsl:A7A1_2802
ko:K03892	bsl:A7A1_1335
ko:K05799	bsl:A7A1_2637
ko:K05799	bsl:A7A1_1950
ko:K03206	bsl:A7A1_3793
ko:K21471	bsl:A7A1_2700
ko:K07145	bsl:A7A1_1759
ko:K21469	bsl:A7A1_1566
ko:K21472	bsl:A7A1_2340
ko:K01980	bsl:A7A1_3852
ko:K01980	bsl:A7A1_3855
ko:K01980	bsl:A7A1_3858
ko:K01980	bsl:A7A1_3867
ko:K01980	bsl:A7A1_3876
ko:K01977	bsl:A7A1_3848
ko:K01985	bsl:A7A1_3847
ko:K00632	bsl:A7A1_2501
ko:K21466	bsl:A7A1_1544
ko:K02809	bsl:A7A1_1567
ko:K02810	bsl:A7A1_1567
ko:K02809	bsl:A7A1_2090
ko:K02810	bsl:A7A1_2090
ko:K01046	bsl:A7A1_1928
ko:K18197	bsl:A7A1_1749
ko:K18231	bsl:A7A1_1364
ko:K19546	bsl:A7A1_0193
ko:K11691	bsl:A7A1_1610
ko:K19449	bsl:A7A1_3580
ko:K02563	bsl:A7A1_0503
ko:K06284	bsl:A7A1_0580
ko:K15973	bsl:A7A1_1478
ko:K10823	bsl:A7A1_0964
ko:K00620	bsl:A7A1_0937
ko:K16169	bsl:A7A1_2892
ko:K00164	bsl:A7A1_2808
ko:K19429	bsl:A7A1_2643
ko:K19430	bsl:A7A1_2642
ko:K03488	bsl:A7A1_2089
ko:K01569	bsl:A7A1_2454
ko:K03407	bsl:A7A1_3441
ko:K05846	bsl:A7A1_2601
ko:K10716	bsl:A7A1_2244
ko:K02051	bsl:A7A1_2174
ko:K06183	bsl:A7A1_1671
ko:K02337	bsl:A7A1_0759
ko:K06327	bsl:A7A1_0837
ko:K01218	bsl:A7A1_0849
ko:K06366	bsl:A7A1_0848
ko:K22579	bsl:A7A1_2755
ko:K19420	bsl:A7A1_2656
ko:K22579	bsl:A7A1_1208
ko:K01487	bsl:A7A1_1461
ko:K03742	bsl:A7A1_3394
ko:K01200	bsl:A7A1_1682
ko:K00681	bsl:A7A1_2423
ko:K00681	bsl:A7A1_1107
ko:K08693	bsl:A7A1_0633
ko:K15640	bsl:A7A1_3700
ko:K09388	bsl:A7A1_0178
ko:K06384	bsl:A7A1_3047
ko:K06380	bsl:A7A1_0447
ko:K09809	bsl:A7A1_1147
ko:K03332	bsl:A7A1_0344
ko:K18653	bsl:A7A1_3679
ko:K18652	bsl:A7A1_3681
ko:K18654	bsl:A7A1_3680
ko:K18770	bsl:A7A1_2261
ko:K18672	bsl:A7A1_3307
ko:K18704	bsl:A7A1_1140
ko:K18707	bsl:A7A1_3207
ko:K18929	bsl:A7A1_2623
ko:K01971	bsl:A7A1_1484
ko:K18928	bsl:A7A1_2624
ko:K18925	bsl:A7A1_1454
ko:K18907	bsl:A7A1_1339
ko:K06147	bsl:A7A1_0596
ko:K09692	bsl:A7A1_1152
ko:K06147	bsl:A7A1_0597
ko:K07171	bsl:A7A1_1399
ko:K18967	bsl:A7A1_3815
ko:K03790	bsl:A7A1_2435
ko:K03169	bsl:A7A1_1629
ko:K03497	bsl:A7A1_1282
ko:K03496	bsl:A7A1_1280
ko:K03497	bsl:A7A1_1279
ko:K03111	bsl:A7A1_1276
ko:K04565	bsl:A7A1_2811
ko:K03111	bsl:A7A1_1087
ko:K05593	bsl:A7A1_0787
ko:K08191	bsl:A7A1_0245
ko:K19005	bsl:A7A1_1769
ko:K06437	bsl:A7A1_2359
ko:K03526	bsl:A7A1_3534
ko:K19005	bsl:A7A1_0642
ko:K18979	bsl:A7A1_3836
ko:K05352	bsl:A7A1_1142
ko:K07816	bsl:A7A1_2079
ko:K06609	bsl:A7A1_3317
ko:K11624	bsl:A7A1_1344
ko:K06609	bsl:A7A1_0013
ko:K19242	bsl:A7A1_3784
ko:K00148	bsl:A7A1_2385
ko:K07097	bsl:A7A1_0708
ko:K02777	bsl:A7A1_2912
ko:K00354	bsl:A7A1_3662
ko:K01447	bsl:A7A1_0858
ko:K19220	bsl:A7A1_2812
ko:K00798	bsl:A7A1_2532
ko:K19223	bsl:A7A1_3790
ko:K19224	bsl:A7A1_3785
ko:K07149	bsl:A7A1_2200
ko:K01897	bsl:A7A1_3698
ko:K11194	bsl:A7A1_0348
ko:K06893	bsl:A7A1_1731
ko:K00571	bsl:A7A1_1060
ko:K01710	bsl:A7A1_0202
ko:K01447	bsl:A7A1_1424
ko:K11615	bsl:A7A1_2265
ko:K06345	bsl:A7A1_0424
ko:K01447	bsl:A7A1_0255
ko:K07451	bsl:A7A1_1303
ko:K00456	bsl:A7A1_2225
ko:K19225	bsl:A7A1_3554
ko:K19267	bsl:A7A1_0840
ko:K01785	bsl:A7A1_2418
ko:K19426	bsl:A7A1_2648
ko:K19433	bsl:A7A1_3577
ko:K00020	bsl:A7A1_1542
ko:K19285	bsl:A7A1_1837
ko:K19286	bsl:A7A1_3092
ko:K19424	bsl:A7A1_2651
ko:K19418	bsl:A7A1_2645
ko:K06884	bsl:A7A1_1615
ko:K03722	bsl:A7A1_2929
ko:K03722	bsl:A7A1_2901
ko:K02771	bsl:A7A1_0345
ko:K01585	bsl:A7A1_0564
ko:K02100	bsl:A7A1_2615
ko:K01567	bsl:A7A1_0620
ko:K15667	bsl:A7A1_1713
ko:K00839	bsl:A7A1_2468
ko:K19405	bsl:A7A1_0121
ko:K19422	bsl:A7A1_2653
ko:K19421	bsl:A7A1_2654
ko:K04771	bsl:A7A1_2517
ko:K04771	bsl:A7A1_1434
ko:K01400	bsl:A7A1_0557
