ko:K19743	apu:APA07_08140
ko:K00526	apu:APA07_10610
ko:K21416	apu:APA07_05940
ko:K21417	apu:APA07_05950
ko:K02483	apu:APA07_42180
ko:K02483	apu:APA07_15920
ko:K02483	apu:APA07_09180
ko:K21420	apu:APA07_19390
ko:K22044	apu:APA07_26330
ko:K01420	apu:APA07_25650
ko:K10026	apu:APA07_11580
ko:K21495	apu:APA07_43870
ko:K21686	apu:APA07_03580
ko:K00344	apu:APA07_24830
ko:K21929	apu:APA07_16940
ko:K21929	apu:APA07_04010
ko:K22027	apu:APA07_22070
ko:K22067	apu:APA07_42050
ko:K03595	apu:APA07_06490
ko:K07183	apu:APA07_42060
ko:K08994	apu:APA07_10140
ko:K22186	apu:APA07_13840
ko:K22296	apu:APA07_23800
ko:K11991	apu:APA07_25670
ko:K02257	apu:APA07_16820
