ko:K07171	lrc:LOCK908_2511
ko:K01439	lrc:LOCK908_1883
ko:K02531	lrc:LOCK908_0317
ko:K15580	lrc:LOCK908_0350
ko:K00059	lrc:LOCK908_0406
ko:K02775	lrc:LOCK908_0432
ko:K03475	lrc:LOCK908_0439
ko:K03476	lrc:LOCK908_0441
ko:K01992	lrc:LOCK908_2377
ko:K21449	lrc:LOCK908_2337
ko:K03885	lrc:LOCK908_2364
ko:K03647	lrc:LOCK908_0735
ko:K01990	lrc:LOCK908_1582
ko:K02003	lrc:LOCK908_2430
ko:K06147	lrc:LOCK908_2513
ko:K01271	lrc:LOCK908_0787
ko:K03328	lrc:LOCK908_2598
ko:K09017	lrc:LOCK908_1977
ko:K02538	lrc:LOCK908_0325
ko:K03742	lrc:LOCK908_0953
ko:K00105	lrc:LOCK908_0628
ko:K02003	lrc:LOCK908_1908
ko:K02004	lrc:LOCK908_1908
ko:K03293	lrc:LOCK908_0606
ko:K01621	lrc:LOCK908_0202
ko:K02031	lrc:LOCK908_1693
ko:K06384	lrc:LOCK908_2940
ko:K18672	lrc:LOCK908_1055
ko:K18682	lrc:LOCK908_0957
ko:K18692	lrc:LOCK908_0757
ko:K00984	lrc:LOCK908_0497
ko:K18892	lrc:LOCK908_0589
ko:K18891	lrc:LOCK908_0588
ko:K07171	lrc:LOCK908_2613
ko:K18929	lrc:LOCK908_2133
ko:K18928	lrc:LOCK908_2134
ko:K03111	lrc:LOCK908_0012
ko:K03111	lrc:LOCK908_0014
ko:K03497	lrc:LOCK908_0241
ko:K03496	lrc:LOCK908_0242
ko:K03497	lrc:LOCK908_0243
ko:K03502	lrc:LOCK908_1107
ko:K07467	lrc:LOCK908_2024
ko:K07473	lrc:LOCK908_0517
ko:K18967	lrc:LOCK908_2196
ko:K07029	lrc:LOCK908_1118
ko:K19005	lrc:LOCK908_0844
ko:K13052	lrc:LOCK908_2596
ko:K18979	lrc:LOCK908_2273
ko:K03741	lrc:LOCK908_2844
ko:K19002	lrc:LOCK908_0838
ko:K19005	lrc:LOCK908_1185
ko:K02777	lrc:LOCK908_2789
ko:K02777	lrc:LOCK908_0448
ko:K19225	lrc:LOCK908_1743
ko:K19159	lrc:LOCK908_2810
ko:K07448	lrc:LOCK908_1881
ko:K02476	lrc:LOCK908_2950
ko:K02475	lrc:LOCK908_2951
ko:K19157	lrc:LOCK908_0488
ko:K19157	lrc:LOCK908_0516
ko:K19158	lrc:LOCK908_2811
ko:K05881	lrc:LOCK908_0506
ko:K03339	lrc:LOCK908_0269
ko:K01710	lrc:LOCK908_2105
ko:K00571	lrc:LOCK908_1069
ko:K07448	lrc:LOCK908_2010
ko:K05910	lrc:LOCK908_0486
ko:K12952	lrc:LOCK908_0727
ko:K19265	lrc:LOCK908_2710
ko:K00020	lrc:LOCK908_0282
ko:K03722	lrc:LOCK908_1558
ko:K01992	lrc:LOCK908_1053
ko:K01992	lrc:LOCK908_2393
ko:K07496	lrc:LOCK908_2328
ko:K07496	lrc:LOCK908_2359
ko:K07496	lrc:LOCK908_0523
ko:K04771	lrc:LOCK908_2888
ko:K08217	lrc:LOCK908_1489
ko:K19302	lrc:LOCK908_0912
ko:K19350	lrc:LOCK908_0602
ko:K06881	lrc:LOCK908_0756
ko:K06881	lrc:LOCK908_2858
ko:K03483	lrc:LOCK908_2964
ko:K02796	lrc:LOCK908_2780
ko:K02796	lrc:LOCK908_2855
ko:K02796	lrc:LOCK908_2914
ko:K02796	lrc:LOCK908_0493
ko:K02796	lrc:LOCK908_0336
ko:K19689	lrc:LOCK908_1141
ko:K02538	lrc:LOCK908_0453
ko:K19802	lrc:LOCK908_0530
ko:K21636	lrc:LOCK908_0145
ko:K00527	lrc:LOCK908_2350
ko:K19956	lrc:LOCK908_0412
ko:K19975	lrc:LOCK908_2487
ko:K19976	lrc:LOCK908_2488
ko:K20074	lrc:LOCK908_1705
ko:K12132	lrc:LOCK908_1704
ko:K20112	lrc:LOCK908_0642
ko:K22106	lrc:LOCK908_0067
ko:K20114	lrc:LOCK908_0644
ko:K20113	lrc:LOCK908_0643
ko:K00525	lrc:LOCK908_1536
ko:K20345	lrc:LOCK908_2448
ko:K20344	lrc:LOCK908_2449
ko:K20534	lrc:LOCK908_0683
ko:K20488	lrc:LOCK908_0549
ko:K18889	lrc:LOCK908_1672
ko:K18890	lrc:LOCK908_1671
ko:K02793	lrc:LOCK908_0495
ko:K22103	lrc:LOCK908_0288
ko:K02790	lrc:LOCK908_2785
ko:K02791	lrc:LOCK908_2785
ko:K01208	lrc:LOCK908_1020
ko:K08968	lrc:LOCK908_1306
ko:K00560	lrc:LOCK908_1451
ko:K00287	lrc:LOCK908_1452
ko:K03546	lrc:LOCK908_0656
ko:K06191	lrc:LOCK908_1535
ko:K01493	lrc:LOCK908_1550
ko:K02316	lrc:LOCK908_1577
ko:K06217	lrc:LOCK908_1591
ko:K01520	lrc:LOCK908_2398
ko:K02314	lrc:LOCK908_0864
ko:K06904	lrc:LOCK908_0884
ko:K03553	lrc:LOCK908_0954
ko:K02314	lrc:LOCK908_0126
ko:K04068	lrc:LOCK908_1835
ko:K07313	lrc:LOCK908_0190
ko:K03553	lrc:LOCK908_2725
ko:K06904	lrc:LOCK908_1092
ko:K00857	lrc:LOCK908_1218
ko:K00558	lrc:LOCK908_1301
ko:K02335	lrc:LOCK908_1794
ko:K02032	lrc:LOCK908_1692
ko:K00633	lrc:LOCK908_0037
ko:K00526	lrc:LOCK908_1537
ko:K07741	lrc:LOCK908_0857
ko:K03293	lrc:LOCK908_1071
ko:K21471	lrc:LOCK908_0028
ko:K21471	lrc:LOCK908_0314
ko:K21467	lrc:LOCK908_0381
ko:K21471	lrc:LOCK908_2083
ko:K21567	lrc:LOCK908_0805
ko:K21562	lrc:LOCK908_0080
ko:K22043	lrc:LOCK908_2486
ko:K22044	lrc:LOCK908_0781
ko:K03595	lrc:LOCK908_1587
ko:K22212	lrc:LOCK908_0718
ko:K03078	lrc:LOCK908_2817
ko:K22213	lrc:LOCK908_0135
ko:K03077	lrc:LOCK908_2812
ko:K03079	lrc:LOCK908_2815
ko:K17758	lrc:LOCK908_0918
ko:K13566	lrc:LOCK908_2983
