ko:K09796	mak:LH56_12580
ko:K07029	mak:LH56_04765
ko:K03761	mak:LH56_05150
ko:K18553	mak:LH56_09205
ko:K03111	mak:LH56_00295
ko:K03111	mak:LH56_15290
ko:K03496	mak:LH56_06440
ko:K18652	mak:LH56_10970
ko:K05593	mak:LH56_11510
ko:K10673	mak:LH56_12055
ko:K03496	mak:LH56_12110
ko:K04565	mak:LH56_03265
ko:K03526	mak:LH56_08275
ko:K16238	mak:LH56_05050
ko:K03325	mak:LH56_11105
ko:K03343	mak:LH56_02530
ko:K19221	mak:LH56_08340
ko:K05556	mak:LH56_18815
ko:K07448	mak:LH56_00730
ko:K00798	mak:LH56_15835
ko:K19190	mak:LH56_09375
ko:K01621	mak:LH56_11165
ko:K05558	mak:LH56_01030
ko:K01710	mak:LH56_05300
ko:K01621	mak:LH56_11445
ko:K08095	mak:LH56_05145
ko:K08095	mak:LH56_05375
ko:K08095	mak:LH56_02310
ko:K08095	mak:LH56_07750
ko:K01990	mak:LH56_03110
ko:K00020	mak:LH56_01905
ko:K19302	mak:LH56_21350
ko:K03722	mak:LH56_15745
ko:K15868	mak:LH56_12360
ko:K07068	mak:LH56_10935
ko:K17476	mak:LH56_04370
ko:K12952	mak:LH56_18190
ko:K01267	mak:LH56_19105
ko:K01992	mak:LH56_03115
ko:K19271	mak:LH56_09175
ko:K01066	mak:LH56_21965
ko:K00059	mak:LH56_18690
ko:K06867	mak:LH56_21595
ko:K01822	mak:LH56_17040
ko:K22476	mak:LH56_03245
ko:K06221	mak:LH56_09355
ko:K16238	mak:LH56_10145
ko:K20261	mak:LH56_20985
ko:K19577	mak:LH56_15985
ko:K01457	mak:LH56_15295
ko:K19710	mak:LH56_09615
ko:K00128	mak:LH56_01915
ko:K19777	mak:LH56_08030
ko:K19777	mak:LH56_06650
ko:K08744	mak:LH56_11990
ko:K01431	mak:LH56_10010
ko:K15510	mak:LH56_03035
ko:K13775	mak:LH56_04445
ko:K05770	mak:LH56_02945
ko:K05770	mak:LH56_12790
ko:K12132	mak:LH56_22185
ko:K12132	mak:LH56_02160
ko:K12132	mak:LH56_17425
ko:K20074	mak:LH56_22155
ko:K20469	mak:LH56_01760
ko:K20467	mak:LH56_13990
ko:K20466	mak:LH56_01720
ko:K20468	mak:LH56_01745
ko:K16227	mak:LH56_03685
ko:K22107	mak:LH56_03180
ko:K07749	mak:LH56_01110
ko:K00249	mak:LH56_20850
ko:K00249	mak:LH56_17640
ko:K00249	mak:LH56_14310
ko:K00249	mak:LH56_06700
ko:K00249	mak:LH56_06670
ko:K00632	mak:LH56_18010
ko:K00632	mak:LH56_06830
ko:K00001	mak:LH56_18090
ko:K16936	mak:LH56_00660
ko:K16937	mak:LH56_00660
ko:K01768	mak:LH56_20215
ko:K01768	mak:LH56_15805
ko:K01768	mak:LH56_01750
ko:K01768	mak:LH56_00505
ko:K00130	mak:LH56_07475
ko:K08884	mak:LH56_13655
ko:K05375	mak:LH56_00900
ko:K00091	mak:LH56_19030
ko:K01802	mak:LH56_18230
ko:K01179	mak:LH56_00475
ko:K01214	mak:LH56_10620
ko:K20814	mak:LH56_13060
ko:K20940	mak:LH56_12720
ko:K21071	mak:LH56_07440
ko:K21140	mak:LH56_15710
ko:K21014	mak:LH56_15360
ko:K22445	mak:LH56_03500
ko:K21119	mak:LH56_16105
ko:K00821	mak:LH56_12250
ko:K21147	mak:LH56_06480
ko:K00526	mak:LH56_07090
ko:K00526	mak:LH56_04145
ko:K02335	mak:LH56_10950
ko:K00525	mak:LH56_07040
ko:K02314	mak:LH56_00310
ko:K18955	mak:LH56_00550
ko:K02316	mak:LH56_14550
ko:K06217	mak:LH56_14750
ko:K18955	mak:LH56_01870
ko:K06191	mak:LH56_07030
ko:K01286	mak:LH56_20840
ko:K00560	mak:LH56_08665
ko:K00287	mak:LH56_08670
ko:K03465	mak:LH56_08690
ko:K03553	mak:LH56_08815
ko:K07465	mak:LH56_13135
ko:K01520	mak:LH56_09105
ko:K00091	mak:LH56_14680
ko:K01167	mak:LH56_11640
ko:K21281	mak:LH56_12545
ko:K05375	mak:LH56_12655
ko:K20938	mak:LH56_11570
ko:K05364	mak:LH56_22165
ko:K03636	mak:LH56_15705
ko:K21148	mak:LH56_15700
ko:K03636	mak:LH56_18490
ko:K14215	mak:LH56_14710
ko:K21200	mak:LH56_13895
ko:K00632	mak:LH56_14305
ko:K00632	mak:LH56_20605
ko:K21401	mak:LH56_07080
ko:K21397	mak:LH56_05690
ko:K03293	mak:LH56_04865
ko:K21473	mak:LH56_10435
ko:K21480	mak:LH56_00495
ko:K21474	mak:LH56_10440
ko:K21401	mak:LH56_04525
ko:K21471	mak:LH56_13725
ko:K21481	mak:LH56_19850
ko:K00863	mak:LH56_21380
ko:K21691	mak:LH56_15090
ko:K21600	mak:LH56_01655
ko:K10914	mak:LH56_20405
ko:K21608	mak:LH56_16735
ko:K21687	mak:LH56_18495
ko:K21672	mak:LH56_21180
ko:K21686	mak:LH56_01285
ko:K00344	mak:LH56_06115
ko:K21885	mak:LH56_11010
ko:K21961	mak:LH56_18085
ko:K21962	mak:LH56_10420
ko:K21992	mak:LH56_08510
ko:K00936	mak:LH56_06405
ko:K22010	mak:LH56_10895
ko:K22044	mak:LH56_06720
ko:K22044	mak:LH56_16080
ko:K22107	mak:LH56_19715
ko:K03595	mak:LH56_14730
ko:K22108	mak:LH56_19620
ko:K00467	mak:LH56_13290
ko:K22270	mak:LH56_21025
ko:K22187	mak:LH56_18710
ko:K17758	mak:LH56_05495
ko:K17759	mak:LH56_05495
ko:K22303	mak:LH56_03140
ko:K22297	mak:LH56_11625
ko:K22306	mak:LH56_14970
ko:K02257	mak:LH56_10275
ko:K22336	mak:LH56_21725
ko:K22311	mak:LH56_09625
ko:K22303	mak:LH56_21925
ko:K22316	mak:LH56_14100
ko:K22336	mak:LH56_21720
ko:K22295	mak:LH56_21930
ko:K22298	mak:LH56_14695
ko:K01551	mak:LH56_13685
ko:K01505	mak:LH56_14570
ko:K11206	mak:LH56_03810
ko:K00728	mak:LH56_17480
ko:K22468	mak:LH56_03505
ko:K08300	mak:LH56_15040
ko:K08301	mak:LH56_15040
ko:K22468	mak:LH56_17785
ko:K07566	mak:LH56_15895
