ko:K19744	paei:N296_3988
ko:K02015	paei:N296_4293
ko:K01426	paei:N296_4295
ko:K00375	paei:N296_4297
ko:K06222	paei:N296_4299
ko:K16088	paei:N296_4300
ko:K05520	paei:N296_4303
ko:K01142	paei:N296_4304
ko:K03769	paei:N296_4308
ko:K02990	paei:N296_5105
ko:K03218	paei:N296_5106
ko:K12573	paei:N296_5107
ko:K01939	paei:N296_5110
ko:K02502	paei:N296_5111
ko:K09937	paei:N296_5112
ko:K04087	paei:N296_5113
ko:K04088	paei:N296_5114
ko:K03665	paei:N296_5115
ko:K03666	paei:N296_5116
ko:K00791	paei:N296_5117
ko:K03572	paei:N296_5118
ko:K01448	paei:N296_5119
ko:K06925	paei:N296_5120
ko:K17758	paei:N296_5121
ko:K17759	paei:N296_5121
ko:K13288	paei:N296_5123
ko:K06949	paei:N296_5124
ko:K02557	paei:N296_5125
ko:K02556	paei:N296_5126
ko:K01011	paei:N296_5128
ko:K01613	paei:N296_5129
ko:K01079	paei:N296_5132
ko:K07038	paei:N296_5134
ko:K09857	paei:N296_5135
ko:K02621	paei:N296_5136
ko:K06985	paei:N296_5137
ko:K02622	paei:N296_5139
ko:K07000	paei:N296_5140
ko:K03651	paei:N296_5141
ko:K09920	paei:N296_5142
ko:K01515	paei:N296_5143
ko:K03147	paei:N296_5145
ko:K12340	paei:N296_5146
ko:K00355	paei:N296_5147
ko:K12252	paei:N296_5148
ko:K15866	paei:N296_5152
ko:K02205	paei:N296_5153
ko:K02030	paei:N296_5155
ko:K01638	paei:N296_494
ko:K05786	paei:N296_497
ko:K02019	paei:N296_499
ko:K05811	paei:N296_500
ko:K07160	paei:N296_504
ko:K01961	paei:N296_506
ko:K01012	paei:N296_512
ko:K00652	paei:N296_513
ko:K02170	paei:N296_514
ko:K02169	paei:N296_515
ko:K01935	paei:N296_516
ko:K02303	paei:N296_522
ko:K08738	paei:N296_530
ko:K15864	paei:N296_531
ko:K04748	paei:N296_532
ko:K02164	paei:N296_533
ko:K02305	paei:N296_535
ko:K04561	paei:N296_536
ko:K02448	paei:N296_537
ko:K10680	paei:N296_1374
ko:K17061	paei:N296_1375
ko:K17060	paei:N296_1376
ko:K05597	paei:N296_1377
ko:K10004	paei:N296_1379
ko:K10002	paei:N296_1380
ko:K10003	paei:N296_1381
ko:K10001	paei:N296_1382
ko:K03088	paei:N296_1391
ko:K04750	paei:N296_1393
ko:K11939	paei:N296_1401
ko:K03327	paei:N296_1400
ko:K03088	paei:N296_1403
ko:K02014	paei:N296_1405
ko:K04095	paei:N296_1406
ko:K09458	paei:N296_1414
ko:K03473	paei:N296_1416
ko:K00906	paei:N296_1417
ko:K03825	paei:N296_1418
ko:K00688	paei:N296_2212
ko:K03781	paei:N296_2216
ko:K07507	paei:N296_2218
ko:K10979	paei:N296_2220
ko:K16147	paei:N296_2221
ko:K05343	paei:N296_2222
ko:K00700	paei:N296_2223
ko:K07027	paei:N296_2224
ko:K06044	paei:N296_2232
ko:K00705	paei:N296_2233
ko:K01236	paei:N296_2234
ko:K00703	paei:N296_2235
ko:K06889	paei:N296_2238
ko:K06048	paei:N296_2253
ko:K07217	paei:N296_2257
ko:K00311	paei:N296_3058
ko:K09986	paei:N296_3059
ko:K03424	paei:N296_3064
ko:K02676	paei:N296_3065
ko:K02341	paei:N296_3066
ko:K00943	paei:N296_3067
ko:K07082	paei:N296_3068
ko:K02619	paei:N296_3069
ko:K09458	paei:N296_3070
ko:K02078	paei:N296_3071
ko:K00059	paei:N296_3072
ko:K00645	paei:N296_3073
ko:K03621	paei:N296_3074
ko:K02911	paei:N296_3075
ko:K07040	paei:N296_3076
ko:K04773	paei:N296_3078
ko:K01091	paei:N296_3079
ko:K06179	paei:N296_3080
ko:K08300	paei:N296_3081
ko:K00075	paei:N296_3082
ko:K01104	paei:N296_3083
ko:K00979	paei:N296_3084
ko:K09791	paei:N296_3085
ko:K00912	paei:N296_3086
ko:K03559	paei:N296_3087
ko:K03561	paei:N296_3088
ko:K02238	paei:N296_3089
ko:K09928	paei:N296_3090
ko:K09808	paei:N296_3091
ko:K09810	paei:N296_3092
ko:K09808	paei:N296_3093
ko:K01126	paei:N296_3096
ko:K00322	paei:N296_3097
ko:K05952	paei:N296_3098
ko:K03734	paei:N296_3099
ko:K00351	paei:N296_3100
ko:K00350	paei:N296_3101
ko:K00349	paei:N296_3102
ko:K00348	paei:N296_3103
ko:K00347	paei:N296_3104
ko:K00346	paei:N296_3105
ko:K11734	paei:N296_3106
ko:K01951	paei:N296_3893
ko:K00088	paei:N296_3894
ko:K07090	paei:N296_3898
ko:K03601	paei:N296_3901
ko:K08641	paei:N296_3907
ko:K02014	paei:N296_3915
ko:K01649	paei:N296_3917
ko:K14287	paei:N296_3923
ko:K03977	paei:N296_3924
ko:K17713	paei:N296_3925
ko:K01892	paei:N296_3927
ko:K15539	paei:N296_3929
ko:K02656	paei:N296_3930
ko:K03322	paei:N296_836
ko:K01560	paei:N296_837
ko:K06991	paei:N296_844
ko:K07044	paei:N296_857
ko:K13788	paei:N296_862
ko:K00925	paei:N296_863
ko:K03775	paei:N296_864
ko:K00432	paei:N296_865
ko:K16137	paei:N296_866
ko:K01114	paei:N296_871
ko:K06203	paei:N296_873
ko:K03386	paei:N296_875
ko:K01754	paei:N296_878
ko:K01679	paei:N296_881
ko:K09924	paei:N296_883
ko:K05527	paei:N296_884
ko:K07667	paei:N296_1682
ko:K01425	paei:N296_1683
ko:K07001	paei:N296_1685
ko:K01008	paei:N296_1687
ko:K06917	paei:N296_1689
ko:K03406	paei:N296_1693
ko:K03453	paei:N296_1696
ko:K05782	paei:N296_1697
ko:K00799	paei:N296_1701
ko:K11910	paei:N296_1702
ko:K11901	paei:N296_1703
ko:K11900	paei:N296_1704
ko:K11905	paei:N296_1705
ko:K11896	paei:N296_1706
ko:K11895	paei:N296_1707
ko:K11907	paei:N296_1708
ko:K11914	paei:N296_1709
ko:K11906	paei:N296_1712
ko:K11893	paei:N296_1713
ko:K11892	paei:N296_1714
ko:K11891	paei:N296_1715
ko:K11915	paei:N296_1716
ko:K11916	paei:N296_1717
ko:K06996	paei:N296_1718
ko:K01495	paei:N296_1720
ko:K07320	paei:N296_1724
ko:K06889	paei:N296_1726
ko:K01736	paei:N296_1727
ko:K05820	paei:N296_1728
ko:K08964	paei:N296_1729
ko:K08967	paei:N296_1730
ko:K09880	paei:N296_1731
ko:K01247	paei:N296_1733
ko:K00797	paei:N296_1734
ko:K15125	paei:N296_2533
ko:K02014	paei:N296_2537
ko:K03088	paei:N296_2539
ko:K00450	paei:N296_2541
ko:K16165	paei:N296_2542
ko:K08195	paei:N296_2543
ko:K03805	paei:N296_2547
ko:K04084	paei:N296_2549
ko:K18297	paei:N296_2563
ko:K18298	paei:N296_2564
ko:K18299	paei:N296_2565
ko:K03449	paei:N296_2571
ko:K03381	paei:N296_2578
ko:K03797	paei:N296_3369
ko:K03773	paei:N296_3376
ko:K03554	paei:N296_3379
ko:K03453	paei:N296_3380
ko:K03704	paei:N296_3382
ko:K16091	paei:N296_3384
ko:K03724	paei:N296_3388
ko:K09771	paei:N296_3391
ko:K07221	paei:N296_3395
ko:K07221	paei:N296_3396
ko:K09929	paei:N296_3398
ko:K09930	paei:N296_3399
ko:K03088	paei:N296_3402
ko:K16872	paei:N296_3403
ko:K11904	paei:N296_3410
ko:K02503	paei:N296_3411
ko:K01077	paei:N296_3412
ko:K03578	paei:N296_3413
ko:K01897	paei:N296_3415
ko:K01897	paei:N296_3416
ko:K07729	paei:N296_4207
ko:K07687	paei:N296_4210
ko:K07347	paei:N296_4214
ko:K07345	paei:N296_4216
ko:K01845	paei:N296_4218
ko:K00059	paei:N296_4219
ko:K09956	paei:N296_4220
ko:K00483	paei:N296_4221
ko:K00484	paei:N296_4222
ko:K00004	paei:N296_4227
ko:K07267	paei:N296_4229
ko:K15977	paei:N296_4235
ko:K09929	paei:N296_4236
ko:K09930	paei:N296_4237
ko:K08159	paei:N296_4245
ko:K00657	paei:N296_4246
ko:K06966	paei:N296_4247
ko:K02508	paei:N296_4252
ko:K05921	paei:N296_4253
ko:K05921	paei:N296_4254
ko:K00151	paei:N296_4255
ko:K00455	paei:N296_4256
ko:K01826	paei:N296_4257
ko:K07665	paei:N296_5055
ko:K07644	paei:N296_5057
ko:K00508	paei:N296_5058
ko:K03187	paei:N296_5061
ko:K03188	paei:N296_5062
ko:K03189	paei:N296_5063
ko:K03192	paei:N296_5064
ko:K07165	paei:N296_5065
ko:K03088	paei:N296_5066
ko:K16087	paei:N296_5067
ko:K00128	paei:N296_5069
ko:K05548	paei:N296_5070
ko:K01576	paei:N296_5071
ko:K11475	paei:N296_5075
ko:K01996	paei:N296_5079
ko:K01995	paei:N296_5080
ko:K01998	paei:N296_5081
ko:K01997	paei:N296_5082
ko:K01999	paei:N296_5083
ko:K03406	paei:N296_5085
ko:K08281	paei:N296_5088
ko:K00763	paei:N296_5089
ko:K01916	paei:N296_5090
ko:K06966	paei:N296_5093
ko:K12943	paei:N296_5094
ko:K03442	paei:N296_5095
ko:K01775	paei:N296_5100
ko:K02939	paei:N296_5102
ko:K02963	paei:N296_5104
ko:K03110	paei:N296_383
ko:K09812	paei:N296_384
ko:K09811	paei:N296_385
ko:K03089	paei:N296_386
ko:K03814	paei:N296_388
ko:K03154	paei:N296_390
ko:K03149	paei:N296_391
ko:K03439	paei:N296_392
ko:K02428	paei:N296_397
ko:K00641	paei:N296_400
ko:K09131	paei:N296_402
ko:K02221	paei:N296_403
ko:K00286	paei:N296_404
ko:K06997	paei:N296_405
ko:K02669	paei:N296_406
ko:K02670	paei:N296_407
ko:K16264	paei:N296_408
ko:K01697	paei:N296_410
ko:K01758	paei:N296_411
ko:K01465	paei:N296_412
ko:K00609	paei:N296_413
ko:K02825	paei:N296_414
ko:K07447	paei:N296_415
ko:K07735	paei:N296_416
ko:K03832	paei:N296_417
ko:K01920	paei:N296_418
ko:K02657	paei:N296_419
ko:K02658	paei:N296_420
ko:K02659	paei:N296_421
ko:K02660	paei:N296_422
ko:K02487	paei:N296_424
ko:K06596	paei:N296_424
ko:K06597	paei:N296_425
ko:K06598	paei:N296_426
ko:K09761	paei:N296_430
ko:K00833	paei:N296_431
ko:K00274	paei:N296_432
ko:K03585	paei:N296_436
ko:K18138	paei:N296_437
ko:K18139	paei:N296_438
ko:K03543	paei:N296_1275
ko:K12536	paei:N296_1285
ko:K12537	paei:N296_1286
ko:K12538	paei:N296_1287
ko:K03406	paei:N296_1290
ko:K02028	paei:N296_1295
ko:K02029	paei:N296_1296
ko:K02029	paei:N296_1297
ko:K02030	paei:N296_1299
ko:K12658	paei:N296_1308
ko:K16092	paei:N296_1311
ko:K02224	paei:N296_1313
ko:K04719	paei:N296_1314
ko:K02227	paei:N296_1315
ko:K14052	paei:N296_2105
ko:K07862	paei:N296_2106
ko:K06177	paei:N296_2107
ko:K08998	paei:N296_2109
ko:K03088	paei:N296_2114
ko:K06941	paei:N296_3931
ko:K00940	paei:N296_3932
ko:K04755	paei:N296_3934
ko:K04044	paei:N296_3935
ko:K04082	paei:N296_3936
ko:K13628	paei:N296_3937
ko:K04488	paei:N296_3938
ko:K04487	paei:N296_3939
ko:K13643	paei:N296_3940
ko:K07074	paei:N296_4735
ko:K01974	paei:N296_4736
ko:K00428	paei:N296_4738
ko:K00262	paei:N296_4739
ko:K06076	paei:N296_4740
ko:K02004	paei:N296_4744
ko:K02003	paei:N296_4745
ko:K08721	paei:N296_4749
ko:K18296	paei:N296_4750
ko:K18295	paei:N296_4751
ko:K18294	paei:N296_4752
ko:K00600	paei:N296_4754
ko:K06200	paei:N296_4758
ko:K04485	paei:N296_4761
ko:K09794	paei:N296_4763
ko:K03781	paei:N296_4765
ko:K03282	paei:N296_4766
ko:K00528	paei:N296_4767
ko:K11688	paei:N296_4768
ko:K07141	paei:N296_4769
ko:K07402	paei:N296_4771
ko:K00018	paei:N296_4779
ko:K00564	paei:N296_4780
ko:K11733	paei:N296_4781
ko:K03406	paei:N296_4786
ko:K07107	paei:N296_5570
ko:K17735	paei:N296_5571
ko:K02002	paei:N296_5573
ko:K17736	paei:N296_5575
ko:K01438	paei:N296_5574
ko:K07222	paei:N296_5578
ko:K06131	paei:N296_5579
ko:K09958	paei:N296_5580
ko:K01273	paei:N296_5581
ko:K03522	paei:N296_5585
ko:K03521	paei:N296_5586
ko:K07727	paei:N296_5588
ko:K00479	paei:N296_5596
ko:K01620	paei:N296_5599
ko:K00600	paei:N296_5601
ko:K00303	paei:N296_5602
ko:K00305	paei:N296_5605
ko:K01433	paei:N296_5606
ko:K01792	paei:N296_5608
ko:K09950	paei:N296_5609
ko:K01589	paei:N296_5611
ko:K01588	paei:N296_5612
ko:K13953	paei:N296_5613
ko:K01744	paei:N296_5615
ko:K07112	paei:N296_5616
ko:K00375	paei:N296_5617
ko:K03835	paei:N296_5620
ko:K01960	paei:N296_5621
ko:K01426	paei:N296_725
ko:K11530	paei:N296_730
ko:K01759	paei:N296_731
ko:K03824	paei:N296_732
ko:K09982	paei:N296_733
ko:K06183	paei:N296_756
ko:K07118	paei:N296_766
ko:K00140	paei:N296_772
ko:K18346	paei:N296_774
ko:K03648	paei:N296_775
ko:K11742	paei:N296_1581
ko:K11743	paei:N296_1583
ko:K07044	paei:N296_1584
ko:K00759	paei:N296_1585
ko:K09792	paei:N296_1589
ko:K01533	paei:N296_1591
ko:K09926	paei:N296_1592
ko:K00406	paei:N296_1594
ko:K00407	paei:N296_1595
ko:K00405	paei:N296_1596
ko:K00404	paei:N296_1597
ko:K00406	paei:N296_1598
ko:K00407	paei:N296_1599
ko:K00405	paei:N296_1600
ko:K00404	paei:N296_1601
ko:K07020	paei:N296_1602
ko:K03776	paei:N296_1605
ko:K01681	paei:N296_1606
ko:K06968	paei:N296_1607
ko:K04085	paei:N296_1608
ko:K01915	paei:N296_1610
ko:K09974	paei:N296_1617
ko:K09913	paei:N296_1618
ko:K09922	paei:N296_1621
ko:K06940	paei:N296_1623
ko:K01647	paei:N296_1625
ko:K00241	paei:N296_1626
ko:K00242	paei:N296_1627
ko:K00239	paei:N296_1628
ko:K00240	paei:N296_1629
ko:K02073	paei:N296_2423
ko:K02071	paei:N296_2424
ko:K02072	paei:N296_2425
ko:K01126	paei:N296_2426
ko:K06916	paei:N296_2427
ko:K04091	paei:N296_2430
ko:K00299	paei:N296_2431
ko:K11902	paei:N296_2434
ko:K11891	paei:N296_2435
ko:K11892	paei:N296_2436
ko:K11893	paei:N296_2437
ko:K11901	paei:N296_2439
ko:K11900	paei:N296_2440
ko:K11903	paei:N296_2441
ko:K11896	paei:N296_2443
ko:K11895	paei:N296_2444
ko:K11907	paei:N296_2445
ko:K11904	paei:N296_2446
ko:K07303	paei:N296_2451
ko:K07302	paei:N296_2452
ko:K00101	paei:N296_2455
ko:K07116	paei:N296_2458
ko:K10531	paei:N296_2459
ko:K03088	paei:N296_2460
ko:K07165	paei:N296_2461
ko:K13888	paei:N296_2462
ko:K05685	paei:N296_2463
ko:K06160	paei:N296_2470
ko:K16088	paei:N296_2471
ko:K13017	paei:N296_3266
ko:K13018	paei:N296_3267
ko:K13016	paei:N296_3269
ko:K13015	paei:N296_3270
ko:K05789	paei:N296_3271
ko:K05788	paei:N296_3272
ko:K02945	paei:N296_3273
ko:K00945	paei:N296_3274
ko:K00817	paei:N296_3276
ko:K14170	paei:N296_3277
ko:K00831	paei:N296_3278
ko:K02469	paei:N296_3279
ko:K08963	paei:N296_3280
ko:K00568	paei:N296_3282
ko:K01479	paei:N296_3286
ko:K03312	paei:N296_3287
ko:K06178	paei:N296_3290
ko:K03574	paei:N296_3291
ko:K01625	paei:N296_3292
ko:K01057	paei:N296_3293
ko:K00036	paei:N296_3294
ko:K07267	paei:N296_3297
ko:K10112	paei:N296_3298
ko:K17317	paei:N296_3299
ko:K17316	paei:N296_3300
ko:K17315	paei:N296_3301
ko:K00845	paei:N296_3304
ko:K01690	paei:N296_3305
ko:K00134	paei:N296_3306
ko:K06024	paei:N296_3309
ko:K05896	paei:N296_3310
ko:K07053	paei:N296_3312
ko:K06190	paei:N296_3313
ko:K09780	paei:N296_3314
ko:K01241	paei:N296_4100
ko:K09456	paei:N296_4102
ko:K00941	paei:N296_4105
ko:K00788	paei:N296_4106
ko:K01845	paei:N296_4107
ko:K07126	paei:N296_4108
ko:K06168	paei:N296_4110
ko:K07042	paei:N296_4112
ko:K06189	paei:N296_4113
ko:K03820	paei:N296_4114
ko:K01869	paei:N296_4117
ko:K03643	paei:N296_4118
ko:K02340	paei:N296_4119
ko:K09890	paei:N296_4120
ko:K03644	paei:N296_4125
ko:K03801	paei:N296_4126
ko:K09158	paei:N296_4127
ko:K07258	paei:N296_4128
ko:K03642	paei:N296_4129
ko:K08305	paei:N296_4130
ko:K05837	paei:N296_4131
ko:K05515	paei:N296_4132
ko:K00783	paei:N296_4133
ko:K09710	paei:N296_4134
ko:K00969	paei:N296_4135
ko:K00147	paei:N296_4136
ko:K03652	paei:N296_4139
ko:K07157	paei:N296_4141
ko:K03186	paei:N296_4148
ko:K02558	paei:N296_4149
ko:K07178	paei:N296_4946
ko:K07814	paei:N296_4947
ko:K03719	paei:N296_4950
ko:K00626	paei:N296_4951
ko:K00059	paei:N296_4952
ko:K06219	paei:N296_4956
ko:K01126	paei:N296_4957
ko:K03833	paei:N296_4974
ko:K01042	paei:N296_4975
ko:K03449	paei:N296_279
ko:K07387	paei:N296_283
ko:K07090	paei:N296_284
ko:K02045	paei:N296_286
ko:K02047	paei:N296_287
ko:K02046	paei:N296_288
ko:K02048	paei:N296_289
ko:K03307	paei:N296_293
ko:K18459	paei:N296_294
ko:K10536	paei:N296_298
ko:K12251	paei:N296_299
ko:K11073	paei:N296_301
ko:K01915	paei:N296_302
ko:K07010	paei:N296_303
ko:K01915	paei:N296_304
ko:K12256	paei:N296_305
ko:K11073	paei:N296_306
ko:K11073	paei:N296_307
ko:K11076	paei:N296_308
ko:K11075	paei:N296_309
ko:K11074	paei:N296_310
ko:K01434	paei:N296_311
ko:K07394	paei:N296_317
ko:K10009	paei:N296_321
ko:K02424	paei:N296_322
ko:K00058	paei:N296_324
ko:K01462	paei:N296_1161
ko:K01129	paei:N296_1164
ko:K12410	paei:N296_1165
ko:K12990	paei:N296_1169
ko:K05523	paei:N296_1175
ko:K14977	paei:N296_1180
ko:K07491	paei:N296_1192
ko:K07661	paei:N296_1195
ko:K07639	paei:N296_1196
ko:K03704	paei:N296_1197
ko:K01725	paei:N296_2116
ko:K01673	paei:N296_2117
ko:K11921	paei:N296_2118
ko:K13893	paei:N296_2122
ko:K13894	paei:N296_2123
ko:K13895	paei:N296_2124
ko:K13896	paei:N296_2125
ko:K04487	paei:N296_2126
ko:K07233	paei:N296_2128
ko:K05820	paei:N296_2132
ko:K00612	paei:N296_2133
ko:K02014	paei:N296_2134
ko:K02355	paei:N296_2135
ko:K01556	paei:N296_2145
ko:K07130	paei:N296_2146
ko:K01953	paei:N296_2149
ko:K01561	paei:N296_2151
ko:K02014	paei:N296_2154
ko:K02356	paei:N296_2953
ko:K10804	paei:N296_2958
ko:K02003	paei:N296_2959
ko:K02004	paei:N296_2960
ko:K04760	paei:N296_2961
ko:K01975	paei:N296_2963
ko:K15977	paei:N296_2966
ko:K03424	paei:N296_2969
ko:K03924	paei:N296_2978
ko:K01591	paei:N296_2979
ko:K07052	paei:N296_2987
ko:K13774	paei:N296_2990
ko:K13778	paei:N296_2991
ko:K11731	paei:N296_2992
ko:K13779	paei:N296_2993
ko:K13777	paei:N296_2994
ko:K13776	paei:N296_2996
ko:K03088	paei:N296_2999
ko:K02030	paei:N296_3005
ko:K13541	paei:N296_3006
ko:K06940	paei:N296_3787
ko:K00674	paei:N296_3790
ko:K01766	paei:N296_3791
ko:K02426	paei:N296_3792
ko:K01992	paei:N296_3795
ko:K01990	paei:N296_3796
ko:K00631	paei:N296_3797
ko:K09914	paei:N296_3798
ko:K18303	paei:N296_3800
ko:K18302	paei:N296_3801
ko:K18301	paei:N296_3802
ko:K15984	paei:N296_3804
ko:K00939	paei:N296_3810
ko:K01595	paei:N296_3811
ko:K01534	paei:N296_3814
ko:K06889	paei:N296_3819
ko:K04567	paei:N296_3824
ko:K02836	paei:N296_3825
ko:K11444	paei:N296_3826
ko:K13491	paei:N296_3827
ko:K13490	paei:N296_3828
ko:K13489	paei:N296_3829
ko:K13486	paei:N296_3830
ko:K13488	paei:N296_3831
ko:K13487	paei:N296_3832
ko:K02435	paei:N296_4628
ko:K02433	paei:N296_4629
ko:K02434	paei:N296_4630
ko:K03642	paei:N296_4631
ko:K01607	paei:N296_4632
ko:K06894	paei:N296_4635
ko:K09934	paei:N296_4636
ko:K15012	paei:N296_4639
ko:K15011	paei:N296_4640
ko:K12368	paei:N296_4642
ko:K12368	paei:N296_4643
ko:K12368	paei:N296_4646
ko:K12368	paei:N296_4648
ko:K12369	paei:N296_4649
ko:K12370	paei:N296_4650
ko:K12371	paei:N296_4651
ko:K12372	paei:N296_4652
ko:K03719	paei:N296_4654
ko:K07160	paei:N296_4657
ko:K00380	paei:N296_4659
ko:K16090	paei:N296_4660
ko:K07126	paei:N296_4662
ko:K07032	paei:N296_4664
ko:K01581	paei:N296_4665
ko:K03406	paei:N296_4666
ko:K03807	paei:N296_4667
ko:K03806	paei:N296_4668
ko:K00767	paei:N296_4670
ko:K02652	paei:N296_4672
ko:K02653	paei:N296_4673
ko:K02654	paei:N296_4674
ko:K00859	paei:N296_4675
ko:K09862	paei:N296_4676
ko:K03320	paei:N296_5467
ko:K04752	paei:N296_5468
ko:K09806	paei:N296_5469
ko:K07391	paei:N296_5470
ko:K02168	paei:N296_5471
ko:K03327	paei:N296_5475
ko:K03656	paei:N296_5476
ko:K00156	paei:N296_5477
ko:K03816	paei:N296_5478
ko:K01775	paei:N296_5482
ko:K00285	paei:N296_5484
ko:K09978	paei:N296_5485
ko:K03719	paei:N296_5488
ko:K12254	paei:N296_5492
ko:K00822	paei:N296_5493
ko:K06995	paei:N296_5494
ko:K02913	paei:N296_5495
ko:K02902	paei:N296_5496
ko:K02035	paei:N296_5497
ko:K03630	paei:N296_5499
ko:K13038	paei:N296_5500
ko:K15778	paei:N296_5502
ko:K00930	paei:N296_5503
ko:K07107	paei:N296_5510
ko:K00762	paei:N296_5511
ko:K01142	paei:N296_5512
ko:K09940	paei:N296_5513
ko:K00989	paei:N296_5514
ko:K00942	paei:N296_5516
ko:K02439	paei:N296_604
ko:K01525	paei:N296_605
ko:K06195	paei:N296_606
ko:K02528	paei:N296_607
ko:K00097	paei:N296_608
ko:K03771	paei:N296_609
ko:K04744	paei:N296_610
ko:K07102	paei:N296_611
ko:K05801	paei:N296_613
ko:K02055	paei:N296_617
ko:K02052	paei:N296_618
ko:K02055	paei:N296_619
ko:K02054	paei:N296_620
ko:K02053	paei:N296_621
ko:K01783	paei:N296_622
ko:K01091	paei:N296_623
ko:K01657	paei:N296_624
ko:K07665	paei:N296_1478
ko:K07644	paei:N296_1479
ko:K09790	paei:N296_1480
ko:K07039	paei:N296_1481
ko:K02414	paei:N296_1482
ko:K02415	paei:N296_1483
ko:K02416	paei:N296_1484
ko:K02417	paei:N296_1485
ko:K02418	paei:N296_1486
ko:K02419	paei:N296_1487
ko:K02420	paei:N296_1488
ko:K02421	paei:N296_1489
ko:K02401	paei:N296_1490
ko:K06872	paei:N296_1491
ko:K06872	paei:N296_1492
ko:K02400	paei:N296_1493
ko:K02404	paei:N296_1494
ko:K04562	paei:N296_1495
ko:K02405	paei:N296_1496
ko:K03413	paei:N296_1497
ko:K03414	paei:N296_1498
ko:K03407	paei:N296_1499
ko:K03412	paei:N296_1500
ko:K02556	paei:N296_1501
ko:K02557	paei:N296_1502
ko:K03408	paei:N296_1504
ko:K03408	paei:N296_1505
ko:K00799	paei:N296_1507
ko:K05810	paei:N296_1510
ko:K00059	paei:N296_1511
ko:K04061	paei:N296_1514
ko:K02193	paei:N296_1516
ko:K02194	paei:N296_1517
ko:K02195	paei:N296_1518
ko:K02196	paei:N296_1519
ko:K02197	paei:N296_1520
ko:K02198	paei:N296_1521
ko:K02199	paei:N296_1522
ko:K02200	paei:N296_1523
ko:K02200	paei:N296_1524
ko:K00166	paei:N296_2320
ko:K00167	paei:N296_2321
ko:K09699	paei:N296_2322
ko:K00382	paei:N296_2323
ko:K03310	paei:N296_2325
ko:K01424	paei:N296_2326
ko:K02525	paei:N296_2332
ko:K11441	paei:N296_2334
ko:K00032	paei:N296_2336
ko:K06152	paei:N296_2337
ko:K06151	paei:N296_2338
ko:K03587	paei:N296_2345
ko:K13639	paei:N296_2346
ko:K13979	paei:N296_2348
ko:K03893	paei:N296_2351
ko:K02014	paei:N296_2362
ko:K00117	paei:N296_2363
ko:K07267	paei:N296_2364
ko:K02049	paei:N296_2367
ko:K02050	paei:N296_2368
ko:K02051	paei:N296_2369
ko:K15371	paei:N296_3174
ko:K03924	paei:N296_3176
ko:K07114	paei:N296_3179
ko:K07114	paei:N296_3180
ko:K07003	paei:N296_3185
ko:K01256	paei:N296_3189
ko:K09916	paei:N296_3191
ko:K02441	paei:N296_3192
ko:K00858	paei:N296_3194
ko:K09977	paei:N296_3195
ko:K00219	paei:N296_3198
ko:K02462	paei:N296_3204
ko:K02461	paei:N296_3205
ko:K02460	paei:N296_3206
ko:K02459	paei:N296_3207
ko:K02458	paei:N296_3208
ko:K02457	paei:N296_3209
ko:K02456	paei:N296_3210
ko:K02455	paei:N296_3211
ko:K02454	paei:N296_3212
ko:K02452	paei:N296_3213
ko:K02453	paei:N296_3214
ko:K03639	paei:N296_3996
ko:K03769	paei:N296_3997
ko:K00374	paei:N296_3998
ko:K00373	paei:N296_3999
ko:K00371	paei:N296_4000
ko:K00370	paei:N296_4001
ko:K02575	paei:N296_4002
ko:K02575	paei:N296_4003
ko:K07673	paei:N296_4004
ko:K07684	paei:N296_4005
ko:K03316	paei:N296_4014
ko:K05846	paei:N296_4016
ko:K05845	paei:N296_4017
ko:K05846	paei:N296_4018
ko:K05847	paei:N296_4019
ko:K00090	paei:N296_4025
ko:K07506	paei:N296_4027
ko:K03088	paei:N296_4028
ko:K07165	paei:N296_4029
ko:K16091	paei:N296_4030
ko:K02837	paei:N296_4032
ko:K07004	paei:N296_4038
ko:K01113	paei:N296_4039
ko:K08303	paei:N296_4042
ko:K03750	paei:N296_4043
ko:K03638	paei:N296_4044
ko:K03635	paei:N296_4045
ko:K03636	paei:N296_4046
ko:K02012	paei:N296_4844
ko:K02011	paei:N296_4845
ko:K03808	paei:N296_4847
ko:K03808	paei:N296_4848
ko:K17247	paei:N296_4854
ko:K17103	paei:N296_4856
ko:K00053	paei:N296_4857
ko:K01653	paei:N296_4858
ko:K01652	paei:N296_4859
ko:K05365	paei:N296_4863
ko:K07028	paei:N296_4864
ko:K02013	paei:N296_4869
ko:K02015	paei:N296_4870
ko:K02016	paei:N296_4871
ko:K07225	paei:N296_4872
ko:K16087	paei:N296_4873
ko:K14261	paei:N296_4878
ko:K07054	paei:N296_4880
ko:K06901	paei:N296_4882
ko:K06206	paei:N296_4884
ko:K06204	paei:N296_4886
ko:K01894	paei:N296_4887
ko:K00970	paei:N296_4891
ko:K00950	paei:N296_4892
ko:K13590	paei:N296_5674
ko:K03673	paei:N296_5676
ko:K03978	paei:N296_5679
ko:K02204	paei:N296_5682
ko:K09815	paei:N296_5685
ko:K09823	paei:N296_5686
ko:K09817	paei:N296_5687
ko:K09816	paei:N296_5688
ko:K02071	paei:N296_5690
ko:K02072	paei:N296_5691
ko:K02073	paei:N296_5692
ko:K01915	paei:N296_5695
ko:K10126	paei:N296_5698
ko:K10125	paei:N296_5699
ko:K00868	paei:N296_5703
ko:K03455	paei:N296_5705
