ko:K04042	bmc:BAbS19_II06140
ko:K05564	bmc:BAbS19_II06820
ko:K03769	bmc:BAbS19_II08370
ko:K02002	bmc:BAbS19_I14910
ko:K12370	bmc:BAbS19_I14960
ko:K02058	bmc:BAbS19_I12720
ko:K02056	bmc:BAbS19_I12690
ko:K02001	bmc:BAbS19_II04720
ko:K12989	bmc:BAbS19_I14180
ko:K13292	bmc:BAbS19_I14430
ko:K06203	bmc:BAbS19_I01580
ko:K02483	bmc:BAbS19_II02110
ko:K02483	bmc:BAbS19_I05960
ko:K02483	bmc:BAbS19_I05880
ko:K02056	bmc:BAbS19_II06270
ko:K01560	bmc:BAbS19_I05510
ko:K08296	bmc:BAbS19_I09790
ko:K03711	bmc:BAbS19_I15610
ko:K07027	bmc:BAbS19_I12570
ko:K01069	bmc:BAbS19_I18160
ko:K00748	bmc:BAbS19_I10890
ko:K00537	bmc:BAbS19_I09350
ko:K05595	bmc:BAbS19_I10410
ko:K01628	bmc:BAbS19_II09960
ko:K12257	bmc:BAbS19_I12550
ko:K12257	bmc:BAbS19_I08500
ko:K09017	bmc:BAbS19_I02820
ko:K03719	bmc:BAbS19_II04870
ko:K03719	bmc:BAbS19_I14850
ko:K06889	bmc:BAbS19_I00550
ko:K00281	bmc:BAbS19_II04850
ko:K02189	bmc:BAbS19_I12340
ko:K01139	bmc:BAbS19_I06290
ko:K01266	bmc:BAbS19_II02740
ko:K00297	bmc:BAbS19_I13730
ko:K07273	bmc:BAbS19_I13700
ko:K13010	bmc:BAbS19_I05100
ko:K09706	bmc:BAbS19_I16190
ko:K01011	bmc:BAbS19_I09970
ko:K01092	bmc:BAbS19_II04920
ko:K02010	bmc:BAbS19_II04910
ko:K07659	bmc:BAbS19_I14360
ko:K00626	bmc:BAbS19_II04180
ko:K00626	bmc:BAbS19_I16650
ko:K00626	bmc:BAbS19_II07320
ko:K11927	bmc:BAbS19_I09940
ko:K06168	bmc:BAbS19_I20150
ko:K03524	bmc:BAbS19_I07800
ko:K03643	bmc:BAbS19_I16950
ko:K02302	bmc:BAbS19_I01700
ko:K00595	bmc:BAbS19_I12160
ko:K11717	bmc:BAbS19_I08900
ko:K01077	bmc:BAbS19_I11380
ko:K01785	bmc:BAbS19_I08170
ko:K00059	bmc:BAbS19_I04470
ko:K07278	bmc:BAbS19_I00430
ko:K09778	bmc:BAbS19_I04170
ko:K01154	bmc:BAbS19_II03720
ko:K09888	bmc:BAbS19_I16230
ko:K07039	bmc:BAbS19_II06400
ko:K11753	bmc:BAbS19_II01830
ko:K00010	bmc:BAbS19_II04980
ko:K01243	bmc:BAbS19_II07800
ko:K03386	bmc:BAbS19_II05010
ko:K04487	bmc:BAbS19_I08860
ko:K02503	bmc:BAbS19_I11080
ko:K04755	bmc:BAbS19_I09700
ko:K11940	bmc:BAbS19_II06230
ko:K06016	bmc:BAbS19_I02810
ko:K01895	bmc:BAbS19_II07300
ko:K01835	bmc:BAbS19_I00530
ko:K00567	bmc:BAbS19_I01760
ko:K01760	bmc:BAbS19_I07110
ko:K07090	bmc:BAbS19_II03870
ko:K07090	bmc:BAbS19_II10610
ko:K04751	bmc:BAbS19_I09490
ko:K01710	bmc:BAbS19_II03610
ko:K11720	bmc:BAbS19_I06610
ko:K01358	bmc:BAbS19_I10510
ko:K01259	bmc:BAbS19_I03140
ko:K01092	bmc:BAbS19_I16100
ko:K00076	bmc:BAbS19_I15270
ko:K08309	bmc:BAbS19_I06220
ko:K06895	bmc:BAbS19_I06500
ko:K01533	bmc:BAbS19_I03570
ko:K00019	bmc:BAbS19_I16720
ko:K05799	bmc:BAbS19_II01630
ko:K02000	bmc:BAbS19_I14930
ko:K02000	bmc:BAbS19_II04710
ko:K11189	bmc:BAbS19_I19630
ko:K13588	bmc:BAbS19_I15090
ko:K13893	bmc:BAbS19_I00090
ko:K13584	bmc:BAbS19_I15100
ko:K12972	bmc:BAbS19_I00050
ko:K07025	bmc:BAbS19_II09150
ko:K07025	bmc:BAbS19_II10500
ko:K00303	bmc:BAbS19_I02160
ko:K02027	bmc:BAbS19_I02230
ko:K13583	bmc:BAbS19_I02990
ko:K01534	bmc:BAbS19_I18920
ko:K17103	bmc:BAbS19_I04350
ko:K13482	bmc:BAbS19_I03490
ko:K10778	bmc:BAbS19_II03280
ko:K02793	bmc:BAbS19_I19620
ko:K00864	bmc:BAbS19_II07370
ko:K00854	bmc:BAbS19_I05330
ko:K03979	bmc:BAbS19_I17330
ko:K00135	bmc:BAbS19_II07620
ko:K01487	bmc:BAbS19_I03540
ko:K00652	bmc:BAbS19_II06930
ko:K14058	bmc:BAbS19_I07940
ko:K01048	bmc:BAbS19_II00420
ko:K03197	bmc:BAbS19_II00620
ko:K01479	bmc:BAbS19_II02880
ko:K14588	bmc:BAbS19_II05050
ko:K13926	bmc:BAbS19_I12790
ko:K13503	bmc:BAbS19_I14830
ko:K02004	bmc:BAbS19_I00780
ko:K13953	bmc:BAbS19_I01920
ko:K13821	bmc:BAbS19_II04880
ko:K00215	bmc:BAbS19_II09380
ko:K01782	bmc:BAbS19_II04190
ko:K05524	bmc:BAbS19_I16610
ko:K03296	bmc:BAbS19_I02780
ko:K00620	bmc:BAbS19_I18210
ko:K12369	bmc:BAbS19_I14970
ko:K01079	bmc:BAbS19_I13180
ko:K01469	bmc:BAbS19_II05270
ko:K01420	bmc:BAbS19_I06310
ko:K09457	bmc:BAbS19_I11220
ko:K13895	bmc:BAbS19_I00070
ko:K13926	bmc:BAbS19_I12800
ko:K01491	bmc:BAbS19_II04320
ko:K12372	bmc:BAbS19_I14940
ko:K12995	bmc:BAbS19_I05260
ko:K12371	bmc:BAbS19_I14950
ko:K06075	bmc:BAbS19_II04520
ko:K06518	bmc:BAbS19_I03250
ko:K12506	bmc:BAbS19_I10610
ko:K05845	bmc:BAbS19_I02130
ko:K06075	bmc:BAbS19_I16850
ko:K01826	bmc:BAbS19_II10450
ko:K02303	bmc:BAbS19_I12300
ko:K02224	bmc:BAbS19_I12290
ko:K12658	bmc:BAbS19_I16820
ko:K01965	bmc:BAbS19_I11270
ko:K00407	bmc:BAbS19_I03610
ko:K11754	bmc:BAbS19_I19710
ko:K07232	bmc:BAbS19_I18690
ko:K13038	bmc:BAbS19_II09520
ko:K07126	bmc:BAbS19_I16080
ko:K07126	bmc:BAbS19_I08310
ko:K07126	bmc:BAbS19_I06120
ko:K13888	bmc:BAbS19_I15770
ko:K10564	bmc:BAbS19_II10270
ko:K00955	bmc:BAbS19_I01830
ko:K13581	bmc:BAbS19_I04800
ko:K10778	bmc:BAbS19_I03680
ko:K00024	bmc:BAbS19_I18080
ko:K13481	bmc:BAbS19_I03480
ko:K13642	bmc:BAbS19_II08310
ko:K01958	bmc:BAbS19_I16740
ko:K13582	bmc:BAbS19_II03880
ko:K00121	bmc:BAbS19_I01220
ko:K13599	bmc:BAbS19_I10560
ko:K00446	bmc:BAbS19_II10430
ko:K01092	bmc:BAbS19_II01960
ko:K06147	bmc:BAbS19_I04330
ko:K01897	bmc:BAbS19_I02900
ko:K00344	bmc:BAbS19_II06260
ko:K13766	bmc:BAbS19_I00130
ko:K14221	bmc:BAbS19_IIt0008
ko:K14221	bmc:BAbS19_It0012
ko:K13598	bmc:BAbS19_I10570
ko:K13893	bmc:BAbS19_I00100
ko:K13967	bmc:BAbS19_II07490
ko:K13688	bmc:BAbS19_I01030
ko:K05685	bmc:BAbS19_I15760
ko:K13894	bmc:BAbS19_I00080
ko:K13896	bmc:BAbS19_I00060
ko:K13587	bmc:BAbS19_I09820
ko:K13592	bmc:BAbS19_I16050
ko:K14162	bmc:BAbS19_I00630
ko:K01266	bmc:BAbS19_II06610
ko:K00529	bmc:BAbS19_II04810
ko:K06147	bmc:BAbS19_I16140
ko:K04085	bmc:BAbS19_I19060
ko:K14235	bmc:BAbS19_It0021
ko:K01560	bmc:BAbS19_I04810
ko:K14230	bmc:BAbS19_It0028
ko:K02055	bmc:BAbS19_II08110
ko:K14228	bmc:BAbS19_It0039
ko:K14225	bmc:BAbS19_IIt0009
ko:K01784	bmc:BAbS19_I06870
ko:K02027	bmc:BAbS19_II10630
ko:K14232	bmc:BAbS19_It0002
ko:K05847	bmc:BAbS19_I02110
ko:K02027	bmc:BAbS19_II04630
ko:K14229	bmc:BAbS19_It0026
ko:K14220	bmc:BAbS19_IIt0004
ko:K01983	bmc:BAbS19_Ir0001
ko:K14228	bmc:BAbS19_It0013
ko:K14225	bmc:BAbS19_It0017
ko:K01969	bmc:BAbS19_I00160
ko:K01070	bmc:BAbS19_I01180
ko:K08281	bmc:BAbS19_I13870
ko:K00058	bmc:BAbS19_II07270
ko:K01273	bmc:BAbS19_II05490
ko:K07335	bmc:BAbS19_II00080
ko:K03394	bmc:BAbS19_I12190
ko:K13772	bmc:BAbS19_II06340
ko:K03201	bmc:BAbS19_II00580
ko:K13589	bmc:BAbS19_II00390
ko:K14232	bmc:BAbS19_It0010
ko:K10236	bmc:BAbS19_II08290
ko:K10237	bmc:BAbS19_II08280
ko:K14219	bmc:BAbS19_It0041
ko:K14226	bmc:BAbS19_It0029
ko:K02057	bmc:BAbS19_II00060
ko:K00799	bmc:BAbS19_II09310
ko:K14234	bmc:BAbS19_IIt0003
ko:K14222	bmc:BAbS19_IIt0005
ko:K14233	bmc:BAbS19_It0035
ko:K02053	bmc:BAbS19_II08080
ko:K14230	bmc:BAbS19_IIt0012
ko:K02053	bmc:BAbS19_II01020
ko:K02029	bmc:BAbS19_I18330
ko:K02029	bmc:BAbS19_I18340
ko:K14347	bmc:BAbS19_I10080
ko:K02062	bmc:BAbS19_I16550
ko:K03297	bmc:BAbS19_I08840
ko:K14219	bmc:BAbS19_It0009
ko:K01055	bmc:BAbS19_II05600
ko:K13628	bmc:BAbS19_I08950
ko:K14233	bmc:BAbS19_It0007
ko:K05559	bmc:BAbS19_II06870
ko:K01934	bmc:BAbS19_I16220
ko:K14218	bmc:BAbS19_It0001
ko:K14230	bmc:BAbS19_It0031
ko:K14230	bmc:BAbS19_It0036
ko:K08978	bmc:BAbS19_I12370
ko:K07213	bmc:BAbS19_I08980
ko:K14228	bmc:BAbS19_IIt0010
ko:K14233	bmc:BAbS19_IIt0007
ko:K14225	bmc:BAbS19_IIt0002
ko:K00564	bmc:BAbS19_I20320
ko:K14234	bmc:BAbS19_It0004
ko:K14225	bmc:BAbS19_It0022
ko:K14232	bmc:BAbS19_It0008
ko:K00102	bmc:BAbS19_I13360
ko:K14227	bmc:BAbS19_IIt0014
ko:K14227	bmc:BAbS19_It0033
ko:K14227	bmc:BAbS19_It0038
ko:K02055	bmc:BAbS19_II04020
ko:K02053	bmc:BAbS19_II04050
ko:K14228	bmc:BAbS19_It0018
ko:K01916	bmc:BAbS19_I09590
ko:K01607	bmc:BAbS19_II05590
ko:K14219	bmc:BAbS19_It0016
ko:K02010	bmc:BAbS19_II05080
ko:K02055	bmc:BAbS19_II01040
ko:K01802	bmc:BAbS19_I10370
ko:K14237	bmc:BAbS19_It0015
ko:K14160	bmc:BAbS19_I00650
ko:K14223	bmc:BAbS19_It0030
ko:K00674	bmc:BAbS19_II09170
ko:K14228	bmc:BAbS19_It0019
ko:K14228	bmc:BAbS19_It0020
ko:K14223	bmc:BAbS19_It0006
ko:K07492	bmc:BAbS19_I05000
ko:K07492	bmc:BAbS19_I05020
ko:K02510	bmc:BAbS19_I08060
ko:K14205	bmc:BAbS19_II06120
ko:K03324	bmc:BAbS19_I14010
ko:K06147	bmc:BAbS19_I09430
ko:K01286	bmc:BAbS19_I11110
ko:K02001	bmc:BAbS19_I14920
ko:K02058	bmc:BAbS19_II06300
ko:K07492	bmc:BAbS19_I05180
ko:K00128	bmc:BAbS19_II05330
ko:K00941	bmc:BAbS19_I02060
ko:K01985	bmc:BAbS19_IIr0010
ko:K01985	bmc:BAbS19_Ir0011
ko:K01985	bmc:BAbS19_Ir0006
ko:K14231	bmc:BAbS19_It0003
ko:K03500	bmc:BAbS19_II07820
ko:K08316	bmc:BAbS19_II01890
ko:K01434	bmc:BAbS19_II09760
ko:K14441	bmc:BAbS19_II06310
ko:K03769	bmc:BAbS19_I18230
ko:K14218	bmc:BAbS19_It0040
ko:K14230	bmc:BAbS19_It0027
ko:K14237	bmc:BAbS19_IIt0001
ko:K01966	bmc:BAbS19_I11260
ko:K01524	bmc:BAbS19_I07220
ko:K01524	bmc:BAbS19_II05230
ko:K03753	bmc:BAbS19_I09070
ko:K08305	bmc:BAbS19_II00640
ko:K00480	bmc:BAbS19_I07190
ko:K14652	bmc:BAbS19_I04200
ko:K22616	bmc:BAbS19_I14670
ko:K01621	bmc:BAbS19_II07740
ko:K14224	bmc:BAbS19_It0024
ko:K14224	bmc:BAbS19_It0025
ko:K14237	bmc:BAbS19_It0011
ko:K14229	bmc:BAbS19_IIt0006
ko:K14219	bmc:BAbS19_It0005
ko:K14218	bmc:BAbS19_It0032
ko:K14218	bmc:BAbS19_It0037
ko:K07273	bmc:BAbS19_II06990
ko:K09810	bmc:BAbS19_I07860
ko:K14161	bmc:BAbS19_I00640
ko:K08224	bmc:BAbS19_II07360
ko:K01470	bmc:BAbS19_II02360
ko:K14234	bmc:BAbS19_It0014
ko:K09251	bmc:BAbS19_II03620
ko:K14261	bmc:BAbS19_I12080
ko:K14236	bmc:BAbS19_It0023
ko:K01977	bmc:BAbS19_IIr0014
ko:K01977	bmc:BAbS19_Ir0013
ko:K01977	bmc:BAbS19_Ir0008
ko:K01980	bmc:BAbS19_IIr0012
ko:K01980	bmc:BAbS19_Ir0007
ko:K01980	bmc:BAbS19_Ir0012
ko:K14233	bmc:BAbS19_IIt0011
ko:K00039	bmc:BAbS19_II08640
ko:K00949	bmc:BAbS19_I16520
ko:K07483	bmc:BAbS19_II06370
ko:K00799	bmc:BAbS19_II02190
ko:K03457	bmc:BAbS19_I17890
ko:K01286	bmc:BAbS19_I10150
ko:K00799	bmc:BAbS19_I14110
ko:K02484	bmc:BAbS19_II02100
ko:K02480	bmc:BAbS19_I03400
ko:K07782	bmc:BAbS19_I01800
ko:K07484	bmc:BAbS19_II06380
ko:K07497	bmc:BAbS19_I05030
ko:K14224	bmc:BAbS19_It0034
ko:K01708	bmc:BAbS19_II04060
ko:K00128	bmc:BAbS19_II09050
ko:K01286	bmc:BAbS19_I19080
ko:K07005	bmc:BAbS19_I13000
ko:K02030	bmc:BAbS19_I08220
ko:K02030	bmc:BAbS19_II05710
ko:K02030	bmc:BAbS19_II05720
ko:K01161	bmc:BAbS19_II05800
ko:K02027	bmc:BAbS19_II06730
ko:K00971	bmc:BAbS19_I05240
ko:K02054	bmc:BAbS19_II08090
ko:K01239	bmc:BAbS19_II00050
ko:K02052	bmc:BAbS19_II08100
ko:K02054	bmc:BAbS19_II01030
ko:K08196	bmc:BAbS19_II02030
ko:K02052	bmc:BAbS19_II04030
ko:K02030	bmc:BAbS19_I02950
ko:K02028	bmc:BAbS19_I18350
ko:K00632	bmc:BAbS19_II05670
ko:K05606	bmc:BAbS19_I07820
ko:K00015	bmc:BAbS19_I20390
ko:K02056	bmc:BAbS19_II00070
ko:K02483	bmc:BAbS19_II07070
ko:K01802	bmc:BAbS19_I10360
ko:K01271	bmc:BAbS19_I14460
ko:K00862	bmc:BAbS19_II03490
ko:K00799	bmc:BAbS19_I06760
ko:K02030	bmc:BAbS19_I09060
ko:K02030	bmc:BAbS19_I18320
ko:K07497	bmc:BAbS19_II01290
ko:K00128	bmc:BAbS19_II03100
ko:K14977	bmc:BAbS19_I03450
ko:K07050	bmc:BAbS19_I09960
ko:K00001	bmc:BAbS19_I08120
ko:K00074	bmc:BAbS19_II02060
ko:K01426	bmc:BAbS19_II00900
ko:K02026	bmc:BAbS19_II10640
ko:K16012	bmc:BAbS19_II06790
ko:K16013	bmc:BAbS19_II06800
ko:K15011	bmc:BAbS19_I01250
ko:K10010	bmc:BAbS19_II05240
ko:K01426	bmc:BAbS19_II09890
ko:K15598	bmc:BAbS19_I02010
ko:K14998	bmc:BAbS19_II06630
ko:K00368	bmc:BAbS19_II08720
ko:K03202	bmc:BAbS19_II00570
ko:K01144	bmc:BAbS19_I13140
ko:K01840	bmc:BAbS19_I05230
ko:K15012	bmc:BAbS19_I01280
ko:K15034	bmc:BAbS19_I19570
ko:K10824	bmc:BAbS19_II04130
ko:K15586	bmc:BAbS19_II04110
ko:K15587	bmc:BAbS19_II04120
ko:K11741	bmc:BAbS19_I07500
ko:K15736	bmc:BAbS19_II08950
ko:K15585	bmc:BAbS19_II04100
ko:K00220	bmc:BAbS19_I18670
ko:K15738	bmc:BAbS19_I16500
ko:K01082	bmc:BAbS19_I01840
ko:K15582	bmc:BAbS19_II06550
ko:K02428	bmc:BAbS19_I01660
ko:K04765	bmc:BAbS19_I10100
ko:K01692	bmc:BAbS19_I20460
ko:K02034	bmc:BAbS19_II04280
ko:K03559	bmc:BAbS19_I15720
ko:K15599	bmc:BAbS19_I01990
ko:K15581	bmc:BAbS19_II06540
ko:K00459	bmc:BAbS19_II03810
ko:K15580	bmc:BAbS19_II06530
ko:K16079	bmc:BAbS19_I15320
ko:K16079	bmc:BAbS19_I12150
ko:K18334	bmc:BAbS19_I02330
ko:K15371	bmc:BAbS19_I17080
ko:K02032	bmc:BAbS19_II09640
ko:K18335	bmc:BAbS19_I02310
ko:K15987	bmc:BAbS19_I07420
ko:K16087	bmc:BAbS19_II10730
ko:K15977	bmc:BAbS19_II01760
ko:K00570	bmc:BAbS19_I19930
ko:K16092	bmc:BAbS19_I12770
ko:K21911	bmc:BAbS19_II03440
ko:K02358	bmc:BAbS19_I11860
ko:K02424	bmc:BAbS19_II05260
ko:K09972	bmc:BAbS19_I18380
ko:K10009	bmc:BAbS19_II05250
ko:K16079	bmc:BAbS19_I01110
ko:K16079	bmc:BAbS19_I01100
ko:K16079	bmc:BAbS19_I06750
ko:K16053	bmc:BAbS19_I09850
ko:K09971	bmc:BAbS19_I07160
ko:K10804	bmc:BAbS19_I00760
ko:K14218	bmc:BAbS19_IIt0013
ko:K16165	bmc:BAbS19_I00570
ko:K15580	bmc:BAbS19_II06520
ko:K16264	bmc:BAbS19_I04870
ko:K02031	bmc:BAbS19_II07560
ko:K10440	bmc:BAbS19_II02290
ko:K01166	bmc:BAbS19_I06770
ko:K10117	bmc:BAbS19_II06720
ko:K10118	bmc:BAbS19_II06710
ko:K19231	bmc:BAbS19_II10320
ko:K10440	bmc:BAbS19_II02280
ko:K02032	bmc:BAbS19_II07570
ko:K02034	bmc:BAbS19_II09790
ko:K10543	bmc:BAbS19_II08680
ko:K19233	bmc:BAbS19_I17340
ko:K15583	bmc:BAbS19_II06560
ko:K10823	bmc:BAbS19_II06560
ko:K19232	bmc:BAbS19_I00660
ko:K10441	bmc:BAbS19_II02270
ko:K10119	bmc:BAbS19_II06700
ko:K10544	bmc:BAbS19_II08650
ko:K10565	bmc:BAbS19_II10260
ko:K16915	bmc:BAbS19_I12940
ko:K01834	bmc:BAbS19_II09390
ko:K02009	bmc:BAbS19_I12920
ko:K16871	bmc:BAbS19_I01810
ko:K02196	bmc:BAbS19_I00890
ko:K14998	bmc:BAbS19_I04630
ko:K17316	bmc:BAbS19_II05160
ko:K17202	bmc:BAbS19_II03550
ko:K17206	bmc:BAbS19_I15430
ko:K01990	bmc:BAbS19_II07170
ko:K17247	bmc:BAbS19_II02310
ko:K11209	bmc:BAbS19_I06090
ko:K17203	bmc:BAbS19_II03540
ko:K17315	bmc:BAbS19_II05150
ko:K17204	bmc:BAbS19_II03530
ko:K17205	bmc:BAbS19_I15420
ko:K17207	bmc:BAbS19_I15440
ko:K10112	bmc:BAbS19_II05190
ko:K11532	bmc:BAbS19_I12060
ko:K02054	bmc:BAbS19_II04040
ko:K10112	bmc:BAbS19_I02260
ko:K10111	bmc:BAbS19_II06680
ko:K10112	bmc:BAbS19_II10660
ko:K10112	bmc:BAbS19_II04660
ko:K10111	bmc:BAbS19_II08270
ko:K17662	bmc:BAbS19_I07440
ko:K17675	bmc:BAbS19_I16640
ko:K17723	bmc:BAbS19_I02830
ko:K07263	bmc:BAbS19_II01900
ko:K12574	bmc:BAbS19_I07810
ko:K00254	bmc:BAbS19_I03110
ko:K00249	bmc:BAbS19_I04050
ko:K00001	bmc:BAbS19_II04760
ko:K00065	bmc:BAbS19_II02420
ko:K00076	bmc:BAbS19_I15280
ko:K00329	bmc:BAbS19_II09290
ko:K00356	bmc:BAbS19_II09290
ko:K17938	bmc:BAbS19_I03720
ko:K04771	bmc:BAbS19_I05950
ko:K18138	bmc:BAbS19_I10310
ko:K03585	bmc:BAbS19_I10320
ko:K19270	bmc:BAbS19_I08210
ko:K17948	bmc:BAbS19_II07480
ko:K18118	bmc:BAbS19_I09990
ko:K21686	bmc:BAbS19_I11250
ko:K06221	bmc:BAbS19_II01680
ko:K18138	bmc:BAbS19_I02930
ko:K18480	bmc:BAbS19_I09670
ko:K18588	bmc:BAbS19_I10640
ko:K07492	bmc:BAbS19_I09250
ko:K18676	bmc:BAbS19_II06740
ko:K18676	bmc:BAbS19_II10010
ko:K18707	bmc:BAbS19_I18130
ko:K15035	bmc:BAbS19_Ir0014
ko:K05366	bmc:BAbS19_I01090
ko:K18954	bmc:BAbS19_II05630
ko:K18893	bmc:BAbS19_I14600
ko:K16898	bmc:BAbS19_I19690
ko:K03497	bmc:BAbS19_II10860
ko:K03496	bmc:BAbS19_II10850
ko:K19055	bmc:BAbS19_II03230
ko:K18979	bmc:BAbS19_II09320
ko:K03526	bmc:BAbS19_I16710
ko:K16899	bmc:BAbS19_I19680
ko:K00611	bmc:BAbS19_I03020
ko:K18996	bmc:BAbS19_II00010
ko:K00875	bmc:BAbS19_II08630
ko:K07497	bmc:BAbS19_II09590
ko:K07492	bmc:BAbS19_I08750
ko:K12448	bmc:BAbS19_II06490
ko:K00798	bmc:BAbS19_I18540
ko:K19181	bmc:BAbS19_I19190
ko:K22468	bmc:BAbS19_I02970
ko:K00344	bmc:BAbS19_II07700
ko:K08678	bmc:BAbS19_II06500
ko:K19221	bmc:BAbS19_I12380
ko:K01992	bmc:BAbS19_I12780
ko:K01992	bmc:BAbS19_II07160
ko:K19342	bmc:BAbS19_II08530
ko:K06041	bmc:BAbS19_II00670
ko:K04771	bmc:BAbS19_I13200
ko:K07498	bmc:BAbS19_I17390
ko:K19339	bmc:BAbS19_II08580
ko:K19340	bmc:BAbS19_II08550
ko:K19341	bmc:BAbS19_II08540
ko:K17686	bmc:BAbS19_I02080
ko:K19713	bmc:BAbS19_II07870
ko:K07102	bmc:BAbS19_I19660
ko:K19689	bmc:BAbS19_I20100
ko:K00992	bmc:BAbS19_I19670
ko:K17722	bmc:BAbS19_I02840
ko:K19777	bmc:BAbS19_II07960
ko:K08744	bmc:BAbS19_I06720
ko:K19802	bmc:BAbS19_I09630
ko:K09796	bmc:BAbS19_I00490
ko:K20265	bmc:BAbS19_II07980
ko:K20539	bmc:BAbS19_I15490
ko:K11529	bmc:BAbS19_I03550
ko:K16011	bmc:BAbS19_II07920
ko:K21054	bmc:BAbS19_II03480
ko:K21062	bmc:BAbS19_II08910
ko:K22025	bmc:BAbS19_II01330
ko:K21136	bmc:BAbS19_II03020
ko:K13609	bmc:BAbS19_II08900
ko:K21134	bmc:BAbS19_II03040
ko:K02004	bmc:BAbS19_I15750
ko:K01740	bmc:BAbS19_I07610
ko:K01738	bmc:BAbS19_I07610
ko:K09806	bmc:BAbS19_I14410
ko:K07497	bmc:BAbS19_I06990
ko:K21420	bmc:BAbS19_I07270
ko:K21470	bmc:BAbS19_I07340
ko:K21603	bmc:BAbS19_II10240
ko:K21564	bmc:BAbS19_II08510
ko:K21697	bmc:BAbS19_II01090
ko:K21564	bmc:BAbS19_II08700
ko:K21832	bmc:BAbS19_I13850
ko:K19591	bmc:BAbS19_I02090
ko:K21910	bmc:BAbS19_II03450
ko:K21948	bmc:BAbS19_II01360
ko:K21929	bmc:BAbS19_I06250
ko:K21929	bmc:BAbS19_I06040
ko:K05802	bmc:BAbS19_I12530
ko:K22131	bmc:BAbS19_II01350
ko:K22130	bmc:BAbS19_II01320
ko:K22187	bmc:BAbS19_I01980
ko:K22310	bmc:BAbS19_I01390
ko:K11991	bmc:BAbS19_II01870
ko:K02257	bmc:BAbS19_I04570
ko:K11206	bmc:BAbS19_I17580
ko:K00424	bmc:BAbS19_II06760
ko:K22548	bmc:BAbS19_I03350
