ko:K06896	efd:EFD32_0770
ko:K20107	efd:EFD32_0769
ko:K20108	efd:EFD32_0769
ko:K20379	efd:EFD32_2805
ko:K20381	efd:EFD32_pB0004
ko:K20444	efd:EFD32_1773
ko:K20444	efd:EFD32_1772
ko:K00525	efd:EFD32_0402
ko:K18889	efd:EFD32_1466
ko:K18890	efd:EFD32_1465
ko:K22103	efd:EFD32_0470
ko:K02790	efd:EFD32_0028
ko:K02791	efd:EFD32_0028
ko:K22457	efd:EFD32_1994
ko:K01208	efd:EFD32_1160
ko:K21064	efd:EFD32_0851
ko:K21064	efd:EFD32_0852
ko:K08968	efd:EFD32_0875
ko:K01286	efd:EFD32_2704
ko:K03553	efd:EFD32_2743
ko:K01174	efd:EFD32_pB0054
ko:K00558	efd:EFD32_pB0060
ko:K02314	efd:EFD32_0015
ko:K01520	efd:EFD32_0039
ko:K06191	efd:EFD32_0404
ko:K02315	efd:EFD32_1081
ko:K07313	efd:EFD32_1114
ko:K02316	efd:EFD32_1267
ko:K00560	efd:EFD32_1319
ko:K00287	efd:EFD32_1320
ko:K07455	efd:EFD32_1685
ko:K01174	efd:EFD32_1930
ko:K01174	efd:EFD32_1931
ko:K01174	efd:EFD32_1870
ko:K06217	efd:EFD32_2032
ko:K01493	efd:EFD32_2065
ko:K00857	efd:EFD32_2124
ko:K13730	efd:EFD32_2306
ko:K03546	efd:EFD32_2309
ko:K04068	efd:EFD32_2369
ko:K06904	efd:EFD32_2429
ko:K02315	efd:EFD32_2445
ko:K07455	efd:EFD32_2448
ko:K21298	efd:EFD32_1040
ko:K02335	efd:EFD32_0689
ko:K19577	efd:EFD32_2387
ko:K01271	efd:EFD32_1476
ko:K05910	efd:EFD32_1012
ko:K01759	efd:EFD32_0561
ko:K01101	efd:EFD32_0990
ko:K21471	efd:EFD32_2641
ko:K21471	efd:EFD32_0326
ko:K21713	efd:EFD32_0297
ko:K21567	efd:EFD32_2502
ko:K21828	efd:EFD32_0100
ko:K21929	efd:EFD32_0472
ko:K02334	efd:EFD32_0261
ko:K22010	efd:EFD32_1370
ko:K21993	efd:EFD32_0087
ko:K21993	efd:EFD32_1199
ko:K22043	efd:EFD32_2040
ko:K00936	efd:EFD32_1369
ko:K22044	efd:EFD32_0943
ko:K03547	efd:EFD32_0501
ko:K03595	efd:EFD32_2028
ko:K07456	efd:EFD32_2554
ko:K03078	efd:EFD32_0937
ko:K03079	efd:EFD32_0938
ko:K17758	efd:EFD32_1522
ko:K03077	efd:EFD32_0939
ko:K22330	efd:EFD32_0448
ko:K22441	efd:EFD32_2579
ko:K22441	efd:EFD32_1331
