ko:K08744	mtj:J112_09730
ko:K01822	mtj:J112_04090
ko:K01046	mtj:J112_16600
ko:K07483	mtj:J112_09385
ko:K07483	mtj:J112_09425
ko:K07483	mtj:J112_18195
ko:K07483	mtj:J112_14210
ko:K07483	mtj:J112_18680
ko:K07483	mtj:J112_15070
ko:K07483	mtj:J112_11275
ko:K07483	mtj:J112_11630
ko:K07483	mtj:J112_12215
ko:K07483	mtj:J112_07390
ko:K07483	mtj:J112_12635
ko:K07483	mtj:J112_17070
ko:K07483	mtj:J112_17080
ko:K07483	mtj:J112_13300
ko:K07483	mtj:J112_17870
ko:K07483	mtj:J112_04270
ko:K01768	mtj:J112_06805
ko:K01768	mtj:J112_07100
ko:K01768	mtj:J112_07115
ko:K01768	mtj:J112_08695
ko:K01768	mtj:J112_19595
ko:K14215	mtj:J112_12670
ko:K16233	mtj:J112_07400
ko:K07064	mtj:J112_06690
ko:K00336	mtj:J112_16895
ko:K07064	mtj:J112_10445
ko:K07100	mtj:J112_11490
ko:K01436	mtj:J112_17755
ko:K03892	mtj:J112_14175
ko:K07064	mtj:J112_13580
ko:K07064	mtj:J112_18210
ko:K16191	mtj:J112_04850
ko:K00344	mtj:J112_00815
ko:K13670	mtj:J112_08060
ko:K16193	mtj:J112_04860
ko:K08095	mtj:J112_10580
ko:K03976	mtj:J112_17330
ko:K08095	mtj:J112_18575
ko:K08095	mtj:J112_12315
ko:K07450	mtj:J112_04975
ko:K07482	mtj:J112_17115
ko:K07481	mtj:J112_05595
ko:K07493	mtj:J112_05660
ko:K07493	mtj:J112_16195
ko:K07493	mtj:J112_16695
ko:K07481	mtj:J112_05590
ko:K00370	mtj:J112_09265
ko:K03526	mtj:J112_15365
ko:K07493	mtj:J112_06470
ko:K07493	mtj:J112_13470
ko:K08299	mtj:J112_06130
ko:K07746	mtj:J112_10430
ko:K19092	mtj:J112_10425
ko:K00273	mtj:J112_10150
ko:K19221	mtj:J112_15255
ko:K19138	mtj:J112_15115
ko:K16192	mtj:J112_04855
ko:K06893	mtj:J112_00775
ko:K07064	mtj:J112_03540
ko:K07064	mtj:J112_15385
ko:K19093	mtj:J112_11480
ko:K00798	mtj:J112_07080
ko:K19158	mtj:J112_18065
ko:K07064	mtj:J112_01490
ko:K19140	mtj:J112_15095
ko:K01865	mtj:J112_16495
ko:K07492	mtj:J112_06210
ko:K07016	mtj:J112_15120
ko:K19159	mtj:J112_18060
ko:K01710	mtj:J112_18635
ko:K01710	mtj:J112_20345
ko:K00135	mtj:J112_09235
ko:K07064	mtj:J112_04025
ko:K07064	mtj:J112_09805
ko:K07064	mtj:J112_13380
ko:K07493	mtj:J112_04970
ko:K19094	mtj:J112_11485
ko:K17840	mtj:J112_01410
ko:K00020	mtj:J112_03985
ko:K12952	mtj:J112_04895
ko:K03722	mtj:J112_07170
ko:K07496	mtj:J112_04450
ko:K01992	mtj:J112_09000
ko:K07065	mtj:J112_13690
ko:K00091	mtj:J112_00765
ko:K07486	mtj:J112_10780
ko:K07496	mtj:J112_03245
ko:K07065	mtj:J112_03120
ko:K02483	mtj:J112_03225
ko:K07497	mtj:J112_18460
ko:K07486	mtj:J112_10775
ko:K07098	mtj:J112_19795
ko:K06881	mtj:J112_15195
ko:K15856	mtj:J112_00620
ko:K08884	mtj:J112_09315
ko:K19686	mtj:J112_03340
ko:K19686	mtj:J112_03260
ko:K19687	mtj:J112_03335
ko:K19687	mtj:J112_09285
ko:K19710	mtj:J112_14020
ko:K19687	mtj:J112_03255
ko:K19686	mtj:J112_10560
ko:K19687	mtj:J112_10565
ko:K19686	mtj:J112_14780
ko:K07064	mtj:J112_11260
ko:K19686	mtj:J112_09290
ko:K15510	mtj:J112_02170
ko:K12132	mtj:J112_00085
ko:K12132	mtj:J112_00090
ko:K12132	mtj:J112_11180
ko:K20074	mtj:J112_00105
ko:K20467	mtj:J112_01115
ko:K22552	mtj:J112_04545
ko:K03636	mtj:J112_07200
ko:K20469	mtj:J112_01125
ko:K20497	mtj:J112_12165
ko:K20470	mtj:J112_01130
ko:K07695	mtj:J112_16800
ko:K20466	mtj:J112_01110
ko:K20468	mtj:J112_01120
ko:K05375	mtj:J112_12755
ko:K01179	mtj:J112_00325
ko:K01179	mtj:J112_05885
ko:K01214	mtj:J112_08400
ko:K08884	mtj:J112_15600
ko:K20814	mtj:J112_11310
ko:K21059	mtj:J112_15790
ko:K01768	mtj:J112_07105
ko:K01768	mtj:J112_07110
ko:K21071	mtj:J112_16115
ko:K21140	mtj:J112_07195
ko:K21014	mtj:J112_01610
ko:K00821	mtj:J112_08855
ko:K21119	mtj:J112_06760
ko:K21147	mtj:J112_17210
ko:K21142	mtj:J112_16715
ko:K21199	mtj:J112_12175
ko:K00526	mtj:J112_16330
ko:K00526	mtj:J112_01265
ko:K00526	mtj:J112_10555
ko:K02335	mtj:J112_08715
ko:K00525	mtj:J112_16345
ko:K02314	mtj:J112_00305
ko:K06904	mtj:J112_14230
ko:K01520	mtj:J112_14455
ko:K03553	mtj:J112_14655
ko:K03465	mtj:J112_14755
ko:K00287	mtj:J112_14800
ko:K00560	mtj:J112_14805
ko:K07465	mtj:J112_11345
ko:K06191	mtj:J112_16355
ko:K02316	mtj:J112_12570
ko:K06217	mtj:J112_12705
ko:K06904	mtj:J112_08460
ko:K06919	mtj:J112_08485
ko:K08884	mtj:J112_11670
ko:K21302	mtj:J112_17780
ko:K05364	mtj:J112_00095
ko:K21142	mtj:J112_17855
ko:K22468	mtj:J112_17375
ko:K08884	mtj:J112_05025
ko:K06954	mtj:J112_02390
ko:K07027	mtj:J112_03135
ko:K00257	mtj:J112_07255
ko:K08884	mtj:J112_09300
ko:K00632	mtj:J112_14935
ko:K21147	mtj:J112_16700
ko:K21148	mtj:J112_07205
ko:K03636	mtj:J112_04665
ko:K07133	mtj:J112_17700
ko:K00525	mtj:J112_03055
ko:K21200	mtj:J112_09505
ko:K21310	mtj:J112_17395
ko:K07054	mtj:J112_02235
ko:K21397	mtj:J112_09320
ko:K21473	mtj:J112_07935
ko:K03651	mtj:J112_04325
ko:K21474	mtj:J112_07940
ko:K21401	mtj:J112_03005
ko:K21481	mtj:J112_19335
ko:K21609	mtj:J112_01030
ko:K21687	mtj:J112_04660
ko:K21600	mtj:J112_05225
ko:K21600	mtj:J112_01050
ko:K10914	mtj:J112_19755
ko:K21608	mtj:J112_04550
ko:K21691	mtj:J112_13160
ko:K21672	mtj:J112_05725
ko:K21686	mtj:J112_06090
ko:K21689	mtj:J112_10040
ko:K21690	mtj:J112_12820
ko:K21884	mtj:J112_08945
ko:K21885	mtj:J112_10650
ko:K21886	mtj:J112_20130
ko:K21929	mtj:J112_06780
ko:K21887	mtj:J112_20125
ko:K21961	mtj:J112_20725
ko:K21992	mtj:J112_07260
ko:K21962	mtj:J112_07920
ko:K00936	mtj:J112_17290
ko:K22010	mtj:J112_08700
ko:K22044	mtj:J112_16640
ko:K22107	mtj:J112_19245
ko:K03595	mtj:J112_12685
ko:K22108	mtj:J112_19150
ko:K01563	mtj:J112_13835
ko:K17758	mtj:J112_18485
ko:K17759	mtj:J112_18485
ko:K22297	mtj:J112_10175
ko:K22306	mtj:J112_12980
ko:K02257	mtj:J112_07805
ko:K22336	mtj:J112_20640
ko:K01563	mtj:J112_12290
ko:K01934	mtj:J112_05355
ko:K21495	mtj:J112_10400
ko:K18688	mtj:J112_18910
ko:K19302	mtj:J112_01675
ko:K05606	mtj:J112_07125
ko:K13775	mtj:J112_17320
ko:K01563	mtj:J112_09780
ko:K22295	mtj:J112_18320
ko:K22298	mtj:J112_12655
ko:K01551	mtj:J112_11715
ko:K22303	mtj:J112_18325
ko:K03181	mtj:J112_15785
ko:K11206	mtj:J112_02555
ko:K07141	mtj:J112_01855
ko:K00728	mtj:J112_05415
ko:K08300	mtj:J112_13130
ko:K08301	mtj:J112_13130
ko:K07566	mtj:J112_07010
