ko:K19078	suj:SAA6159_00613
ko:K01992	suj:SAA6159_02411
ko:K07497	suj:SAA6159_p07
ko:K19411	suj:SAA6159_00476
ko:K12472	suj:SAA6159_02069
ko:K19302	suj:SAA6159_01284
ko:K19405	suj:SAA6159_00477
ko:K01318	suj:SAA6159_01739
ko:K07485	suj:SAA6159_01095
ko:K03574	suj:SAA6159_01711
ko:K19576	suj:SAA6159_00650
ko:K06881	suj:SAA6159_01627
ko:K21721	suj:SAA6159_00100
ko:K19689	suj:SAA6159_01810
ko:K01258	suj:SAA6159_01448
ko:K07119	suj:SAA6159_02098
ko:K00547	suj:SAA6159_00331
ko:K00297	suj:SAA6159_00331
ko:K02538	suj:SAA6159_02536
ko:K21636	suj:SAA6159_02513
ko:K05770	suj:SAA6159_00089
ko:K19975	suj:SAA6159_00586
ko:K19976	suj:SAA6159_00587
ko:K19973	suj:SAA6159_00588
ko:K20074	suj:SAA6159_01072
ko:K12132	suj:SAA6159_01073
ko:K20116	suj:SAA6159_00171
ko:K20117	suj:SAA6159_00171
ko:K20118	suj:SAA6159_00171
ko:K04068	suj:SAA6159_02512
ko:K20116	suj:SAA6159_02434
ko:K20117	suj:SAA6159_02434
ko:K20118	suj:SAA6159_02434
ko:K20338	suj:SAA6159_01685
ko:K20494	suj:SAA6159_01746
ko:K21949	suj:SAA6159_00099
ko:K20335	suj:SAA6159_02611
ko:K20335	suj:SAA6159_02610
ko:K20337	suj:SAA6159_01024
ko:K20337	suj:SAA6159_01025
ko:K20336	suj:SAA6159_02609
ko:K20534	suj:SAA6159_00659
ko:K02790	suj:SAA6159_00219
ko:K02791	suj:SAA6159_00219
ko:K21029	suj:SAA6159_02181
ko:K21030	suj:SAA6159_00228
ko:K21030	suj:SAA6159_00232
ko:K21064	suj:SAA6159_00831
ko:K08968	suj:SAA6159_01642
ko:K00435	suj:SAA6159_00540
ko:K00526	suj:SAA6159_00687
ko:K02314	suj:SAA6159_00016
ko:K03553	suj:SAA6159_01140
ko:K00287	suj:SAA6159_01293
ko:K00560	suj:SAA6159_01294
ko:K11038	suj:SAA6159_01353
ko:K11038	suj:SAA6159_01354
ko:K01493	suj:SAA6159_01524
ko:K11038	suj:SAA6159_01750
ko:K11038	suj:SAA6159_01751
ko:K14199	suj:SAA6159_01872
ko:K07455	suj:SAA6159_01920
ko:K11038	suj:SAA6159_01939
ko:K11038	suj:SAA6159_01940
ko:K00857	suj:SAA6159_02033
ko:K11038	suj:SAA6159_02320
ko:K11038	suj:SAA6159_02321
ko:K11038	suj:SAA6159_02322
ko:K07451	suj:SAA6159_00047
ko:K14199	suj:SAA6159_00203
ko:K01174	suj:SAA6159_00747
ko:K14199	suj:SAA6159_01011
ko:K03546	suj:SAA6159_01213
ko:K02316	suj:SAA6159_01497
ko:K06217	suj:SAA6159_01506
ko:K06958	suj:SAA6159_00722
ko:K05020	suj:SAA6159_02096
ko:K02335	suj:SAA6159_01614
ko:K21285	suj:SAA6159_00594
ko:K03296	suj:SAA6159_02167
ko:K02031	suj:SAA6159_01247
ko:K00525	suj:SAA6159_00686
ko:K02483	suj:SAA6159_02265
ko:K22044	suj:SAA6159_00335
ko:K21453	suj:SAA6159_02561
ko:K21478	suj:SAA6159_02564
ko:K21567	suj:SAA6159_02276
ko:K21591	suj:SAA6159_00231
ko:K21600	suj:SAA6159_02001
ko:K18704	suj:SAA6159_00234
ko:K21828	suj:SAA6159_02527
ko:K02334	suj:SAA6159_01398
ko:K22043	suj:SAA6159_02059
ko:K22136	suj:SAA6159_01028
ko:K00754	suj:SAA6159_01323
ko:K22135	suj:SAA6159_00521
ko:K03595	suj:SAA6159_01502
ko:K22132	suj:SAA6159_01561
ko:K22109	suj:SAA6159_02510
ko:K03547	suj:SAA6159_01772
ko:K17758	suj:SAA6159_00007
ko:K02257	suj:SAA6159_00971
ko:K22409	suj:SAA6159_00414
ko:K13566	suj:SAA6159_01948
ko:K22441	suj:SAA6159_02273
