ko:K19079	sauj:SAI2T2_1005130
ko:K07029	sauj:SAI2T2_1014400
ko:K01271	sauj:SAI2T2_1012480
ko:K18979	sauj:SAI2T2_1013740
ko:K00949	sauj:SAI2T2_1008740
ko:K01318	sauj:SAI2T2_1013290
ko:K01318	sauj:SAI2T2_1007430
ko:K07498	sauj:SAI2T2_20130
ko:K07816	sauj:SAI2T2_1018670
ko:K03429	sauj:SAI2T2_1007210
ko:K02755	sauj:SAI2T2_1002050
ko:K03293	sauj:SAI2T2_1017120
ko:K19077	sauj:SAI2T2_1005120
ko:K01174	sauj:SAI2T2_1009520
ko:K19078	sauj:SAI2T2_1005110
ko:K01239	sauj:SAI2T2_1016870
ko:K19225	sauj:SAI2T2_1011250
ko:K02777	sauj:SAI2T2_1010300
ko:K14198	sauj:SAI2T2_1014720
ko:K19068	sauj:SAI2T2_1001090
ko:K19081	sauj:SAI2T2_1019630
ko:K19082	sauj:SAI2T2_1019640
ko:K19083	sauj:SAI2T2_1019620
ko:K19084	sauj:SAI2T2_1019610
ko:K08259	sauj:SAI2T2_1002140
ko:K02031	sauj:SAI2T2_1006990
ko:K14195	sauj:SAI2T2_1018580
ko:K14195	sauj:SAI2T2_1018590
ko:K02032	sauj:SAI2T2_1009960
ko:K07485	sauj:SAI2T2_1002910
ko:K03722	sauj:SAI2T2_1010520
ko:K01992	sauj:SAI2T2_1018730
ko:K19411	sauj:SAI2T2_1004000
ko:K01046	sauj:SAI2T2_1002460
ko:K19302	sauj:SAI2T2_1010260
ko:K19405	sauj:SAI2T2_1004010
ko:K07485	sauj:SAI2T2_1004380
ko:K07485	sauj:SAI2T2_1004860
ko:K07485	sauj:SAI2T2_1006530
ko:K07485	sauj:SAI2T2_1008260
ko:K07485	sauj:SAI2T2_1012590
ko:K07485	sauj:SAI2T2_1013780
ko:K07485	sauj:SAI2T2_1015340
ko:K03574	sauj:SAI2T2_1013160
ko:K19279	sauj:SAI2T2_1006340
ko:K00561	sauj:SAI2T2_1019350
ko:K00561	sauj:SAI2T2_1015850
ko:K00561	sauj:SAI2T2_1012010
ko:K19576	sauj:SAI2T2_1005390
ko:K06881	sauj:SAI2T2_1012450
ko:K01906	sauj:SAI2T2_1017990
ko:K03483	sauj:SAI2T2_1015940
ko:K19689	sauj:SAI2T2_1014240
ko:K01258	sauj:SAI2T2_1011010
ko:K07119	sauj:SAI2T2_1016290
ko:K00547	sauj:SAI2T2_1002750
ko:K00297	sauj:SAI2T2_1002750
ko:K02538	sauj:SAI2T2_1019780
ko:K21636	sauj:SAI2T2_1019560
ko:K19976	sauj:SAI2T2_1004880
ko:K12132	sauj:SAI2T2_1008710
ko:K20074	sauj:SAI2T2_1008700
ko:K20116	sauj:SAI2T2_1001390
ko:K20117	sauj:SAI2T2_1001390
ko:K20118	sauj:SAI2T2_1001390
ko:K20116	sauj:SAI2T2_1018910
ko:K20117	sauj:SAI2T2_1018910
ko:K20118	sauj:SAI2T2_1018910
ko:K20338	sauj:SAI2T2_1012970
ko:K21949	sauj:SAI2T2_1000720
ko:K20534	sauj:SAI2T2_1005460
ko:K21721	sauj:SAI2T2_1000730
ko:K02790	sauj:SAI2T2_1001850
ko:K02791	sauj:SAI2T2_1001850
ko:K21029	sauj:SAI2T2_1016800
ko:K21030	sauj:SAI2T2_1001920
ko:K00525	sauj:SAI2T2_1005690
ko:K21030	sauj:SAI2T2_1001960
ko:K21064	sauj:SAI2T2_1006830
ko:K00435	sauj:SAI2T2_1004530
ko:K00526	sauj:SAI2T2_1005700
ko:K00632	sauj:SAI2T2_1001760
ko:K04068	sauj:SAI2T2_1019550
ko:K01174	sauj:SAI2T2_1006240
ko:K11038	sauj:SAI2T2_1013350
ko:K11038	sauj:SAI2T2_1013360
ko:K00857	sauj:SAI2T2_1015620
ko:K03553	sauj:SAI2T2_1009260
ko:K03546	sauj:SAI2T2_1009680
ko:K00287	sauj:SAI2T2_1010330
ko:K00560	sauj:SAI2T2_1010340
ko:K11038	sauj:SAI2T2_1017950
ko:K11038	sauj:SAI2T2_1017960
ko:K11038	sauj:SAI2T2_1017970
ko:K02316	sauj:SAI2T2_1011360
ko:K06217	sauj:SAI2T2_1011420
ko:K01493	sauj:SAI2T2_1011570
ko:K02314	sauj:SAI2T2_1000130
ko:K00108	sauj:SAI2T2_1019510
ko:K06958	sauj:SAI2T2_1006000
ko:K05020	sauj:SAI2T2_1016270
ko:K02335	sauj:SAI2T2_1012320
ko:K21285	sauj:SAI2T2_1004950
ko:K02032	sauj:SAI2T2_1007000
ko:K03296	sauj:SAI2T2_1016700
ko:K02031	sauj:SAI2T2_1009970
ko:K22044	sauj:SAI2T2_1002790
ko:K21478	sauj:SAI2T2_1020020
ko:K21453	sauj:SAI2T2_1020000
ko:K21567	sauj:SAI2T2_1017600
ko:K21591	sauj:SAI2T2_1001950
ko:K18704	sauj:SAI2T2_1001980
ko:K21828	sauj:SAI2T2_1019690
ko:K22136	sauj:SAI2T2_1008370
ko:K00754	sauj:SAI2T2_1010550
ko:K22135	sauj:SAI2T2_1004400
ko:K03595	sauj:SAI2T2_1011410
ko:K22132	sauj:SAI2T2_1011840
ko:K22109	sauj:SAI2T2_1019530
ko:K03547	sauj:SAI2T2_1013640
ko:K17758	sauj:SAI2T2_1000060
ko:K02257	sauj:SAI2T2_1007960
ko:K22409	sauj:SAI2T2_1003400
ko:K13566	sauj:SAI2T2_1014940
ko:K22441	sauj:SAI2T2_1017580
