ko:K19078	suf:SARLGA251_05920
ko:K18707	suf:SARLGA251_14820
ko:K18766	suf:SARLGA251_00250
ko:K05592	suf:SARLGA251_18830
ko:K18672	suf:SARLGA251_19590
ko:K18704	suf:SARLGA251_02170
ko:K18682	suf:SARLGA251_11970
ko:K18692	suf:SARLGA251_14640
ko:K18906	suf:SARLGA251_06190
ko:K01262	suf:SARLGA251_14360
ko:K09692	suf:SARLGA251_17520
ko:K07723	suf:SARLGA251_18720
ko:K18909	suf:SARLGA251_02940
ko:K18941	suf:SARLGA251_13320
ko:K18908	suf:SARLGA251_02950
ko:K07171	suf:SARLGA251_18710
ko:K04940	suf:SARLGA251_20840
ko:K18907	suf:SARLGA251_00830
ko:K14201	suf:SARLGA251_07190
ko:K03111	suf:SARLGA251_07880
ko:K03497	suf:SARLGA251_24730
ko:K03497	suf:SARLGA251_03220
ko:K03111	suf:SARLGA251_18980
ko:K03111	suf:SARLGA251_03280
ko:K03502	suf:SARLGA251_12730
ko:K03169	suf:SARLGA251_20400
ko:K11040	suf:SARLGA251_15050
ko:K03741	suf:SARLGA251_00510
ko:K07029	suf:SARLGA251_17800
ko:K03741	suf:SARLGA251_16610
ko:K03498	suf:SARLGA251_18280
ko:K09145	suf:SARLGA251_06040
ko:K18979	suf:SARLGA251_17390
ko:K00949	suf:SARLGA251_11340
ko:K01318	suf:SARLGA251_09630
ko:K13052	suf:SARLGA251_04410
ko:K07816	suf:SARLGA251_22820
ko:K03892	suf:SARLGA251_00530
ko:K03429	suf:SARLGA251_09320
ko:K03293	suf:SARLGA251_20990
ko:K01174	suf:SARLGA251_12330
ko:K19077	suf:SARLGA251_05930
ko:K14203	suf:SARLGA251_10660
ko:K19158	suf:SARLGA251_21890
ko:K19225	suf:SARLGA251_14550
ko:K02777	suf:SARLGA251_13380
ko:K01239	suf:SARLGA251_20670
ko:K19068	suf:SARLGA251_01280
ko:K19081	suf:SARLGA251_23960
ko:K19082	suf:SARLGA251_23970
ko:K19083	suf:SARLGA251_23950
ko:K19084	suf:SARLGA251_23940
ko:K08259	suf:SARLGA251_02400
ko:K19159	suf:SARLGA251_21900
ko:K02031	suf:SARLGA251_09080
ko:K02032	suf:SARLGA251_12960
ko:K11442	suf:SARLGA251_19660
ko:K03722	suf:SARLGA251_00420
ko:K03722	suf:SARLGA251_13690
ko:K01992	suf:SARLGA251_22900
ko:K19411	suf:SARLGA251_04580
ko:K19302	suf:SARLGA251_13330
ko:K19405	suf:SARLGA251_04590
ko:K01318	suf:SARLGA251_16930
ko:K03574	suf:SARLGA251_16770
ko:K19576	suf:SARLGA251_06280
ko:K06881	suf:SARLGA251_15950
ko:K21721	suf:SARLGA251_00920
ko:K00887	suf:SARLGA251_14750
ko:K19689	suf:SARLGA251_17610
ko:K01258	suf:SARLGA251_14190
ko:K20483	suf:SARLGA251_17050
ko:K20482	suf:SARLGA251_17070
ko:K07119	suf:SARLGA251_19820
ko:K00547	suf:SARLGA251_03190
ko:K00297	suf:SARLGA251_03190
ko:K02538	suf:SARLGA251_24120
ko:K21636	suf:SARLGA251_23890
ko:K19976	suf:SARLGA251_05660
ko:K20074	suf:SARLGA251_11300
ko:K12132	suf:SARLGA251_11310
ko:K20116	suf:SARLGA251_01600
ko:K20117	suf:SARLGA251_01600
ko:K20118	suf:SARLGA251_01600
ko:K20116	suf:SARLGA251_23130
ko:K20117	suf:SARLGA251_23130
ko:K20118	suf:SARLGA251_23130
ko:K20338	suf:SARLGA251_16520
ko:K20491	suf:SARLGA251_17000
ko:K20494	suf:SARLGA251_16990
ko:K20482	suf:SARLGA251_17060
ko:K21949	suf:SARLGA251_00910
ko:K20484	suf:SARLGA251_17040
ko:K20486	suf:SARLGA251_17020
ko:K20490	suf:SARLGA251_17010
ko:K20337	suf:SARLGA251_10840
ko:K20337	suf:SARLGA251_10850
ko:K20534	suf:SARLGA251_06370
ko:K02790	suf:SARLGA251_02060
ko:K02791	suf:SARLGA251_02060
ko:K21029	suf:SARLGA251_20600
ko:K21030	suf:SARLGA251_02150
ko:K21030	suf:SARLGA251_02190
ko:K21064	suf:SARLGA251_08890
ko:K08968	suf:SARLGA251_16090
ko:K00435	suf:SARLGA251_05220
ko:K00526	suf:SARLGA251_06650
ko:K02314	suf:SARLGA251_00160
ko:K14199	suf:SARLGA251_01930
ko:K01174	suf:SARLGA251_07230
ko:K07474	suf:SARLGA251_07630
ko:K01520	suf:SARLGA251_08030
ko:K03553	suf:SARLGA251_11960
ko:K11038	suf:SARLGA251_17080
ko:K11038	suf:SARLGA251_17090
ko:K14199	suf:SARLGA251_10690
ko:K03546	suf:SARLGA251_12550
ko:K00857	suf:SARLGA251_19200
ko:K11038	suf:SARLGA251_22010
ko:K11038	suf:SARLGA251_22020
ko:K11038	suf:SARLGA251_22030
ko:K02316	suf:SARLGA251_14680
ko:K06217	suf:SARLGA251_14770
ko:K04068	suf:SARLGA251_23880
ko:K00287	suf:SARLGA251_13420
ko:K00560	suf:SARLGA251_13430
ko:K01493	suf:SARLGA251_14940
ko:K11038	suf:SARLGA251_18230
ko:K06958	suf:SARLGA251_06980
ko:K05020	suf:SARLGA251_19800
ko:K13714	suf:SARLGA251_09670
ko:K02335	suf:SARLGA251_15820
ko:K00108	suf:SARLGA251_23840
ko:K21285	suf:SARLGA251_05730
ko:K02032	suf:SARLGA251_09090
ko:K03296	suf:SARLGA251_20460
ko:K02031	suf:SARLGA251_12970
ko:K00525	suf:SARLGA251_06640
ko:K22044	suf:SARLGA251_03230
ko:K21453	suf:SARLGA251_24390
ko:K21478	suf:SARLGA251_24420
ko:K02483	suf:SARLGA251_21440
ko:K21567	suf:SARLGA251_21580
ko:K21591	suf:SARLGA251_02180
ko:K21600	suf:SARLGA251_18890
ko:K18704	suf:SARLGA251_02210
ko:K21828	suf:SARLGA251_24030
ko:K22043	suf:SARLGA251_19460
ko:K22136	suf:SARLGA251_10880
ko:K22135	suf:SARLGA251_05030
ko:K00754	suf:SARLGA251_13720
ko:K03595	suf:SARLGA251_14730
ko:K22132	suf:SARLGA251_15310
ko:K22109	suf:SARLGA251_23860
ko:K22212	suf:SARLGA251_07020
ko:K03547	suf:SARLGA251_17270
ko:K17758	suf:SARLGA251_00070
ko:K02257	suf:SARLGA251_10290
ko:K22409	suf:SARLGA251_03980
ko:K13566	suf:SARLGA251_18360
ko:K22441	suf:SARLGA251_21550
