ko:K18137	abaz:P795_6965
ko:K02887	abaz:P795_14435
ko:K02916	abaz:P795_14440
ko:K02520	abaz:P795_14460
ko:K01868	abaz:P795_14465
ko:K00666	abaz:P795_14470
ko:K09889	abaz:P795_14475
ko:K06958	abaz:P795_14485
ko:K01918	abaz:P795_14490
ko:K00606	abaz:P795_14495
ko:K00950	abaz:P795_14500
ko:K00970	abaz:P795_14505
ko:K02237	abaz:P795_14510
ko:K00951	abaz:P795_14525
ko:K03215	abaz:P795_14530
ko:K07501	abaz:P795_14535
ko:K12339	abaz:P795_14540
ko:K07678	abaz:P795_14545
ko:K09710	abaz:P795_14565
ko:K00325	abaz:P795_14575
ko:K00324	abaz:P795_14580
ko:K00324	abaz:P795_14585
ko:K05539	abaz:P795_14605
ko:K00108	abaz:P795_13075
ko:K00001	abaz:P795_6735
ko:K01487	abaz:P795_17270
ko:K18139	abaz:P795_3455
ko:K03719	abaz:P795_16675
ko:K03719	abaz:P795_6535
ko:K05599	abaz:P795_8450
ko:K11311	abaz:P795_8460
ko:K07003	abaz:P795_16570
ko:K11939	abaz:P795_1635
ko:K01800	abaz:P795_0325
ko:K00146	abaz:P795_7470
ko:K00130	abaz:P795_13070
ko:K00130	abaz:P795_11920
ko:K02031	abaz:P795_9210
ko:K02032	abaz:P795_9210
ko:K17938	abaz:P795_3190
ko:K07506	abaz:P795_8665
ko:K01007	abaz:P795_6135
ko:K00956	abaz:P795_12705
ko:K03366	abaz:P795_8710
ko:K08485	abaz:P795_14480
ko:K09017	abaz:P795_17110
ko:K05600	abaz:P795_8455
ko:K01977	abaz:P795_17390
ko:K01977	abaz:P795_17400
ko:K01977	abaz:P795_17405
ko:K01977	abaz:P795_17410
ko:K01977	abaz:P795_17415
ko:K01985	abaz:P795_17330
ko:K01985	abaz:P795_17355
ko:K01985	abaz:P795_17345
ko:K01985	abaz:P795_17350
ko:K01985	abaz:P795_17335
ko:K01985	abaz:P795_17340
ko:K00557	abaz:P795_9540
ko:K03772	abaz:P795_16985
ko:K01980	abaz:P795_17380
ko:K01980	abaz:P795_17360
ko:K01980	abaz:P795_17370
ko:K01980	abaz:P795_17385
ko:K01980	abaz:P795_17375
ko:K01980	abaz:P795_17365
ko:K00091	abaz:P795_4920
ko:K13794	abaz:P795_14080
ko:K22589	abaz:P795_4955
ko:K21449	abaz:P795_12540
ko:K00220	abaz:P795_5535
ko:K00800	abaz:P795_5535
ko:K18143	abaz:P795_8275
ko:K02614	abaz:P795_10645
ko:K18144	abaz:P795_8280
ko:K10014	abaz:P795_5395
ko:K03719	abaz:P795_9525
ko:K01977	abaz:P795_17395
ko:K07782	abaz:P795_16595
ko:K11747	abaz:P795_15460
ko:K01659	abaz:P795_16835
ko:K02768	abaz:P795_7155
ko:K08483	abaz:P795_7155
ko:K11183	abaz:P795_7155
ko:K18118	abaz:P795_1265
ko:K14230	abaz:P795_17525
ko:K14229	abaz:P795_17555
ko:K14228	abaz:P795_17705
ko:K14228	abaz:P795_17755
ko:K14233	abaz:P795_17435
ko:K14236	abaz:P795_17605
ko:K14234	abaz:P795_17615
ko:K14219	abaz:P795_17750
ko:K14219	abaz:P795_17700
ko:K14219	abaz:P795_17440
ko:K14219	abaz:P795_17450
ko:K14219	abaz:P795_17445
ko:K10938	abaz:P795_0505
ko:K10938	abaz:P795_0510
ko:K22003	abaz:P795_14090
ko:K01263	abaz:P795_5135
ko:K14219	abaz:P795_17655
ko:K14224	abaz:P795_17680
ko:K14224	abaz:P795_17685
ko:K14224	abaz:P795_17690
ko:K14224	abaz:P795_17535
ko:K14227	abaz:P795_17455
ko:K14227	abaz:P795_17640
ko:K14227	abaz:P795_17465
ko:K14227	abaz:P795_17590
ko:K14227	abaz:P795_17580
ko:K14221	abaz:P795_17485
ko:K14220	abaz:P795_17710
ko:K14220	abaz:P795_17720
ko:K14220	abaz:P795_17715
ko:K14220	abaz:P795_17725
ko:K14230	abaz:P795_17735
ko:K14230	abaz:P795_17730
ko:K14223	abaz:P795_17540
ko:K14223	abaz:P795_17550
ko:K14223	abaz:P795_17575
ko:K14223	abaz:P795_17545
ko:K14230	abaz:P795_17630
ko:K14230	abaz:P795_17635
ko:K14229	abaz:P795_17560
ko:K14237	abaz:P795_17490
ko:K14237	abaz:P795_17480
ko:K14225	abaz:P795_17530
ko:K14225	abaz:P795_17570
ko:K14225	abaz:P795_17565
ko:K14233	abaz:P795_17495
ko:K14233	abaz:P795_17740
ko:K14231	abaz:P795_17425
ko:K14231	abaz:P795_17430
ko:K14218	abaz:P795_17420
ko:K14218	abaz:P795_17645
ko:K14218	abaz:P795_17470
ko:K14218	abaz:P795_17460
ko:K14218	abaz:P795_17585
ko:K14218	abaz:P795_17595
ko:K14218	abaz:P795_17695
ko:K14228	abaz:P795_17475
ko:K14237	abaz:P795_17500
ko:K14228	abaz:P795_17505
ko:K14228	abaz:P795_17515
ko:K14235	abaz:P795_17510
ko:K14235	abaz:P795_17520
ko:K14230	abaz:P795_17745
ko:K14226	abaz:P795_17660
ko:K14232	abaz:P795_17650
ko:K14232	abaz:P795_17665
ko:K14235	abaz:P795_17620
ko:K14225	abaz:P795_17610
ko:K14234	abaz:P795_17600
ko:K14234	abaz:P795_17675
ko:K14159	abaz:P795_12075
ko:K18320	abaz:P795_18095
ko:K18383	abaz:P795_11770
ko:K07165	abaz:P795_13145
ko:K12262	abaz:P795_10605
ko:K18303	abaz:P795_0155
ko:K18302	abaz:P795_0150
ko:K18301	abaz:P795_0145
ko:K00138	abaz:P795_6445
ko:K14233	abaz:P795_17670
ko:K14222	abaz:P795_17760
ko:K14228	abaz:P795_17625
ko:K03446	abaz:P795_8190
ko:K01031	abaz:P795_7435
ko:K01031	abaz:P795_7440
ko:K01032	abaz:P795_7445
ko:K01032	abaz:P795_7450
ko:K01708	abaz:P795_11835
ko:K15125	abaz:P795_11875
ko:K15125	abaz:P795_11885
ko:K11734	abaz:P795_3325
ko:K11734	abaz:P795_11955
ko:K02073	abaz:P795_11995
ko:K03760	abaz:P795_12185
ko:K03760	abaz:P795_12190
ko:K01866	abaz:P795_8000
ko:K00262	abaz:P795_12565
ko:K08195	abaz:P795_8495
ko:K08195	abaz:P795_8500
ko:K03671	abaz:P795_17890
ko:K02358	abaz:P795_13425
ko:K02358	abaz:P795_13430
ko:K02342	abaz:P795_18045
ko:K02337	abaz:P795_18200
ko:K02337	abaz:P795_18215
ko:K07044	abaz:P795_4885
ko:K02454	abaz:P795_5455
ko:K07459	abaz:P795_10625
ko:K03296	abaz:P795_3065
ko:K01114	abaz:P795_6720
ko:K07126	abaz:P795_10935
ko:K00973	abaz:P795_2655
ko:K00973	abaz:P795_2660
ko:K01790	abaz:P795_2670
ko:K02601	abaz:P795_15870
ko:K16234	abaz:P795_0375
ko:K18476	abaz:P795_18080
ko:K11904	abaz:P795_16795
ko:K07645	abaz:P795_3390
ko:K07645	abaz:P795_5475
ko:K21758	abaz:P795_7550
ko:K21758	abaz:P795_11740
ko:K16235	abaz:P795_1725
ko:K03462	abaz:P795_8170
ko:K11904	abaz:P795_10965
ko:K00681	abaz:P795_13210
ko:K00042	abaz:P795_8110
ko:K21645	abaz:P795_8580
ko:K10747	abaz:P795_18285
ko:K18902	abaz:P795_5375
ko:K18893	abaz:P795_9495
ko:K18794	abaz:P795_9600
ko:K18900	abaz:P795_5390
ko:K18824	abaz:P795_18065
ko:K18850	abaz:P795_9465
ko:K18901	abaz:P795_5380
ko:K18903	abaz:P795_5370
ko:K03503	abaz:P795_10250
ko:K03503	abaz:P795_12210
ko:K03502	abaz:P795_12215
ko:K03746	abaz:P795_15915
ko:K03496	abaz:P795_16540
ko:K03111	abaz:P795_0990
ko:K04565	abaz:P795_1685
ko:K03496	abaz:P795_1695
ko:K08151	abaz:P795_1820
ko:K03497	abaz:P795_9405
ko:K03496	abaz:P795_9410
ko:K03502	abaz:P795_6810
ko:K01856	abaz:P795_7685
ko:K03646	abaz:P795_4170
ko:K07128	abaz:P795_17885
ko:K07128	abaz:P795_17895
ko:K03496	abaz:P795_18260
ko:K02663	abaz:P795_1435
ko:K02625	abaz:P795_8605
ko:K00335	abaz:P795_13920
ko:K00336	abaz:P795_13915
ko:K06596	abaz:P795_3100
ko:K03976	abaz:P795_9055
ko:K03526	abaz:P795_14780
ko:K14742	abaz:P795_14215
ko:K03761	abaz:P795_3770
ko:K18305	abaz:P795_8530
ko:K07215	abaz:P795_13120
ko:K18979	abaz:P795_9625
ko:K03431	abaz:P795_18070
ko:K18997	abaz:P795_15480
ko:K02664	abaz:P795_1440
ko:K09483	abaz:P795_7620
ko:K06992	abaz:P795_14255
ko:K01406	abaz:P795_4860
ko:K06320	abaz:P795_2680
ko:K01710	abaz:P795_2640
ko:K01710	abaz:P795_2635
ko:K01710	abaz:P795_16940
ko:K03446	abaz:P795_7930
ko:K12979	abaz:P795_15740
ko:K01046	abaz:P795_1610
ko:K00020	abaz:P795_16635
ko:K01992	abaz:P795_4030
ko:K01992	abaz:P795_8895
ko:K01992	abaz:P795_8900
ko:K01392	abaz:P795_9225
ko:K00529	abaz:P795_12955
ko:K00638	abaz:P795_3690
ko:K03862	abaz:P795_11745
ko:K19302	abaz:P795_14810
ko:K06867	abaz:P795_0480
ko:K06867	abaz:P795_10820
ko:K04771	abaz:P795_4335
ko:K01096	abaz:P795_3470
ko:K00984	abaz:P795_16505
ko:K07216	abaz:P795_13310
ko:K19577	abaz:P795_0185
ko:K19577	abaz:P795_6325
ko:K02650	abaz:P795_1500
ko:K17686	abaz:P795_11400
ko:K00992	abaz:P795_9420
ko:K00799	abaz:P795_10145
ko:K06132	abaz:P795_2450
ko:K15777	abaz:P795_12555
ko:K03897	abaz:P795_9045
ko:K11904	abaz:P795_10970
ko:K03196	abaz:AGW27738.1
ko:K03204	abaz:AGW27740.1
ko:K03203	abaz:AGW27741.1
ko:K03201	abaz:AGW27742.1
ko:K03496	abaz:AGW27745.1
ko:K07497	abaz:AGW27714.1
ko:K19274	abaz:AGW27715.1
ko:K18780	abaz:AFM77866.1
ko:K01817	abaz:AFM77865.1
ko:K03926	abaz:AGW27717.1
ko:K04078	abaz:AGW27718.1
ko:K04077	abaz:AGW27719.1
ko:K19810	abaz:P795_4840
ko:K01457	abaz:P795_10995
ko:K00020	abaz:P795_14555
ko:K16066	abaz:P795_4385
ko:K03809	abaz:P795_13500
ko:K01802	abaz:P795_13020
ko:K20276	abaz:P795_3655
ko:K00507	abaz:P795_2755
ko:K20455	abaz:P795_16830
ko:K09788	abaz:P795_3330
ko:K20534	abaz:P795_4020
ko:K03200	abaz:AGW27729.1
ko:K03195	abaz:AGW27739.1
ko:K03199	abaz:AGW27730.1
ko:K20881	abaz:P795_7060
ko:K02483	abaz:P795_5470
ko:K00249	abaz:P795_2345
ko:K21053	abaz:P795_11635
ko:K21062	abaz:P795_10770
ko:K13877	abaz:P795_7720
ko:K21061	abaz:P795_10750
ko:K01768	abaz:P795_9145
ko:K11935	abaz:P795_6145
ko:K11931	abaz:P795_6150
ko:K11937	abaz:P795_6160
ko:K21105	abaz:P795_11805
ko:K13877	abaz:P795_10725
ko:K21021	abaz:P795_2465
ko:K21023	abaz:P795_14665
ko:K03892	abaz:P795_9940
ko:K00525	abaz:P795_13970
ko:K13877	abaz:P795_11815
ko:K13877	abaz:P795_8080
ko:K00249	abaz:P795_9075
ko:K00526	abaz:P795_18130
ko:K00632	abaz:P795_15750
ko:K02314	abaz:P795_6085
ko:K03553	abaz:P795_7050
ko:K03546	abaz:P795_13265
ko:K01520	abaz:P795_13335
ko:K02316	abaz:P795_13520
ko:K09935	abaz:P795_14430
ko:K03676	abaz:P795_14745
ko:K07336	abaz:P795_14920
ko:K00560	abaz:P795_15000
ko:K00287	abaz:P795_15005
ko:K17733	abaz:P795_10830
ko:K00525	abaz:P795_18135
ko:K03553	abaz:P795_18180
ko:K09882	abaz:P795_18230
ko:K02316	abaz:P795_18310
ko:K02314	abaz:P795_18315
ko:K01185	abaz:P795_18335
ko:K06217	abaz:P795_2280
ko:K06889	abaz:P795_8260
ko:K03863	abaz:P795_11750
ko:K20938	abaz:P795_10015
ko:K02335	abaz:P795_14360
ko:K01139	abaz:P795_1535
ko:K00001	abaz:P795_3540
ko:K00526	abaz:P795_13980
ko:K21416	abaz:P795_8730
ko:K21417	abaz:P795_8725
ko:K21472	abaz:P795_0225
ko:K21420	abaz:P795_13405
ko:K21699	abaz:P795_5760
ko:K10914	abaz:P795_9815
ko:K21747	abaz:P795_9085
ko:K21756	abaz:P795_7690
ko:K21757	abaz:P795_11410
ko:K21758	abaz:P795_11445
ko:K21802	abaz:P795_11775
ko:K19591	abaz:P795_11395
ko:K21990	abaz:P795_0265
ko:K22027	abaz:P795_7525
ko:K22025	abaz:P795_8100
ko:K22105	abaz:P795_4655
ko:K22067	abaz:P795_6815
ko:K01816	abaz:P795_14560
ko:K13874	abaz:P795_7875
ko:K03595	abaz:P795_4365
ko:K07183	abaz:P795_6820
ko:K22132	abaz:P795_14620
ko:K08994	abaz:P795_8700
ko:K08994	abaz:P795_2545
ko:K22186	abaz:P795_8085
ko:K13875	abaz:P795_7705
ko:K22292	abaz:P795_17060
ko:K02257	abaz:P795_6105
ko:K01505	abaz:P795_13830
ko:K00611	abaz:P795_6960
ko:K13061	abaz:P795_16605
ko:K00590	abaz:P795_14025
ko:K00424	abaz:P795_7255
ko:K22550	abaz:P795_10745
ko:K22549	abaz:P795_10740
