ko:K19078	sue:SAOV_0693
ko:K11038	sue:SAOV_2042
ko:K14199	sue:SAOV_2052c
ko:K06919	sue:SAOV_2058c
ko:K01174	sue:SAOV_0832
ko:K00525	sue:SAOV_0767
ko:K00857	sue:SAOV_2160c
ko:K11038	sue:SAOV_2467
ko:K11038	sue:SAOV_2469
ko:K11038	sue:SAOV_2470
ko:K02314	sue:SAOV_0016
ko:K04068	sue:SAOV_2662c
ko:K06958	sue:SAOV_0803
ko:K05020	sue:SAOV_2232c
ko:K02335	sue:SAOV_1678
ko:K21285	sue:SAOV_0674
ko:K03296	sue:SAOV_2299c
ko:K02031	sue:SAOV_1389c
ko:K22044	sue:SAOV_0385
ko:K21453	sue:SAOV_2717c
ko:K02483	sue:SAOV_2405
ko:K21567	sue:SAOV_2419c
ko:K21591	sue:SAOV_0193
ko:K21600	sue:SAOV_2128c
ko:K18704	sue:SAOV_0196
ko:K21828	sue:SAOV_2680c
ko:K22043	sue:SAOV_2184
ko:K22136	sue:SAOV_1178
ko:K00754	sue:SAOV_1466
ko:K22135	sue:SAOV_0602c
ko:K03595	sue:SAOV_1567
ko:K22132	sue:SAOV_1626
ko:K22109	sue:SAOV_2659
ko:K22212	sue:SAOV_0808
ko:K03547	sue:SAOV_1840
ko:K17758	sue:SAOV_0007
ko:K02257	sue:SAOV_1058
ko:K22409	sue:SAOV_0482
ko:K13566	sue:SAOV_2071
ko:K22441	sue:SAOV_2416c
