ko:K19077	suq:HMPREF0772_12528
ko:K14237	suq:HMPREF0772_t10009
ko:K14237	suq:HMPREF0772_t10015
ko:K14237	suq:HMPREF0772_t10023
ko:K14225	suq:HMPREF0772_t10020
ko:K14225	suq:HMPREF0772_t10052
ko:K14225	suq:HMPREF0772_t10006
ko:K14225	suq:HMPREF0772_t10027
ko:K14228	suq:HMPREF0772_t10005
ko:K14228	suq:HMPREF0772_t10028
ko:K14228	suq:HMPREF0772_t10047
ko:K14228	suq:HMPREF0772_t10026
ko:K14228	suq:HMPREF0772_t10019
ko:K14219	suq:HMPREF0772_t10004
ko:K14219	suq:HMPREF0772_t10029
ko:K14219	suq:HMPREF0772_t10056
ko:K14218	suq:HMPREF0772_t10002
ko:K14218	suq:HMPREF0772_t10022
ko:K14218	suq:HMPREF0772_t10031
ko:K14227	suq:HMPREF0772_t10001
ko:K14227	suq:HMPREF0772_t10021
ko:K14220	suq:HMPREF0772_t10057
ko:K14220	suq:HMPREF0772_t10053
ko:K14226	suq:HMPREF0772_t10051
ko:K14226	suq:HMPREF0772_t10043
ko:K14231	suq:HMPREF0772_t10039
ko:K14231	suq:HMPREF0772_t10050
ko:K14230	suq:HMPREF0772_t10032
ko:K14225	suq:HMPREF0772_t10046
ko:K14223	suq:HMPREF0772_t10017
ko:K14223	suq:HMPREF0772_t10044
ko:K11070	suq:HMPREF0772_12131
ko:K15035	suq:HMPREF0772nc10038
ko:K02029	suq:HMPREF0772_11286
ko:K02030	suq:HMPREF0772_11286
ko:K01992	suq:HMPREF0772_10853
ko:K07284	suq:HMPREF0772_10663
ko:K01990	suq:HMPREF0772_10223
ko:K01990	suq:HMPREF0772_10680
ko:K01983	suq:HMPREF0772nc10003
ko:K14233	suq:HMPREF0772_t10055
ko:K01990	suq:HMPREF0772_10852
ko:K01990	suq:HMPREF0772_10143
ko:K01990	suq:HMPREF0772_11308
ko:K01990	suq:HMPREF0772_11208
ko:K01664	suq:HMPREF0772_12474
ko:K01992	suq:HMPREF0772_10221
ko:K01992	suq:HMPREF0772_10222
ko:K01992	suq:HMPREF0772_11211
ko:K01992	suq:HMPREF0772_11309
ko:K02028	suq:HMPREF0772_11287
ko:K03574	suq:HMPREF0772_10701
ko:K01980	suq:HMPREF0772_r10002
ko:K01980	suq:HMPREF0772_r10015
ko:K01980	suq:HMPREF0772_r10006
ko:K01980	suq:HMPREF0772_r10009
ko:K01980	suq:HMPREF0772_r10012
ko:K01980	suq:HMPREF0772_r10018
ko:K17217	suq:HMPREF0772_10062
ko:K17216	suq:HMPREF0772_10063
ko:K00951	suq:HMPREF0772_11508
ko:K00265	suq:HMPREF0772_10051
ko:K01897	suq:HMPREF0772_10271
ko:K01978	suq:HMPREF0772nc10028
ko:K01992	suq:HMPREF0772_11888
ko:K01990	suq:HMPREF0772_11210
ko:K01990	suq:HMPREF0772_11889
ko:K17472	suq:HMPREF0772_11515
ko:K17686	suq:HMPREF0772_10633
ko:K01739	suq:HMPREF0772_10135
ko:K00226	suq:HMPREF0772_10602
ko:K06518	suq:HMPREF0772_10650
ko:K01791	suq:HMPREF0772_10334
ko:K01658	suq:HMPREF0772_11839
ko:K11928	suq:HMPREF0772_11240
ko:K02171	suq:HMPREF0772_12695
ko:K07979	suq:HMPREF0772_11207
ko:K10212	suq:HMPREF0772_10624
ko:K01187	suq:HMPREF0772_11634
ko:K01791	suq:HMPREF0772_11080
ko:K01791	suq:HMPREF0772_10343
ko:K19080	suq:HMPREF0772_12526
ko:K18104	suq:HMPREF0772_12544
ko:K02479	suq:HMPREF0772_11296
ko:K08168	suq:HMPREF0772_10361
ko:K03293	suq:HMPREF0772_11875
ko:K02031	suq:HMPREF0772_10301
ko:K02032	suq:HMPREF0772_10301
ko:K02809	suq:HMPREF0772_10306
ko:K02810	suq:HMPREF0772_10306
ko:K02809	suq:HMPREF0772_10811
ko:K02810	suq:HMPREF0772_10811
ko:K03366	suq:HMPREF0772_10371
ko:K00008	suq:HMPREF0772_10253
ko:K07145	suq:HMPREF0772_12097
ko:K22580	suq:HMPREF0772_12177
ko:K00632	suq:HMPREF0772_10274
ko:K01046	suq:HMPREF0772_10175
ko:K01046	suq:HMPREF0772_10515
ko:K02172	suq:HMPREF0772_12694
ko:K21461	suq:HMPREF0772_10519
ko:K21462	suq:HMPREF0772_10517
ko:K21463	suq:HMPREF0772_10837
ko:K00008	suq:HMPREF0772_10255
ko:K06131	suq:HMPREF0772_11891
ko:K03572	suq:HMPREF0772_11931
ko:K00806	suq:HMPREF0772_11970
ko:K02551	suq:HMPREF0772_12192
ko:K00299	suq:HMPREF0772_10156
ko:K00926	suq:HMPREF0772_10557
ko:K06978	suq:HMPREF0772_10597
ko:K01992	suq:HMPREF0772_10678
ko:K03217	suq:HMPREF0772_11101
ko:K08255	suq:HMPREF0772_12275
ko:K07483	suq:HMPREF0772_10419
ko:K20554	suq:HMPREF0772nc10014
ko:K00681	suq:HMPREF0772_10297
ko:K04749	suq:HMPREF0772_11129
ko:K18707	suq:HMPREF0772_11564
ko:K18766	suq:HMPREF0772_12693
ko:K05592	suq:HMPREF0772_11114
ko:K18672	suq:HMPREF0772_11029
ko:K18704	suq:HMPREF0772_10250
ko:K18682	suq:HMPREF0772_11942
ko:K18692	suq:HMPREF0772_11582
ko:K18906	suq:HMPREF0772_12501
ko:K01262	suq:HMPREF0772_11611
ko:K09692	suq:HMPREF0772_11274
ko:K07723	suq:HMPREF0772_11126
ko:K18909	suq:HMPREF0772_10162
ko:K18941	suq:HMPREF0772_11792
ko:K18908	suq:HMPREF0772_10161
ko:K07171	suq:HMPREF0772_11127
ko:K04940	suq:HMPREF0772_10896
ko:K03502	suq:HMPREF0772_11843
ko:K11040	suq:HMPREF0772_11316
ko:K11040	suq:HMPREF0772_11317
ko:K11040	suq:HMPREF0772_11318
ko:K11040	suq:HMPREF0772_11319
ko:K11040	suq:HMPREF0772_11320
ko:K11040	suq:HMPREF0772_11321
ko:K03111	suq:HMPREF0772_10128
ko:K03497	suq:HMPREF0772_10134
ko:K03169	suq:HMPREF0772_10944
ko:K03111	suq:HMPREF0772_11095
ko:K03497	suq:HMPREF0772_10473
ko:K07029	suq:HMPREF0772_11245
ko:K07132	suq:HMPREF0772_12698
ko:K03498	suq:HMPREF0772_11174
ko:K09145	suq:HMPREF0772_12517
ko:K07498	suq:HMPREF0772_12675
ko:K18979	suq:HMPREF0772_11288
ko:K00949	suq:HMPREF0772_12009
ko:K01318	suq:HMPREF0772_11334
ko:K01318	suq:HMPREF0772_12186
ko:K07497	suq:HMPREF0772_12697
ko:K07816	suq:HMPREF0772_10688
ko:K07498	suq:HMPREF0772_10440
ko:K19005	suq:HMPREF0772_12468
ko:K14203	suq:HMPREF0772_12078
ko:K07452	suq:HMPREF0772_10412
ko:K03293	suq:HMPREF0772_10879
ko:K01174	suq:HMPREF0772_11884
ko:K19147	suq:HMPREF0772_10411
ko:K19078	suq:HMPREF0772_12529
ko:K19158	suq:HMPREF0772_10780
ko:K19225	suq:HMPREF0772_11592
ko:K02777	suq:HMPREF0772_11784
ko:K05881	suq:HMPREF0772_12536
ko:K19068	suq:HMPREF0772_10344
ko:K19079	suq:HMPREF0772_12527
ko:K19081	suq:HMPREF0772_10565
ko:K19082	suq:HMPREF0772_10564
ko:K19083	suq:HMPREF0772_10566
ko:K19084	suq:HMPREF0772_10567
ko:K19159	suq:HMPREF0772_10779
ko:K02031	suq:HMPREF0772_12250
ko:K02032	suq:HMPREF0772_11829
ko:K12472	suq:HMPREF0772_11033
ko:K03722	suq:HMPREF0772_11749
ko:K01992	suq:HMPREF0772_10679
ko:K01992	suq:HMPREF0772_10825
ko:K19411	suq:HMPREF0772_12668
ko:K19302	suq:HMPREF0772_11790
ko:K19405	suq:HMPREF0772_12667
ko:K01318	suq:HMPREF0772_11333
ko:K03574	suq:HMPREF0772_11363
ko:K19576	suq:HMPREF0772_12492
ko:K03483	suq:HMPREF0772_11036
ko:K06881	suq:HMPREF0772_11448
ko:K21721	suq:HMPREF0772_10380
ko:K19689	suq:HMPREF0772_11265
ko:K01258	suq:HMPREF0772_11628
ko:K07119	suq:HMPREF0772_11004
ko:K00547	suq:HMPREF0772_10137
ko:K00297	suq:HMPREF0772_10137
ko:K02538	suq:HMPREF0772_10547
ko:K21636	suq:HMPREF0772_10573
ko:K19975	suq:HMPREF0772_12556
ko:K19976	suq:HMPREF0772_12555
ko:K19973	suq:HMPREF0772_12554
ko:K20074	suq:HMPREF0772_12013
ko:K12132	suq:HMPREF0772_12012
ko:K20116	suq:HMPREF0772_10309
ko:K20117	suq:HMPREF0772_10309
ko:K20118	suq:HMPREF0772_10309
ko:K20116	suq:HMPREF0772_10653
ko:K20117	suq:HMPREF0772_10653
ko:K20118	suq:HMPREF0772_10653
ko:K20338	suq:HMPREF0772_11389
ko:K21949	suq:HMPREF0772_10381
ko:K20337	suq:HMPREF0772_12058
ko:K20534	suq:HMPREF0772_12483
ko:K02790	suq:HMPREF0772_10261
ko:K02791	suq:HMPREF0772_10261
ko:K21029	suq:HMPREF0772_10922
ko:K21030	suq:HMPREF0772_10252
ko:K21030	suq:HMPREF0772_10247
ko:K21064	suq:HMPREF0772_12274
ko:K08968	suq:HMPREF0772_11434
ko:K00435	suq:HMPREF0772_12601
ko:K00526	suq:HMPREF0772_12452
ko:K11038	suq:HMPREF0772_10766
ko:K11038	suq:HMPREF0772_10767
ko:K11038	suq:HMPREF0772_10768
ko:K01493	suq:HMPREF0772_11552
ko:K06217	suq:HMPREF0772_11569
ko:K02316	suq:HMPREF0772_11578
ko:K07474	suq:HMPREF0772_12344
ko:K01174	suq:HMPREF0772_12387
ko:K01520	suq:HMPREF0772_11679
ko:K11038	suq:HMPREF0772_11713
ko:K11038	suq:HMPREF0772_11714
ko:K00560	suq:HMPREF0772_11779
ko:K00287	suq:HMPREF0772_11780
ko:K14199	suq:HMPREF0772_10276
ko:K00857	suq:HMPREF0772_11072
ko:K03546	suq:HMPREF0772_11862
ko:K11038	suq:HMPREF0772_11177
ko:K11038	suq:HMPREF0772_11178
ko:K14199	suq:HMPREF0772_11198
ko:K03553	suq:HMPREF0772_11943
ko:K02314	suq:HMPREF0772_10452
ko:K04068	suq:HMPREF0772_10574
ko:K14199	suq:HMPREF0772_12075
ko:K06958	suq:HMPREF0772_12415
ko:K05020	suq:HMPREF0772_11006
ko:K02335	suq:HMPREF0772_11461
ko:K21285	suq:HMPREF0772_12548
ko:K03296	suq:HMPREF0772_10938
ko:K02031	suq:HMPREF0772_11828
ko:K00525	suq:HMPREF0772_12453
ko:K22044	suq:HMPREF0772_10133
ko:K21478	suq:HMPREF0772_10518
ko:K21453	suq:HMPREF0772_10521
ko:K02483	suq:HMPREF0772_10831
ko:K21567	suq:HMPREF0772_10816
ko:K21591	suq:HMPREF0772_10248
ko:K21600	suq:HMPREF0772_11106
ko:K18704	suq:HMPREF0772_10245
ko:K21828	suq:HMPREF0772_10558
ko:K02334	suq:HMPREF0772_11672
ko:K22043	suq:HMPREF0772_11045
ko:K22136	suq:HMPREF0772_12055
ko:K00754	suq:HMPREF0772_11746
ko:K22135	suq:HMPREF0772_12621
ko:K22132	suq:HMPREF0772_11513
ko:K22109	suq:HMPREF0772_10577
ko:K22212	suq:HMPREF0772_12411
ko:K03547	suq:HMPREF0772_11300
ko:K17758	suq:HMPREF0772_10461
ko:K02257	suq:HMPREF0772_12116
ko:K22409	suq:HMPREF0772_10058
ko:K13566	suq:HMPREF0772_11164
ko:K22441	suq:HMPREF0772_10819
