ko:K22010	lmr:LMR479A_1193
ko:K07030	lmr:LMR479A_0602
ko:K00641	lmr:LMR479A_0606
ko:K01740	lmr:LMR479A_0607
ko:K03523	lmr:LMR479A_0610
ko:K10947	lmr:LMR479A_0611
ko:K06147	lmr:LMR479A_0619
ko:K06147	lmr:LMR479A_0620
ko:K01118	lmr:LMR479A_0624
ko:K01126	lmr:LMR479A_0629
ko:K07090	lmr:LMR479A_0634
ko:K09903	lmr:LMR479A_1398
ko:K02838	lmr:LMR479A_1399
ko:K00806	lmr:LMR479A_1400
ko:K00981	lmr:LMR479A_1401
ko:K00099	lmr:LMR479A_1402
ko:K11749	lmr:LMR479A_1403
ko:K01881	lmr:LMR479A_1404
ko:K03763	lmr:LMR479A_1405
ko:K09748	lmr:LMR479A_1406
ko:K02600	lmr:LMR479A_1407
ko:K07742	lmr:LMR479A_1408
ko:K02519	lmr:LMR479A_1410
ko:K09764	lmr:LMR479A_1411
ko:K02834	lmr:LMR479A_1412
ko:K03177	lmr:LMR479A_1413
ko:K11753	lmr:LMR479A_1414
ko:K02956	lmr:LMR479A_1415
ko:K00962	lmr:LMR479A_1417
ko:K06949	lmr:LMR479A_1418
ko:K02913	lmr:LMR479A_1421
ko:K01934	lmr:LMR479A_1422
ko:K00845	lmr:LMR479A_1425
ko:K02249	lmr:LMR479A_1427
ko:K02248	lmr:LMR479A_1428
ko:K02247	lmr:LMR479A_1429
ko:K02246	lmr:LMR479A_1430
ko:K02245	lmr:LMR479A_1431
ko:K02244	lmr:LMR479A_1432
ko:K02243	lmr:LMR479A_1433
ko:K00605	lmr:LMR479A_1435
ko:K00282	lmr:LMR479A_1436
ko:K00283	lmr:LMR479A_1437
ko:K01262	lmr:LMR479A_1441
ko:K02356	lmr:LMR479A_1442
ko:K01652	lmr:LMR479A_2116
ko:K17318	lmr:LMR479A_2117
ko:K17320	lmr:LMR479A_2118
ko:K17319	lmr:LMR479A_2119
ko:K07720	lmr:LMR479A_2120
ko:K07718	lmr:LMR479A_2121
ko:K09704	lmr:LMR479A_2123
ko:K01191	lmr:LMR479A_2124
ko:K01191	lmr:LMR479A_2125
ko:K03704	lmr:LMR479A_2126
ko:K01778	lmr:LMR479A_2128
ko:K01870	lmr:LMR479A_2129
ko:K04074	lmr:LMR479A_2130
ko:K07105	lmr:LMR479A_2131
ko:K04487	lmr:LMR479A_2132
ko:K00278	lmr:LMR479A_2133
ko:K00767	lmr:LMR479A_2134
ko:K03517	lmr:LMR479A_2135
ko:K02221	lmr:LMR479A_2140
ko:K09772	lmr:LMR479A_2141
ko:K06997	lmr:LMR479A_2142
ko:K03531	lmr:LMR479A_2143
ko:K03590	lmr:LMR479A_2144
ko:K03589	lmr:LMR479A_2146
ko:K02563	lmr:LMR479A_2147
ko:K01925	lmr:LMR479A_2148
ko:K01000	lmr:LMR479A_2149
ko:K01928	lmr:LMR479A_2150
ko:K08724	lmr:LMR479A_2151
ko:K03438	lmr:LMR479A_2153
ko:K03925	lmr:LMR479A_2154
ko:K08152	lmr:LMR479A_2155
ko:K00077	lmr:LMR479A_2157
ko:K07040	lmr:LMR479A_2159
ko:K02768	lmr:LMR479A_2870
ko:K02769	lmr:LMR479A_2870
ko:K02770	lmr:LMR479A_2870
ko:K01191	lmr:LMR479A_2871
ko:K00865	lmr:LMR479A_2873
ko:K03699	lmr:LMR479A_2875
ko:K12410	lmr:LMR479A_2876
ko:K08161	lmr:LMR479A_2878
ko:K00616	lmr:LMR479A_2880
ko:K18104	lmr:LMR479A_2882
ko:K07343	lmr:LMR479A_2883
ko:K01875	lmr:LMR479A_2884
ko:K03342	lmr:LMR479A_2887
ko:K07258	lmr:LMR479A_2892
ko:K06978	lmr:LMR479A_2893
ko:K03654	lmr:LMR479A_2895
ko:K00088	lmr:LMR479A_2896
ko:K01223	lmr:LMR479A_2900
ko:K02760	lmr:LMR479A_2901
ko:K02761	lmr:LMR479A_2902
ko:K02759	lmr:LMR479A_2904
ko:K01990	lmr:LMR479A_2908
ko:K01919	lmr:LMR479A_2909
ko:K01223	lmr:LMR479A_2910
ko:K02755	lmr:LMR479A_2911
ko:K02756	lmr:LMR479A_2911
ko:K02757	lmr:LMR479A_2911
ko:K03488	lmr:LMR479A_2912
ko:K14234	lmr:LMR479A_tRNA11
ko:K14234	lmr:LMR479A_tRNA19
ko:K14237	lmr:LMR479A_tRNA15
ko:K01985	lmr:LMR479A_5s_rRNA1
ko:K01985	lmr:LMR479A_5s_rRNA3
ko:K01985	lmr:LMR479A_5s_rRNA5
ko:K01985	lmr:LMR479A_5s_rRNA2
ko:K01985	lmr:LMR479A_5s_rRNA4
ko:K01978	lmr:LMR479A_miscRNA10
ko:K14236	lmr:LMR479A_tRNA12
ko:K14236	lmr:LMR479A_tRNA30
ko:K14223	lmr:LMR479A_tRNA13
ko:K14223	lmr:LMR479A_tRNA33
ko:K14233	lmr:LMR479A_tRNA58
ko:K01983	lmr:LMR479A_miscRNA25
ko:K14229	lmr:LMR479A_tRNA1
ko:K14233	lmr:LMR479A_tRNA3
ko:K14233	lmr:LMR479A_tRNA56
ko:K14233	lmr:LMR479A_tRNA48
ko:K14233	lmr:LMR479A_tRNA24
ko:K14220	lmr:LMR479A_tRNA18
ko:K14220	lmr:LMR479A_tRNA23
ko:K14220	lmr:LMR479A_tRNA55
ko:K14220	lmr:LMR479A_tRNA2
ko:K14221	lmr:LMR479A_tRNA28
ko:K14221	lmr:LMR479A_tRNA50
ko:K14221	lmr:LMR479A_tRNA5
ko:K14228	lmr:LMR479A_tRNA42
ko:K14229	lmr:LMR479A_tRNA14
ko:K14229	lmr:LMR479A_tRNA39
ko:K14225	lmr:LMR479A_tRNA53
ko:K14225	lmr:LMR479A_tRNA6
ko:K14225	lmr:LMR479A_tRNA41
ko:K14225	lmr:LMR479A_tRNA34
ko:K14219	lmr:LMR479A_tRNA7
ko:K14219	lmr:LMR479A_tRNA43
ko:K14219	lmr:LMR479A_tRNA8
ko:K14219	lmr:LMR479A_tRNA20
ko:K14227	lmr:LMR479A_tRNA16
ko:K14227	lmr:LMR479A_tRNA54
ko:K14227	lmr:LMR479A_tRNA21
ko:K14226	lmr:LMR479A_tRNA52
ko:K14226	lmr:LMR479A_tRNA32
ko:K14231	lmr:LMR479A_tRNA29
ko:K14231	lmr:LMR479A_tRNA51
ko:K14230	lmr:LMR479A_tRNA47
ko:K14230	lmr:LMR479A_tRNA46
ko:K14232	lmr:LMR479A_tRNA44
ko:K15035	lmr:LMR479A_miscRNA22
ko:K00651	lmr:LMR479A_p0082
ko:K14224	lmr:LMR479A_tRNA10
ko:K14224	lmr:LMR479A_tRNA25
ko:K14224	lmr:LMR479A_tRNA57
ko:K14224	lmr:LMR479A_tRNA4
ko:K14230	lmr:LMR479A_tRNA27
ko:K14230	lmr:LMR479A_tRNA49
ko:K14218	lmr:LMR479A_tRNA17
ko:K14218	lmr:LMR479A_tRNA22
ko:K14218	lmr:LMR479A_tRNA45
ko:K04749	lmr:LMR479A_0914
ko:K01977	lmr:LMR479A_16s_rRNA1
ko:K01977	lmr:LMR479A_16s_rRNA5
ko:K01977	lmr:LMR479A_16s_rRNA4
ko:K01977	lmr:LMR479A_16s_rRNA3
ko:K01977	lmr:LMR479A_16s_rRNA2
ko:K14228	lmr:LMR479A_tRNA40
ko:K14228	lmr:LMR479A_tRNA9
ko:K14228	lmr:LMR479A_tRNA36
ko:K14237	lmr:LMR479A_tRNA26
ko:K14237	lmr:LMR479A_tRNA37
ko:K01980	lmr:LMR479A_23s_rRNA2
ko:K01980	lmr:LMR479A_23s_rRNA5
ko:K01980	lmr:LMR479A_23s_rRNA1
ko:K01980	lmr:LMR479A_23s_rRNA4
ko:K01980	lmr:LMR479A_23s_rRNA3
ko:K14222	lmr:LMR479A_tRNA35
ko:K14235	lmr:LMR479A_tRNA31
ko:K18672	lmr:LMR479A_2231
ko:K18673	lmr:LMR479A_2903
ko:K18682	lmr:LMR479A_1487
ko:K09692	lmr:LMR479A_1102
ko:K07171	lmr:LMR479A_0909
ko:K14234	lmr:LMR479A_tRNA38
ko:K03790	lmr:LMR479A_2981
ko:K18892	lmr:LMR479A_2889
ko:K18891	lmr:LMR479A_2888
ko:K18821	lmr:LMR479A_2694
ko:K07316	lmr:LMR479A_1125
ko:K18967	lmr:LMR479A_2286
ko:K03111	lmr:LMR479A_0052
ko:K08151	lmr:LMR479A_0857
ko:K03111	lmr:LMR479A_2414
ko:K18231	lmr:LMR479A_0942
ko:K00662	lmr:LMR479A_1812
ko:K03111	lmr:LMR479A_2649
ko:K03502	lmr:LMR479A_2812
ko:K03169	lmr:LMR479A_2894
ko:K03497	lmr:LMR479A_2927
ko:K03496	lmr:LMR479A_2928
ko:K03497	lmr:LMR479A_2931
ko:K03205	lmr:LMR479A_p0018
ko:K03169	lmr:LMR479A_p0020
ko:K03502	lmr:LMR479A_p0051
ko:K03169	lmr:LMR479A_p0080
ko:K06148	lmr:LMR479A_1154
ko:K00020	lmr:LMR479A_1031
ko:K01699	lmr:LMR479A_1174
ko:K19005	lmr:LMR479A_0949
ko:K04028	lmr:LMR479A_1205
ko:K00634	lmr:LMR479A_1456
ko:K07483	lmr:LMR479A_0678
ko:K07029	lmr:LMR479A_1858
ko:K03526	lmr:LMR479A_1530
ko:K07483	lmr:LMR479A_0850
ko:K18979	lmr:LMR479A_0956
ko:K13052	lmr:LMR479A_0226
ko:K07816	lmr:LMR479A_0820
ko:K19002	lmr:LMR479A_2683
ko:K07498	lmr:LMR479A_pCDS97D
ko:K07498	lmr:LMR479A_p0084
ko:K02777	lmr:LMR479A_1043
ko:K00354	lmr:LMR479A_2596
ko:K03339	lmr:LMR479A_2684
ko:K19167	lmr:LMR479A_p0055
ko:K00798	lmr:LMR479A_1230
ko:K16960	lmr:LMR479A_2465
ko:K05881	lmr:LMR479A_0362
ko:K05881	lmr:LMR479A_2835
ko:K01710	lmr:LMR479A_1111
ko:K00571	lmr:LMR479A_1676
ko:K16644	lmr:LMR479A_0213
ko:K19225	lmr:LMR479A_1423
ko:K19285	lmr:LMR479A_0958
ko:K03722	lmr:LMR479A_2008
ko:K01990	lmr:LMR479A_0775
ko:K01992	lmr:LMR479A_0947
ko:K01992	lmr:LMR479A_1734
ko:K19351	lmr:LMR479A_0212
ko:K01990	lmr:LMR479A_0946
ko:K01990	lmr:LMR479A_1733
ko:K19411	lmr:LMR479A_0243
ko:K19302	lmr:LMR479A_2127
ko:K19267	lmr:LMR479A_0446
ko:K04771	lmr:LMR479A_0311
ko:K19405	lmr:LMR479A_0244
ko:K19302	lmr:LMR479A_1720
ko:K03574	lmr:LMR479A_1768
ko:K19509	lmr:LMR479A_2110
ko:K19508	lmr:LMR479A_2111
ko:K19507	lmr:LMR479A_2112
ko:K19504	lmr:LMR479A_2109
ko:K06881	lmr:LMR479A_1669
ko:K02821	lmr:LMR479A_2786
ko:K19510	lmr:LMR479A_2108
ko:K19504	lmr:LMR479A_0042
ko:K00887	lmr:LMR479A_1553
ko:K02796	lmr:LMR479A_0106
ko:K02796	lmr:LMR479A_0024
ko:K02796	lmr:LMR479A_0800
ko:K19689	lmr:LMR479A_1815
ko:K19689	lmr:LMR479A_1699
ko:K01258	lmr:LMR479A_1463
ko:K00547	lmr:LMR479A_1777
ko:K00297	lmr:LMR479A_1777
ko:K09681	lmr:LMR479A_1839
ko:K02538	lmr:LMR479A_2250
ko:K00285	lmr:LMR479A_2019
ko:K21636	lmr:LMR479A_0298
ko:K19976	lmr:LMR479A_1958
ko:K20074	lmr:LMR479A_1931
ko:K15780	lmr:LMR479A_0228
ko:K12132	lmr:LMR479A_1930
ko:K20265	lmr:LMR479A_2483
ko:K20265	lmr:LMR479A_0044
ko:K20265	lmr:LMR479A_0457
ko:K20201	lmr:LMR479A_2668
ko:K00525	lmr:LMR479A_2267
ko:K20534	lmr:LMR479A_2678
ko:K18889	lmr:LMR479A_1749
ko:K20534	lmr:LMR479A_0955
ko:K18890	lmr:LMR479A_1748
ko:K22103	lmr:LMR479A_2218
ko:K20885	lmr:LMR479A_0883
ko:K01208	lmr:LMR479A_2237
ko:K21030	lmr:LMR479A_1114
ko:K21029	lmr:LMR479A_1076
ko:K08968	lmr:LMR479A_1689
ko:K21064	lmr:LMR479A_2377
ko:K00821	lmr:LMR479A_1682
ko:K00435	lmr:LMR479A_2224
ko:K02314	lmr:LMR479A_0061
ko:K17733	lmr:LMR479A_2389
ko:K03546	lmr:LMR479A_1742
ko:K01520	lmr:LMR479A_1794
ko:K04068	lmr:LMR479A_0299
ko:K00857	lmr:LMR479A_2672
ko:K13730	lmr:LMR479A_0443
ko:K06919	lmr:LMR479A_1288
ko:K00287	lmr:LMR479A_1983
ko:K00560	lmr:LMR479A_1984
ko:K17733	lmr:LMR479A_1317
ko:K07313	lmr:LMR479A_0672
ko:K03553	lmr:LMR479A_1486
ko:K02316	lmr:LMR479A_1544
ko:K06217	lmr:LMR479A_1556
ko:K01493	lmr:LMR479A_1573
ko:K13731	lmr:LMR479A_2686
ko:K13731	lmr:LMR479A_0444
ko:K21298	lmr:LMR479A_1832
ko:K02335	lmr:LMR479A_1659
ko:K21285	lmr:LMR479A_1116
ko:K00980	lmr:LMR479A_1117
ko:K00526	lmr:LMR479A_2266
ko:K21252	lmr:LMR479A_1806
ko:K01658	lmr:LMR479A_2886
ko:K22044	lmr:LMR479A_1039
ko:K21481	lmr:LMR479A_2327
ko:K21465	lmr:LMR479A_1527
ko:K21467	lmr:LMR479A_0450
ko:K21471	lmr:LMR479A_p0042
ko:K21471	lmr:LMR479A_2629
ko:K21471	lmr:LMR479A_2630
ko:K18704	lmr:LMR479A_1113
ko:K21567	lmr:LMR479A_2514
ko:K21567	lmr:LMR479A_2071
ko:K21600	lmr:LMR479A_1964
ko:K21560	lmr:LMR479A_0209
ko:K21562	lmr:LMR479A_p0073
ko:K18704	lmr:LMR479A_1105
ko:K00680	lmr:LMR479A_2469
ko:K21993	lmr:LMR479A_0935
ko:K22043	lmr:LMR479A_2618
ko:K00936	lmr:LMR479A_1194
ko:K21960	lmr:LMR479A_2471
ko:K21903	lmr:LMR479A_p0063
ko:K03547	lmr:LMR479A_2336
ko:K03595	lmr:LMR479A_1551
ko:K01537	lmr:LMR479A_0859
ko:K22251	lmr:LMR479A_0355
ko:K22278	lmr:LMR479A_0425
ko:K17758	lmr:LMR479A_1719
ko:K02257	lmr:LMR479A_2168
ko:K05592	lmr:LMR479A_1326
ko:K13566	lmr:LMR479A_0301
ko:K22441	lmr:LMR479A_0834
