ko:K22010	lmom:IJ09_04475
ko:K02864	lmom:IJ09_09035
ko:K02863	lmom:IJ09_09040
ko:K02867	lmom:IJ09_09045
ko:K02601	lmom:IJ09_09055
ko:K03073	lmom:IJ09_09060
ko:K02913	lmom:IJ09_09065
ko:K03091	lmom:IJ09_09070
ko:K06962	lmom:IJ09_09075
ko:K03218	lmom:IJ09_09080
ko:K11145	lmom:IJ09_09085
ko:K01883	lmom:IJ09_09090
ko:K00640	lmom:IJ09_09095
ko:K09698	lmom:IJ09_09100
ko:K01770	lmom:IJ09_09105
ko:K00991	lmom:IJ09_09110
ko:K04485	lmom:IJ09_09120
ko:K03696	lmom:IJ09_09125
ko:K03708	lmom:IJ09_09140
ko:K02250	lmom:IJ09_13560
ko:K16899	lmom:IJ09_13570
ko:K16898	lmom:IJ09_13575
ko:K06889	lmom:IJ09_13600
ko:K02759	lmom:IJ09_13615
ko:K05520	lmom:IJ09_13630
ko:K03524	lmom:IJ09_00310
ko:K00606	lmom:IJ09_00320
ko:K01918	lmom:IJ09_00325
ko:K01579	lmom:IJ09_00330
ko:K00812	lmom:IJ09_00345
ko:K01893	lmom:IJ09_00350
ko:K02086	lmom:IJ09_00355
ko:K10773	lmom:IJ09_00360
ko:K05366	lmom:IJ09_00370
ko:K03700	lmom:IJ09_00375
ko:K07444	lmom:IJ09_00400
ko:K01299	lmom:IJ09_00405
ko:K03816	lmom:IJ09_00410
ko:K16169	lmom:IJ09_00415
ko:K02954	lmom:IJ09_00425
ko:K03469	lmom:IJ09_00435
ko:K03704	lmom:IJ09_00440
ko:K01938	lmom:IJ09_00450
ko:K15738	lmom:IJ09_00455
ko:K00563	lmom:IJ09_00470
ko:K01006	lmom:IJ09_00495
ko:K09773	lmom:IJ09_00500
ko:K11068	lmom:IJ09_00510
ko:K07304	lmom:IJ09_00530
ko:K07305	lmom:IJ09_00535
ko:K03810	lmom:IJ09_00540
ko:K03784	lmom:IJ09_00550
ko:K07260	lmom:IJ09_00555
ko:K17686	lmom:IJ09_00565
ko:K07213	lmom:IJ09_00570
ko:K03797	lmom:IJ09_00575
ko:K03327	lmom:IJ09_00600
ko:K18967	lmom:IJ09_14040
ko:K01980	lmom:IJ09_00965
ko:K01980	lmom:IJ09_11810
ko:K01980	lmom:IJ09_09150
ko:K01980	lmom:IJ09_13000
ko:K01980	lmom:IJ09_09210
ko:K01980	lmom:IJ09_01450
ko:K06148	lmom:IJ09_04675
ko:K00020	lmom:IJ09_05265
ko:K01699	lmom:IJ09_04570
ko:K19005	lmom:IJ09_05665
ko:K04028	lmom:IJ09_04415
ko:K00634	lmom:IJ09_03165
ko:K07483	lmom:IJ09_07040
ko:K07029	lmom:IJ09_01090
ko:K03526	lmom:IJ09_02800
ko:K07483	lmom:IJ09_06170
ko:K03111	lmom:IJ09_13375
ko:K18231	lmom:IJ09_05700
ko:K00662	lmom:IJ09_01315
ko:K03111	lmom:IJ09_10150
ko:K08151	lmom:IJ09_06135
ko:K03497	lmom:IJ09_10735
ko:K03496	lmom:IJ09_10750
ko:K03497	lmom:IJ09_10755
ko:K03169	lmom:IJ09_10925
ko:K03502	lmom:IJ09_11355
ko:K03111	lmom:IJ09_12190
ko:K18979	lmom:IJ09_05625
ko:K13052	lmom:IJ09_09280
ko:K07816	lmom:IJ09_06320
ko:K19002	lmom:IJ09_12025
ko:K00354	lmom:IJ09_12450
ko:K03339	lmom:IJ09_12020
ko:K00798	lmom:IJ09_04290
ko:K16960	lmom:IJ09_13170
ko:K05881	lmom:IJ09_08560
ko:K05881	lmom:IJ09_11230
ko:K02777	lmom:IJ09_05205
ko:K01985	lmom:IJ09_00970
ko:K01985	lmom:IJ09_13005
ko:K01985	lmom:IJ09_01455
ko:K01985	lmom:IJ09_09205
ko:K01985	lmom:IJ09_11815
ko:K01985	lmom:IJ09_09145
ko:K01710	lmom:IJ09_04870
ko:K00571	lmom:IJ09_02080
ko:K16644	lmom:IJ09_09345
ko:K19225	lmom:IJ09_03325
ko:K19285	lmom:IJ09_05615
ko:K01990	lmom:IJ09_06545
ko:K01992	lmom:IJ09_01795
ko:K01992	lmom:IJ09_05675
ko:K03722	lmom:IJ09_00335
ko:K19351	lmom:IJ09_09350
ko:K19411	lmom:IJ09_09135
ko:K01990	lmom:IJ09_01800
ko:K01990	lmom:IJ09_05680
ko:K19302	lmom:IJ09_15130
ko:K19267	lmom:IJ09_08145
ko:K04771	lmom:IJ09_08795
ko:K19405	lmom:IJ09_09130
ko:K19302	lmom:IJ09_01865
ko:K03574	lmom:IJ09_01630
ko:K19509	lmom:IJ09_15215
ko:K19508	lmom:IJ09_15210
ko:K19507	lmom:IJ09_15205
ko:K19504	lmom:IJ09_15220
ko:K06881	lmom:IJ09_02115
ko:K02821	lmom:IJ09_11485
ko:K19510	lmom:IJ09_15225
ko:K19504	lmom:IJ09_10200
ko:K00887	lmom:IJ09_02685
ko:K02796	lmom:IJ09_09875
ko:K02796	lmom:IJ09_10285
ko:K02796	lmom:IJ09_06420
ko:K19689	lmom:IJ09_01300
ko:K14224	lmom:IJ09_01560
ko:K14224	lmom:IJ09_14280
ko:K14224	lmom:IJ09_05795
ko:K14224	lmom:IJ09_13020
ko:K14235	lmom:IJ09_13050
ko:K14218	lmom:IJ09_09160
ko:K14218	lmom:IJ09_11805
ko:K14218	lmom:IJ09_12995
ko:K14218	lmom:IJ09_01500
ko:K19689	lmom:IJ09_01970
ko:K01258	lmom:IJ09_03130
ko:K14228	lmom:IJ09_01485
ko:K14228	lmom:IJ09_09175
ko:K14228	lmom:IJ09_14785
ko:K14228	lmom:IJ09_13075
ko:K00547	lmom:IJ09_01585
ko:K00297	lmom:IJ09_01585
ko:K09681	lmom:IJ09_01180
ko:K02538	lmom:IJ09_14220
ko:K21636	lmom:IJ09_08865
ko:K00285	lmom:IJ09_00280
ko:K19976	lmom:IJ09_00590
ko:K20074	lmom:IJ09_00725
ko:K12132	lmom:IJ09_00730
ko:K15780	lmom:IJ09_09265
ko:K20265	lmom:IJ09_13090
ko:K20265	lmom:IJ09_10190
ko:K20265	lmom:IJ09_08090
ko:K20201	lmom:IJ09_12100
ko:K00525	lmom:IJ09_14135
ko:K20534	lmom:IJ09_12050
ko:K20534	lmom:IJ09_05635
ko:K18889	lmom:IJ09_01720
ko:K18890	lmom:IJ09_01725
ko:K22103	lmom:IJ09_14400
ko:K20885	lmom:IJ09_06010
ko:K01208	lmom:IJ09_14305
ko:K21030	lmom:IJ09_04855
ko:K14230	lmom:IJ09_01510
ko:K14232	lmom:IJ09_01495
ko:K14232	lmom:IJ09_09165
ko:K21029	lmom:IJ09_05045
ko:K08968	lmom:IJ09_02015
ko:K21064	lmom:IJ09_13595
ko:K00821	lmom:IJ09_02050
ko:K14233	lmom:IJ09_13015
ko:K14220	lmom:IJ09_01550
ko:K14220	lmom:IJ09_13010
ko:K14220	lmom:IJ09_11820
ko:K14220	lmom:IJ09_05825
ko:K14225	lmom:IJ09_01480
ko:K14225	lmom:IJ09_09180
ko:K14225	lmom:IJ09_13065
ko:K14225	lmom:IJ09_01540
ko:K14225	lmom:IJ09_05630
ko:K14219	lmom:IJ09_01490
ko:K14219	lmom:IJ09_09170
ko:K14219	lmom:IJ09_04130
ko:K14233	lmom:IJ09_01515
ko:K00435	lmom:IJ09_14370
ko:K14233	lmom:IJ09_05820
ko:K14233	lmom:IJ09_01555
ko:K14219	lmom:IJ09_01285
ko:K14222	lmom:IJ09_13070
ko:K14219	lmom:IJ09_12475
ko:K04068	lmom:IJ09_08860
ko:K17733	lmom:IJ09_13515
ko:K00560	lmom:IJ09_00460
ko:K00287	lmom:IJ09_00465
ko:K01520	lmom:IJ09_01400
ko:K02314	lmom:IJ09_10105
ko:K03546	lmom:IJ09_01755
ko:K01493	lmom:IJ09_02590
ko:K06217	lmom:IJ09_02670
ko:K07313	lmom:IJ09_07065
ko:K02316	lmom:IJ09_02730
ko:K03553	lmom:IJ09_03015
ko:K00857	lmom:IJ09_12080
ko:K13730	lmom:IJ09_08160
ko:K17733	lmom:IJ09_03850
ko:K06919	lmom:IJ09_04000
ko:K21298	lmom:IJ09_01215
ko:K02335	lmom:IJ09_02165
ko:K13731	lmom:IJ09_12010
ko:K13731	lmom:IJ09_08155
ko:K21285	lmom:IJ09_04845
ko:K02334	lmom:IJ09_14590
ko:K14221	lmom:IJ09_01525
ko:K14221	lmom:IJ09_13035
ko:K14221	lmom:IJ09_05790
ko:K14226	lmom:IJ09_01535
ko:K14226	lmom:IJ09_13055
ko:K14231	lmom:IJ09_01530
ko:K14231	lmom:IJ09_13040
ko:K14230	lmom:IJ09_01520
ko:K14230	lmom:IJ09_13030
ko:K14230	lmom:IJ09_01505
ko:K14223	lmom:IJ09_13060
ko:K14234	lmom:IJ09_11825
ko:K14237	lmom:IJ09_10485
ko:K14229	lmom:IJ09_09960
ko:K14229	lmom:IJ09_01470
ko:K14229	lmom:IJ09_14260
ko:K14229	lmom:IJ09_09190
ko:K14237	lmom:IJ09_01460
ko:K14237	lmom:IJ09_13025
ko:K14237	lmom:IJ09_09200
ko:K14228	lmom:IJ09_01475
ko:K14228	lmom:IJ09_09185
ko:K14236	lmom:IJ09_13045
ko:K14236	lmom:IJ09_14270
ko:K14223	lmom:IJ09_14265
ko:K14233	lmom:IJ09_07160
ko:K14234	lmom:IJ09_01465
ko:K14234	lmom:IJ09_09195
ko:K14234	lmom:IJ09_14275
ko:K14227	lmom:IJ09_01545
ko:K14227	lmom:IJ09_11800
ko:K14227	lmom:IJ09_12990
ko:K00980	lmom:IJ09_04840
ko:K00526	lmom:IJ09_14140
ko:K21252	lmom:IJ09_01345
ko:K01658	lmom:IJ09_10960
ko:K22044	lmom:IJ09_05225
ko:K21481	lmom:IJ09_13845
ko:K21465	lmom:IJ09_02815
ko:K21467	lmom:IJ09_08125
ko:K21471	lmom:IJ09_12285
ko:K21471	lmom:IJ09_12280
ko:K18704	lmom:IJ09_04860
ko:K21567	lmom:IJ09_12860
ko:K21567	lmom:IJ09_00020
ko:K21600	lmom:IJ09_00560
ko:K21560	lmom:IJ09_09365
ko:K18704	lmom:IJ09_04900
ko:K00680	lmom:IJ09_13150
ko:K21993	lmom:IJ09_05735
ko:K22043	lmom:IJ09_12340
ko:K00936	lmom:IJ09_04470
ko:K21960	lmom:IJ09_13140
ko:K03547	lmom:IJ09_13800
ko:K03595	lmom:IJ09_02695
ko:K01537	lmom:IJ09_06125
ko:K22251	lmom:IJ09_08595
ko:K22278	lmom:IJ09_08250
ko:K17758	lmom:IJ09_01870
ko:K02257	lmom:IJ09_14925
ko:K05592	lmom:IJ09_03795
ko:K13566	lmom:IJ09_08845
ko:K22441	lmom:IJ09_06250
