ko:K17103	lpu:LPE509_02745
ko:K12217	lpu:LPE509_02776
ko:K12218	lpu:LPE509_02777
ko:K04565	lpu:LPE509_00738
ko:K02663	lpu:LPE509_02282
ko:K07497	lpu:LPE509_00474
ko:K19055	lpu:LPE509_01958
ko:K07483	lpu:LPE509_03088
ko:K00335	lpu:LPE509_00246
ko:K12211	lpu:LPE509_02770
ko:K18997	lpu:LPE509_00826
ko:K12221	lpu:LPE509_02780
ko:K12220	lpu:LPE509_02779
ko:K12216	lpu:LPE509_02775
ko:K12215	lpu:LPE509_02774
ko:K12210	lpu:LPE509_02764
ko:K12208	lpu:LPE509_02768
ko:K15474	lpu:LPE509_00394
ko:K00986	lpu:LPE509_02103
ko:K04771	lpu:LPE509_01875
ko:K15479	lpu:LPE509_01237
ko:K15480	lpu:LPE509_00597
ko:K15482	lpu:LPE509_00543
ko:K12212	lpu:LPE509_02767
ko:K15484	lpu:LPE509_00455
ko:K15486	lpu:LPE509_01718
ko:K15487	lpu:LPE509_02949
ko:K15488	lpu:LPE509_00198
ko:K15478	lpu:LPE509_00217
ko:K15477	lpu:LPE509_00197
ko:K15476	lpu:LPE509_02839
ko:K15481	lpu:LPE509_02270
ko:K12225	lpu:LPE509_00338
ko:K16291	lpu:LPE509_01601
ko:K12202	lpu:LPE509_00342
ko:K02650	lpu:LPE509_01275
ko:K00812	lpu:LPE509_00517
ko:K01710	lpu:LPE509_02453
ko:K12224	lpu:LPE509_00339
ko:K00499	lpu:LPE509_00879
ko:K12219	lpu:LPE509_02778
ko:K00336	lpu:LPE509_00247
ko:K15490	lpu:LPE509_01835
ko:K00020	lpu:LPE509_03110
ko:K19416	lpu:LPE509_02259
ko:K01992	lpu:LPE509_02552
ko:K01992	lpu:LPE509_02553
ko:K03722	lpu:LPE509_01267
ko:K01399	lpu:LPE509_01540
ko:K01399	lpu:LPE509_00028
ko:K01399	lpu:LPE509_02756
ko:K02655	lpu:LPE509_01276
ko:K07497	lpu:LPE509_00475
ko:K00638	lpu:LPE509_03196
ko:K19294	lpu:LPE509_00894
ko:K09690	lpu:LPE509_02440
ko:K07011	lpu:LPE509_02437
ko:K07344	lpu:LPE509_01064
ko:K07344	lpu:LPE509_p00035
ko:K11209	lpu:LPE509_01211
ko:K12205	lpu:LPE509_00356
ko:K00992	lpu:LPE509_02924
ko:K07666	lpu:LPE509_01916
ko:K00995	lpu:LPE509_00801
ko:K19784	lpu:LPE509_00625
ko:K13775	lpu:LPE509_01821
ko:K19802	lpu:LPE509_01228
ko:K19804	lpu:LPE509_01780
ko:K19810	lpu:LPE509_02931
ko:K05770	lpu:LPE509_03015
ko:K01568	lpu:LPE509_02013
ko:K06445	lpu:LPE509_02926
ko:K07484	lpu:LPE509_p00002
ko:K20265	lpu:LPE509_01502
ko:K20266	lpu:LPE509_01065
ko:K20266	lpu:LPE509_p00037
ko:K20265	lpu:LPE509_02822
ko:K20265	lpu:LPE509_01272
ko:K20265	lpu:LPE509_01537
ko:K00507	lpu:LPE509_02659
ko:K00507	lpu:LPE509_02976
ko:K20530	lpu:LPE509_01070
ko:K20529	lpu:LPE509_01071
ko:K20533	lpu:LPE509_p00038
ko:K20527	lpu:LPE509_01073
ko:K20531	lpu:LPE509_p00041
ko:K20528	lpu:LPE509_p00044
ko:K20529	lpu:LPE509_p00043
ko:K20532	lpu:LPE509_p00040
ko:K20532	lpu:LPE509_01068
ko:K20533	lpu:LPE509_01066
ko:K20534	lpu:LPE509_00583
ko:K20527	lpu:LPE509_p00045
ko:K20528	lpu:LPE509_01072
ko:K20530	lpu:LPE509_p00042
ko:K20531	lpu:LPE509_01069
ko:K01945	lpu:LPE509_01521
ko:K21071	lpu:LPE509_01277
ko:K01768	lpu:LPE509_01452
ko:K01768	lpu:LPE509_02539
ko:K01768	lpu:LPE509_01884
ko:K01768	lpu:LPE509_02041
ko:K00526	lpu:LPE509_01414
ko:K21218	lpu:LPE509_00043
ko:K06223	lpu:LPE509_01033
ko:K03553	lpu:LPE509_01386
ko:K00560	lpu:LPE509_00157
ko:K02314	lpu:LPE509_02475
ko:K06223	lpu:LPE509_02561
ko:K06217	lpu:LPE509_01762
ko:K00857	lpu:LPE509_02581
ko:K01520	lpu:LPE509_00574
ko:K00287	lpu:LPE509_02919
ko:K02316	lpu:LPE509_00724
ko:K03676	lpu:LPE509_00786
ko:K02335	lpu:LPE509_03140
ko:K00525	lpu:LPE509_01415
ko:K02058	lpu:LPE509_03044
ko:K21600	lpu:LPE509_p00074
ko:K08365	lpu:LPE509_03182
ko:K21929	lpu:LPE509_02962
ko:K01634	lpu:LPE509_00922
ko:K03741	lpu:LPE509_p00008
ko:K03892	lpu:LPE509_p00010
ko:K05802	lpu:LPE509_01640
ko:K03595	lpu:LPE509_02268
ko:K08994	lpu:LPE509_03202
ko:K17759	lpu:LPE509_00208
ko:K01505	lpu:LPE509_01836
ko:K02257	lpu:LPE509_02811
ko:K22352	lpu:LPE509_01579
ko:K01007	lpu:LPE509_02413
