ko:K19079	sauv:SAI7S6_1005120
ko:K07498	sauv:SAI7S6_20010
ko:K03429	sauv:SAI7S6_1007200
ko:K02755	sauv:SAI7S6_1002050
ko:K03293	sauv:SAI7S6_1017110
ko:K19077	sauv:SAI7S6_1005110
ko:K01174	sauv:SAI7S6_1009510
ko:K19078	sauv:SAI7S6_1005100
ko:K01239	sauv:SAI7S6_1016860
ko:K19225	sauv:SAI7S6_1011250
ko:K02777	sauv:SAI7S6_1010290
ko:K14198	sauv:SAI7S6_1014720
ko:K19068	sauv:SAI7S6_1001090
ko:K19081	sauv:SAI7S6_1019620
ko:K19082	sauv:SAI7S6_1019630
ko:K19083	sauv:SAI7S6_1019610
ko:K19084	sauv:SAI7S6_1019600
ko:K08259	sauv:SAI7S6_1002140
ko:K02031	sauv:SAI7S6_1006980
ko:K14195	sauv:SAI7S6_1018570
ko:K14195	sauv:SAI7S6_1018580
ko:K02032	sauv:SAI7S6_1009950
ko:K07485	sauv:SAI7S6_1002910
ko:K03722	sauv:SAI7S6_1010520
ko:K01992	sauv:SAI7S6_1018720
ko:K19411	sauv:SAI7S6_1003990
ko:K01046	sauv:SAI7S6_1002460
ko:K19302	sauv:SAI7S6_1010250
ko:K19405	sauv:SAI7S6_1004000
ko:K07485	sauv:SAI7S6_1004370
ko:K07485	sauv:SAI7S6_1004850
ko:K07485	sauv:SAI7S6_1006520
ko:K07485	sauv:SAI7S6_1008250
ko:K07485	sauv:SAI7S6_1012590
ko:K07485	sauv:SAI7S6_1013790
ko:K07485	sauv:SAI7S6_1015330
ko:K03574	sauv:SAI7S6_1013160
ko:K19279	sauv:SAI7S6_1006330
ko:K00561	sauv:SAI7S6_1012010
ko:K00561	sauv:SAI7S6_1015850
ko:K00561	sauv:SAI7S6_1019340
ko:K19576	sauv:SAI7S6_1005380
ko:K06881	sauv:SAI7S6_1012450
ko:K01906	sauv:SAI7S6_1017980
ko:K03483	sauv:SAI7S6_1015940
ko:K19689	sauv:SAI7S6_1014240
ko:K01258	sauv:SAI7S6_1011010
ko:K07119	sauv:SAI7S6_1016280
ko:K00547	sauv:SAI7S6_1002750
ko:K00297	sauv:SAI7S6_1002750
ko:K02538	sauv:SAI7S6_1019770
ko:K21636	sauv:SAI7S6_1019550
ko:K19976	sauv:SAI7S6_1004870
ko:K12132	sauv:SAI7S6_1008700
ko:K20074	sauv:SAI7S6_1008690
ko:K20116	sauv:SAI7S6_1001390
ko:K20117	sauv:SAI7S6_1001390
ko:K20118	sauv:SAI7S6_1001390
ko:K20116	sauv:SAI7S6_1018900
ko:K20117	sauv:SAI7S6_1018900
ko:K20118	sauv:SAI7S6_1018900
ko:K20338	sauv:SAI7S6_1012970
ko:K21949	sauv:SAI7S6_1000720
ko:K20534	sauv:SAI7S6_1005450
ko:K21721	sauv:SAI7S6_1000730
ko:K02790	sauv:SAI7S6_1001850
ko:K02791	sauv:SAI7S6_1001850
ko:K21029	sauv:SAI7S6_1016790
ko:K21030	sauv:SAI7S6_1001920
ko:K00525	sauv:SAI7S6_1005680
ko:K21030	sauv:SAI7S6_1001960
ko:K21064	sauv:SAI7S6_1006820
ko:K00435	sauv:SAI7S6_1004520
ko:K00526	sauv:SAI7S6_1005690
ko:K00632	sauv:SAI7S6_1001760
ko:K01174	sauv:SAI7S6_1006230
ko:K03553	sauv:SAI7S6_1009250
ko:K03546	sauv:SAI7S6_1009670
ko:K00287	sauv:SAI7S6_1010320
ko:K00560	sauv:SAI7S6_1010330
ko:K02316	sauv:SAI7S6_1011360
ko:K06217	sauv:SAI7S6_1011420
ko:K01493	sauv:SAI7S6_1011570
ko:K11038	sauv:SAI7S6_1013360
ko:K11038	sauv:SAI7S6_1013370
ko:K00857	sauv:SAI7S6_1015620
ko:K11038	sauv:SAI7S6_1017940
ko:K11038	sauv:SAI7S6_1017950
ko:K11038	sauv:SAI7S6_1017960
ko:K04068	sauv:SAI7S6_1019540
ko:K02314	sauv:SAI7S6_1000130
ko:K00108	sauv:SAI7S6_1019500
ko:K06958	sauv:SAI7S6_1005990
ko:K05020	sauv:SAI7S6_1016260
ko:K02335	sauv:SAI7S6_1012320
ko:K21285	sauv:SAI7S6_1004940
ko:K02032	sauv:SAI7S6_1006990
ko:K03296	sauv:SAI7S6_1016690
ko:K02031	sauv:SAI7S6_1009960
ko:K22044	sauv:SAI7S6_1002790
ko:K21453	sauv:SAI7S6_1019990
ko:K21478	sauv:SAI7S6_1020010
ko:K21567	sauv:SAI7S6_1017590
ko:K21591	sauv:SAI7S6_1001950
ko:K18704	sauv:SAI7S6_1001980
ko:K21828	sauv:SAI7S6_1019680
ko:K22136	sauv:SAI7S6_1008360
ko:K00754	sauv:SAI7S6_1010550
ko:K22135	sauv:SAI7S6_1004390
ko:K03595	sauv:SAI7S6_1011410
ko:K22132	sauv:SAI7S6_1011840
ko:K22109	sauv:SAI7S6_1019520
ko:K03547	sauv:SAI7S6_1013650
ko:K17758	sauv:SAI7S6_1000060
ko:K02257	sauv:SAI7S6_1007950
ko:K22409	sauv:SAI7S6_1003400
ko:K13566	sauv:SAI7S6_1014940
ko:K22441	sauv:SAI7S6_1017570
