ko:K05934	lmy:LM5923_1225
ko:K00634	lmy:LM5923_1461
ko:K02798	lmy:LM5923_0062
ko:K01426	lmy:LM5923_0882
ko:K07045	lmy:LM5923_0903
ko:K02768	lmy:LM5923_0391
ko:K02768	lmy:LM5923_0658
ko:K00980	lmy:LM5923_1126
ko:K02760	lmy:LM5923_2522
ko:K01838	lmy:LM5923_0026
ko:K06147	lmy:LM5923_2859
ko:K01990	lmy:LM5923_2381
ko:K06400	lmy:LM5923_2481
ko:K08986	lmy:LM5923_0956
ko:K01977	lmy:LM5923_rRNA09
ko:K01977	lmy:LM5923_rRNA15
ko:K01977	lmy:LM5923_rRNA01
ko:K01977	lmy:LM5923_rRNA06
ko:K01977	lmy:LM5923_rRNA12
ko:K00008	lmy:LM5923_0197
ko:K01081	lmy:LM5923_2837
ko:K00020	lmy:LM5923_1041
ko:K09681	lmy:LM5923_1886
ko:K02538	lmy:LM5923_2292
ko:K06147	lmy:LM5923_0635
ko:K06147	lmy:LM5923_2860
ko:K07126	lmy:LM5923_1818
ko:K02249	lmy:LM5923_1433
ko:K02247	lmy:LM5923_1435
ko:K06948	lmy:LM5923_1585
ko:K11749	lmy:LM5923_1410
ko:K06919	lmy:LM5923_1295
ko:K03205	lmy:LM5923_1816
ko:K02770	lmy:LM5923_0460
ko:K01183	lmy:LM5923_2862
ko:K02799	lmy:LM5923_0060
ko:K02800	lmy:LM5923_0060
ko:K02083	lmy:LM5923_0564
ko:K00691	lmy:LM5923_2275
ko:K16013	lmy:LM5923_0144
ko:K16012	lmy:LM5923_0145
ko:K03297	lmy:LM5923_1814
ko:K02794	lmy:LM5923_2949
ko:K02794	lmy:LM5923_0818
ko:K01101	lmy:LM5923_2549
ko:K15771	lmy:LM5923_0297
ko:K00564	lmy:LM5923_0293
ko:K02768	lmy:LM5923_0431
ko:K00571	lmy:LM5923_1680
ko:K01992	lmy:LM5923_2294
ko:K06412	lmy:LM5923_1846
ko:K01426	lmy:LM5923_0257
ko:K01992	lmy:LM5923_2380
ko:K01990	lmy:LM5923_0777
ko:K01840	lmy:LM5923_0898
ko:K01182	lmy:LM5923_0299
ko:K03574	lmy:LM5923_1720
ko:K07741	lmy:LM5923_2471
ko:K11051	lmy:LM5923_1023
ko:K02769	lmy:LM5923_0459
ko:K10027	lmy:LM5923_1036
ko:K02028	lmy:LM5923_1890
ko:K01992	lmy:LM5923_2115
ko:K02428	lmy:LM5923_1265
ko:K15581	lmy:LM5923_2349
ko:K15583	lmy:LM5923_2347
ko:K15633	lmy:LM5923_2600
ko:K15738	lmy:LM5923_2028
ko:K11741	lmy:LM5923_0886
ko:K02226	lmy:LM5923_1175
ko:K11741	lmy:LM5923_0887
ko:K15582	lmy:LM5923_2348
ko:K01026	lmy:LM5923_2326
ko:K10823	lmy:LM5923_2346
ko:K15580	lmy:LM5923_2350
ko:K15780	lmy:LM5923_2748
ko:K01835	lmy:LM5923_2619
ko:K03839	lmy:LM5923_1863
ko:K15986	lmy:LM5923_1542
ko:K18926	lmy:LM5923_0541
ko:K15975	lmy:LM5923_0794
ko:K15975	lmy:LM5923_0311
ko:K14229	lmy:LM5923_tRNA58
ko:K14219	lmy:LM5923_tRNA32
ko:K10716	lmy:LM5923_2211
ko:K11737	lmy:LM5923_0822
ko:K01658	lmy:LM5923_0110
ko:K06147	lmy:LM5923_0634
ko:K07038	lmy:LM5923_1789
ko:K16509	lmy:LM5923_2345
ko:K11733	lmy:LM5923_0833
ko:K01223	lmy:LM5923_0315
ko:K01223	lmy:LM5923_0304
ko:K06198	lmy:LM5923_2343
ko:K16511	lmy:LM5923_2344
ko:K01223	lmy:LM5923_0097
ko:K03699	lmy:LM5923_0121
ko:K01223	lmy:LM5923_0601
ko:K16329	lmy:LM5923_2488
ko:K16169	lmy:LM5923_2036
ko:K16301	lmy:LM5923_0400
ko:K16264	lmy:LM5923_2720
ko:K02851	lmy:LM5923_0994
ko:K16644	lmy:LM5923_2763
ko:K15770	lmy:LM5923_2279
ko:K15770	lmy:LM5923_0296
ko:K15772	lmy:LM5923_0298
ko:K15772	lmy:LM5923_2277
ko:K15771	lmy:LM5923_2278
ko:K02027	lmy:LM5923_1881
ko:K02026	lmy:LM5923_1883
ko:K16786	lmy:LM5923_0259
ko:K02025	lmy:LM5923_0801
ko:K02026	lmy:LM5923_2787
ko:K16787	lmy:LM5923_0260
ko:K16785	lmy:LM5923_0261
ko:K16789	lmy:LM5923_1522
ko:K02025	lmy:LM5923_2788
ko:K16785	lmy:LM5923_0226
ko:K11050	lmy:LM5923_1022
ko:K16651	lmy:LM5923_1196
ko:K02851	lmy:LM5923_2663
ko:K02025	lmy:LM5923_1882
ko:K18344	lmy:LM5923_1097
ko:K16898	lmy:LM5923_2420
ko:K18345	lmy:LM5923_1098
ko:K11991	lmy:LM5923_0141
ko:K10974	lmy:LM5923_0489
ko:K04027	lmy:LM5923_1206
ko:K16899	lmy:LM5923_2421
ko:K16960	lmy:LM5923_2494
ko:K16959	lmy:LM5923_2495
ko:K16958	lmy:LM5923_2496
ko:K16957	lmy:LM5923_2497
ko:K02029	lmy:LM5923_0880
ko:K02030	lmy:LM5923_0880
ko:K02029	lmy:LM5923_2404
ko:K02030	lmy:LM5923_2404
ko:K17319	lmy:LM5923_2162
ko:K17318	lmy:LM5923_2160
ko:K02028	lmy:LM5923_0881
ko:K02028	lmy:LM5923_2405
ko:K17320	lmy:LM5923_2161
ko:K01992	lmy:LM5923_0792
ko:K17472	lmy:LM5923_1612
ko:K01992	lmy:LM5923_0699
ko:K01992	lmy:LM5923_1016
ko:K01992	lmy:LM5923_2393
ko:K17686	lmy:LM5923_2006
ko:K01990	lmy:LM5923_0089
ko:K01990	lmy:LM5923_0698
ko:K01990	lmy:LM5923_1015
ko:K01990	lmy:LM5923_2116
ko:K01990	lmy:LM5923_2394
ko:K01990	lmy:LM5923_2941
ko:K01990	lmy:LM5923_0958
ko:K01990	lmy:LM5923_1735
ko:K07260	lmy:LM5923_2008
ko:K17752	lmy:LM5923_0925
ko:K17828	lmy:LM5923_1986
ko:K01156	lmy:LM5923_1135
ko:K17763	lmy:LM5923_2805
ko:K17763	lmy:LM5923_0923
ko:K17762	lmy:LM5923_0924
ko:K17733	lmy:LM5923_2431
ko:K07145	lmy:LM5923_0506
ko:K09022	lmy:LM5923_0877
ko:K18104	lmy:LM5923_0114
ko:K08221	lmy:LM5923_1502
ko:K22597	lmy:LM5923_0017
ko:K22597	lmy:LM5923_0124
ko:K18231	lmy:LM5923_0954
ko:K05352	lmy:LM5923_1124
ko:K09017	lmy:LM5923_2114
ko:K22579	lmy:LM5923_0443
ko:K02538	lmy:LM5923_0457
ko:K03483	lmy:LM5923_0208
ko:K01297	lmy:LM5923_1737
ko:K03742	lmy:LM5923_1490
ko:K18672	lmy:LM5923_2274
ko:K18673	lmy:LM5923_0094
ko:K18682	lmy:LM5923_1492
ko:K18692	lmy:LM5923_1544
ko:K03790	lmy:LM5923_0014
ko:K07171	lmy:LM5923_0922
ko:K18892	lmy:LM5923_0107
ko:K18891	lmy:LM5923_0108
ko:K18821	lmy:LM5923_2710
ko:K07316	lmy:LM5923_1134
ko:K18967	lmy:LM5923_2328
ko:K06148	lmy:LM5923_1158
ko:K19005	lmy:LM5923_0961
ko:K07029	lmy:LM5923_1904
ko:K03526	lmy:LM5923_1535
ko:K18979	lmy:LM5923_0969
ko:K07816	lmy:LM5923_0836
ko:K19002	lmy:LM5923_2699
ko:K00354	lmy:LM5923_2615
ko:K03339	lmy:LM5923_2700
ko:K00798	lmy:LM5923_1235
ko:K05881	lmy:LM5923_0385
ko:K05881	lmy:LM5923_0163
ko:K07317	lmy:LM5923_1805
ko:K19225	lmy:LM5923_1429
ko:K19285	lmy:LM5923_0971
ko:K01990	lmy:LM5923_0791
ko:K01992	lmy:LM5923_0959
ko:K01992	lmy:LM5923_1736
ko:K19351	lmy:LM5923_2764
ko:K19411	lmy:LM5923_0271
ko:K19302	lmy:LM5923_2170
ko:K19267	lmy:LM5923_0469
ko:K04771	lmy:LM5923_0337
ko:K19405	lmy:LM5923_0272
ko:K19302	lmy:LM5923_1722
ko:K03574	lmy:LM5923_1768
ko:K19509	lmy:LM5923_2153
ko:K19508	lmy:LM5923_2154
ko:K19507	lmy:LM5923_2155
ko:K19504	lmy:LM5923_2152
ko:K06881	lmy:LM5923_1673
ko:K19510	lmy:LM5923_2151
ko:K19504	lmy:LM5923_2930
ko:K00887	lmy:LM5923_1558
ko:K19689	lmy:LM5923_1864
ko:K19689	lmy:LM5923_1702
ko:K01258	lmy:LM5923_1468
ko:K00547	lmy:LM5923_1777
ko:K00297	lmy:LM5923_1777
ko:K21636	lmy:LM5923_0323
ko:K19975	lmy:LM5923_2000
ko:K19976	lmy:LM5923_2001
ko:K19973	lmy:LM5923_2002
ko:K20074	lmy:LM5923_1974
ko:K12132	lmy:LM5923_1973
ko:K20265	lmy:LM5923_2511
ko:K20201	lmy:LM5923_2684
ko:K20265	lmy:LM5923_2928
ko:K20265	lmy:LM5923_0480
ko:K20534	lmy:LM5923_2694
ko:K18889	lmy:LM5923_1751
ko:K20534	lmy:LM5923_0968
ko:K18890	lmy:LM5923_1750
ko:K20885	lmy:LM5923_0897
ko:K01208	lmy:LM5923_2280
ko:K21030	lmy:LM5923_1123
ko:K21029	lmy:LM5923_1086
ko:K08968	lmy:LM5923_1694
ko:K21064	lmy:LM5923_2416
ko:K00821	lmy:LM5923_1687
ko:K00435	lmy:LM5923_2267
ko:K21298	lmy:LM5923_1879
ko:K21285	lmy:LM5923_1125
ko:K21252	lmy:LM5923_1801
ko:K22044	lmy:LM5923_1049
ko:K21481	lmy:LM5923_2367
ko:K21465	lmy:LM5923_1532
ko:K21467	lmy:LM5923_0473
ko:K21471	lmy:LM5923_2648
ko:K21471	lmy:LM5923_2649
ko:K18704	lmy:LM5923_1122
ko:K21567	lmy:LM5923_2539
ko:K21567	lmy:LM5923_2113
ko:K21600	lmy:LM5923_2007
ko:K21560	lmy:LM5923_2767
ko:K18704	lmy:LM5923_1114
ko:K22010	lmy:LM5923_1198
ko:K00680	lmy:LM5923_2498
ko:K21993	lmy:LM5923_0947
ko:K22043	lmy:LM5923_2637
ko:K00936	lmy:LM5923_1199
ko:K21960	lmy:LM5923_2500
ko:K03547	lmy:LM5923_2376
ko:K01537	lmy:LM5923_0874
ko:K22251	lmy:LM5923_0378
ko:K22278	lmy:LM5923_0447
ko:K17758	lmy:LM5923_1721
ko:K02257	lmy:LM5923_2209
ko:K05592	lmy:LM5923_1334
ko:K13566	lmy:LM5923_0326
ko:K22441	lmy:LM5923_0850
