ko:K19743	apx:APA26_08140
ko:K10026	apx:APA26_11580
ko:K21495	apx:APA26_43870
ko:K21686	apx:APA26_03580
ko:K00344	apx:APA26_24830
ko:K21929	apx:APA26_16940
ko:K21929	apx:APA26_04010
ko:K22027	apx:APA26_22070
ko:K22067	apx:APA26_42050
ko:K03595	apx:APA26_06490
ko:K07183	apx:APA26_42060
ko:K08994	apx:APA26_10140
ko:K22186	apx:APA26_13840
ko:K22296	apx:APA26_23800
ko:K11991	apx:APA26_25670
ko:K02257	apx:APA26_16820
