ko:K19743	apg:APA12_08140
ko:K01420	apg:APA12_25650
ko:K10026	apg:APA12_11580
ko:K21495	apg:APA12_43870
ko:K21686	apg:APA12_03580
ko:K00344	apg:APA12_24830
ko:K21929	apg:APA12_16940
ko:K21929	apg:APA12_04010
ko:K22027	apg:APA12_22070
ko:K22067	apg:APA12_42050
ko:K03595	apg:APA12_06490
ko:K07183	apg:APA12_42060
ko:K08994	apg:APA12_10140
ko:K22186	apg:APA12_13840
ko:K22296	apg:APA12_23800
ko:K11991	apg:APA12_25670
ko:K02257	apg:APA12_16820
