ko:K02548	sax:USA300HOU_0989
ko:K16937	sax:USA300HOU_0730
ko:K16869	sax:USA300HOU_0582
ko:K11991	sax:USA300HOU_0552
ko:K17716	sax:USA300HOU_0167
ko:K16916	sax:USA300HOU_2516
ko:K16917	sax:USA300HOU_2515
ko:K16925	sax:USA300HOU_1021
ko:K16924	sax:USA300HOU_2687
ko:K16898	sax:USA300HOU_0926
ko:K16899	sax:USA300HOU_0925
ko:K15035	sax:USA300HOU_nc0003
ko:K02029	sax:USA300HOU_1853
ko:K02030	sax:USA300HOU_1853
ko:K02028	sax:USA300HOU_1852
ko:K01992	sax:USA300HOU_1264
ko:K01990	sax:USA300HOU_1263
ko:K01990	sax:USA300HOU_1934
ko:K19309	sax:pUSA300HOUMR0024
ko:K01533	sax:USA300HOU_0084
ko:K17686	sax:USA300HOU_2552
ko:K05592	sax:USA300HOU_2076
ko:K02171	sax:pUSA300HOUMR0013
ko:K19080	sax:USA300HOU_0683
ko:K18104	sax:USA300HOU_0663
ko:K02479	sax:USA300HOU_1842
ko:K08168	sax:USA300HOU_0149
ko:K02483	sax:USA300HOU_2344
ko:K03366	sax:USA300HOU_0138
ko:K07145	sax:USA300HOU_1069
ko:K22580	sax:USA300HOU_1001
ko:K02172	sax:pUSA300HOUMR0012
ko:K21462	sax:USA300HOU_2669
ko:K21461	sax:USA300HOU_2667
ko:K21463	sax:USA300HOU_2338
ko:K18231	sax:pUSA300HOUMR0028
ko:K20554	sax:USA300HOU_nc0020
ko:K02032	sax:USA300HOU_0082
ko:K18707	sax:USA300HOU_1577
ko:K18766	sax:pUSA300HOUMR0011
ko:K18672	sax:USA300HOU_2153
ko:K18704	sax:USA300HOU_0264
ko:K18682	sax:USA300HOU_1218
ko:K18692	sax:USA300HOU_1560
ko:K18906	sax:USA300HOU_0709
ko:K07723	sax:USA300HOU_2064
ko:K18908	sax:USA300HOU_0355
ko:K18909	sax:USA300HOU_0354
ko:K18941	sax:USA300HOU_1350
ko:K07171	sax:USA300HOU_2063
ko:K04940	sax:USA300HOU_2283
ko:K18907	sax:USA300HOU_0119
ko:K07029	sax:USA300HOU_1897
ko:K07498	sax:pUSA300HOUMR0027
ko:K03498	sax:USA300HOU_2018
ko:K07498	sax:pUSA300HOUMR0021
ko:K18979	sax:USA300HOU_1851
ko:K00949	sax:USA300HOU_1160
ko:K01318	sax:USA300HOU_1801
ko:K07498	sax:pUSA300HOUMR0016
ko:K05352	sax:USA300HOU_0267
ko:K07816	sax:USA300HOU_2496
ko:K07498	sax:USA300HOU_0026
ko:K19159	sax:USA300HOU_2388
ko:K19077	sax:USA300HOU_0681
ko:K19078	sax:USA300HOU_0680
ko:K19158	sax:USA300HOU_2387
ko:K19225	sax:USA300HOU_1551
ko:K19068	sax:USA300HOU_0168
ko:K19081	sax:USA300HOU_2623
ko:K19082	sax:USA300HOU_2624
ko:K19083	sax:USA300HOU_2622
ko:K19084	sax:USA300HOU_2621
ko:K19273	sax:pUSA300HOUMR0019
ko:K01992	sax:USA300HOU_2504
ko:K19411	sax:USA300HOU_0516
ko:K19302	sax:USA300HOU_1354
ko:K19405	sax:USA300HOU_0517
ko:K19299	sax:pUSA300HOUMR0018
ko:K07485	sax:USA300HOU_1855
ko:K07485	sax:USA300HOU_2155
ko:K03574	sax:USA300HOU_1781
ko:K19576	sax:USA300HOU_0718
ko:K06881	sax:USA300HOU_1690
ko:K21721	sax:USA300HOU_0128
ko:K19689	sax:USA300HOU_1874
ko:K01258	sax:USA300HOU_1513
ko:K20483	sax:USA300HOU_1814
ko:K20482	sax:USA300HOU_1815
ko:K00547	sax:USA300HOU_0378
ko:K00297	sax:USA300HOU_0378
ko:K21636	sax:USA300HOU_2614
ko:K19975	sax:USA300HOU_0651
ko:K19976	sax:USA300HOU_0652
ko:K19973	sax:USA300HOU_0653
ko:K20074	sax:USA300HOU_1156
ko:K12132	sax:USA300HOU_1157
ko:K20116	sax:USA300HOU_0203
ko:K20117	sax:USA300HOU_0203
ko:K20118	sax:USA300HOU_0203
ko:K20116	sax:USA300HOU_2530
ko:K20117	sax:USA300HOU_2530
ko:K20118	sax:USA300HOU_2530
ko:K20338	sax:USA300HOU_1753
ko:K20491	sax:USA300HOU_1809
ko:K20494	sax:USA300HOU_1808
ko:K21949	sax:USA300HOU_0127
ko:K20484	sax:USA300HOU_1813
ko:K20486	sax:USA300HOU_1811
ko:K20490	sax:USA300HOU_1810
ko:K20335	sax:USA300HOU_0456
ko:K20335	sax:USA300HOU_0455
ko:K20337	sax:USA300HOU_1112
ko:K20337	sax:USA300HOU_1113
ko:K20534	sax:USA300HOU_0727
ko:K21029	sax:USA300HOU_2258
ko:K21030	sax:USA300HOU_0262
ko:K21030	sax:USA300HOU_0266
ko:K21064	sax:USA300HOU_0930
ko:K08968	sax:USA300HOU_1706
ko:K00435	sax:USA300HOU_0580
ko:K06958	sax:USA300HOU_0794
ko:K21285	sax:USA300HOU_0659
ko:K02031	sax:USA300HOU_0081
ko:K02033	sax:USA300HOU_0079
ko:K22044	sax:USA300HOU_0382
ko:K21453	sax:USA300HOU_2665
ko:K21478	sax:USA300HOU_2668
ko:K21567	sax:USA300HOU_2355
ko:K21591	sax:USA300HOU_0265
ko:K21600	sax:USA300HOU_2082
ko:K18704	sax:USA300HOU_0268
ko:K21828	sax:USA300HOU_2631
ko:K22043	sax:USA300HOU_2134
ko:K22136	sax:USA300HOU_1117
ko:K00754	sax:USA300HOU_1396
ko:K22135	sax:USA300HOU_0561
ko:K22132	sax:USA300HOU_1626
ko:K22109	sax:USA300HOU_2608
ko:K03547	sax:USA300HOU_1836
ko:K17758	sax:USA300HOU_0007
ko:K02257	sax:USA300HOU_1054
ko:K22409	sax:USA300HOU_0465
ko:K13566	sax:USA300HOU_2029
ko:K22441	sax:USA300HOU_2352
