ko:K19079	suy:SA2981_0637
ko:K20116	suy:SA2981_2474
ko:K20117	suy:SA2981_2474
ko:K20118	suy:SA2981_2474
ko:K20338	suy:SA2981_1720
ko:K20494	suy:SA2981_1771
ko:K20337	suy:SA2981_1131
ko:K20337	suy:SA2981_1132
ko:K20534	suy:SA2981_0681
ko:K02790	suy:SA2981_0242
ko:K02791	suy:SA2981_0242
ko:K21029	suy:SA2981_2214
ko:K00525	suy:SA2981_0709
ko:K21030	suy:SA2981_0251
ko:K21030	suy:SA2981_0255
ko:K21064	suy:SA2981_0926
ko:K08968	suy:SA2981_1677
ko:K14225	suy:SA2981_tRNA29
ko:K00435	suy:SA2981_0564
ko:K00526	suy:SA2981_0710
ko:K11038	suy:SA2981_2356
ko:K11038	suy:SA2981_2357
ko:K11038	suy:SA2981_2358
ko:K14199	suy:SA2981_1115
ko:K02316	suy:SA2981_1520
ko:K06217	suy:SA2981_1529
ko:K01493	suy:SA2981_1547
ko:K14199	suy:SA2981_1901
ko:K07455	suy:SA2981_1946
ko:K11038	suy:SA2981_1966
ko:K11038	suy:SA2981_1967
ko:K00857	suy:SA2981_2059
ko:K01174	suy:SA2981_0770
ko:K01520	suy:SA2981_0834
ko:K07474	suy:SA2981_0842
ko:K06909	suy:SA2981_0843
ko:K03553	suy:SA2981_1243
ko:K03546	suy:SA2981_1301
ko:K11038	suy:SA2981_1774
ko:K11038	suy:SA2981_1775
ko:K00287	suy:SA2981_1380
ko:K00560	suy:SA2981_1381
ko:K04068	suy:SA2981_2554
ko:K02314	suy:SA2981_0016
ko:K14199	suy:SA2981_0229
ko:K06958	suy:SA2981_0743
ko:K05020	suy:SA2981_2123
ko:K02335	suy:SA2981_1649
ko:K21285	suy:SA2981_0615
ko:K03296	suy:SA2981_2199
ko:K07497	suy:SA2981_0066
ko:K07497	suy:SA2981_0067
ko:K22044	suy:SA2981_0359
ko:K21478	suy:SA2981_2607
ko:K21453	suy:SA2981_2604
ko:K21591	suy:SA2981_0254
ko:K21600	suy:SA2981_2028
ko:K21567	suy:SA2981_2311
ko:K18704	suy:SA2981_0257
ko:K21828	suy:SA2981_2570
ko:K21949	suy:SA2981_0117
ko:K22043	suy:SA2981_2085
ko:K22136	suy:SA2981_1135
ko:K00754	suy:SA2981_1414
ko:K22135	suy:SA2981_0544
ko:K03595	suy:SA2981_1525
ko:K22132	suy:SA2981_1586
ko:K22109	suy:SA2981_2552
ko:K03547	suy:SA2981_1800
ko:K17758	suy:SA2981_0007
ko:K02257	suy:SA2981_1073
ko:K22409	suy:SA2981_0440
ko:K13566	suy:SA2981_1975
ko:K22441	suy:SA2981_2308
