ko:K09796	myc:NF90_13045
ko:K01621	myc:NF90_11915
ko:K05558	myc:NF90_00525
ko:K08095	myc:NF90_05200
ko:K08095	myc:NF90_02360
ko:K08095	myc:NF90_07875
ko:K01990	myc:NF90_03165
ko:K00020	myc:NF90_01965
ko:K19302	myc:NF90_22010
ko:K03722	myc:NF90_16240
ko:K15868	myc:NF90_12825
ko:K07068	myc:NF90_11295
ko:K17476	myc:NF90_04430
ko:K12952	myc:NF90_18650
ko:K01267	myc:NF90_19620
ko:K01992	myc:NF90_03170
ko:K19271	myc:NF90_09320
ko:K01066	myc:NF90_22630
ko:K00059	myc:NF90_19165
ko:K01822	myc:NF90_17515
ko:K06867	myc:NF90_22255
ko:K22476	myc:NF90_03300
ko:K06221	myc:NF90_09500
ko:K20261	myc:NF90_21645
ko:K16238	myc:NF90_10450
ko:K14232	myc:NF90_15675
ko:K19577	myc:NF90_16475
ko:K01457	myc:NF90_15790
ko:K19710	myc:NF90_09920
ko:K00128	myc:NF90_01975
ko:K19777	myc:NF90_08150
ko:K01977	myc:NF90_16320
ko:K19777	myc:NF90_06685
ko:K01980	myc:NF90_16315
ko:K20938	myc:NF90_12030
ko:K08744	myc:NF90_12455
ko:K01431	myc:NF90_10315
ko:K15510	myc:NF90_03090
ko:K13775	myc:NF90_04505
ko:K01985	myc:NF90_16310
ko:K05770	myc:NF90_03000
ko:K05770	myc:NF90_13260
ko:K12132	myc:NF90_22890
ko:K12132	myc:NF90_02210
ko:K12132	myc:NF90_17900
ko:K12132	myc:NF90_22885
ko:K20074	myc:NF90_22860
ko:K20265	myc:NF90_19225
ko:K20470	myc:NF90_01885
ko:K20469	myc:NF90_01820
ko:K20467	myc:NF90_14465
ko:K20466	myc:NF90_01780
ko:K20467	myc:NF90_01785
ko:K20468	myc:NF90_01805
ko:K16227	myc:NF90_03750
ko:K22107	myc:NF90_03235
ko:K07749	myc:NF90_01170
ko:K00249	myc:NF90_21520
ko:K00249	myc:NF90_18115
ko:K00249	myc:NF90_14800
ko:K00249	myc:NF90_06735
ko:K00249	myc:NF90_06705
ko:K00632	myc:NF90_18470
ko:K00632	myc:NF90_06860
ko:K00001	myc:NF90_18550
ko:K16936	myc:NF90_00715
ko:K16937	myc:NF90_00715
ko:K01768	myc:NF90_20710
ko:K01768	myc:NF90_16300
ko:K01768	myc:NF90_01810
ko:K01768	myc:NF90_00560
ko:K00130	myc:NF90_07525
ko:K08884	myc:NF90_14130
ko:K05375	myc:NF90_00960
ko:K00091	myc:NF90_19545
ko:K01802	myc:NF90_18690
ko:K14220	myc:NF90_15035
ko:K14228	myc:NF90_11250
ko:K14226	myc:NF90_15925
ko:K22213	myc:NF90_21635
ko:K01179	myc:NF90_00520
ko:K01214	myc:NF90_10980
ko:K20814	myc:NF90_13530
ko:K14222	myc:NF90_12775
ko:K14237	myc:NF90_14680
ko:K20940	myc:NF90_13190
ko:K21071	myc:NF90_07490
ko:K21140	myc:NF90_16205
ko:K21014	myc:NF90_15855
ko:K22445	myc:NF90_03565
ko:K21119	myc:NF90_16590
ko:K00821	myc:NF90_12715
ko:K14222	myc:NF90_09740
ko:K21147	myc:NF90_06515
ko:K14228	myc:NF90_17690
ko:K00526	myc:NF90_07145
ko:K00526	myc:NF90_04205
ko:K02335	myc:NF90_11310
ko:K00525	myc:NF90_07080
ko:K02314	myc:NF90_00310
ko:K06223	myc:NF90_14535
ko:K18955	myc:NF90_00605
ko:K02316	myc:NF90_15045
ko:K06217	myc:NF90_15245
ko:K18955	myc:NF90_01930
ko:K18955	myc:NF90_06915
ko:K06191	myc:NF90_07070
ko:K01286	myc:NF90_21510
ko:K00560	myc:NF90_08810
ko:K00287	myc:NF90_08815
ko:K03465	myc:NF90_08835
ko:K03553	myc:NF90_08960
ko:K07465	myc:NF90_13610
ko:K01520	myc:NF90_09245
ko:K22552	myc:NF90_20830
ko:K21281	myc:NF90_13010
ko:K00091	myc:NF90_15175
ko:K01167	myc:NF90_12100
ko:K05375	myc:NF90_13120
ko:K05364	myc:NF90_22870
ko:K03636	myc:NF90_16200
ko:K21148	myc:NF90_16195
ko:K03636	myc:NF90_18965
ko:K14215	myc:NF90_15205
ko:K21200	myc:NF90_14370
ko:K00632	myc:NF90_14795
ko:K00632	myc:NF90_21275
ko:K21401	myc:NF90_07135
ko:K21397	myc:NF90_05735
ko:K03293	myc:NF90_04920
ko:K21473	myc:NF90_10800
ko:K21480	myc:NF90_00550
ko:K21474	myc:NF90_10805
ko:K21401	myc:NF90_04585
ko:K21471	myc:NF90_14200
ko:K21481	myc:NF90_20360
ko:K00863	myc:NF90_22040
ko:K21691	myc:NF90_15585
ko:K21600	myc:NF90_01715
ko:K10914	myc:NF90_21080
ko:K21608	myc:NF90_17210
ko:K21687	myc:NF90_18970
ko:K21672	myc:NF90_21840
ko:K21686	myc:NF90_01345
ko:K00344	myc:NF90_06150
ko:K21608	myc:NF90_20885
ko:K09458	myc:NF90_13945
ko:K14228	myc:NF90_13890
ko:K14232	myc:NF90_21135
ko:K21885	myc:NF90_11370
ko:K14228	myc:NF90_16150
ko:K14230	myc:NF90_06645
ko:K21961	myc:NF90_18545
ko:K21962	myc:NF90_10785
ko:K21992	myc:NF90_08640
ko:K14229	myc:NF90_19275
ko:K14219	myc:NF90_18360
ko:K14236	myc:NF90_04675
ko:K00936	myc:NF90_06440
ko:K22010	myc:NF90_11255
ko:K14225	myc:NF90_15680
ko:K14229	myc:NF90_15940
ko:K22044	myc:NF90_06755
ko:K22044	myc:NF90_16565
ko:K14227	myc:NF90_22955
ko:K14233	myc:NF90_21775
ko:K14233	myc:NF90_21710
ko:K14218	myc:NF90_18035
ko:K22107	myc:NF90_20230
ko:K03595	myc:NF90_15225
ko:K14224	myc:NF90_19270
ko:K14219	myc:NF90_21900
ko:K22108	myc:NF90_20135
ko:K14232	myc:NF90_12530
ko:K14230	myc:NF90_04740
ko:K14234	myc:NF90_04735
ko:K14235	myc:NF90_04765
ko:K14218	myc:NF90_06895
ko:K14223	myc:NF90_07725
ko:K14219	myc:NF90_15800
ko:K14228	myc:NF90_22845
ko:K00467	myc:NF90_13765
ko:K14234	myc:NF90_20700
ko:K14225	myc:NF90_09745
ko:K14219	myc:NF90_16455
ko:K14223	myc:NF90_17825
ko:K14221	myc:NF90_19265
ko:K14234	myc:NF90_19765
ko:K14233	myc:NF90_21905
ko:K22270	myc:NF90_21685
ko:K22187	myc:NF90_19185
ko:K17758	myc:NF90_05545
ko:K17759	myc:NF90_05545
ko:K07068	myc:NF90_19115
ko:K00626	myc:NF90_19130
ko:K06994	myc:NF90_00575
ko:K08095	myc:NF90_05425
ko:K07044	myc:NF90_15080
ko:K00380	myc:NF90_11980
ko:K07044	myc:NF90_17985
ko:K22303	myc:NF90_03195
ko:K22297	myc:NF90_12085
ko:K22306	myc:NF90_15465
ko:K02257	myc:NF90_10580
ko:K22336	myc:NF90_22395
ko:K22311	myc:NF90_09930
ko:K22303	myc:NF90_22590
ko:K22316	myc:NF90_14590
ko:K22336	myc:NF90_22390
ko:K22295	myc:NF90_22595
ko:K22298	myc:NF90_15190
ko:K01551	myc:NF90_14160
ko:K01505	myc:NF90_15065
ko:K11206	myc:NF90_03870
ko:K00728	myc:NF90_17955
ko:K22468	myc:NF90_03570
ko:K08300	myc:NF90_15535
ko:K08301	myc:NF90_15535
ko:K22468	myc:NF90_18255
ko:K07566	myc:NF90_16390
