ko:K06896	efs:EFS1_0783
ko:K00857	efs:EFS1_2034
ko:K13730	efs:EFS1_2156
ko:K03546	efs:EFS1_2159
ko:K06904	efs:EFS1_2354
ko:K02315	efs:EFS1_2367
ko:K07455	efs:EFS1_2371
ko:K00558	efs:EFS1_2643
ko:K04068	efs:EFS1_2219
ko:K01286	efs:EFS1_2557
ko:K03553	efs:EFS1_2595
ko:K21298	efs:EFS1_1062
ko:K02335	efs:EFS1_0703
ko:K01271	efs:EFS1_1553
ko:K19577	efs:EFS1_2237
ko:K05910	efs:EFS1_1035
ko:K01759	efs:EFS1_0589
ko:K01101	efs:EFS1_1013
ko:K07741	efs:EFS1_1857
ko:K03651	efs:EFS1_1362
ko:K21471	efs:EFS1_2495
ko:K21471	efs:EFS1_0275
ko:K21713	efs:EFS1_0249
ko:K21567	efs:EFS1_2306
ko:K21828	efs:EFS1_0102
ko:K21929	efs:EFS1_0505
ko:K21993	efs:EFS1_0087
ko:K21993	efs:EFS1_1210
ko:K22043	efs:EFS1_1948
ko:K22010	efs:EFS1_1391
ko:K00936	efs:EFS1_1390
ko:K22044	efs:EFS1_0963
ko:K03547	efs:EFS1_0529
ko:K03595	efs:EFS1_1936
ko:K07456	efs:EFS1_2409
ko:K03078	efs:EFS1_0957
ko:K03079	efs:EFS1_0958
ko:K17758	efs:EFS1_1600
ko:K03077	efs:EFS1_0959
ko:K22330	efs:EFS1_0482
ko:K22441	efs:EFS1_2434
ko:K22441	efs:EFS1_1345
