ko:K00130	sauy:SAI8T7_1019490
ko:K01174	sauy:SAI8T7_1009510
ko:K19078	sauy:SAI8T7_1005100
ko:K01239	sauy:SAI8T7_1016840
ko:K19225	sauy:SAI8T7_1011240
ko:K02777	sauy:SAI8T7_1010290
ko:K19079	sauy:SAI8T7_1005120
ko:K14198	sauy:SAI8T7_1014700
ko:K19068	sauy:SAI8T7_1001090
ko:K19080	sauy:SAI8T7_1005130
ko:K19081	sauy:SAI8T7_1019600
ko:K19082	sauy:SAI8T7_1019610
ko:K19083	sauy:SAI8T7_1019590
ko:K19084	sauy:SAI8T7_1019580
ko:K08259	sauy:SAI8T7_1002140
ko:K02031	sauy:SAI8T7_1006980
ko:K14195	sauy:SAI8T7_1018550
ko:K14195	sauy:SAI8T7_1018560
ko:K02032	sauy:SAI8T7_1009950
ko:K07485	sauy:SAI8T7_1002910
ko:K19285	sauy:SAI8T7_1002890
ko:K03722	sauy:SAI8T7_1010510
ko:K01992	sauy:SAI8T7_1018700
ko:K19411	sauy:SAI8T7_1003990
ko:K01046	sauy:SAI8T7_1002460
ko:K19302	sauy:SAI8T7_1010250
ko:K19405	sauy:SAI8T7_1004000
ko:K07485	sauy:SAI8T7_1004370
ko:K07485	sauy:SAI8T7_1004850
ko:K07485	sauy:SAI8T7_1006520
ko:K07485	sauy:SAI8T7_1008250
ko:K07485	sauy:SAI8T7_1012580
ko:K07485	sauy:SAI8T7_1013770
ko:K07485	sauy:SAI8T7_1015310
ko:K03574	sauy:SAI8T7_1013150
ko:K19279	sauy:SAI8T7_1006330
ko:K00561	sauy:SAI8T7_1015830
ko:K00561	sauy:SAI8T7_1019320
ko:K19576	sauy:SAI8T7_1005380
ko:K01906	sauy:SAI8T7_1017960
ko:K06881	sauy:SAI8T7_1012440
ko:K00561	sauy:SAI8T7_1012000
ko:K03483	sauy:SAI8T7_1015920
ko:K19689	sauy:SAI8T7_1014220
ko:K01258	sauy:SAI8T7_1011000
ko:K07119	sauy:SAI8T7_1016260
ko:K00547	sauy:SAI8T7_1002750
ko:K00297	sauy:SAI8T7_1002750
ko:K02538	sauy:SAI8T7_1019750
ko:K21636	sauy:SAI8T7_1019530
ko:K19976	sauy:SAI8T7_1004870
ko:K12132	sauy:SAI8T7_1008700
ko:K20074	sauy:SAI8T7_1008690
ko:K20116	sauy:SAI8T7_1001390
ko:K20117	sauy:SAI8T7_1001390
ko:K20118	sauy:SAI8T7_1001390
ko:K20116	sauy:SAI8T7_1018880
ko:K20117	sauy:SAI8T7_1018880
ko:K20118	sauy:SAI8T7_1018880
ko:K20338	sauy:SAI8T7_1012960
ko:K20534	sauy:SAI8T7_1005450
ko:K21721	sauy:SAI8T7_1000730
ko:K02790	sauy:SAI8T7_1001850
ko:K02791	sauy:SAI8T7_1001850
ko:K21029	sauy:SAI8T7_1016770
ko:K21030	sauy:SAI8T7_1001920
ko:K00525	sauy:SAI8T7_1005680
ko:K21030	sauy:SAI8T7_1001960
ko:K21064	sauy:SAI8T7_1006820
ko:K00435	sauy:SAI8T7_1004520
ko:K00526	sauy:SAI8T7_1005690
ko:K00632	sauy:SAI8T7_1001760
ko:K11038	sauy:SAI8T7_1013340
ko:K11038	sauy:SAI8T7_1013350
ko:K01174	sauy:SAI8T7_1006230
ko:K03553	sauy:SAI8T7_1009250
ko:K03546	sauy:SAI8T7_1009670
ko:K00287	sauy:SAI8T7_1010320
ko:K00560	sauy:SAI8T7_1010330
ko:K02316	sauy:SAI8T7_1011350
ko:K06217	sauy:SAI8T7_1011410
ko:K01493	sauy:SAI8T7_1011560
ko:K02314	sauy:SAI8T7_1000130
ko:K00857	sauy:SAI8T7_1015600
ko:K11038	sauy:SAI8T7_1017920
ko:K11038	sauy:SAI8T7_1017930
ko:K11038	sauy:SAI8T7_1017940
ko:K04068	sauy:SAI8T7_1019520
ko:K00108	sauy:SAI8T7_1019480
ko:K06958	sauy:SAI8T7_1005990
ko:K05020	sauy:SAI8T7_1016240
ko:K13714	sauy:SAI8T7_1007450
ko:K02335	sauy:SAI8T7_1012310
ko:K21285	sauy:SAI8T7_1004940
ko:K02032	sauy:SAI8T7_1006990
ko:K03296	sauy:SAI8T7_1016670
ko:K02031	sauy:SAI8T7_1009960
ko:K22044	sauy:SAI8T7_1002790
ko:K21453	sauy:SAI8T7_1019970
ko:K21478	sauy:SAI8T7_1019990
ko:K21567	sauy:SAI8T7_1017570
ko:K21591	sauy:SAI8T7_1001950
ko:K18704	sauy:SAI8T7_1001980
ko:K21828	sauy:SAI8T7_1019660
ko:K21949	sauy:SAI8T7_1000720
ko:K22136	sauy:SAI8T7_1008360
ko:K00754	sauy:SAI8T7_1010540
ko:K22135	sauy:SAI8T7_1004390
ko:K03595	sauy:SAI8T7_1011400
ko:K22132	sauy:SAI8T7_1011830
ko:K22109	sauy:SAI8T7_1019500
ko:K03547	sauy:SAI8T7_1013630
ko:K17758	sauy:SAI8T7_1000060
ko:K02257	sauy:SAI8T7_1007950
ko:K22409	sauy:SAI8T7_1003400
ko:K13566	sauy:SAI8T7_1014920
ko:K22441	sauy:SAI8T7_1017550
