ko:K11720	syt:SYNGTI_2879
ko:K00254	syt:SYNGTI_2922
ko:K07494	syt:SYNGTI_0351
ko:K07494	syt:SYNGTI_3111
ko:K07494	syt:SYNGTI_2778
ko:K07494	syt:SYNGTI_1325
ko:K07494	syt:SYNGTI_1405
ko:K07494	syt:SYNGTI_1576
ko:K07494	syt:SYNGTI_1733
ko:K07494	syt:SYNGTI_2026
ko:K07494	syt:SYNGTI_2261
ko:K01658	syt:SYNGTI_2315
ko:K17758	syt:SYNGTI_1736
ko:K17759	syt:SYNGTI_1736
ko:K17838	syt:SYNGTI_2725
ko:K07263	syt:SYNGTI_1514
ko:K01791	syt:SYNGTI_2663
ko:K00128	syt:SYNGTI_2601
ko:K04749	syt:SYNGTI_1077
ko:K07814	syt:SYNGTI_1418
ko:K18007	syt:SYNGTI_1519
ko:K13010	syt:SYNGTI_1475
ko:K07494	syt:SYNGTI_1460
ko:K07492	syt:SYNGTI_1256
ko:K07492	syt:SYNGTI_2772
ko:K07492	syt:SYNGTI_2776
ko:K07492	syt:SYNGTI_2788
ko:K13010	syt:SYNGTI_0333
ko:K07814	syt:SYNGTI_1196
ko:K07222	syt:SYNGTI_2755
ko:K01286	syt:SYNGTI_2003
ko:K00091	syt:SYNGTI_0664
ko:K00436	syt:SYNGTI_1516
ko:K06921	syt:SYNGTI_1246
ko:K01768	syt:SYNGTI_0393
ko:K18235	syt:SYNGTI_2092
ko:K18234	syt:SYNGTI_1604
ko:K02456	syt:SYNGTI_2951
ko:K11955	syt:SYNGTI_1340
ko:K03969	syt:SYNGTI_3129
ko:K06196	syt:SYNGTI_2371
ko:K05568	syt:SYNGTI_0679
ko:K02652	syt:SYNGTI_2588
ko:K07260	syt:SYNGTI_2833
ko:K11326	syt:SYNGTI_2736
ko:K07494	syt:SYNGTI_1712
ko:K07494	syt:SYNGTI_1711
ko:K07492	syt:SYNGTI_0880
ko:K07492	syt:SYNGTI_1153
ko:K07492	syt:SYNGTI_1255
ko:K07492	syt:SYNGTI_1344
ko:K07492	syt:SYNGTI_1367
ko:K07492	syt:SYNGTI_1524
ko:K07492	syt:SYNGTI_2001
ko:K07492	syt:SYNGTI_2017
ko:K07492	syt:SYNGTI_2104
ko:K07492	syt:SYNGTI_2105
ko:K03742	syt:SYNGTI_2443
ko:K03462	syt:SYNGTI_2730
ko:K01437	syt:SYNGTI_0663
ko:K00681	syt:SYNGTI_1695
ko:K18534	syt:SYNGTI_1913
ko:K00241	syt:SYNGTI_2456
ko:K18678	syt:SYNGTI_3062
ko:K05946	syt:SYNGTI_1697
ko:K18828	syt:SYNGTI_0436
ko:K18910	syt:SYNGTI_1069
ko:K18829	syt:SYNGTI_0437
ko:K18814	syt:SYNGTI_1449
ko:K03789	syt:SYNGTI_2209
ko:K05366	syt:SYNGTI_2243
ko:K07171	syt:SYNGTI_0338
ko:K07171	syt:SYNGTI_0954
ko:K18829	syt:SYNGTI_2367
ko:K03111	syt:SYNGTI_2885
ko:K03496	syt:SYNGTI_2888
ko:K07480	syt:SYNGTI_1257
ko:K09797	syt:SYNGTI_1276
ko:K07389	syt:SYNGTI_3059
ko:K07480	syt:SYNGTI_1414
ko:K07480	syt:SYNGTI_0598
ko:K09932	syt:SYNGTI_2335
ko:K07480	syt:SYNGTI_0787
ko:K11811	syt:SYNGTI_1832
ko:K03496	syt:SYNGTI_2685
ko:K03502	syt:SYNGTI_2732
ko:K11521	syt:SYNGTI_0870
ko:K01665	syt:SYNGTI_1641
ko:K03668	syt:SYNGTI_2563
ko:K07495	syt:SYNGTI_1580
ko:K02663	syt:SYNGTI_1701
ko:K18979	syt:SYNGTI_0992
ko:K19032	syt:SYNGTI_2510
ko:K02664	syt:SYNGTI_1702
ko:K16149	syt:SYNGTI_3036
ko:K19155	syt:SYNGTI_0094
ko:K19156	syt:SYNGTI_0093
ko:K19221	syt:SYNGTI_1360
ko:K19159	syt:SYNGTI_1901
ko:K01046	syt:SYNGTI_0829
ko:K00002	syt:SYNGTI_1828
ko:K08678	syt:SYNGTI_1536
ko:K01710	syt:SYNGTI_2555
ko:K19159	syt:SYNGTI_1465
ko:K19159	syt:SYNGTI_1891
ko:K05978	syt:SYNGTI_3033
ko:K01621	syt:SYNGTI_3101
ko:K00020	syt:SYNGTI_2268
ko:K19302	syt:SYNGTI_2524
ko:K09690	syt:SYNGTI_3144
ko:K07495	syt:SYNGTI_0523
ko:K03722	syt:SYNGTI_0041
ko:K07496	syt:SYNGTI_1294
ko:K07497	syt:SYNGTI_1459
ko:K07494	syt:SYNGTI_0550
ko:K07492	syt:SYNGTI_2748
ko:K07493	syt:SYNGTI_2773
ko:K07494	syt:SYNGTI_0389
ko:K07494	syt:SYNGTI_3030
ko:K07494	syt:SYNGTI_3029
ko:K07494	syt:SYNGTI_2269
ko:K07494	syt:SYNGTI_2777
ko:K07494	syt:SYNGTI_2295
ko:K07494	syt:SYNGTI_2198
ko:K07494	syt:SYNGTI_1754
ko:K07494	syt:SYNGTI_1560
ko:K07494	syt:SYNGTI_1559
ko:K07494	syt:SYNGTI_1473
ko:K07494	syt:SYNGTI_1221
ko:K07494	syt:SYNGTI_0997
ko:K07492	syt:SYNGTI_0435
ko:K07492	syt:SYNGTI_0471
ko:K07492	syt:SYNGTI_0472
ko:K07492	syt:SYNGTI_0788
ko:K07492	syt:SYNGTI_0789
ko:K07492	syt:SYNGTI_2195
ko:K07492	syt:SYNGTI_2229
ko:K07492	syt:SYNGTI_2624
ko:K02031	syt:SYNGTI_0672
ko:K02032	syt:SYNGTI_0672
ko:K07494	syt:SYNGTI_0109
ko:K07492	syt:SYNGTI_2000
ko:K07495	syt:SYNGTI_1797
ko:K07013	syt:SYNGTI_1972
ko:K07492	syt:SYNGTI_2016
ko:K07492	syt:SYNGTI_2747
ko:K07066	syt:SYNGTI_2802
ko:K07494	syt:SYNGTI_0042
ko:K05275	syt:SYNGTI_1429
ko:K15669	syt:SYNGTI_2222
ko:K09690	syt:SYNGTI_0320
ko:K09691	syt:SYNGTI_0324
ko:K09690	syt:SYNGTI_1466
ko:K09691	syt:SYNGTI_1467
ko:K19707	syt:SYNGTI_2299
ko:K20024	syt:SYNGTI_1681
ko:K05770	syt:SYNGTI_2034
ko:K12132	syt:SYNGTI_0661
ko:K20074	syt:SYNGTI_1095
ko:K12132	syt:SYNGTI_0660
ko:K20207	syt:SYNGTI_1769
ko:K20207	syt:SYNGTI_1305
ko:K00507	syt:SYNGTI_2537
ko:K09691	syt:SYNGTI_3143
ko:K20534	syt:SYNGTI_2870
ko:K18889	syt:SYNGTI_2649
ko:K20534	syt:SYNGTI_2037
ko:K18890	syt:SYNGTI_0732
ko:K07242	syt:SYNGTI_0683
ko:K01179	syt:SYNGTI_2483
ko:K01214	syt:SYNGTI_0122
ko:K01214	syt:SYNGTI_1078
ko:K01208	syt:SYNGTI_1233
ko:K02487	syt:SYNGTI_0623
ko:K02487	syt:SYNGTI_2577
ko:K21071	syt:SYNGTI_0269
ko:K01768	syt:SYNGTI_1250
ko:K01768	syt:SYNGTI_1304
ko:K00525	syt:SYNGTI_1759
ko:K21071	syt:SYNGTI_2806
ko:K00821	syt:SYNGTI_0584
ko:K21231	syt:SYNGTI_2002
ko:K06223	syt:SYNGTI_3046
ko:K02703	syt:SYNGTI_3122
ko:K03553	syt:SYNGTI_3150
ko:K00526	syt:SYNGTI_3145
ko:K03546	syt:SYNGTI_0456
ko:K13522	syt:SYNGTI_2729
ko:K03465	syt:SYNGTI_0498
ko:K06217	syt:SYNGTI_0540
ko:K02316	syt:SYNGTI_1654
ko:K02703	syt:SYNGTI_1655
ko:K07313	syt:SYNGTI_1662
ko:K02314	syt:SYNGTI_2553
ko:K05371	syt:SYNGTI_2690
ko:K02703	syt:SYNGTI_0008
ko:K03676	syt:SYNGTI_0958
ko:K02715	syt:SYNGTI_1056
ko:K06223	syt:SYNGTI_1152
ko:K02706	syt:SYNGTI_2887
ko:K03676	syt:SYNGTI_2996
ko:K02706	syt:SYNGTI_1224
ko:K00558	syt:SYNGTI_2245
ko:K02638	syt:SYNGTI_2262
ko:K02335	syt:SYNGTI_2784
ko:K21147	syt:SYNGTI_1864
ko:K02022	syt:SYNGTI_1689
ko:K03636	syt:SYNGTI_1561
ko:K01090	syt:SYNGTI_0195
ko:K11527	syt:SYNGTI_1422
ko:K11527	syt:SYNGTI_1309
ko:K11527	syt:SYNGTI_1416
ko:K11527	syt:SYNGTI_1417
ko:K11527	syt:SYNGTI_1511
ko:K14333	syt:SYNGTI_2655
ko:K22044	syt:SYNGTI_0599
ko:K21480	syt:SYNGTI_0288
ko:K21480	syt:SYNGTI_1644
ko:K21430	syt:SYNGTI_0445
ko:K21563	syt:SYNGTI_3089
ko:K10026	syt:SYNGTI_1136
ko:K10914	syt:SYNGTI_1685
ko:K21703	syt:SYNGTI_1348
ko:K21600	syt:SYNGTI_2088
ko:K21561	syt:SYNGTI_1435
ko:K10914	syt:SYNGTI_0686
ko:K21703	syt:SYNGTI_2838
ko:K13638	syt:SYNGTI_2769
ko:K03741	syt:SYNGTI_1833
ko:K22044	syt:SYNGTI_2805
ko:K21903	syt:SYNGTI_2742
ko:K22044	syt:SYNGTI_0174
ko:K03595	syt:SYNGTI_2057
ko:K08994	syt:SYNGTI_0367
ko:K02257	syt:SYNGTI_1606
ko:K03181	syt:SYNGTI_0777
ko:K22305	syt:SYNGTI_0073
ko:K02226	syt:SYNGTI_0920
ko:K01551	syt:SYNGTI_2583
ko:K11206	syt:SYNGTI_2406
ko:K00728	syt:SYNGTI_0459
ko:K01007	syt:SYNGTI_2704
