ko:K08744	mbz:LH58_09780
ko:K07481	mbz:LH58_18410
ko:K03822	mbz:LH58_09035
ko:K07064	mbz:LH58_13885
ko:K00335	mbz:LH58_16755
ko:K07064	mbz:LH58_16925
ko:K07064	mbz:LH58_18400
ko:K02483	mbz:LH58_20345
ko:K00249	mbz:LH58_00740
ko:K00249	mbz:LH58_00865
ko:K07497	mbz:LH58_14940
ko:K07064	mbz:LH58_01325
ko:K06893	mbz:LH58_00205
ko:K07064	mbz:LH58_03325
ko:K00249	mbz:LH58_01275
ko:K00249	mbz:LH58_16705
ko:K00529	mbz:LH58_10020
ko:K00001	mbz:LH58_00915
ko:K00001	mbz:LH58_08315
ko:K02113	mbz:LH58_07150
ko:K02109	mbz:LH58_07150
ko:K07493	mbz:LH58_05740
ko:K07493	mbz:LH58_13395
ko:K07493	mbz:LH58_16085
ko:K07493	mbz:LH58_16585
ko:K07485	mbz:LH58_04020
ko:K07496	mbz:LH58_05025
ko:K01822	mbz:LH58_04140
ko:K01046	mbz:LH58_16485
ko:K12431	mbz:LH58_20690
ko:K12435	mbz:LH58_08930
ko:K01239	mbz:LH58_18445
ko:K01768	mbz:LH58_06910
ko:K01768	mbz:LH58_07225
ko:K01768	mbz:LH58_07230
ko:K01768	mbz:LH58_07235
ko:K01768	mbz:LH58_08735
ko:K01768	mbz:LH58_19695
ko:K00370	mbz:LH58_09335
ko:K14215	mbz:LH58_12535
ko:K16233	mbz:LH58_07515
ko:K00020	mbz:LH58_04085
ko:K07496	mbz:LH58_00190
ko:K07064	mbz:LH58_06810
ko:K00336	mbz:LH58_16760
ko:K07064	mbz:LH58_10515
ko:K05898	mbz:LH58_19160
ko:K01436	mbz:LH58_17965
ko:K17483	mbz:LH58_12100
ko:K03892	mbz:LH58_14105
ko:K07064	mbz:LH58_13295
ko:K07064	mbz:LH58_13500
ko:K03976	mbz:LH58_17195
ko:K13572	mbz:LH58_11155
ko:K16191	mbz:LH58_04890
ko:K02483	mbz:LH58_04125
ko:K00344	mbz:LH58_00830
ko:K00344	mbz:LH58_07980
ko:K12954	mbz:LH58_10575
ko:K13670	mbz:LH58_08225
ko:K16193	mbz:LH58_04900
ko:K16048	mbz:LH58_19320
ko:K08095	mbz:LH58_18735
ko:K08095	mbz:LH58_12220
ko:K12132	mbz:LH58_11115
ko:K07450	mbz:LH58_05020
ko:K07482	mbz:LH58_16970
ko:K07481	mbz:LH58_05665
ko:K07481	mbz:LH58_05675
ko:K07483	mbz:LH58_14945
ko:K03526	mbz:LH58_15230
ko:K07493	mbz:LH58_06590
ko:K08299	mbz:LH58_06255
ko:K07746	mbz:LH58_10500
ko:K19092	mbz:LH58_10495
ko:K19139	mbz:LH58_14970
ko:K00273	mbz:LH58_10220
ko:K19221	mbz:LH58_15120
ko:K19138	mbz:LH58_14980
ko:K16192	mbz:LH58_04895
ko:K06893	mbz:LH58_00790
ko:K07064	mbz:LH58_03575
ko:K07064	mbz:LH58_15250
ko:K19093	mbz:LH58_11395
ko:K00798	mbz:LH58_07190
ko:K19158	mbz:LH58_18275
ko:K07064	mbz:LH58_01515
ko:K19140	mbz:LH58_14965
ko:K01865	mbz:LH58_16390
ko:K01710	mbz:LH58_18795
ko:K19159	mbz:LH58_18270
ko:K01710	mbz:LH58_20480
ko:K09951	mbz:LH58_14950
ko:K00135	mbz:LH58_09305
ko:K07064	mbz:LH58_04070
ko:K07064	mbz:LH58_09860
ko:K19094	mbz:LH58_11400
ko:K00020	mbz:LH58_04040
ko:K07496	mbz:LH58_04500
ko:K12952	mbz:LH58_04935
ko:K03722	mbz:LH58_07290
ko:K01992	mbz:LH58_09050
ko:K07065	mbz:LH58_13615
ko:K07486	mbz:LH58_10685
ko:K07064	mbz:LH58_11185
ko:K07492	mbz:LH58_06330
ko:K07068	mbz:LH58_19185
ko:K07496	mbz:LH58_03250
ko:K07065	mbz:LH58_03130
ko:K07486	mbz:LH58_18105
ko:K07486	mbz:LH58_10680
ko:K07098	mbz:LH58_19900
ko:K06881	mbz:LH58_15060
ko:K15856	mbz:LH58_00630
ko:K14237	mbz:LH58_14125
ko:K19686	mbz:LH58_03365
ko:K19686	mbz:LH58_03265
ko:K19687	mbz:LH58_03360
ko:K19687	mbz:LH58_09355
ko:K19710	mbz:LH58_13940
ko:K19687	mbz:LH58_03260
ko:K19686	mbz:LH58_14655
ko:K07064	mbz:LH58_19980
ko:K19686	mbz:LH58_09360
ko:K07682	mbz:LH58_16660
ko:K15510	mbz:LH58_02185
ko:K12132	mbz:LH58_00095
ko:K12132	mbz:LH58_00100
ko:K20074	mbz:LH58_00115
ko:K20467	mbz:LH58_01125
ko:K22552	mbz:LH58_04615
ko:K03636	mbz:LH58_07320
ko:K20469	mbz:LH58_01135
ko:K20497	mbz:LH58_12050
ko:K00525	mbz:LH58_16235
ko:K07695	mbz:LH58_16665
ko:K20470	mbz:LH58_01140
ko:K20466	mbz:LH58_01120
ko:K20468	mbz:LH58_01130
ko:K14230	mbz:LH58_12285
ko:K14228	mbz:LH58_08740
ko:K14226	mbz:LH58_13390
ko:K14227	mbz:LH58_00040
ko:K05375	mbz:LH58_12615
ko:K14236	mbz:LH58_03040
ko:K01179	mbz:LH58_00350
ko:K01179	mbz:LH58_06000
ko:K01179	mbz:LH58_06005
ko:K01214	mbz:LH58_08495
ko:K07100	mbz:LH58_11405
ko:K20814	mbz:LH58_11225
ko:K14219	mbz:LH58_07060
ko:K21059	mbz:LH58_15665
ko:K21071	mbz:LH58_16015
ko:K14234	mbz:LH58_04115
ko:K21140	mbz:LH58_07315
ko:K21014	mbz:LH58_01620
ko:K00821	mbz:LH58_08895
ko:K21147	mbz:LH58_17075
ko:K14228	mbz:LH58_05805
ko:K14224	mbz:LH58_04520
ko:K21199	mbz:LH58_12060
ko:K00526	mbz:LH58_16220
ko:K00526	mbz:LH58_01285
ko:K02335	mbz:LH58_08760
ko:K18955	mbz:LH58_17815
ko:K18955	mbz:LH58_17635
ko:K03553	mbz:LH58_14525
ko:K06191	mbz:LH58_16245
ko:K03465	mbz:LH58_14630
ko:K00287	mbz:LH58_14675
ko:K00560	mbz:LH58_14680
ko:K01520	mbz:LH58_14325
ko:K02314	mbz:LH58_00325
ko:K07465	mbz:LH58_11260
ko:K02316	mbz:LH58_12490
ko:K06217	mbz:LH58_12570
ko:K08884	mbz:LH58_09390
ko:K21302	mbz:LH58_17990
ko:K05364	mbz:LH58_00105
ko:K21142	mbz:LH58_18070
ko:K00525	mbz:LH58_03060
ko:K08884	mbz:LH58_11560
ko:K22468	mbz:LH58_17235
ko:K06954	mbz:LH58_02405
ko:K00091	mbz:LH58_00780
ko:K00257	mbz:LH58_07375
ko:K00632	mbz:LH58_14815
ko:K21147	mbz:LH58_16590
ko:K21148	mbz:LH58_07325
ko:K03636	mbz:LH58_04725
ko:K07133	mbz:LH58_17550
ko:K21200	mbz:LH58_09540
ko:K21310	mbz:LH58_17260
ko:K07054	mbz:LH58_02250
ko:K07027	mbz:LH58_03145
ko:K21397	mbz:LH58_09395
ko:K03651	mbz:LH58_04375
ko:K21473	mbz:LH58_08100
ko:K21474	mbz:LH58_08105
ko:K02483	mbz:LH58_03230
ko:K21401	mbz:LH58_03010
ko:K21481	mbz:LH58_19450
ko:K21495	mbz:LH58_10465
ko:K10914	mbz:LH58_19860
ko:K21609	mbz:LH58_01040
ko:K21687	mbz:LH58_04720
ko:K21600	mbz:LH58_05275
ko:K21600	mbz:LH58_01060
ko:K21608	mbz:LH58_04620
ko:K21691	mbz:LH58_13050
ko:K21672	mbz:LH58_05830
ko:K21686	mbz:LH58_06215
ko:K21689	mbz:LH58_10100
ko:K21690	mbz:LH58_12680
ko:K21884	mbz:LH58_08995
ko:K21885	mbz:LH58_10585
ko:K21886	mbz:LH58_20235
ko:K14237	mbz:LH58_11900
ko:K21929	mbz:LH58_06885
ko:K21887	mbz:LH58_20230
ko:K21961	mbz:LH58_20860
ko:K21992	mbz:LH58_07380
ko:K21962	mbz:LH58_08085
ko:K14229	mbz:LH58_04515
ko:K22027	mbz:LH58_16470
ko:K00936	mbz:LH58_17155
ko:K00936	mbz:LH58_17820
ko:K00936	mbz:LH58_17640
ko:K22010	mbz:LH58_08745
ko:K14232	mbz:LH58_13115
ko:K14229	mbz:LH58_13440
ko:K22044	mbz:LH58_16525
ko:K14218	mbz:LH58_00045
ko:K14231	mbz:LH58_04530
ko:K14233	mbz:LH58_20120
ko:K14234	mbz:LH58_19685
ko:K14230	mbz:LH58_16980
ko:K14218	mbz:LH58_05440
ko:K22107	mbz:LH58_19355
ko:K14224	mbz:LH58_15905
ko:K03595	mbz:LH58_12550
ko:K14233	mbz:LH58_20395
ko:K14228	mbz:LH58_00130
ko:K22108	mbz:LH58_19260
ko:K14232	mbz:LH58_09240
ko:K14235	mbz:LH58_03455
ko:K14225	mbz:LH58_13120
ko:K14219	mbz:LH58_13240
ko:K14219	mbz:LH58_20390
ko:K14230	mbz:LH58_03430
ko:K14228	mbz:LH58_07385
ko:K14220	mbz:LH58_12475
ko:K12436	mbz:LH58_10870
ko:K17758	mbz:LH58_18645
ko:K17759	mbz:LH58_18645
ko:K22297	mbz:LH58_10245
ko:K22306	mbz:LH58_12870
ko:K02257	mbz:LH58_07965
ko:K22336	mbz:LH58_20775
ko:K01563	mbz:LH58_13765
ko:K01563	mbz:LH58_12195
ko:K01934	mbz:LH58_05415
ko:K15510	mbz:LH58_00745
ko:K00721	mbz:LH58_10885
ko:K19302	mbz:LH58_01690
ko:K05606	mbz:LH58_07250
ko:K01563	mbz:LH58_09835
ko:K22295	mbz:LH58_18515
ko:K22298	mbz:LH58_12520
ko:K01551	mbz:LH58_11600
ko:K03181	mbz:LH58_15660
ko:K22303	mbz:LH58_18520
ko:K11206	mbz:LH58_02575
ko:K18688	mbz:LH58_19025
ko:K13775	mbz:LH58_17185
ko:K13775	mbz:LH58_17850
ko:K13775	mbz:LH58_17670
ko:K00728	mbz:LH58_05480
ko:K08300	mbz:LH58_13020
ko:K08301	mbz:LH58_13020
ko:K07566	mbz:LH58_07120
ko:K22476	mbz:LH58_02295
