ko:K19079	sut:SAT0131_00731
ko:K00949	sut:SAT0131_01272
ko:K01318	sut:SAT0131_01929
ko:K01318	sut:SAT0131_01083
ko:K07498	sut:SAT0131_00030
ko:K03741	sut:SAT0131_01889
ko:K07816	sut:SAT0131_02708
ko:K07452	sut:SAT0131_00063
ko:K03293	sut:SAT0131_02498
ko:K19159	sut:SAT0131_02599
ko:K19077	sut:SAT0131_00730
ko:K01174	sut:SAT0131_01393
ko:K19147	sut:SAT0131_00064
ko:K19078	sut:SAT0131_00729
ko:K19158	sut:SAT0131_02598
ko:K19225	sut:SAT0131_01643
ko:K02777	sut:SAT0131_01502
ko:K19068	sut:SAT0131_00144
ko:K19081	sut:SAT0131_02887
ko:K19082	sut:SAT0131_02888
ko:K19083	sut:SAT0131_02886
ko:K19084	sut:SAT0131_02885
ko:K02031	sut:SAT0131_01025
ko:K02032	sut:SAT0131_01450
ko:K14195	sut:SAT0131_02694
ko:K11442	sut:SAT0131_02340
ko:K03722	sut:SAT0131_01544
ko:K01992	sut:SAT0131_02717
ko:K19411	sut:SAT0131_00573
ko:K19302	sut:SAT0131_01497
ko:K19405	sut:SAT0131_00574
ko:K07485	sut:SAT0131_01980
ko:K07485	sut:SAT0131_02330
ko:K07485	sut:SAT0131_02872
ko:K03574	sut:SAT0131_01909
ko:K02031	sut:SAT0131_01451
ko:K19279	sut:SAT0131_01757
ko:K19576	sut:SAT0131_00765
ko:K07727	sut:SAT0131_00379
ko:K06881	sut:SAT0131_01807
ko:K00561	sut:SAT0131_02867
ko:K21721	sut:SAT0131_00103
ko:K19689	sut:SAT0131_02002
ko:K01258	sut:SAT0131_01605
ko:K20483	sut:SAT0131_01943
ko:K20482	sut:SAT0131_01944
ko:K07119	sut:SAT0131_02361
ko:K00547	sut:SAT0131_00364
ko:K00297	sut:SAT0131_00364
ko:K02538	sut:SAT0131_02906
ko:K21636	sut:SAT0131_02850
ko:K19975	sut:SAT0131_00699
ko:K19976	sut:SAT0131_00701
ko:K19973	sut:SAT0131_00702
ko:K20074	sut:SAT0131_01268
ko:K12132	sut:SAT0131_01269
ko:K20116	sut:SAT0131_00182
ko:K20117	sut:SAT0131_00182
ko:K20118	sut:SAT0131_00182
ko:K20116	sut:SAT0131_02743
ko:K20117	sut:SAT0131_02743
ko:K20118	sut:SAT0131_02743
ko:K20338	sut:SAT0131_01874
ko:K20491	sut:SAT0131_01938
ko:K20494	sut:SAT0131_01936
ko:K21949	sut:SAT0131_00102
ko:K20484	sut:SAT0131_01942
ko:K20486	sut:SAT0131_01940
ko:K20490	sut:SAT0131_01939
ko:K20337	sut:SAT0131_01218
ko:K20337	sut:SAT0131_01219
ko:K20534	sut:SAT0131_00774
ko:K02790	sut:SAT0131_00233
ko:K02791	sut:SAT0131_00233
ko:K21029	sut:SAT0131_02454
ko:K21030	sut:SAT0131_00243
ko:K21030	sut:SAT0131_00248
ko:K21064	sut:SAT0131_01004
ko:K08968	sut:SAT0131_01822
ko:K00435	sut:SAT0131_00649
ko:K00526	sut:SAT0131_00802
ko:K11038	sut:SAT0131_01946
ko:K11038	sut:SAT0131_01947
ko:K04068	sut:SAT0131_02849
ko:K14199	sut:SAT0131_00216
ko:K14199	sut:SAT0131_01202
ko:K14199	sut:SAT0131_02076
ko:K07455	sut:SAT0131_02121
ko:K11038	sut:SAT0131_02140
ko:K11038	sut:SAT0131_02142
ko:K07474	sut:SAT0131_02151
ko:K07474	sut:SAT0131_02158
ko:K07474	sut:SAT0131_00393
ko:K03553	sut:SAT0131_01341
ko:K03546	sut:SAT0131_01417
ko:K00857	sut:SAT0131_02282
ko:K00287	sut:SAT0131_01506
ko:K00560	sut:SAT0131_01507
ko:K02316	sut:SAT0131_01657
ko:K06217	sut:SAT0131_01667
ko:K01493	sut:SAT0131_01684
ko:K11038	sut:SAT0131_02612
ko:K11038	sut:SAT0131_02615
ko:K11038	sut:SAT0131_02616
ko:K06919	sut:SAT0131_00863
ko:K07474	sut:SAT0131_00870
ko:K01174	sut:SAT0131_00892
ko:K02314	sut:SAT0131_00018
ko:K07474	sut:SAT0131_00934
ko:K06958	sut:SAT0131_00837
ko:K05020	sut:SAT0131_02358
ko:K02335	sut:SAT0131_01792
ko:K21285	sut:SAT0131_00708
ko:K03296	sut:SAT0131_02436
ko:K00525	sut:SAT0131_00801
ko:K22044	sut:SAT0131_00369
ko:K21478	sut:SAT0131_02946
ko:K21453	sut:SAT0131_02944
ko:K21567	sut:SAT0131_02562
ko:K21591	sut:SAT0131_00247
ko:K21600	sut:SAT0131_02245
ko:K18704	sut:SAT0131_00250
ko:K21828	sut:SAT0131_02897
ko:K22043	sut:SAT0131_02310
ko:K21903	sut:SAT0131_00047
ko:K22136	sut:SAT0131_01222
ko:K00754	sut:SAT0131_01547
ko:K22135	sut:SAT0131_00628
ko:K03595	sut:SAT0131_01662
ko:K22132	sut:SAT0131_01726
ko:K22109	sut:SAT0131_02847
ko:K03547	sut:SAT0131_01964
ko:K17758	sut:SAT0131_00007
ko:K02257	sut:SAT0131_01155
ko:K22409	sut:SAT0131_00505
ko:K13566	sut:SAT0131_02181
ko:K22441	sut:SAT0131_02559
