ko:K18919	elp:P12B_c1512
ko:K07462	elp:P12B_c2989
ko:K03981	elp:P12B_c2990
ko:K03840	elp:P12B_c2992
ko:K06980	elp:P12B_c2993
ko:K11068	elp:P12B_c2994
ko:K01223	elp:P12B_c2995
ko:K00281	elp:P12B_c2997
ko:K02437	elp:P12B_c2998
ko:K00605	elp:P12B_c2999
ko:K03185	elp:P12B_c3001
ko:K09895	elp:P12B_c3003
ko:K09888	elp:P12B_c3004
ko:K01807	elp:P12B_c3007
ko:K05596	elp:P12B_c3008
ko:K11264	elp:P12B_c3011
ko:K09807	elp:P12B_c3014
ko:K06895	elp:P12B_c3015
ko:K02902	elp:P12B_c3765
ko:K03630	elp:P12B_c3766
ko:K13038	elp:P12B_c3767
ko:K05501	elp:P12B_c3769
ko:K00762	elp:P12B_c3770
ko:K00989	elp:P12B_c3771
ko:K01972	elp:P12B_c3775
ko:K00942	elp:P12B_c3778
ko:K03060	elp:P12B_c3779
ko:K00556	elp:P12B_c3781
ko:K03655	elp:P12B_c3782
ko:K03312	elp:P12B_c3783
ko:K01811	elp:P12B_c3786
ko:K03291	elp:P12B_c3798
ko:K02073	elp:P12B_c3800
ko:K06901	elp:P12B_c3803
ko:K01486	elp:P12B_c3804
ko:K07783	elp:P12B_c3806
ko:K01653	elp:P12B_c3809
ko:K01652	elp:P12B_c3810
ko:K06871	elp:P12B_c3814
ko:K04069	elp:P12B_c0888
ko:K00656	elp:P12B_c0889
ko:K09136	elp:P12B_c0891
ko:K00831	elp:P12B_c0893
ko:K00800	elp:P12B_c0894
ko:K07387	elp:P12B_c0895
ko:K00945	elp:P12B_c0896
ko:K02945	elp:P12B_c0897
ko:K05788	elp:P12B_c0898
ko:K00912	elp:P12B_c0902
ko:K09927	elp:P12B_c0903
ko:K00979	elp:P12B_c0904
ko:K06219	elp:P12B_c0907
ko:K03633	elp:P12B_c0908
ko:K03804	elp:P12B_c0909
ko:K08303	elp:P12B_c1690
ko:K05782	elp:P12B_c1693
ko:K03304	elp:P12B_c1699
ko:K03817	elp:P12B_c1701
ko:K00134	elp:P12B_c1709
ko:K00134	elp:P12B_c1710
ko:K07248	elp:P12B_c1711
ko:K01118	elp:P12B_c1714
ko:K00981	elp:P12B_c1717
ko:K02616	elp:P12B_c1727
ko:K01912	elp:P12B_c1728
ko:K00074	elp:P12B_c1731
ko:K15866	elp:P12B_c1732
ko:K02613	elp:P12B_c1734
ko:K02612	elp:P12B_c1735
ko:K02611	elp:P12B_c1736
ko:K02610	elp:P12B_c1737
ko:K12974	elp:P12B_c2496
ko:K14261	elp:P12B_c2498
ko:K02478	elp:P12B_c2499
ko:K08483	elp:P12B_c2502
ko:K11189	elp:P12B_c2502
ko:K11201	elp:P12B_c2502
ko:K08326	elp:P12B_c2504
ko:K11203	elp:P12B_c2505
ko:K11202	elp:P12B_c2506
ko:K03322	elp:P12B_c2510
ko:K11535	elp:P12B_c2511
ko:K11537	elp:P12B_c2517
ko:K03815	elp:P12B_c2518
ko:K14347	elp:P12B_c2521
ko:K01972	elp:P12B_c2522
ko:K03528	elp:P12B_c2523
ko:K01738	elp:P12B_c2526
ko:K00868	elp:P12B_c2530
ko:K12339	elp:P12B_c2533
ko:K02045	elp:P12B_c2534
ko:K02047	elp:P12B_c2535
ko:K02046	elp:P12B_c2536
ko:K02048	elp:P12B_c2537
ko:K15835	elp:P12B_c2539
ko:K01940	elp:P12B_c3289
ko:K03075	elp:P12B_c3291
ko:K03431	elp:P12B_c3293
ko:K00796	elp:P12B_c3294
ko:K03798	elp:P12B_c3295
ko:K03624	elp:P12B_c3297
ko:K07259	elp:P12B_c3298
ko:K03979	elp:P12B_c3300
ko:K02899	elp:P12B_c3302
ko:K02888	elp:P12B_c3303
ko:K02523	elp:P12B_c3304
ko:K00790	elp:P12B_c3306
ko:K07323	elp:P12B_c3308
ko:K02066	elp:P12B_c3310
ko:K02065	elp:P12B_c3311
ko:K07301	elp:P12B_c3312
ko:K07301	elp:P12B_c3313
ko:K06041	elp:P12B_c3314
ko:K03270	elp:P12B_c3315
ko:K11719	elp:P12B_c3316
ko:K09774	elp:P12B_c3317
ko:K06861	elp:P12B_c3318
ko:K03092	elp:P12B_c3319
ko:K05808	elp:P12B_c3320
ko:K06958	elp:P12B_c3322
ko:K03814	elp:P12B_c3325
ko:K07139	elp:P12B_c3328
ko:K00266	elp:P12B_c3330
ko:K00885	elp:P12B_c3333
ko:K03290	elp:P12B_c3335
ko:K03600	elp:P12B_c3340
ko:K03599	elp:P12B_c3341
ko:K01595	elp:P12B_c4077
ko:K01438	elp:P12B_c4078
ko:K00145	elp:P12B_c4079
ko:K00930	elp:P12B_c4080
ko:K01755	elp:P12B_c4081
ko:K04761	elp:P12B_c4082
ko:K00322	elp:P12B_c4083
ko:K01776	elp:P12B_c4088
ko:K00075	elp:P12B_c4089
ko:K03524	elp:P12B_c4090
ko:K02358	elp:P12B_c4092
ko:K03073	elp:P12B_c4093
ko:K02601	elp:P12B_c4094
ko:K02867	elp:P12B_c4095
ko:K02863	elp:P12B_c4096
ko:K02864	elp:P12B_c4097
ko:K02935	elp:P12B_c4098
ko:K03043	elp:P12B_c4099
ko:K03046	elp:P12B_c4100
ko:K03150	elp:P12B_c4102
ko:K03149	elp:P12B_c4103
ko:K00788	elp:P12B_c4105
ko:K03147	elp:P12B_c4106
ko:K07740	elp:P12B_c4107
ko:K03426	elp:P12B_c4108
ko:K01599	elp:P12B_c4109
ko:K05982	elp:P12B_c4110
ko:K09891	elp:P12B_c4111
ko:K05787	elp:P12B_c4112
ko:K07803	elp:P12B_c4114
ko:K01945	elp:P12B_c4117
ko:K00602	elp:P12B_c4118
ko:K03827	elp:P12B_c4119
ko:K09910	elp:P12B_c0108
ko:K01611	elp:P12B_c0109
ko:K00797	elp:P12B_c0110
ko:K14588	elp:P12B_c0112
ko:K00760	elp:P12B_c0115
ko:K01673	elp:P12B_c0116
ko:K01579	elp:P12B_c0121
ko:K01918	elp:P12B_c0123
ko:K00606	elp:P12B_c0124
ko:K00950	elp:P12B_c0129
ko:K01894	elp:P12B_c0131
ko:K06204	elp:P12B_c0132
ko:K06206	elp:P12B_c0133
ko:K01975	elp:P12B_c0134
ko:K03579	elp:P12B_c0135
ko:K05365	elp:P12B_c0136
ko:K02013	elp:P12B_c0139
ko:K02016	elp:P12B_c0140
ko:K02015	elp:P12B_c0142
ko:K01845	elp:P12B_c0143
ko:K15724	elp:P12B_c0145
ko:K01129	elp:P12B_c0149
ko:K02647	elp:P12B_c0151
ko:K01265	elp:P12B_c0156
ko:K02967	elp:P12B_c0157
ko:K02357	elp:P12B_c0158
ko:K09903	elp:P12B_c0159
ko:K02838	elp:P12B_c0160
ko:K00099	elp:P12B_c0161
ko:K00806	elp:P12B_c0162
ko:K01893	elp:P12B_c0917
ko:K00763	elp:P12B_c0918
ko:K01256	elp:P12B_c0919
ko:K15554	elp:P12B_c0921
ko:K15553	elp:P12B_c0923
ko:K00299	elp:P12B_c0924
ko:K07347	elp:P12B_c0927
ko:K07140	elp:P12B_c0934
ko:K12297	elp:P12B_c0935
ko:K15738	elp:P12B_c0936
ko:K03808	elp:P12B_c0937
ko:K06192	elp:P12B_c0938
ko:K09857	elp:P12B_c0939
ko:K03812	elp:P12B_c0940
ko:K05964	elp:P12B_c0598
ko:K01643	elp:P12B_c0599
ko:K01644	elp:P12B_c0600
ko:K01646	elp:P12B_c0601
ko:K01910	elp:P12B_c0602
ko:K07700	elp:P12B_c0603
ko:K07702	elp:P12B_c0604
ko:K12973	elp:P12B_c0606
ko:K06199	elp:P12B_c0607
ko:K03425	elp:P12B_c0609
ko:K03644	elp:P12B_c0610
ko:K03801	elp:P12B_c0613
ko:K09158	elp:P12B_c0614
ko:K03642	elp:P12B_c0616
ko:K05837	elp:P12B_c0617
ko:K05515	elp:P12B_c0618
ko:K00783	elp:P12B_c0619
ko:K00969	elp:P12B_c0621
ko:K02340	elp:P12B_c0622
ko:K03643	elp:P12B_c0623
ko:K01869	elp:P12B_c0624
ko:K04045	elp:P12B_c0633
ko:K10004	elp:P12B_c0635
ko:K10002	elp:P12B_c0636
ko:K10003	elp:P12B_c0637
ko:K10001	elp:P12B_c0638
ko:K03820	elp:P12B_c0639
ko:K06189	elp:P12B_c0640
ko:K07042	elp:P12B_c0641
ko:K06168	elp:P12B_c0643
ko:K03184	elp:P12B_c0644
ko:K01953	elp:P12B_c0645
ko:K08354	elp:P12B_c1412
ko:K03327	elp:P12B_c1417
ko:K00793	elp:P12B_c1418
ko:K00574	elp:P12B_c1419
ko:K04564	elp:P12B_c1425
ko:K07390	elp:P12B_c1427
ko:K03683	elp:P12B_c1429
ko:K10680	elp:P12B_c1431
ko:K06938	elp:P12B_c1433
ko:K06077	elp:P12B_c1440
ko:K09001	elp:P12B_c1441
ko:K00275	elp:P12B_c1443
ko:K01866	elp:P12B_c1444
ko:K00868	elp:P12B_c1445
ko:K03305	elp:P12B_c1447
ko:K10773	elp:P12B_c1448
ko:K14155	elp:P12B_c1460
ko:K02478	elp:P12B_c2223
ko:K05846	elp:P12B_c2225
ko:K05847	elp:P12B_c2226
ko:K05846	elp:P12B_c2227
ko:K05845	elp:P12B_c2228
ko:K05349	elp:P12B_c2229
ko:K03777	elp:P12B_c2230
ko:K07262	elp:P12B_c2231
ko:K05541	elp:P12B_c2235
ko:K10542	elp:P12B_c2243
ko:K02529	elp:P12B_c2245
ko:K07148	elp:P12B_c2246
ko:K01495	elp:P12B_c2247
ko:K01070	elp:P12B_c2248
ko:K11733	elp:P12B_c2250
ko:K01151	elp:P12B_c2253
ko:K10213	elp:P12B_c2256
ko:K02769	elp:P12B_c2261
ko:K02770	elp:P12B_c2261
ko:K02768	elp:P12B_c2263
ko:K11183	elp:P12B_c2263
ko:K03291	elp:P12B_c2264
ko:K06940	elp:P12B_c2265
ko:K02356	elp:P12B_c2266
ko:K13694	elp:P12B_c2271
ko:K13893	elp:P12B_c2273
ko:K13894	elp:P12B_c2274
ko:K01624	elp:P12B_c3018
ko:K00927	elp:P12B_c3019
ko:K03472	elp:P12B_c3020
ko:K00615	elp:P12B_c3027
ko:K07387	elp:P12B_c3028
ko:K00789	elp:P12B_c3031
ko:K08137	elp:P12B_c3032
ko:K02742	elp:P12B_c3033
ko:K01150	elp:P12B_c3034
ko:K09761	elp:P12B_c3035
ko:K01920	elp:P12B_c3036
ko:K07735	elp:P12B_c3037
ko:K07447	elp:P12B_c3038
ko:K02669	elp:P12B_c3039
ko:K02221	elp:P12B_c3041
ko:K09923	elp:P12B_c3047
ko:K03439	elp:P12B_c3048
ko:K03575	elp:P12B_c3049
ko:K08306	elp:P12B_c3051
ko:K01581	elp:P12B_c3054
ko:K07150	elp:P12B_c3055
ko:K02462	elp:P12B_c3056
ko:K02461	elp:P12B_c3057
ko:K02460	elp:P12B_c3058
ko:K02459	elp:P12B_c3059
ko:K02458	elp:P12B_c3060
ko:K02457	elp:P12B_c3061
ko:K02456	elp:P12B_c3062
ko:K02455	elp:P12B_c3063
ko:K02453	elp:P12B_c3065
ko:K02452	elp:P12B_c3066
ko:K02654	elp:P12B_c3068
ko:K10939	elp:P12B_c3069
ko:K02749	elp:P12B_c3818
ko:K02750	elp:P12B_c3818
ko:K03482	elp:P12B_c3819
ko:K07085	elp:P12B_c3820
ko:K04081	elp:P12B_c3821
ko:K04080	elp:P12B_c3822
ko:K01684	elp:P12B_c3826
ko:K01631	elp:P12B_c3827
ko:K00883	elp:P12B_c3828
ko:K02470	elp:P12B_c3834
ko:K03629	elp:P12B_c3835
ko:K02338	elp:P12B_c3836
ko:K02313	elp:P12B_c3837
ko:K03536	elp:P12B_c3839
ko:K03217	elp:P12B_c3840
ko:K03650	elp:P12B_c3841
ko:K01667	elp:P12B_c3843
ko:K03836	elp:P12B_c3846
ko:K08163	elp:P12B_c3847
ko:K06901	elp:P12B_c3850
ko:K09925	elp:P12B_c3852
ko:K01223	elp:P12B_c3856
ko:K02039	elp:P12B_c3862
ko:K02036	elp:P12B_c3863
ko:K02038	elp:P12B_c3864
ko:K02037	elp:P12B_c3865
ko:K02040	elp:P12B_c3866
ko:K00820	elp:P12B_c3867
ko:K04042	elp:P12B_c3868
ko:K02114	elp:P12B_c3869
ko:K02112	elp:P12B_c3870
ko:K10013	elp:P12B_c2403
ko:K01716	elp:P12B_c0941
ko:K04770	elp:P12B_c0942
ko:K09911	elp:P12B_c0943
ko:K03658	elp:P12B_c0949
ko:K01734	elp:P12B_c0950
ko:K06929	elp:P12B_c0952
ko:K11940	elp:P12B_c0953
ko:K06969	elp:P12B_c0954
ko:K01512	elp:P12B_c0955
ko:K03620	elp:P12B_c0960
ko:K03619	elp:P12B_c0962
ko:K03618	elp:P12B_c0963
ko:K00425	elp:P12B_c0964
ko:K00426	elp:P12B_c0965
ko:K01093	elp:P12B_c0967
ko:K01991	elp:P12B_c0970
ko:K02609	elp:P12B_c1738
ko:K02618	elp:P12B_c1739
ko:K03778	elp:P12B_c1745
ko:K03737	elp:P12B_c1747
ko:K14058	elp:P12B_c1750
ko:K05591	elp:P12B_c1751
ko:K14057	elp:P12B_c1756
ko:K12940	elp:P12B_c1757
ko:K12941	elp:P12B_c1758
ko:K14055	elp:P12B_c1762
ko:K15580	elp:P12B_c1764
ko:K14054	elp:P12B_c1768
ko:K11065	elp:P12B_c1770
ko:K03721	elp:P12B_c1771
ko:K08990	elp:P12B_c1772
ko:K06918	elp:P12B_c1773
ko:K14053	elp:P12B_c1775
ko:K03971	elp:P12B_c1787
ko:K03970	elp:P12B_c1789
ko:K03969	elp:P12B_c1790
ko:K03974	elp:P12B_c1791
ko:K07106	elp:P12B_c2540
ko:K11191	elp:P12B_c2541
ko:K11192	elp:P12B_c2541
ko:K01448	elp:P12B_c2546
ko:K00228	elp:P12B_c2547
ko:K04033	elp:P12B_c2548
ko:K04025	elp:P12B_c2549
ko:K04026	elp:P12B_c2550
ko:K03736	elp:P12B_c2551
ko:K03735	elp:P12B_c2552
ko:K04019	elp:P12B_c2553
ko:K04023	elp:P12B_c2554
ko:K04022	elp:P12B_c2555
ko:K04024	elp:P12B_c2556
ko:K04021	elp:P12B_c2557
ko:K04020	elp:P12B_c2560
ko:K04032	elp:P12B_c2561
ko:K04030	elp:P12B_c2562
ko:K04029	elp:P12B_c2563
ko:K04031	elp:P12B_c2564
ko:K00029	elp:P12B_c2565
ko:K00615	elp:P12B_c2567
ko:K12945	elp:P12B_c2569
ko:K07674	elp:P12B_c2571
ko:K06999	elp:P12B_c2575
ko:K06957	elp:P12B_c2576
ko:K01923	elp:P12B_c2578
ko:K07287	elp:P12B_c2579
ko:K01714	elp:P12B_c2580
ko:K03567	elp:P12B_c2581
ko:K03564	elp:P12B_c2582
ko:K12138	elp:P12B_c2585
ko:K12139	elp:P12B_c2586
ko:K12140	elp:P12B_c2587
ko:K12142	elp:P12B_c2589
ko:K02996	elp:P12B_c3342
ko:K02871	elp:P12B_c3343
ko:K06916	elp:P12B_c3344
ko:K04691	elp:P12B_c3347
ko:K00024	elp:P12B_c3348
ko:K03402	elp:P12B_c3349
ko:K03468	elp:P12B_c3350
ko:K15548	elp:P12B_c3351
ko:K03568	elp:P12B_c3354
ko:K08301	elp:P12B_c3356
ko:K06287	elp:P12B_c3357
ko:K03571	elp:P12B_c3358
ko:K03570	elp:P12B_c3359
ko:K03569	elp:P12B_c3360
ko:K02160	elp:P12B_c3365
ko:K01961	elp:P12B_c3366
ko:K14392	elp:P12B_c3367
ko:K02687	elp:P12B_c3368
ko:K03557	elp:P12B_c3370
ko:K09969	elp:P12B_c3374
ko:K09970	elp:P12B_c3375
ko:K09971	elp:P12B_c3376
ko:K09972	elp:P12B_c3377
ko:K07566	elp:P12B_c3380
ko:K07479	elp:P12B_c3381
ko:K01462	elp:P12B_c3384
ko:K00604	elp:P12B_c3385
ko:K03500	elp:P12B_c3386
ko:K03282	elp:P12B_c3388
ko:K00651	elp:P12B_c4120
ko:K01638	elp:P12B_c4121
ko:K01637	elp:P12B_c4122
ko:K00906	elp:P12B_c4123
ko:K03324	elp:P12B_c4127
ko:K05995	elp:P12B_c4128
ko:K06182	elp:P12B_c4129
ko:K00928	elp:P12B_c4130
ko:K01810	elp:P12B_c4131
ko:K13256	elp:P12B_c4136
ko:K08138	elp:P12B_c4137
ko:K02024	elp:P12B_c4143
ko:K05775	elp:P12B_c4144
ko:K03181	elp:P12B_c4146
ko:K03179	elp:P12B_c4147
ko:K00631	elp:P12B_c4148
ko:K00901	elp:P12B_c4149
ko:K01356	elp:P12B_c4150
ko:K03327	elp:P12B_c4151
ko:K09823	elp:P12B_c4152
ko:K05539	elp:P12B_c4154
ko:K01775	elp:P12B_c4157
ko:K00832	elp:P12B_c4158
ko:K03788	elp:P12B_c4160
ko:K03701	elp:P12B_c4163
ko:K13631	elp:P12B_c4172
ko:K13639	elp:P12B_c4173
ko:K06901	elp:P12B_c4174
ko:K02565	elp:P12B_c0647
ko:K01443	elp:P12B_c0648
ko:K02802	elp:P12B_c0650
ko:K00104	elp:P12B_c3075
ko:K16066	elp:P12B_c1538
ko:K16074	elp:P12B_c1752
ko:K00981	elp:P12B_c0163
ko:K11749	elp:P12B_c0164
ko:K07277	elp:P12B_c0165
ko:K06142	elp:P12B_c0166
ko:K02536	elp:P12B_c0167
ko:K02372	elp:P12B_c0168
ko:K00677	elp:P12B_c0169
ko:K00748	elp:P12B_c0170
ko:K03470	elp:P12B_c0171
ko:K02337	elp:P12B_c0172
ko:K01962	elp:P12B_c0173
ko:K04075	elp:P12B_c0176
ko:K15034	elp:P12B_c0179
ko:K06079	elp:P12B_c0180
ko:K01881	elp:P12B_c0183
ko:K06080	elp:P12B_c0185
ko:K02073	elp:P12B_c0186
ko:K02072	elp:P12B_c0187
ko:K02071	elp:P12B_c0188
ko:K03273	elp:P12B_c0189
ko:K06222	elp:P12B_c0190
ko:K08307	elp:P12B_c0194
ko:K03271	elp:P12B_c0211
ko:K03704	elp:P12B_c0975
ko:K03704	elp:P12B_c0976
ko:K07647	elp:P12B_c0980
ko:K11930	elp:P12B_c0981
ko:K03532	elp:P12B_c0983
ko:K07811	elp:P12B_c0984
ko:K03533	elp:P12B_c0985
ko:K05516	elp:P12B_c0987
ko:K01085	elp:P12B_c0989
ko:K03809	elp:P12B_c0990
ko:K09016	elp:P12B_c0991
ko:K09024	elp:P12B_c0992
ko:K09019	elp:P12B_c0993
ko:K09023	elp:P12B_c0994
ko:K09021	elp:P12B_c0995
ko:K09018	elp:P12B_c0997
ko:K13821	elp:P12B_c0999
ko:K07243	elp:P12B_c1001
ko:K07224	elp:P12B_c1002
ko:K11937	elp:P12B_c1005
ko:K11936	elp:P12B_c1006
ko:K11931	elp:P12B_c1007
ko:K11935	elp:P12B_c1008
ko:K02231	elp:P12B_c1025
ko:K00823	elp:P12B_c1792
ko:K14056	elp:P12B_c1795
ko:K09473	elp:P12B_c1796
ko:K09470	elp:P12B_c1797
ko:K14052	elp:P12B_c1798
ko:K00208	elp:P12B_c1804
ko:K01147	elp:P12B_c1806
ko:K03113	elp:P12B_c1809
ko:K01591	elp:P12B_c1810
ko:K01681	elp:P12B_c1814
ko:K13634	elp:P12B_c1815
ko:K03168	elp:P12B_c1817
ko:K06178	elp:P12B_c1822
ko:K07053	elp:P12B_c1825
ko:K01657	elp:P12B_c1826
ko:K13497	elp:P12B_c1827
ko:K13498	elp:P12B_c1828
ko:K01696	elp:P12B_c1829
ko:K01695	elp:P12B_c1830
ko:K07275	elp:P12B_c1833
ko:K06190	elp:P12B_c1835
ko:K10806	elp:P12B_c1836
ko:K03832	elp:P12B_c1837
ko:K10763	elp:P12B_c2598
ko:K00761	elp:P12B_c2600
ko:K01933	elp:P12B_c2601
ko:K11175	elp:P12B_c2602
ko:K00937	elp:P12B_c2603
ko:K01524	elp:P12B_c2604
ko:K01951	elp:P12B_c2608
ko:K03601	elp:P12B_c2610
ko:K03977	elp:P12B_c2611
ko:K01892	elp:P12B_c2614
ko:K15539	elp:P12B_c2616
ko:K06941	elp:P12B_c2617
ko:K00940	elp:P12B_c2618
ko:K05367	elp:P12B_c2619
ko:K06894	elp:P12B_c2620
ko:K07751	elp:P12B_c2623
ko:K04755	elp:P12B_c2625
ko:K04044	elp:P12B_c2626
ko:K04082	elp:P12B_c2627
ko:K04487	elp:P12B_c2630
ko:K13643	elp:P12B_c2631
ko:K15396	elp:P12B_c2632
ko:K02803	elp:P12B_c0650
ko:K02804	elp:P12B_c0650
ko:K01886	elp:P12B_c0651
ko:K03839	elp:P12B_c0656
ko:K03645	elp:P12B_c0659
ko:K01581	elp:P12B_c0664
ko:K07667	elp:P12B_c0665
ko:K07646	elp:P12B_c0666
ko:K01548	elp:P12B_c0667
ko:K01547	elp:P12B_c0668
ko:K01546	elp:P12B_c0669
ko:K01669	elp:P12B_c0678
ko:K03305	elp:P12B_c0679
ko:K01647	elp:P12B_c0690
ko:K00242	elp:P12B_c0693
ko:K00239	elp:P12B_c0694
ko:K00240	elp:P12B_c0695
ko:K00164	elp:P12B_c0696
ko:K00658	elp:P12B_c0697
ko:K01903	elp:P12B_c0698
ko:K01902	elp:P12B_c0699
ko:K01195	elp:P12B_c1466
ko:K01809	elp:P12B_c1471
ko:K01676	elp:P12B_c1472
ko:K07639	elp:P12B_c1475
ko:K07661	elp:P12B_c1476
ko:K13938	elp:P12B_c1477
ko:K03758	elp:P12B_c1478
ko:K00324	elp:P12B_c1480
ko:K00325	elp:P12B_c1481
ko:K11744	elp:P12B_c1482
ko:K11743	elp:P12B_c1483
ko:K11742	elp:P12B_c1484
ko:K04775	elp:P12B_c1485
ko:K08224	elp:P12B_c1486
ko:K15545	elp:P12B_c1488
ko:K01935	elp:P12B_c1489
ko:K03281	elp:P12B_c1490
ko:K07310	elp:P12B_c1493
ko:K09771	elp:P12B_c1499
ko:K08323	elp:P12B_c1500
ko:K08322	elp:P12B_c1501
ko:K03704	elp:P12B_c1516
ko:K03704	elp:P12B_c1517
ko:K13895	elp:P12B_c2275
ko:K13896	elp:P12B_c2276
ko:K07552	elp:P12B_c2277
ko:K02897	elp:P12B_c2280
ko:K06899	elp:P12B_c2281
ko:K07014	elp:P12B_c2282
ko:K07685	elp:P12B_c2284
ko:K02199	elp:P12B_c2286
ko:K02198	elp:P12B_c2287
ko:K02197	elp:P12B_c2288
ko:K02196	elp:P12B_c2289
ko:K02195	elp:P12B_c2290
ko:K02194	elp:P12B_c2291
ko:K02568	elp:P12B_c2294
ko:K02573	elp:P12B_c2296
ko:K02567	elp:P12B_c2297
ko:K02570	elp:P12B_c2298
ko:K02572	elp:P12B_c2299
ko:K00116	elp:P12B_c2301
ko:K06159	elp:P12B_c2302
ko:K03919	elp:P12B_c2303
ko:K10778	elp:P12B_c2304
ko:K03734	elp:P12B_c2305
ko:K09475	elp:P12B_c2306
ko:K07676	elp:P12B_c2307
ko:K07687	elp:P12B_c2308
ko:K07677	elp:P12B_c2310
ko:K01034	elp:P12B_c2313
ko:K02106	elp:P12B_c2315
ko:K06894	elp:P12B_c2319
ko:K09934	elp:P12B_c2321
ko:K02469	elp:P12B_c2323
ko:K11477	elp:P12B_c3072
ko:K11473	elp:P12B_c3073
ko:K11472	elp:P12B_c3074
ko:K11474	elp:P12B_c3076
ko:K11720	elp:P12B_c3082
ko:K01460	elp:P12B_c3091
ko:K04653	elp:P12B_c3093
ko:K04651	elp:P12B_c3094
ko:K01061	elp:P12B_c3101
ko:K03561	elp:P12B_c3107
ko:K08325	elp:P12B_c3112
ko:K00655	elp:P12B_c3118
ko:K02621	elp:P12B_c3119
ko:K13655	elp:P12B_c3121
ko:K13651	elp:P12B_c3122
ko:K07471	elp:P12B_c3123
ko:K02115	elp:P12B_c3871
ko:K02113	elp:P12B_c3873
ko:K02109	elp:P12B_c3874
ko:K02110	elp:P12B_c3875
ko:K02108	elp:P12B_c3876
ko:K03501	elp:P12B_c3878
ko:K03495	elp:P12B_c3880
ko:K06205	elp:P12B_c3881
ko:K01914	elp:P12B_c3883
ko:K03924	elp:P12B_c3885
ko:K03549	elp:P12B_c3886
ko:K06726	elp:P12B_c3887
ko:K10441	elp:P12B_c3888
ko:K02529	elp:P12B_c3892
ko:K09897	elp:P12B_c3896
ko:K07391	elp:P12B_c3897
ko:K01652	elp:P12B_c3898
ko:K11258	elp:P12B_c3899
ko:K00826	elp:P12B_c3900
ko:K01687	elp:P12B_c3901
ko:K01754	elp:P12B_c3902
ko:K02521	elp:P12B_c3903
ko:K00053	elp:P12B_c3904
ko:K03656	elp:P12B_c3906
ko:K01524	elp:P12B_c3907
ko:K03732	elp:P12B_c3908
ko:K03671	elp:P12B_c3909
ko:K03628	elp:P12B_c3910
ko:K05790	elp:P12B_c3913
ko:K02472	elp:P12B_c3915
ko:K00973	elp:P12B_c3917
ko:K14235	elp:P12B_t0063
ko:K00956	elp:P12B_c2854
ko:K11929	elp:P12B_c0269
ko:K01250	elp:P12B_c0634
ko:K00568	elp:P12B_c2324
ko:K02615	elp:P12B_c1729
ko:K07771	elp:P12B_c4216
ko:K05708	elp:P12B_c2638
ko:K12136	elp:P12B_c2583
ko:K12145	elp:P12B_c2592
ko:K07675	elp:P12B_c3807
ko:K04065	elp:P12B_c4451
ko:K15773	elp:P12B_c1571
ko:K02485	elp:P12B_c1904
ko:K01834	elp:P12B_c0717
ko:K09471	elp:P12B_c1793
ko:K01659	elp:P12B_c0350
ko:K01270	elp:P12B_c0265
ko:K01185	elp:P12B_c0752
ko:K01185	elp:P12B_c1519
ko:K15583	elp:P12B_c1894
ko:K05714	elp:P12B_c0367
ko:K00073	elp:P12B_c0530
ko:K12944	elp:P12B_c2345
ko:K01160	elp:P12B_c0749
ko:K08172	elp:P12B_c1034
ko:K08225	elp:P12B_c0576
ko:K03972	elp:P12B_c1786
ko:K16346	elp:P12B_c2980
ko:K00884	elp:P12B_c1987
ko:K02035	elp:P12B_c1642
ko:K02035	elp:P12B_c3120
ko:K02031	elp:P12B_c1645
ko:K07356	elp:P12B_c0545
ko:K11139	elp:P12B_c1952
ko:K03459	elp:P12B_c2594
ko:K08194	elp:P12B_c3825
ko:K06887	elp:P12B_c3543
ko:K03535	elp:P12B_c2887
ko:K07645	elp:P12B_c3126
ko:K07165	elp:P12B_c4397
ko:K01069	elp:P12B_c0195
ko:K01980	elp:P12B_r0021
ko:K01980	elp:P12B_r0015
ko:K01980	elp:P12B_r0005
ko:K01980	elp:P12B_r0018
ko:K01980	elp:P12B_r0002
ko:K01980	elp:P12B_r0012
ko:K01980	elp:P12B_r0009
ko:K01048	elp:P12B_c3949
ko:K03892	elp:P12B_c3631
ko:K00537	elp:P12B_c3633
ko:K00529	elp:P12B_c2642
ko:K06858	elp:P12B_c0147
ko:K11748	elp:P12B_c3453
ko:K11747	elp:P12B_c3452
ko:K08351	elp:P12B_c3680
ko:K16321	elp:P12B_c4407
ko:K07354	elp:P12B_c0544
ko:K16324	elp:P12B_c2258
ko:K16322	elp:P12B_c3090
ko:K02052	elp:P12B_c1686
ko:K02055	elp:P12B_c1687
ko:K01840	elp:P12B_c2152
ko:K08348	elp:P12B_c1654
ko:K01271	elp:P12B_c3969
ko:K01739	elp:P12B_c4060
ko:K05709	elp:P12B_c2639
ko:K01139	elp:P12B_c3780
ko:K07232	elp:P12B_c1917
ko:K06221	elp:P12B_c3113
ko:K07684	elp:P12B_c1914
ko:K07782	elp:P12B_c1149
ko:K13053	elp:P12B_c0945
ko:K03668	elp:P12B_c1746
ko:K05874	elp:P12B_c4433
ko:K10831	elp:P12B_c0384
ko:K03079	elp:P12B_c4294
ko:K08154	elp:P12B_c3813
ko:K00146	elp:P12B_c1741
ko:K07713	elp:P12B_c4116
ko:K13479	elp:P12B_c2965
