ko:K00887	lcx:LCA12A_0848
ko:K20344	lcx:LCA12A_1893
ko:K20534	lcx:LCA12A_1735
ko:K20488	lcx:LCA12A_2468
ko:K18889	lcx:LCA12A_1290
ko:K18890	lcx:LCA12A_1291
ko:K17869	lcx:LCA12A_2517
ko:K02793	lcx:LCA12A_2421
ko:K14225	lcx:LCA12A_2724
ko:K22103	lcx:LCA12A_1193
ko:K01208	lcx:LCA12A_2267
ko:K01977	lcx:LCA12A_2756
ko:K08968	lcx:LCA12A_1449
ko:K14219	lcx:LCA12A_2717
ko:K14219	lcx:LCA12A_2769
ko:K14234	lcx:LCA12A_2753
ko:K14232	lcx:LCA12A_2767
ko:K14225	lcx:LCA12A_2716
ko:K14225	lcx:LCA12A_2771
ko:K14225	lcx:LCA12A_2768
ko:K14229	lcx:LCA12A_2745
ko:K01071	lcx:LCA12A_2693
ko:K14223	lcx:LCA12A_2735
ko:K14219	lcx:LCA12A_2781
ko:K14219	lcx:LCA12A_2762
ko:K14234	lcx:LCA12A_2715
ko:K14230	lcx:LCA12A_2721
ko:K14230	lcx:LCA12A_2729
ko:K14224	lcx:LCA12A_2727
ko:K14224	lcx:LCA12A_2752
ko:K14226	lcx:LCA12A_2734
ko:K14228	lcx:LCA12A_2742
ko:K14228	lcx:LCA12A_2772
ko:K14222	lcx:LCA12A_2736
ko:K14228	lcx:LCA12A_2737
ko:K14228	lcx:LCA12A_2778
ko:K14228	lcx:LCA12A_2770
ko:K14220	lcx:LCA12A_2751
ko:K14220	lcx:LCA12A_2759
ko:K06904	lcx:LCA12A_1327
ko:K02315	lcx:LCA12A_1313
ko:K04068	lcx:LCA12A_0075
ko:K01520	lcx:LCA12A_1849
ko:K03553	lcx:LCA12A_0315
ko:K06904	lcx:LCA12A_0586
ko:K02316	lcx:LCA12A_0840
ko:K06217	lcx:LCA12A_0850
ko:K07455	lcx:LCA12A_0940
ko:K00560	lcx:LCA12A_1577
ko:K00287	lcx:LCA12A_1578
ko:K06191	lcx:LCA12A_1661
ko:K01493	lcx:LCA12A_0820
ko:K00857	lcx:LCA12A_1370
ko:K03553	lcx:LCA12A_2211
ko:K03546	lcx:LCA12A_1715
ko:K02314	lcx:LCA12A_1046
ko:K07313	lcx:LCA12A_1112
ko:K02335	lcx:LCA12A_0042
ko:K03741	lcx:LCA12A_0460
ko:K02032	lcx:LCA12A_1271
ko:K09017	lcx:LCA12A_2064
ko:K14236	lcx:LCA12A_2732
ko:K14236	lcx:LCA12A_2777
ko:K14235	lcx:LCA12A_2733
ko:K03293	lcx:LCA12A_2639
ko:K14232	lcx:LCA12A_2718
ko:K14230	lcx:LCA12A_2720
ko:K00526	lcx:LCA12A_1663
ko:K14230	lcx:LCA12A_2719
ko:K14223	lcx:LCA12A_2764
ko:K14219	lcx:LCA12A_2779
ko:K14219	lcx:LCA12A_2780
ko:K14218	lcx:LCA12A_2765
ko:K14218	lcx:LCA12A_2766
ko:K14218	lcx:LCA12A_2748
ko:K14229	lcx:LCA12A_2714
ko:K14229	lcx:LCA12A_2773
ko:K14221	lcx:LCA12A_2722
ko:K14221	lcx:LCA12A_2730
ko:K14231	lcx:LCA12A_2723
ko:K14231	lcx:LCA12A_2731
ko:K14227	lcx:LCA12A_2725
ko:K14227	lcx:LCA12A_2747
ko:K14233	lcx:LCA12A_2726
ko:K14233	lcx:LCA12A_2728
ko:K14233	lcx:LCA12A_2760
ko:K14233	lcx:LCA12A_2755
ko:K14225	lcx:LCA12A_2741
ko:K14220	lcx:LCA12A_2754
ko:K14234	lcx:LCA12A_2744
ko:K01977	lcx:LCA12A_2746
ko:K14224	lcx:LCA12A_2763
ko:K14237	lcx:LCA12A_2713
ko:K14237	lcx:LCA12A_2761
ko:K14237	lcx:LCA12A_2774
ko:K03293	lcx:LCA12A_2324
ko:K21471	lcx:LCA12A_0636
ko:K21467	lcx:LCA12A_2568
ko:K21471	lcx:LCA12A_0149
ko:K21471	lcx:LCA12A_2513
ko:K21567	lcx:LCA12A_0663
ko:K21562	lcx:LCA12A_1009
ko:K22024	lcx:LCA12A_0395
ko:K22043	lcx:LCA12A_1921
ko:K22044	lcx:LCA12A_0804
ko:K22129	lcx:LCA12A_0396
ko:K03595	lcx:LCA12A_0846
ko:K22212	lcx:LCA12A_1765
ko:K03078	lcx:LCA12A_0426
ko:K22213	lcx:LCA12A_1054
ko:K03077	lcx:LCA12A_0422
ko:K03079	lcx:LCA12A_0424
ko:K17758	lcx:LCA12A_2178
