ko:K02058	mhal:N220_07840
ko:K09951	mhal:N220_05460
ko:K04772	mhal:N220_02825
ko:K19157	mhal:N220_12450
ko:K01154	mhal:N220_12130
ko:K02777	mhal:N220_02030
ko:K01710	mhal:N220_02135
ko:K01156	mhal:N220_06730
ko:K00020	mhal:N220_13840
ko:K19092	mhal:N220_12730
ko:K19228	mhal:N220_05835
ko:K07062	mhal:N220_13895
ko:K21498	mhal:N220_07425
ko:K07268	mhal:N220_12095
ko:K07497	mhal:N220_09015
ko:K03722	mhal:N220_08090
ko:K07496	mhal:N220_05410
ko:K07496	mhal:N220_01455
ko:K07496	mhal:N220_08680
ko:K00839	mhal:N220_08865
ko:K07497	mhal:N220_00255
ko:K07497	mhal:N220_00600
ko:K07497	mhal:N220_01400
ko:K19416	mhal:N220_04000
ko:K00525	mhal:N220_06605
ko:K01161	mhal:N220_03690
ko:K00525	mhal:N220_02545
ko:K02796	mhal:N220_10070
ko:K02796	mhal:N220_12160
ko:K19784	mhal:N220_12570
ko:K07147	mhal:N220_00475
ko:K19804	mhal:N220_06375
ko:K19810	mhal:N220_07540
ko:K07662	mhal:N220_06630
ko:K21636	mhal:N220_02765
ko:K08723	mhal:N220_11415
ko:K20074	mhal:N220_03860
ko:K07488	mhal:N220_08005
ko:K07488	mhal:N220_09525
ko:K07488	mhal:N220_09530
ko:K07488	mhal:N220_10230
ko:K07488	mhal:N220_10235
ko:K07488	mhal:N220_01480
ko:K07488	mhal:N220_01500
ko:K07488	mhal:N220_00465
ko:K21394	mhal:N220_00105
ko:K21303	mhal:N220_02125
ko:K02438	mhal:N220_05355
ko:K21029	mhal:N220_09260
ko:K00821	mhal:N220_10090
ko:K02495	mhal:N220_08935
ko:K00526	mhal:N220_02550
ko:K00560	mhal:N220_11770
ko:K06907	mhal:N220_05995
ko:K06908	mhal:N220_06000
ko:K06906	mhal:N220_06020
ko:K06905	mhal:N220_06025
ko:K09961	mhal:N220_07285
ko:K06909	mhal:N220_07290
ko:K07474	mhal:N220_07295
ko:K06919	mhal:N220_08670
ko:K06223	mhal:N220_10425
ko:K07474	mhal:N220_05575
ko:K06909	mhal:N220_05580
ko:K02314	mhal:N220_07375
ko:K00287	mhal:N220_05100
ko:K06919	mhal:N220_07675
ko:K02314	mhal:N220_07915
ko:K06903	mhal:N220_05960
ko:K00857	mhal:N220_06945
ko:K00558	mhal:N220_09685
ko:K03553	mhal:N220_11140
ko:K02314	mhal:N220_08445
ko:K06905	mhal:N220_03100
ko:K06903	mhal:N220_03110
ko:K06907	mhal:N220_03065
ko:K06908	mhal:N220_03070
ko:K01520	mhal:N220_01590
ko:K04068	mhal:N220_02770
ko:K06217	mhal:N220_04230
ko:K06866	mhal:N220_04330
ko:K02316	mhal:N220_02155
ko:K21395	mhal:N220_13710
ko:K21394	mhal:N220_13715
ko:K21393	mhal:N220_00100
ko:K21393	mhal:N220_13720
ko:K21395	mhal:N220_00095
ko:K21449	mhal:N220_01830
ko:K21449	mhal:N220_12480
ko:K21470	mhal:N220_11455
ko:K13818	mhal:N220_04625
ko:K13818	mhal:N220_01975
ko:K07334	mhal:N220_07430
ko:K21602	mhal:N220_11550
ko:K10026	mhal:N220_10250
ko:K00983	mhal:N220_10185
ko:K21936	mhal:N220_00820
ko:K21948	mhal:N220_00790
ko:K19591	mhal:N220_09865
ko:K22024	mhal:N220_01645
ko:K22132	mhal:N220_03705
ko:K08319	mhal:N220_00785
ko:K22131	mhal:N220_00800
ko:K22105	mhal:N220_01840
ko:K22129	mhal:N220_01635
ko:K03595	mhal:N220_08845
ko:K22130	mhal:N220_00795
ko:K21029	mhal:N220_04985
ko:K03079	mhal:N220_13320
ko:K07488	mhal:N220_13780
ko:K03077	mhal:N220_13315
ko:K18446	mhal:N220_05195
ko:K22302	mhal:N220_09650
