ko:K01006	lml:lmo4a_1925
ko:K03574	lml:lmo4a_1301
ko:K03574	lml:lmo4a_2371
ko:K17320	lml:lmo4a_2059
ko:K00265	lml:lmo4a_1789
ko:K08986	lml:lmo4a_0937
ko:K14226	lml:lmo4a_tRNA50
ko:K01992	lml:lmo4a_0769
ko:K17472	lml:lmo4a_1571
ko:K01992	lml:lmo4a_0683
ko:K01992	lml:lmo4a_0996
ko:K01992	lml:lmo4a_2300
ko:K10112	lml:lmo4a_0300
ko:K17686	lml:lmo4a_1911
ko:K01990	lml:lmo4a_0682
ko:K01990	lml:lmo4a_0995
ko:K01990	lml:lmo4a_2021
ko:K01990	lml:lmo4a_2301
ko:K01990	lml:lmo4a_2835
ko:K01990	lml:lmo4a_0939
ko:K01990	lml:lmo4a_1696
ko:K07260	lml:lmo4a_1913
ko:K02027	lml:lmo4a_1785
ko:K01791	lml:lmo4a_2539
ko:K17752	lml:lmo4a_0905
ko:K02026	lml:lmo4a_2903
ko:K02026	lml:lmo4a_0872
ko:K02026	lml:lmo4a_1787
ko:K02027	lml:lmo4a_0197
ko:K01658	lml:lmo4a_1692
ko:K17828	lml:lmo4a_1890
ko:K02027	lml:lmo4a_2905
ko:K12574	lml:lmo4a_1043
ko:K12574	lml:lmo4a_1492
ko:K17763	lml:lmo4a_0181
ko:K17763	lml:lmo4a_0903
ko:K07284	lml:lmo4a_0944
ko:K02027	lml:lmo4a_0870
ko:K00661	lml:lmo4a_0679
ko:K00537	lml:lmo4a_2427
ko:K01183	lml:lmo4a_0140
ko:K04757	lml:lmo4a_0908
ko:K17762	lml:lmo4a_0904
ko:K01187	lml:lmo4a_0199
ko:K17733	lml:lmo4a_1276
ko:K07145	lml:lmo4a_0489
ko:K09022	lml:lmo4a_0854
ko:K18104	lml:lmo4a_2808
ko:K08221	lml:lmo4a_1466
ko:K02770	lml:lmo4a_2196
ko:K08316	lml:lmo4a_2102
ko:K01101	lml:lmo4a_2406
ko:K07741	lml:lmo4a_2650
ko:K02770	lml:lmo4a_0413
ko:K02770	lml:lmo4a_0438
ko:K22597	lml:lmo4a_2906
ko:K02794	lml:lmo4a_0789
ko:K02794	lml:lmo4a_0021
ko:K22597	lml:lmo4a_2798
ko:K00008	lml:lmo4a_2728
ko:K00008	lml:lmo4a_2727
ko:K18231	lml:lmo4a_0935
ko:K05352	lml:lmo4a_1089
ko:K13731	lml:lmo4a_2559
ko:K09017	lml:lmo4a_2019
ko:K22579	lml:lmo4a_0422
ko:K03483	lml:lmo4a_2716
ko:K01297	lml:lmo4a_1698
ko:K03742	lml:lmo4a_1454
ko:K03328	lml:lmo4a_0231
ko:K04749	lml:lmo4a_0907
ko:K09809	lml:lmo4a_1091
ko:K00285	lml:lmo4a_1967
ko:K18672	lml:lmo4a_2181
ko:K18673	lml:lmo4a_2830
ko:K18682	lml:lmo4a_1456
ko:K18692	lml:lmo4a_1507
ko:K03790	lml:lmo4a_2910
ko:K07171	lml:lmo4a_0902
ko:K07012	lml:lmo4a_0530
ko:K18892	lml:lmo4a_2815
ko:K18891	lml:lmo4a_2814
ko:K18821	lml:lmo4a_2567
ko:K18967	lml:lmo4a_2234
ko:K03502	lml:lmo4a_2738
ko:K03169	lml:lmo4a_2822
ko:K03497	lml:lmo4a_2853
ko:K03496	lml:lmo4a_2854
ko:K03497	lml:lmo4a_2857
ko:K08151	lml:lmo4a_0850
ko:K03111	lml:lmo4a_2525
ko:K03111	lml:lmo4a_0038
ko:K00662	lml:lmo4a_1766
ko:K03111	lml:lmo4a_2632
ko:K19005	lml:lmo4a_0942
ko:K04028	lml:lmo4a_1167
ko:K00634	lml:lmo4a_1426
ko:K07029	lml:lmo4a_1808
ko:K07483	lml:lmo4a_0673
ko:K18979	lml:lmo4a_0949
ko:K07483	lml:lmo4a_0842
ko:K07816	lml:lmo4a_0808
ko:K19002	lml:lmo4a_2556
ko:K19088	lml:lmo4a_0527
ko:K02777	lml:lmo4a_1033
ko:K09951	lml:lmo4a_0532
ko:K00354	lml:lmo4a_2473
ko:K00798	lml:lmo4a_1191
ko:K19075	lml:lmo4a_0528
ko:K19090	lml:lmo4a_0529
ko:K05881	lml:lmo4a_0368
ko:K03339	lml:lmo4a_2557
ko:K05881	lml:lmo4a_2760
ko:K00020	lml:lmo4a_1021
ko:K00571	lml:lmo4a_1638
ko:K19091	lml:lmo4a_0526
ko:K01447	lml:lmo4a_0109
ko:K19225	lml:lmo4a_1393
ko:K19285	lml:lmo4a_0951
ko:K03722	lml:lmo4a_1956
ko:K01990	lml:lmo4a_0768
ko:K01992	lml:lmo4a_0940
ko:K01992	lml:lmo4a_1697
ko:K19351	lml:lmo4a_0219
ko:K19411	lml:lmo4a_0246
ko:K19302	lml:lmo4a_2068
ko:K19267	lml:lmo4a_0458
ko:K04771	lml:lmo4a_0317
ko:K19405	lml:lmo4a_0247
ko:K19302	lml:lmo4a_1683
ko:K03574	lml:lmo4a_1726
ko:K19509	lml:lmo4a_2051
ko:K19508	lml:lmo4a_2052
ko:K19507	lml:lmo4a_2053
ko:K19504	lml:lmo4a_2050
ko:K06881	lml:lmo4a_1631
ko:K02796	lml:lmo4a_0787
ko:K02796	lml:lmo4a_0023
ko:K02796	lml:lmo4a_0132
ko:K19510	lml:lmo4a_2049
ko:K19504	lml:lmo4a_0034
ko:K00887	lml:lmo4a_1520
ko:K19689	lml:lmo4a_1663
ko:K01258	lml:lmo4a_1432
ko:K00547	lml:lmo4a_1735
ko:K00297	lml:lmo4a_1735
ko:K02538	lml:lmo4a_0435
ko:K02538	lml:lmo4a_2199
ko:K21636	lml:lmo4a_0301
ko:K19975	lml:lmo4a_1905
ko:K19976	lml:lmo4a_1906
ko:K19973	lml:lmo4a_1907
ko:K20074	lml:lmo4a_1878
ko:K12132	lml:lmo4a_1877
ko:K12132	lml:lmo4a_2137
ko:K20265	lml:lmo4a_2361
ko:K20201	lml:lmo4a_2542
ko:K18889	lml:lmo4a_1711
ko:K18890	lml:lmo4a_1710
ko:K20885	lml:lmo4a_0875
ko:K01208	lml:lmo4a_2187
ko:K21030	lml:lmo4a_1088
ko:K21029	lml:lmo4a_1058
ko:K21064	lml:lmo4a_2323
ko:K08968	lml:lmo4a_1656
ko:K00821	lml:lmo4a_1649
ko:K14221	lml:lmo4a_tRNA25
ko:K14230	lml:lmo4a_tRNA26
ko:K14219	lml:lmo4a_tRNA39
ko:K14228	lml:lmo4a_tRNA40
ko:K14226	lml:lmo4a_tRNA23
ko:K00435	lml:lmo4a_2174
ko:K14224	lml:lmo4a_tRNA18
ko:K14220	lml:lmo4a_tRNA20
ko:K14231	lml:lmo4a_tRNA24
ko:K14219	lml:lmo4a_tRNA62
ko:K14228	lml:lmo4a_tRNA46
ko:K02314	lml:lmo4a_0047
ko:K04068	lml:lmo4a_0302
ko:K00558	lml:lmo4a_0333
ko:K00558	lml:lmo4a_1229
ko:K06919	lml:lmo4a_1246
ko:K01493	lml:lmo4a_1539
ko:K09935	lml:lmo4a_0649
ko:K07313	lml:lmo4a_0668
ko:K00287	lml:lmo4a_1931
ko:K00560	lml:lmo4a_1932
ko:K03546	lml:lmo4a_1705
ko:K00857	lml:lmo4a_2546
ko:K03553	lml:lmo4a_1455
ko:K02316	lml:lmo4a_1511
ko:K06217	lml:lmo4a_1523
ko:K01520	lml:lmo4a_1748
ko:K06909	lml:lmo4a_2623
ko:K07474	lml:lmo4a_2624
ko:K00558	lml:lmo4a_2641
ko:K07455	lml:lmo4a_2645
ko:K09935	lml:lmo4a_0914
ko:K09935	lml:lmo4a_0916
ko:K21298	lml:lmo4a_1783
ko:K14233	lml:lmo4a_tRNA13
ko:K02335	lml:lmo4a_1621
ko:K21285	lml:lmo4a_1092
ko:K14225	lml:lmo4a_tRNA06
ko:K14225	lml:lmo4a_tRNA22
ko:K14233	lml:lmo4a_tRNA11
ko:K14233	lml:lmo4a_tRNA19
ko:K14233	lml:lmo4a_tRNA58
ko:K14227	lml:lmo4a_tRNA21
ko:K00526	lml:lmo4a_2215
ko:K21252	lml:lmo4a_1759
ko:K00525	lml:lmo4a_2216
ko:K22044	lml:lmo4a_1029
ko:K21481	lml:lmo4a_2274
ko:K21465	lml:lmo4a_1496
ko:K21467	lml:lmo4a_0464
ko:K21471	lml:lmo4a_2506
ko:K21471	lml:lmo4a_2507
ko:K21567	lml:lmo4a_2018
ko:K18704	lml:lmo4a_1087
ko:K21567	lml:lmo4a_2396
ko:K21600	lml:lmo4a_1912
ko:K21560	lml:lmo4a_0216
ko:K02334	lml:lmo4a_0076
ko:K00680	lml:lmo4a_2347
ko:K21993	lml:lmo4a_0928
ko:K22043	lml:lmo4a_2495
ko:K00936	lml:lmo4a_1156
ko:K21960	lml:lmo4a_2349
ko:K03595	lml:lmo4a_1518
ko:K03547	lml:lmo4a_2283
ko:K22103	lml:lmo4a_2168
ko:K01537	lml:lmo4a_0852
ko:K22251	lml:lmo4a_0361
ko:K22278	lml:lmo4a_0426
ko:K17758	lml:lmo4a_1682
ko:K02257	lml:lmo4a_2106
ko:K05592	lml:lmo4a_1299
ko:K13566	lml:lmo4a_0307
