ko:K10747	xfu:XFF4834R_chr31600
ko:K07032	xfu:XFF4834R_chr37390
ko:K07025	xfu:XFF4834R_chr37430
ko:K14393	xfu:XFF4834R_chr40450
ko:K01895	xfu:XFF4834R_chr40480
ko:K00064	xfu:XFF4834R_chr40540
ko:K07046	xfu:XFF4834R_chr40550
ko:K18335	xfu:XFF4834R_chr40560
ko:K18334	xfu:XFF4834R_chr40580
ko:K03534	xfu:XFF4834R_chr40590
ko:K02429	xfu:XFF4834R_chr40600
ko:K03292	xfu:XFF4834R_chr40670
ko:K00851	xfu:XFF4834R_chr40680
ko:K03785	xfu:XFF4834R_chr40720
ko:K09800	xfu:XFF4834R_chr40740
ko:K07278	xfu:XFF4834R_chr40750
ko:K13408	xfu:XFF4834R_chr40790
ko:K13409	xfu:XFF4834R_chr40800
ko:K13409	xfu:XFF4834R_chr40810
ko:K01879	xfu:XFF4834R_chr40820
ko:K01878	xfu:XFF4834R_chr40830
ko:K02454	xfu:XFF4834R_chr40840
ko:K01951	xfu:XFF4834R_chr40880
ko:K00626	xfu:XFF4834R_chr01840
ko:K02498	xfu:XFF4834R_chr01850
ko:K02496	xfu:XFF4834R_chr01860
ko:K01719	xfu:XFF4834R_chr01870
ko:K03071	xfu:XFF4834R_chr01920
ko:K00057	xfu:XFF4834R_chr01930
ko:K00156	xfu:XFF4834R_chr01950
ko:K03216	xfu:XFF4834R_chr02010
ko:K00901	xfu:XFF4834R_chr08430
ko:K03744	xfu:XFF4834R_chr08440
ko:K06872	xfu:XFF4834R_chr08450
ko:K13292	xfu:XFF4834R_chr08470
ko:K15555	xfu:XFF4834R_chr08530
ko:K15554	xfu:XFF4834R_chr08540
ko:K15553	xfu:XFF4834R_chr08550
ko:K04091	xfu:XFF4834R_chr08560
ko:K00299	xfu:XFF4834R_chr08570
ko:K02014	xfu:XFF4834R_chr08580
ko:K02035	xfu:XFF4834R_chr08610
ko:K02033	xfu:XFF4834R_chr08620
ko:K02034	xfu:XFF4834R_chr08630
ko:K02031	xfu:XFF4834R_chr08640
ko:K02032	xfu:XFF4834R_chr08640
ko:K01525	xfu:XFF4834R_chr08650
ko:K06195	xfu:XFF4834R_chr08660
ko:K02528	xfu:XFF4834R_chr08670
ko:K00097	xfu:XFF4834R_chr08680
ko:K03771	xfu:XFF4834R_chr08690
ko:K04744	xfu:XFF4834R_chr08700
ko:K00798	xfu:XFF4834R_chr08730
ko:K03185	xfu:XFF4834R_chr08750
ko:K03184	xfu:XFF4834R_chr08760
ko:K11475	xfu:XFF4834R_chr08800
ko:K02623	xfu:XFF4834R_chr08830
ko:K18383	xfu:XFF4834R_chr08860
ko:K01876	xfu:XFF4834R_chr14740
ko:K01159	xfu:XFF4834R_chr14780
ko:K03550	xfu:XFF4834R_chr14790
ko:K03549	xfu:XFF4834R_chr14800
ko:K03551	xfu:XFF4834R_chr14820
ko:K07107	xfu:XFF4834R_chr14830
ko:K03562	xfu:XFF4834R_chr14840
ko:K03560	xfu:XFF4834R_chr14850
ko:K03641	xfu:XFF4834R_chr14870
ko:K03640	xfu:XFF4834R_chr14880
ko:K10026	xfu:XFF4834R_chr14900
ko:K06920	xfu:XFF4834R_chr14920
ko:K05596	xfu:XFF4834R_chr14950
ko:K06895	xfu:XFF4834R_chr14960
ko:K06182	xfu:XFF4834R_chr15020
ko:K03654	xfu:XFF4834R_chr15080
ko:K04047	xfu:XFF4834R_chr15090
ko:K03578	xfu:XFF4834R_chr15100
ko:K00845	xfu:XFF4834R_chr15120
ko:K06139	xfu:XFF4834R_chr15150
ko:K06138	xfu:XFF4834R_chr15160
ko:K06137	xfu:XFF4834R_chr15170
ko:K06136	xfu:XFF4834R_chr15180
ko:K00951	xfu:XFF4834R_chr15200
ko:K03408	xfu:XFF4834R_chr20520
ko:K02557	xfu:XFF4834R_chr20540
ko:K02556	xfu:XFF4834R_chr20550
ko:K03407	xfu:XFF4834R_chr20600
ko:K03414	xfu:XFF4834R_chr20610
ko:K03413	xfu:XFF4834R_chr20620
ko:K02405	xfu:XFF4834R_chr20630
ko:K04562	xfu:XFF4834R_chr20640
ko:K02404	xfu:XFF4834R_chr20650
ko:K02400	xfu:XFF4834R_chr20660
ko:K02401	xfu:XFF4834R_chr20670
ko:K02421	xfu:XFF4834R_chr20710
ko:K02420	xfu:XFF4834R_chr20720
ko:K02419	xfu:XFF4834R_chr20730
ko:K02418	xfu:XFF4834R_chr20740
ko:K02417	xfu:XFF4834R_chr20750
ko:K02416	xfu:XFF4834R_chr20760
ko:K02415	xfu:XFF4834R_chr20770
ko:K02414	xfu:XFF4834R_chr20780
ko:K02413	xfu:XFF4834R_chr20790
ko:K02412	xfu:XFF4834R_chr20800
ko:K02411	xfu:XFF4834R_chr20810
ko:K02410	xfu:XFF4834R_chr20820
ko:K02409	xfu:XFF4834R_chr20830
ko:K02408	xfu:XFF4834R_chr20840
ko:K02386	xfu:XFF4834R_chr20900
ko:K02398	xfu:XFF4834R_chr20910
ko:K03807	xfu:XFF4834R_chr05000
ko:K01945	xfu:XFF4834R_chr05080
ko:K00602	xfu:XFF4834R_chr05100
ko:K00995	xfu:XFF4834R_chr05110
ko:K00981	xfu:XFF4834R_chr05190
ko:K03557	xfu:XFF4834R_chr05200
ko:K02687	xfu:XFF4834R_chr05240
ko:K01961	xfu:XFF4834R_chr05280
ko:K02160	xfu:XFF4834R_chr05300
ko:K03786	xfu:XFF4834R_chr05310
ko:K04084	xfu:XFF4834R_chr05320
ko:K03926	xfu:XFF4834R_chr05330
ko:K04078	xfu:XFF4834R_chr05350
ko:K04077	xfu:XFF4834R_chr05360
ko:K01626	xfu:XFF4834R_chr05400
ko:K01053	xfu:XFF4834R_chr05430
ko:K00982	xfu:XFF4834R_chr05450
ko:K09125	xfu:XFF4834R_chr05460
ko:K02527	xfu:XFF4834R_chr11830
ko:K12340	xfu:XFF4834R_chr11840
ko:K00573	xfu:XFF4834R_chr11850
ko:K01703	xfu:XFF4834R_chr11890
ko:K01704	xfu:XFF4834R_chr11900
ko:K00052	xfu:XFF4834R_chr11910
ko:K01649	xfu:XFF4834R_chr11920
ko:K01754	xfu:XFF4834R_chr11930
ko:K11258	xfu:XFF4834R_chr11940
ko:K01652	xfu:XFF4834R_chr11950
ko:K00053	xfu:XFF4834R_chr11960
ko:K02014	xfu:XFF4834R_chr11990
ko:K03147	xfu:XFF4834R_chr12000
ko:K07506	xfu:XFF4834R_chr12020
ko:K02014	xfu:XFF4834R_chr12030
ko:K01507	xfu:XFF4834R_chr12050
ko:K15987	xfu:XFF4834R_chr12070
ko:K00939	xfu:XFF4834R_chr12100
ko:K02558	xfu:XFF4834R_chr12110
ko:K07157	xfu:XFF4834R_chr12120
ko:K10716	xfu:XFF4834R_chr12170
ko:K02014	xfu:XFF4834R_chr12200
ko:K00274	xfu:XFF4834R_chr12210
ko:K00817	xfu:XFF4834R_chr12240
ko:K03556	xfu:XFF4834R_chr12260
ko:K01845	xfu:XFF4834R_chr12270
ko:K00788	xfu:XFF4834R_chr12290
ko:K14761	xfu:XFF4834R_chr18120
ko:K03088	xfu:XFF4834R_chr18140
ko:K05592	xfu:XFF4834R_chr18150
ko:K06182	xfu:XFF4834R_chr18170
ko:K02553	xfu:XFF4834R_chr18220
ko:K09779	xfu:XFF4834R_chr18410
ko:K05838	xfu:XFF4834R_chr18490
ko:K01869	xfu:XFF4834R_chr18510
ko:K03643	xfu:XFF4834R_chr18520
ko:K02340	xfu:XFF4834R_chr18530
ko:K00969	xfu:XFF4834R_chr18540
ko:K09710	xfu:XFF4834R_chr18550
ko:K07093	xfu:XFF4834R_chr18560
ko:K00568	xfu:XFF4834R_chr23880
ko:K02356	xfu:XFF4834R_chr23910
ko:K02044	xfu:XFF4834R_chr23940
ko:K15396	xfu:XFF4834R_chr23950
ko:K01092	xfu:XFF4834R_chr23960
ko:K04564	xfu:XFF4834R_chr23970
ko:K15738	xfu:XFF4834R_chr24000
ko:K05591	xfu:XFF4834R_chr24010
ko:K00759	xfu:XFF4834R_chr24020
ko:K00799	xfu:XFF4834R_chr24050
ko:K03704	xfu:XFF4834R_chr24060
ko:K07007	xfu:XFF4834R_chr24080
ko:K03799	xfu:XFF4834R_chr24100
ko:K01894	xfu:XFF4834R_chr24110
ko:K00023	xfu:XFF4834R_chr24120
ko:K09973	xfu:XFF4834R_chr24140
ko:K09164	xfu:XFF4834R_chr24150
ko:K03572	xfu:XFF4834R_chr24160
ko:K01448	xfu:XFF4834R_chr24170
ko:K06925	xfu:XFF4834R_chr24180
ko:K17758	xfu:XFF4834R_chr24190
ko:K17759	xfu:XFF4834R_chr24190
ko:K03601	xfu:XFF4834R_chr24210
ko:K03684	xfu:XFF4834R_chr24240
ko:K01673	xfu:XFF4834R_chr29090
ko:K00452	xfu:XFF4834R_chr29100
ko:K01556	xfu:XFF4834R_chr29120
ko:K00486	xfu:XFF4834R_chr29130
ko:K01141	xfu:XFF4834R_chr29140
ko:K01081	xfu:XFF4834R_chr29170
ko:K00858	xfu:XFF4834R_chr29180
ko:K12297	xfu:XFF4834R_chr29190
ko:K09164	xfu:XFF4834R_chr29250
ko:K01011	xfu:XFF4834R_chr29260
ko:K01715	xfu:XFF4834R_chr29290
ko:K10773	xfu:XFF4834R_chr29310
ko:K01673	xfu:XFF4834R_chr29330
ko:K07221	xfu:XFF4834R_chr29350
ko:K02040	xfu:XFF4834R_chr29360
ko:K02040	xfu:XFF4834R_chr29370
ko:K02037	xfu:XFF4834R_chr29380
ko:K02038	xfu:XFF4834R_chr29390
ko:K02036	xfu:XFF4834R_chr29400
ko:K02039	xfu:XFF4834R_chr29410
ko:K03683	xfu:XFF4834R_chr29430
ko:K03218	xfu:XFF4834R_chr29450
ko:K12573	xfu:XFF4834R_chr29470
ko:K01201	xfu:XFF4834R_chr33670
ko:K01153	xfu:XFF4834R_chr33750
ko:K01939	xfu:XFF4834R_chr33880
ko:K04087	xfu:XFF4834R_chr33900
ko:K04088	xfu:XFF4834R_chr33910
ko:K02658	xfu:XFF4834R_chr33920
ko:K05516	xfu:XFF4834R_chr33930
ko:K13993	xfu:XFF4834R_chr33940
ko:K03594	xfu:XFF4834R_chr33960
ko:K05367	xfu:XFF4834R_chr33970
ko:K01126	xfu:XFF4834R_chr33990
ko:K06894	xfu:XFF4834R_chr34010
ko:K01462	xfu:XFF4834R_chr34060
ko:K00537	xfu:XFF4834R_chr34070
ko:K05349	xfu:XFF4834R_chr37580
ko:K01633	xfu:XFF4834R_chr37590
ko:K01409	xfu:XFF4834R_chr37600
ko:K02970	xfu:XFF4834R_chr37610
ko:K09117	xfu:XFF4834R_chr37620
ko:K07058	xfu:XFF4834R_chr37630
ko:K14347	xfu:XFF4834R_chr37650
ko:K02259	xfu:XFF4834R_chr37680
ko:K02276	xfu:XFF4834R_chr37720
ko:K02258	xfu:XFF4834R_chr37730
ko:K02274	xfu:XFF4834R_chr37750
ko:K02275	xfu:XFF4834R_chr37760
ko:K13821	xfu:XFF4834R_chr37780
ko:K01866	xfu:XFF4834R_chr37840
ko:K09001	xfu:XFF4834R_chr37860
ko:K08218	xfu:XFF4834R_chr37880
ko:K01142	xfu:XFF4834R_chr37890
ko:K00762	xfu:XFF4834R_chr37900
ko:K08679	xfu:XFF4834R_chr37960
ko:K00721	xfu:XFF4834R_chr37970
ko:K03118	xfu:XFF4834R_chr40900
ko:K03117	xfu:XFF4834R_chr40910
ko:K03116	xfu:XFF4834R_chr40920
ko:K01772	xfu:XFF4834R_chr40940
ko:K07043	xfu:XFF4834R_chr40970
ko:K03554	xfu:XFF4834R_chr40980
ko:K14058	xfu:XFF4834R_chr40990
ko:K01805	xfu:XFF4834R_chr41000
ko:K02529	xfu:XFF4834R_chr41010
ko:K05970	xfu:XFF4834R_chr41030
ko:K08323	xfu:XFF4834R_chr41040
ko:K01198	xfu:XFF4834R_chr41050
ko:K01209	xfu:XFF4834R_chr41050
ko:K05349	xfu:XFF4834R_chr41060
ko:K00040	xfu:XFF4834R_chr41070
ko:K00128	xfu:XFF4834R_chr41130
ko:K01628	xfu:XFF4834R_chr41170
ko:K00854	xfu:XFF4834R_chr41180
ko:K01053	xfu:XFF4834R_chr41210
ko:K01181	xfu:XFF4834R_chr41220
ko:K01190	xfu:XFF4834R_chr41230
ko:K01812	xfu:XFF4834R_chr41240
ko:K08191	xfu:XFF4834R_chr41260
ko:K01181	xfu:XFF4834R_chr41270
ko:K08191	xfu:XFF4834R_chr41280
ko:K03098	xfu:XFF4834R_chr41320
ko:K00631	xfu:XFF4834R_chr41360
ko:K02529	xfu:XFF4834R_chr41380
ko:K06940	xfu:XFF4834R_chr02070
ko:K03690	xfu:XFF4834R_chr02140
ko:K03688	xfu:XFF4834R_chr02150
ko:K06175	xfu:XFF4834R_chr02170
ko:K15034	xfu:XFF4834R_chr02190
ko:K13051	xfu:XFF4834R_chr02210
ko:K01284	xfu:XFF4834R_chr02220
ko:K06996	xfu:XFF4834R_chr02250
ko:K01638	xfu:XFF4834R_chr02290
ko:K01637	xfu:XFF4834R_chr02300
ko:K01968	xfu:XFF4834R_chr02360
ko:K01969	xfu:XFF4834R_chr02370
ko:K00253	xfu:XFF4834R_chr02380
ko:K07004	xfu:XFF4834R_chr02470
ko:K07018	xfu:XFF4834R_chr02520
ko:K06916	xfu:XFF4834R_chr02530
ko:K06968	xfu:XFF4834R_chr08950
ko:K01886	xfu:XFF4834R_chr09000
ko:K07304	xfu:XFF4834R_chr09070
ko:K00616	xfu:XFF4834R_chr09090
ko:K06140	xfu:XFF4834R_chr09100
ko:K04761	xfu:XFF4834R_chr09110
ko:K03387	xfu:XFF4834R_chr09120
ko:K03386	xfu:XFF4834R_chr09130
ko:K02493	xfu:XFF4834R_chr09140
ko:K01259	xfu:XFF4834R_chr09150
ko:K01515	xfu:XFF4834R_chr09170
ko:K00324	xfu:XFF4834R_chr09260
ko:K03088	xfu:XFF4834R_chr09290
ko:K00324	xfu:XFF4834R_chr09300
ko:K00325	xfu:XFF4834R_chr09310
ko:K00826	xfu:XFF4834R_chr09340
ko:K14645	xfu:XFF4834R_chr09350
ko:K05365	xfu:XFF4834R_chr15230
ko:K03832	xfu:XFF4834R_chr15280
ko:K01920	xfu:XFF4834R_chr15290
ko:K02657	xfu:XFF4834R_chr15300
ko:K02658	xfu:XFF4834R_chr15310
ko:K02659	xfu:XFF4834R_chr15320
ko:K02660	xfu:XFF4834R_chr15330
ko:K02487	xfu:XFF4834R_chr15340
ko:K06596	xfu:XFF4834R_chr15340
ko:K06597	xfu:XFF4834R_chr15350
ko:K06598	xfu:XFF4834R_chr15360
ko:K03790	xfu:XFF4834R_chr15370
ko:K01444	xfu:XFF4834R_chr15380
ko:K06201	xfu:XFF4834R_chr15390
ko:K12308	xfu:XFF4834R_chr15460
ko:K09704	xfu:XFF4834R_chr15480
ko:K01222	xfu:XFF4834R_chr15490
ko:K05349	xfu:XFF4834R_chr15570
ko:K01192	xfu:XFF4834R_chr15580
ko:K12373	xfu:XFF4834R_chr15590
ko:K01206	xfu:XFF4834R_chr15610
ko:K02014	xfu:XFF4834R_chr15620
ko:K00845	xfu:XFF4834R_chr15640
ko:K09761	xfu:XFF4834R_chr15650
ko:K00833	xfu:XFF4834R_chr15660
ko:K08312	xfu:XFF4834R_chr15670
ko:K01082	xfu:XFF4834R_chr15680
ko:K03406	xfu:XFF4834R_chr20980
ko:K07153	xfu:XFF4834R_chr20990
ko:K00566	xfu:XFF4834R_chr21000
ko:K06891	xfu:XFF4834R_chr21030
ko:K03694	xfu:XFF4834R_chr21040
ko:K02518	xfu:XFF4834R_chr21050
ko:K00684	xfu:XFF4834R_chr21060
ko:K09919	xfu:XFF4834R_chr21070
ko:K00384	xfu:XFF4834R_chr21080
ko:K03466	xfu:XFF4834R_chr21090
ko:K03634	xfu:XFF4834R_chr21110
ko:K07478	xfu:XFF4834R_chr21130
ko:K06199	xfu:XFF4834R_chr21140
ko:K07516	xfu:XFF4834R_chr21160
ko:K00940	xfu:XFF4834R_chr21180
ko:K06941	xfu:XFF4834R_chr21190
ko:K02656	xfu:XFF4834R_chr21200
ko:K15539	xfu:XFF4834R_chr21210
ko:K17713	xfu:XFF4834R_chr21230
ko:K03977	xfu:XFF4834R_chr21240
ko:K03750	xfu:XFF4834R_chr21250
ko:K08995	xfu:XFF4834R_chr21290
ko:K01142	xfu:XFF4834R_chr21330
ko:K03750	xfu:XFF4834R_chr21350
ko:K03752	xfu:XFF4834R_chr21360
ko:K03322	xfu:XFF4834R_chr21420
ko:K01890	xfu:XFF4834R_chr26260
ko:K01889	xfu:XFF4834R_chr26270
ko:K02887	xfu:XFF4834R_chr26280
ko:K02916	xfu:XFF4834R_chr26290
ko:K02520	xfu:XFF4834R_chr26300
ko:K01868	xfu:XFF4834R_chr26310
ko:K16211	xfu:XFF4834R_chr26340
ko:K01187	xfu:XFF4834R_chr26360
ko:K03702	xfu:XFF4834R_chr26570
ko:K02655	xfu:XFF4834R_chr26620
ko:K02674	xfu:XFF4834R_chr26630
ko:K02673	xfu:XFF4834R_chr26640
ko:K02672	xfu:XFF4834R_chr26650
ko:K02671	xfu:XFF4834R_chr26660
ko:K08084	xfu:XFF4834R_chr26670
ko:K06966	xfu:XFF4834R_chr26680
ko:K07390	xfu:XFF4834R_chr26720
ko:K09019	xfu:XFF4834R_chr05510
ko:K01093	xfu:XFF4834R_chr05530
ko:K13929	xfu:XFF4834R_chr05560
ko:K13931	xfu:XFF4834R_chr05570
ko:K13932	xfu:XFF4834R_chr05580
ko:K13933	xfu:XFF4834R_chr05590
ko:K13934	xfu:XFF4834R_chr05600
ko:K13930	xfu:XFF4834R_chr05610
ko:K00645	xfu:XFF4834R_chr05620
ko:K01091	xfu:XFF4834R_chr05650
ko:K07315	xfu:XFF4834R_chr05680
ko:K01224	xfu:XFF4834R_chr05710
ko:K00163	xfu:XFF4834R_chr05720
ko:K07393	xfu:XFF4834R_chr05960
ko:K09005	xfu:XFF4834R_chr12320
ko:K01807	xfu:XFF4834R_chr12330
ko:K01934	xfu:XFF4834R_chr12350
ko:K09888	xfu:XFF4834R_chr12360
ko:K09895	xfu:XFF4834R_chr12380
ko:K01262	xfu:XFF4834R_chr12390
ko:K02428	xfu:XFF4834R_chr12450
ko:K00989	xfu:XFF4834R_chr12470
ko:K00942	xfu:XFF4834R_chr12490
ko:K03060	xfu:XFF4834R_chr12500
ko:K01707	xfu:XFF4834R_chr12530
ko:K03535	xfu:XFF4834R_chr12550
ko:K01706	xfu:XFF4834R_chr12560
ko:K01708	xfu:XFF4834R_chr12580
ko:K03655	xfu:XFF4834R_chr12600
ko:K02909	xfu:XFF4834R_chr12620
ko:K01647	xfu:XFF4834R_chr12630
ko:K05366	xfu:XFF4834R_chr12650
ko:K02662	xfu:XFF4834R_chr12660
ko:K02665	xfu:XFF4834R_chr12690
ko:K03924	xfu:XFF4834R_chr12710
ko:K07114	xfu:XFF4834R_chr12740
ko:K07114	xfu:XFF4834R_chr12750
ko:K00783	xfu:XFF4834R_chr18570
ko:K03832	xfu:XFF4834R_chr18580
ko:K09807	xfu:XFF4834R_chr18600
ko:K06287	xfu:XFF4834R_chr18610
ko:K08301	xfu:XFF4834R_chr18620
ko:K03568	xfu:XFF4834R_chr18650
ko:K09889	xfu:XFF4834R_chr18660
ko:K03592	xfu:XFF4834R_chr18670
ko:K09940	xfu:XFF4834R_chr18680
ko:K00795	xfu:XFF4834R_chr18700
ko:K03602	xfu:XFF4834R_chr18710
ko:K04075	xfu:XFF4834R_chr18720
ko:K01077	xfu:XFF4834R_chr18730
ko:K03775	xfu:XFF4834R_chr18790
ko:K07148	xfu:XFF4834R_chr18800
ko:K00285	xfu:XFF4834R_chr18810
ko:K00383	xfu:XFF4834R_chr18820
ko:K07443	xfu:XFF4834R_chr18830
ko:K07386	xfu:XFF4834R_chr18850
ko:K07386	xfu:XFF4834R_chr18860
ko:K07386	xfu:XFF4834R_chr18870
ko:K03593	xfu:XFF4834R_chr18930
ko:K01494	xfu:XFF4834R_chr18940
ko:K01061	xfu:XFF4834R_chr18980
ko:K07458	xfu:XFF4834R_chr19030
ko:K03408	xfu:XFF4834R_chr24310
ko:K03406	xfu:XFF4834R_chr24320
ko:K03652	xfu:XFF4834R_chr24330
ko:K03724	xfu:XFF4834R_chr24340
ko:K03600	xfu:XFF4834R_chr24370
ko:K03599	xfu:XFF4834R_chr24380
ko:K00413	xfu:XFF4834R_chr24390
ko:K00412	xfu:XFF4834R_chr24400
ko:K00411	xfu:XFF4834R_chr24410
ko:K06168	xfu:XFF4834R_chr24450
ko:K07042	xfu:XFF4834R_chr24480
ko:K06189	xfu:XFF4834R_chr24500
ko:K03284	xfu:XFF4834R_chr24520
ko:K00135	xfu:XFF4834R_chr24530
ko:K11074	xfu:XFF4834R_chr24540
ko:K11075	xfu:XFF4834R_chr24550
ko:K03446	xfu:XFF4834R_chr24580
ko:K03543	xfu:XFF4834R_chr24590
ko:K11073	xfu:XFF4834R_chr24600
ko:K12256	xfu:XFF4834R_chr24610
ko:K01915	xfu:XFF4834R_chr24620
ko:K07010	xfu:XFF4834R_chr24630
ko:K01915	xfu:XFF4834R_chr24640
ko:K09471	xfu:XFF4834R_chr24650
ko:K02379	xfu:XFF4834R_chr24720
ko:K00822	xfu:XFF4834R_chr24750
ko:K00847	xfu:XFF4834R_chr29560
ko:K02429	xfu:XFF4834R_chr29570
ko:K02529	xfu:XFF4834R_chr29580
ko:K03745	xfu:XFF4834R_chr29610
ko:K00012	xfu:XFF4834R_chr29620
ko:K03772	xfu:XFF4834R_chr29630
ko:K00432	xfu:XFF4834R_chr29640
ko:K07979	xfu:XFF4834R_chr29660
ko:K01990	xfu:XFF4834R_chr29670
ko:K01992	xfu:XFF4834R_chr29680
ko:K01679	xfu:XFF4834R_chr29720
ko:K01756	xfu:XFF4834R_chr29750
ko:K00164	xfu:XFF4834R_chr29800
ko:K00658	xfu:XFF4834R_chr29810
ko:K00382	xfu:XFF4834R_chr29820
ko:K06966	xfu:XFF4834R_chr29830
ko:K06147	xfu:XFF4834R_chr29850
ko:K04761	xfu:XFF4834R_chr29860
ko:K04517	xfu:XFF4834R_chr29910
ko:K00868	xfu:XFF4834R_chr29920
ko:K03686	xfu:XFF4834R_chr29930
ko:K04043	xfu:XFF4834R_chr29940
ko:K03687	xfu:XFF4834R_chr29950
ko:K03705	xfu:XFF4834R_chr29960
ko:K03631	xfu:XFF4834R_chr29970
ko:K03711	xfu:XFF4834R_chr29980
ko:K06186	xfu:XFF4834R_chr29990
ko:K00694	xfu:XFF4834R_chr34130
ko:K00763	xfu:XFF4834R_chr34160
ko:K02014	xfu:XFF4834R_chr34240
ko:K03811	xfu:XFF4834R_chr34250
ko:K02453	xfu:XFF4834R_chr34280
ko:K02463	xfu:XFF4834R_chr34290
ko:K02462	xfu:XFF4834R_chr34300
ko:K02461	xfu:XFF4834R_chr34310
ko:K02460	xfu:XFF4834R_chr34320
ko:K02459	xfu:XFF4834R_chr34330
ko:K02458	xfu:XFF4834R_chr34340
ko:K02457	xfu:XFF4834R_chr34350
ko:K02456	xfu:XFF4834R_chr34360
ko:K02455	xfu:XFF4834R_chr34370
ko:K02454	xfu:XFF4834R_chr34380
ko:K14645	xfu:XFF4834R_chr34390
ko:K14645	xfu:XFF4834R_chr34410
ko:K01952	xfu:XFF4834R_chr34440
ko:K03981	xfu:XFF4834R_chr34450
ko:K04763	xfu:XFF4834R_chr34460
ko:K11720	xfu:XFF4834R_chr34490
ko:K07091	xfu:XFF4834R_chr34500
ko:K01255	xfu:XFF4834R_chr34510
ko:K02339	xfu:XFF4834R_chr34530
ko:K01873	xfu:XFF4834R_chr34540
ko:K02014	xfu:XFF4834R_chr34550
ko:K08309	xfu:XFF4834R_chr34560
ko:K01728	xfu:XFF4834R_chr34570
ko:K03789	xfu:XFF4834R_chr34580
ko:K15778	xfu:XFF4834R_chr38000
ko:K13038	xfu:XFF4834R_chr38020
ko:K03630	xfu:XFF4834R_chr38030
ko:K01887	xfu:XFF4834R_chr38040
ko:K02364	xfu:XFF4834R_chr38100
ko:K02364	xfu:XFF4834R_chr38110
ko:K01585	xfu:XFF4834R_chr38130
ko:K00797	xfu:XFF4834R_chr38140
ko:K01197	xfu:XFF4834R_chr38180
ko:K04751	xfu:XFF4834R_chr38190
ko:K09806	xfu:XFF4834R_chr38200
ko:K07391	xfu:XFF4834R_chr38210
ko:K03098	xfu:XFF4834R_chr38220
ko:K00508	xfu:XFF4834R_chr38260
ko:K14415	xfu:XFF4834R_chr38310
ko:K06889	xfu:XFF4834R_chr38330
ko:K07071	xfu:XFF4834R_chr38390
ko:K01591	xfu:XFF4834R_chr41420
ko:K09915	xfu:XFF4834R_chr41440
ko:K03656	xfu:XFF4834R_chr41470
ko:K03670	xfu:XFF4834R_chr41510
ko:K10563	xfu:XFF4834R_chr41530
ko:K05782	xfu:XFF4834R_chr41590
ko:K01792	xfu:XFF4834R_chr41640
ko:K09858	xfu:XFF4834R_chr41660
ko:K07090	xfu:XFF4834R_chr41670
ko:K01495	xfu:XFF4834R_chr41720
ko:K06075	xfu:XFF4834R_chr41730
ko:K07559	xfu:XFF4834R_chr41820
ko:K06131	xfu:XFF4834R_chr41830
ko:K06181	xfu:XFF4834R_chr02640
ko:K03579	xfu:XFF4834R_chr02670
ko:K07127	xfu:XFF4834R_chr02690
ko:K13485	xfu:XFF4834R_chr02710
ko:K02083	xfu:XFF4834R_chr02750
ko:K02433	xfu:XFF4834R_chr02800
ko:K01488	xfu:XFF4834R_chr02820
ko:K06901	xfu:XFF4834R_chr02830
ko:K03424	xfu:XFF4834R_chr02880
ko:K08224	xfu:XFF4834R_chr02910
ko:K01433	xfu:XFF4834R_chr02980
ko:K07664	xfu:XFF4834R_chr02990
ko:K07642	xfu:XFF4834R_chr03000
ko:K14645	xfu:XFF4834R_chr09360
ko:K14645	xfu:XFF4834R_chr09370
ko:K01424	xfu:XFF4834R_chr09390
ko:K03809	xfu:XFF4834R_chr09420
ko:K07058	xfu:XFF4834R_chr09430
ko:K01512	xfu:XFF4834R_chr09450
ko:K03638	xfu:XFF4834R_chr09480
ko:K02835	xfu:XFF4834R_chr09500
ko:K02492	xfu:XFF4834R_chr09510
ko:K02494	xfu:XFF4834R_chr09530
ko:K00919	xfu:XFF4834R_chr09540
ko:K00948	xfu:XFF4834R_chr09560
ko:K02897	xfu:XFF4834R_chr09570
ko:K01056	xfu:XFF4834R_chr09580
ko:K06942	xfu:XFF4834R_chr09590
ko:K02358	xfu:XFF4834R_chr09630
ko:K03073	xfu:XFF4834R_chr09650
ko:K02601	xfu:XFF4834R_chr09660
ko:K02867	xfu:XFF4834R_chr09670
ko:K02863	xfu:XFF4834R_chr09680
ko:K02864	xfu:XFF4834R_chr09690
ko:K02935	xfu:XFF4834R_chr09700
ko:K03043	xfu:XFF4834R_chr09710
ko:K03046	xfu:XFF4834R_chr09720
ko:K02950	xfu:XFF4834R_chr09730
ko:K02992	xfu:XFF4834R_chr09740
ko:K02355	xfu:XFF4834R_chr09750
ko:K02358	xfu:XFF4834R_chr09760
ko:K02946	xfu:XFF4834R_chr09770
ko:K02906	xfu:XFF4834R_chr09780
ko:K02926	xfu:XFF4834R_chr09790
ko:K02892	xfu:XFF4834R_chr09800
ko:K02886	xfu:XFF4834R_chr09810
ko:K02965	xfu:XFF4834R_chr09820
ko:K02890	xfu:XFF4834R_chr09830
ko:K02982	xfu:XFF4834R_chr09840
ko:K02878	xfu:XFF4834R_chr09850
ko:K04765	xfu:XFF4834R_chr15690
ko:K09771	xfu:XFF4834R_chr15700
ko:K00605	xfu:XFF4834R_chr15720
ko:K02437	xfu:XFF4834R_chr15730
ko:K06983	xfu:XFF4834R_chr06070
