ko:K19079	suu:M013TW_0648
ko:K11038	suu:M013TW_1976
ko:K11038	suu:M013TW_1977
ko:K00857	suu:M013TW_2078
ko:K11038	suu:M013TW_2380
ko:K11038	suu:M013TW_2382
ko:K11038	suu:M013TW_2383
ko:K02314	suu:M013TW_0017
ko:K14199	suu:M013TW_0208
ko:K01174	suu:M013TW_0782
ko:K14199	suu:M013TW_1091
ko:K07474	suu:M013TW_0827
ko:K04068	suu:M013TW_2594
ko:K03553	suu:M013TW_1227
ko:K00287	suu:M013TW_1372
ko:K00560	suu:M013TW_1373
ko:K02316	suu:M013TW_1577
ko:K03546	suu:M013TW_1294
ko:K11038	suu:M013TW_1436
ko:K11038	suu:M013TW_1437
ko:K06217	suu:M013TW_1586
ko:K01493	suu:M013TW_1603
ko:K14199	suu:M013TW_1822
ko:K00525	suu:M013TW_0717
ko:K06958	suu:M013TW_0752
ko:K05020	suu:M013TW_2151
ko:K02335	suu:M013TW_1703
ko:K21285	suu:M013TW_0627
ko:K03296	suu:M013TW_2219
ko:K02031	suu:M013TW_1325
ko:K22044	suu:M013TW_0340
ko:K02483	suu:M013TW_2319
ko:K21478	suu:M013TW_2651
ko:K21453	suu:M013TW_2648
ko:K21567	suu:M013TW_2333
ko:K21591	suu:M013TW_0235
ko:K21600	suu:M013TW_2045
ko:K18704	suu:M013TW_0238
ko:K21828	suu:M013TW_2612
ko:K22043	suu:M013TW_2105
ko:K22136	suu:M013TW_1111
ko:K00754	suu:M013TW_1406
ko:K22135	suu:M013TW_0555
ko:K03595	suu:M013TW_1582
ko:K22132	suu:M013TW_1649
ko:K22109	suu:M013TW_2591
ko:K22212	suu:M013TW_0759
ko:K03547	suu:M013TW_1850
ko:K17758	suu:M013TW_0008
ko:K02257	suu:M013TW_1048
ko:K22409	suu:M013TW_0429
ko:K13566	suu:M013TW_1986
ko:K22441	suu:M013TW_2330
