ko:K19416	amag:I533_10320
ko:K01916	amag:I533_12705
ko:K08084	amag:I533_12710
ko:K02680	amag:I533_12725
ko:K02655	amag:I533_12740
ko:K02674	amag:I533_12745
ko:K02673	amag:I533_12750
ko:K02672	amag:I533_12755
ko:K02671	amag:I533_12760
ko:K03527	amag:I533_12765
ko:K03774	amag:I533_12770
ko:K03101	amag:I533_12775
ko:K01870	amag:I533_12780
ko:K11753	amag:I533_12785
ko:K03980	amag:I533_12790
ko:K02968	amag:I533_12795
ko:K03453	amag:I533_12815
ko:K03770	amag:I533_12840
ko:K03530	amag:I533_12845
ko:K01338	amag:I533_12855
ko:K03544	amag:I533_12860
ko:K01358	amag:I533_12865
ko:K03545	amag:I533_12870
ko:K01491	amag:I533_12875
ko:K09941	amag:I533_12880
ko:K01881	amag:I533_12890
ko:K01058	amag:I533_12900
ko:K03406	amag:I533_12910
ko:K01951	amag:I533_12915
ko:K00088	amag:I533_12920
ko:K03601	amag:I533_12925
ko:K00852	amag:I533_14030
ko:K01934	amag:I533_14045
ko:K01807	amag:I533_14050
ko:K00058	amag:I533_14055
ko:K06938	amag:I533_14075
ko:K00382	amag:I533_14105
ko:K00627	amag:I533_14110
ko:K00163	amag:I533_14115
ko:K03807	amag:I533_14125
ko:K03806	amag:I533_14130
ko:K06985	amag:I533_14135
ko:K00767	amag:I533_14140
ko:K02653	amag:I533_14150
ko:K02654	amag:I533_14155
ko:K00859	amag:I533_14160
ko:K09862	amag:I533_14170
ko:K03574	amag:I533_14180
ko:K03070	amag:I533_14185
ko:K02535	amag:I533_14195
ko:K03531	amag:I533_14200
ko:K03590	amag:I533_14205
ko:K03589	amag:I533_14210
ko:K01921	amag:I533_14215
ko:K01924	amag:I533_14220
ko:K02563	amag:I533_14225
ko:K03588	amag:I533_14230
ko:K01925	amag:I533_14235
ko:K01487	amag:I533_07520
ko:K01046	amag:I533_17605
ko:K01977	amag:I533_r19473
ko:K01977	amag:I533_r19481
ko:K01977	amag:I533_r19479
ko:K01977	amag:I533_r19477
ko:K01977	amag:I533_r19475
ko:K18138	amag:I533_00815
ko:K18138	amag:I533_03315
ko:K07814	amag:I533_03475
ko:K01985	amag:I533_r19459
ko:K01985	amag:I533_r19469
ko:K01985	amag:I533_r19463
ko:K01985	amag:I533_r19471
ko:K01985	amag:I533_r19467
ko:K01985	amag:I533_r19461
ko:K01985	amag:I533_r19465
ko:K07481	amag:I533_07825
ko:K01659	amag:I533_14745
ko:K03719	amag:I533_10380
ko:K00956	amag:I533_06230
ko:K01980	amag:I533_r19483
ko:K01980	amag:I533_r19487
ko:K01980	amag:I533_r19489
ko:K01980	amag:I533_r19491
ko:K07814	amag:I533_08490
ko:K00114	amag:I533_15455
ko:K07003	amag:I533_13460
ko:K00557	amag:I533_15775
ko:K00344	amag:I533_11085
ko:K03741	amag:I533_14570
ko:K02477	amag:I533_09680
ko:K09017	amag:I533_07550
ko:K03296	amag:I533_10960
ko:K02483	amag:I533_14595
ko:K01447	amag:I533_14785
ko:K00118	amag:I533_15250
ko:K08282	amag:I533_09885
ko:K03892	amag:I533_14565
ko:K03772	amag:I533_18720
ko:K01980	amag:I533_r19485
ko:K07003	amag:I533_09965
ko:K03605	amag:I533_01450
ko:K01533	amag:I533_10120
ko:K18299	amag:I533_14085
ko:K14225	amag:I533_t19441
ko:K14219	amag:I533_t19429
ko:K14237	amag:I533_t19391
ko:K14221	amag:I533_t19393
ko:K14221	amag:I533_t19395
ko:K14221	amag:I533_t19397
ko:K14221	amag:I533_t19399
ko:K14228	amag:I533_t19433
ko:K14220	amag:I533_t19355
ko:K14220	amag:I533_t19357
ko:K14219	amag:I533_t19349
ko:K14219	amag:I533_t19351
ko:K14219	amag:I533_t19345
ko:K14224	amag:I533_t19373
ko:K14224	amag:I533_t19377
ko:K14224	amag:I533_t19375
ko:K14228	amag:I533_t19405
ko:K14233	amag:I533_t19347
ko:K14223	amag:I533_t19389
ko:K14223	amag:I533_t19379
ko:K14223	amag:I533_t19383
ko:K14229	amag:I533_t19455
ko:K14229	amag:I533_t19457
ko:K14237	amag:I533_t19449
ko:K02406	amag:I533_04845
ko:K15726	amag:I533_00775
ko:K07862	amag:I533_04100
ko:K02014	amag:I533_00575
ko:K14219	amag:I533_t19327
ko:K14228	amag:I533_t19381
ko:K14228	amag:I533_t19385
ko:K14230	amag:I533_t19401
ko:K14230	amag:I533_t19403
ko:K14229	amag:I533_t19359
ko:K14229	amag:I533_t19361
ko:K14228	amag:I533_t19407
ko:K14233	amag:I533_t19363
ko:K14231	amag:I533_t19329
ko:K14230	amag:I533_t19343
ko:K14235	amag:I533_t19353
ko:K14235	amag:I533_t19447
ko:K14237	amag:I533_t19365
ko:K14237	amag:I533_t19367
ko:K14237	amag:I533_t19451
ko:K14230	amag:I533_t19387
ko:K14222	amag:I533_t19409
ko:K14233	amag:I533_t19413
ko:K14232	amag:I533_t19415
ko:K14218	amag:I533_t19331
ko:K14218	amag:I533_t19419
ko:K14218	amag:I533_t19437
ko:K07165	amag:I533_18300
ko:K07165	amag:I533_06075
ko:K14227	amag:I533_t19335
ko:K14227	amag:I533_t19435
ko:K14227	amag:I533_t19417
ko:K14225	amag:I533_t19337
ko:K14225	amag:I533_t19339
ko:K14225	amag:I533_t19411
ko:K14232	amag:I533_t19427
ko:K14232	amag:I533_t19431
ko:K14234	amag:I533_t19439
ko:K14236	amag:I533_t19443
ko:K14233	amag:I533_t19453
ko:K02554	amag:I533_15630
ko:K18298	amag:I533_14090
ko:K00138	amag:I533_15550
ko:K14234	amag:I533_t19341
ko:K14234	amag:I533_t19445
ko:K14218	amag:I533_t19371
ko:K14226	amag:I533_t19425
ko:K03832	amag:I533_09315
ko:K02014	amag:I533_14730
ko:K01666	amag:I533_16590
ko:K00979	amag:I533_16705
ko:K01885	amag:I533_19075
ko:K00845	amag:I533_19205
ko:K03641	amag:I533_10900
ko:K07302	amag:I533_11000
ko:K04763	amag:I533_10250
ko:K03841	amag:I533_15320
ko:K03841	amag:I533_15325
ko:K03522	amag:I533_11540
ko:K00311	amag:I533_11545
ko:K01255	amag:I533_15485
ko:K07787	amag:I533_14290
ko:K07787	amag:I533_18100
ko:K03782	amag:I533_16265
ko:K03782	amag:I533_16270
ko:K03796	amag:I533_18500
ko:K09017	amag:I533_16150
ko:K02406	amag:I533_06520
ko:K02015	amag:I533_06790
ko:K00067	amag:I533_07865
ko:K01560	amag:I533_08270
ko:K18446	amag:I533_02920
ko:K07645	amag:I533_03660
ko:K01437	amag:I533_14175
ko:K21405	amag:I533_15310
ko:K00681	amag:I533_02625
ko:K00681	amag:I533_02090
ko:K00681	amag:I533_10730
ko:K00681	amag:I533_07635
ko:K20978	amag:I533_06480
ko:K00130	amag:I533_13550
ko:K18676	amag:I533_13975
ko:K18640	amag:I533_05420
ko:K18691	amag:I533_04670
ko:K06218	amag:I533_02740
ko:K18850	amag:I533_08870
ko:K10747	amag:I533_17565
ko:K06218	amag:I533_02755
ko:K18800	amag:I533_14010
ko:K18829	amag:I533_18350
ko:K18831	amag:I533_19060
ko:K20862	amag:I533_00910
ko:K20881	amag:I533_18640
ko:K18778	amag:I533_14165
ko:K00526	amag:I533_10450
ko:K18893	amag:I533_17465
ko:K08364	amag:I533_09750
ko:K08363	amag:I533_09755
ko:K11811	amag:I533_14575
ko:K14266	amag:I533_09490
ko:K03746	amag:I533_10865
ko:K08722	amag:I533_10980
ko:K08722	amag:I533_10985
ko:K08722	amag:I533_11045
ko:K09797	amag:I533_14080
ko:K03496	amag:I533_14320
ko:K04565	amag:I533_14455
ko:K08364	amag:I533_18175
ko:K03502	amag:I533_05425
ko:K03502	amag:I533_05450
ko:K03503	amag:I533_05455
ko:K12070	amag:I533_05525
ko:K12071	amag:I533_05530
ko:K12068	amag:I533_05565
ko:K12067	amag:I533_05570
ko:K12065	amag:I533_05580
ko:K12063	amag:I533_05615
ko:K12062	amag:I533_05625
ko:K12061	amag:I533_05630
ko:K12060	amag:I533_05635
ko:K12058	amag:I533_05640
ko:K03111	amag:I533_05665
ko:K12057	amag:I533_05745
ko:K12072	amag:I533_05750
ko:K12056	amag:I533_05755
ko:K12057	amag:I533_05835
ko:K12072	amag:I533_05840
ko:K12056	amag:I533_05845
ko:K03646	amag:I533_06575
ko:K03496	amag:I533_05070
ko:K12064	amag:I533_05585
ko:K03976	amag:I533_07910
ko:K07484	amag:I533_09195
ko:K07484	amag:I533_15150
ko:K07483	amag:I533_01690
ko:K07483	amag:I533_19190
ko:K14742	amag:I533_12215
ko:K03526	amag:I533_12960
ko:K02663	amag:I533_02245
ko:K12069	amag:I533_05590
ko:K18979	amag:I533_17690
ko:K02664	amag:I533_02240
ko:K01729	amag:I533_15670
ko:K07452	amag:I533_05500
ko:K07746	amag:I533_02785
ko:K07746	amag:I533_11930
ko:K07746	amag:I533_15220
ko:K19155	amag:I533_17135
ko:K19156	amag:I533_17130
ko:K19166	amag:I533_19055
ko:K22452	amag:I533_07340
ko:K07448	amag:I533_05510
ko:K19147	amag:I533_05505
ko:K19158	amag:I533_11180
ko:K19159	amag:I533_11175
ko:K01710	amag:I533_16505
ko:K19228	amag:I533_05205
ko:K19229	amag:I533_05200
ko:K19227	amag:I533_05210
ko:K19230	amag:I533_05195
ko:K00798	amag:I533_07925
ko:K00020	amag:I533_15575
ko:K03722	amag:I533_12220
ko:K07497	amag:I533_00755
ko:K07497	amag:I533_00765
ko:K00839	amag:I533_07625
ko:K19337	amag:I533_11510
ko:K01175	amag:I533_10870
ko:K19302	amag:I533_00945
ko:K19302	amag:I533_03160
ko:K19337	amag:I533_19225
ko:K19337	amag:I533_11590
ko:K02650	amag:I533_14145
ko:K15669	amag:I533_13330
ko:K19577	amag:I533_14490
ko:K02030	amag:I533_18465
ko:K19707	amag:I533_09060
ko:K01214	amag:I533_11460
ko:K07119	amag:I533_18045
ko:K07147	amag:I533_11055
ko:K07274	amag:I533_04140
ko:K19804	amag:I533_10395
ko:K07662	amag:I533_02345
ko:K19810	amag:I533_03100
ko:K19954	amag:I533_01895
ko:K09796	amag:I533_02560
ko:K20035	amag:I533_11530
ko:K20264	amag:I533_15625
ko:K00507	amag:I533_15785
ko:K02655	amag:I533_12715
ko:K01439	amag:I533_12835
ko:K09788	amag:I533_14755
ko:K20455	amag:I533_14750
ko:K20444	amag:I533_16675
ko:K20444	amag:I533_16735
ko:K20542	amag:I533_15990
ko:K20543	amag:I533_15985
ko:K16044	amag:I533_18210
ko:K01200	amag:I533_09500
ko:K20920	amag:I533_07730
ko:K20988	amag:I533_07735
ko:K16554	amag:I533_07740
ko:K03148	amag:I533_00635
ko:K21029	amag:I533_11165
ko:K21053	amag:I533_07570
ko:K00821	amag:I533_02170
ko:K01768	amag:I533_02100
ko:K00525	amag:I533_10445
ko:K14379	amag:I533_08120
ko:K21023	amag:I533_11710
ko:K00971	amag:I533_16740
ko:K08968	amag:I533_09910
ko:K02495	amag:I533_11125
ko:K20977	amag:I533_06485
ko:K20975	amag:I533_15535
ko:K00632	amag:I533_02800
ko:K00632	amag:I533_06305
ko:K21218	amag:I533_06100
ko:K00248	amag:I533_10810
ko:K03676	amag:I533_02380
ko:K00558	amag:I533_02455
ko:K00560	amag:I533_02955
ko:K06223	amag:I533_02210
ko:K03553	amag:I533_04325
ko:K02316	amag:I533_03340
ko:K03546	amag:I533_04095
ko:K00287	amag:I533_02845
ko:K02315	amag:I533_19275
ko:K00857	amag:I533_13485
ko:K06223	amag:I533_15130
ko:K07336	amag:I533_17345
ko:K02314	amag:I533_17735
ko:K09882	amag:I533_05685
ko:K06217	amag:I533_07130
ko:K02335	amag:I533_00070
ko:K00980	amag:I533_04930
ko:K02481	amag:I533_14340
ko:K00108	amag:I533_13555
ko:K05799	amag:I533_14120
ko:K01139	amag:I533_00695
ko:K21217	amag:I533_16920
ko:K00249	amag:I533_11095
ko:K20918	amag:I533_15590
ko:K02483	amag:I533_03665
ko:K02483	amag:I533_13625
ko:K02483	amag:I533_17330
ko:K21420	amag:I533_08925
ko:K21470	amag:I533_12015
ko:K01420	amag:I533_10135
ko:K21498	amag:I533_02725
ko:K07334	amag:I533_02730
ko:K21575	amag:I533_09525
ko:K21498	amag:I533_16880
ko:K21699	amag:I533_06180
ko:K10914	amag:I533_11920
ko:K10914	amag:I533_16155
ko:K21973	amag:I533_00780
ko:K08365	amag:I533_09760
ko:K08365	amag:I533_10285
ko:K21990	amag:I533_12320
ko:K22105	amag:I533_15780
ko:K22132	amag:I533_09415
ko:K01816	amag:I533_01875
ko:K03595	amag:I533_12630
ko:K01505	amag:I533_14615
ko:K02257	amag:I533_18320
ko:K02257	amag:I533_18810
ko:K11391	amag:I533_03145
ko:K00424	amag:I533_17885
ko:K00275	amag:I533_08365
ko:K01007	amag:I533_08830
